السنة,الربع,المنطقة,المدينة,النوع,الاستخدام,عدد الصفقات,مجموع قيم الصفقات,مجموع المساحات,متوسط سعر المتر,أعلى متوسط سعر متر,أقل متوسط سعر متر
2025,2,تبوك,تيماء,شقة,سكني,5,2548699,908.86,NULL,NULL,NULL
2025,2,تبوك,تبوك,أرض,سكني,507,264047401.7,351760.02,789.275862,2836.54,91.43
2025,2,تبوك,تبوك,دور,سكني,4,2342000,933.92,NULL,NULL,NULL
2025,2,تبوك,تبوك,دوبلكس,سكني,38,41197462,15690.64,2700.545876,2741.47,2658.4
2025,2,تبوك,حقل,أرض,سكني,17,5535209,9773.97,404.5973333,698.6,131.58
2025,2,تبوك,تبوك,فيلا,سكني,2,1188488,867.72,NULL,NULL,NULL
2025,2,تبوك,تيماء,فيلا,سكني,2,305000,933.75,NULL,NULL,NULL
2025,2,تبوك,تبوك,شقة,سكني,384,254835470.8,76296.67,3467.854004,4362,1844.51
2025,2,تبوك,تيماء,أرض,سكني,48,5847454,30025.5,99.57432065,233.33,15.15
2025,2,تبوك,املج,أرض,سكني,2,4700000,19600,NULL,NULL,NULL
