السنة,الربع,المنطقة,المدينة,النوع,الاستخدام,عدد الصفقات,مجموع قيم الصفقات ر.س,مجموع المساحاتM2,متوسط سعر المتر ر.س,أعلى متوسط سعر متر ر.س,أقل متوسط سعر متر ر.س
2026,1,تبوك,حقل,أرض,سكني,8,3230732.12,3888.83,668.2750509,1128.28,216
2026,1,تبوك,تبوك,دور,سكني,6,4646279.97,1774.28,NULL,NULL,NULL
2026,1,تبوك,تيماء,أرض,سكني,72,4488000,40035.27,41.27733127,100.6,7.5
2026,1,تبوك,تبوك,دوبلكس,سكني,37,36190168,14313.1,NULL,NULL,NULL
2026,1,تبوك,تبوك,أرض,سكني,530,257743523.9,357235.325,711.5411222,3213.09,57.14
2026,1,تبوك,تبوك,فيلا,سكني,3,4959634.58,989.2,NULL,NULL,NULL
2026,1,تبوك,تبوك,شقة,سكني,348,221825118.2,67800.464,3389.454716,4228.86,1592.61
2026,1,تبوك,تيماء,شقة,سكني,1,350000,146.92,NULL,NULL,NULL
2026,1,تبوك,املج,أرض,سكني,6,505000,4040,125,125,125
2026,1,تبوك,تيماء,فيلا,سكني,1,282000,500,NULL,NULL,NULL
