السنة,الربع,المنطقة,المدينة,النوع,الاستخدام,عدد الصفقات,مجموع قيم الصفقات,مجموع المساحات,متوسط سعر المتر,أعلى متوسط سعر متر,أقل متوسط سعر متر
2025,4,الباحة,الباحة,شقة,سكني,9,4391005,1524.83,NULL,NULL,NULL
2025,4,الباحة,المخواة,دوبلكس,سكني,1,800000,357.88,NULL,NULL,NULL
2025,4,الباحة,العقيق,شقة,سكني,3,1492000,704.49,NULL,NULL,NULL
2025,4,الباحة,غامد الزناد,أرض,سكني,2,354282.5,1932.74,NULL,NULL,NULL
2025,4,الباحة,العقيق,أرض,سكني,45,20065024.02,51902.81,287.4480429,491.53,151.23
2025,4,الباحة,الحجرة,أرض,سكني,3,254750,1607.71,NULL,NULL,NULL
2025,4,الباحة,المخواة,أرض,سكني,44,4196467.5,26019.79,111.153631,239.17,31.12
2025,4,الباحة,المخواة,شقة,سكني,6,2036000,860.16,2423.64532,2423.65,2423.65
2025,4,الباحة,القرى,أرض,سكني,9,1861218,7853.04,161.1391639,233.33,61.25
2025,4,الباحة,الباحة,أرض,سكني,61,24297534.55,39049.08,560.4918259,2022.76,207.68
2025,4,الباحة,بلجرشي,أرض,سكني,33,13029129.23,32486.27,300.5364802,714.29,111.62
2025,4,الباحة,قلوة,أرض,سكني,6,2213000,4287.15,392.6387013,463.31,28.49
2025,4,الباحة,بلجرشي,شقة,سكني,8,3213258,1185.65,2856.031158,3156.76,2542.1
