,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
1,Monetary Base ,,القاعدة النقدية ,1
,,,,
2,Monetary Base - Growth Rates & Percentage Shares ,,القاعدة النقدية - معدلات النمو والنسب المئوية,2
,,,,
3,Money Supply,,عرض النقود ,3
,,,,
4a,Money Supply (M3) and Its Components - Growth Rates,,عرض النقود  ( ن 3 ) ومكوناتها - معدلات النمو ,4a
,,,,
4b,Money Supply Components in (M3) Percentage Shares,,مكونات عرض النقود في ( ن 3 ) نسب مئوية ,4b
,,,,
4c,Money Supply Components in (M1) & (M2)- Percentage Shares,,مكونات عرض النقود في (ن1) و(ن2)- نسب مئوية ,4c
,,,,
5,Monetary Ratios,,نسب نقدية ,5
,,,,
6a,Currency Outside Banks,,النقد المتداول خارج المصارف ,6a
,,,,
6b, Coins in Circulation By Denomination (Sixth-Issue) Outside SAMA,, العملة المعدنية المتداولة خارج البنك المركزي حسب الفئات (الإصدار السادس),6b
,,,,
6c,Bank Notes in Circulation By Denomination (Sixth-Issue) Outside SAMA,,العملة الورقية المتداولة خارج البنك المركزي حسب الفئات (الإصدار السادس),6c
,,,,
7a,Monetary Survey -Assets ,,المسح النقدي - الموجودات ,7a
,,,,
7b,Monetary Survey - Liabilites,,المسح النقدي - المطلوبات ,7b
,,,,
8a,Balance Sheet of Saudi Central Bank - Assets,,المركز المالي للبنك المركزي السعودي - الموجودات ,8a
,,,,
8b,Balance Sheet of Saudi Central Bank - Liabilites,,المركز المالي للبنك المركزي السعودي - المطلوبات,8b
,,,,
9,Reserves Assets,,الأصول الإحتياطية,9
,,,,
10a,Consolidated Balance Sheet of Commercial Banks - Assets,,المركز المالي  الموحد  للمصارف التجارية - الموجودات ,10a
,,,,
10b,Consolidated Balance Sheet of Commercial Banks - Liabilities,,المركز المالي  الموحد للمصارف التجارية - المطلوبات ,10b
,,,,
11,Bank Deposits Distributed By Type,,الودائع المصرفية موزعة حسب النوع ,11
,,,,
12a,Bank Claims on Private Sector,, مطلوبات المصارف من القطاع الخاص  ,12a
,,,,
12b,Bank Claims on Public Sector,,مطلوبات المصارف من القطاع العام ,12b
,,,,
12c,Bank Credit Classified By Maturity,,الإئتمان المصرفي حسب الآجال ,12c
,,,,
12d,Commercial Bank Credit By Economic Activity,,الائتمان المصرفي الممنوح حسب النشاط الإقتصادي ,12d
,,,,
12e,Real Estate Loans By Banks,,القروض العقارية من المصارف التجارية ,12e
,,,,
12f,Residential New Mortgages Finance for individuals Provided by Banks,,التمويل العقاري السكني الجديد للأفراد المقدم من المصارف,12f
,,,,
13a,Consumer and Credit Card Loans ,,القروض الاستهلاكية وقروض البطاقات الائتمانية ,13a
,,,,
13b,Maturity Terms of Personal Loans,,فترات الاستحقاق للقروض الشخصية ,13b
,,,,
14,"Credit Facilities  Provided to Small, Medium and Micro Enterprises",,حجم التسهيلات المقدمة للمنشـآت الصغيرة والمتـوسطة ومتناهية الصغر,14
,,,,
15a,Islamic Banks indicators,,مؤشرات المصرفية الإسلامية,15a
,,,,
15b,Shariah-Compliant Financing Contracts,,عقود التمويل المتوافقة مع أحكام ومبادئ الشريعة,15b
,,,,
16, foreign Assets and Liabilities of Banks,,الموجودات والمطلوبات الأجنبية للمصارف ,16
,,,,
17,Offshore Riyal Positon of Commercial Banks,,العمليات الخارجية للمصارف التجارية بالريال,17
,,,,
18,Selected Ratios of Commercial Banks,,نسب مختارة للمصارف التجارية ,18
,,,,
19,Financial Soundness indicators for Banking Sector,,مؤشرات السلامة المالية للقطاع المصرفي,19
,,,,
