,,,,,,,,
القائمة الرئيسية   Main List,,,,,,,قائمة الإحصاءات النقدية والمالية       Money & Banking Stat. List,
,,,,,,,,
Table 1: Monetary Base,,,,,,,جدول 1: القاعدة النقدية,
(Million ﷼),,,,,,,(مليون ﷼),
نهاية الفترة,,النقد المتداول,النقد في,ودائع لدى البنك المركزي  Deposits with SAMA,,,القاعدة النقدية,
,,خارج المصارف,الصندوق,ودائع البنوك ,ودائع المؤسسات ,المجموع,Monetary ,
,,Currency,Cash in ,المحلية,المالية العامة,, Base,
End of Period,,Outside Banks,Vault,Deposits of Banks,Public Fin. Ins.,Total,(Reserve Money),
,,1,2,3,4,5 = 3 + 4,6 = 1 + 2 + 5,
1994,,44965.078410999995,2442.481,8280,5366,13646,61053.559410999995,
1995,,43087.202999999994,2463.885,8627,3135,11762,57313.087999999996,
1996,,43037.634999999995,2133.591,8976,5009,13985,59156.225999999995,
1997,,45823.203,2915.557,9501,5630,15131,63869.76,
1998,,45019.049000000006,2657.234,9856,5577,15433,63109.283,
1999,,55060.284999999996,5467.659,10515,1760,12275,72802.94399999999,
2000,,51019.457,5971.003,11213,3760,14973,71963.45999999999,
2001,,49203.422999999995,3453.207,12716,1980,14696,67352.63,
2002,,52329.208999999995,4891.561,14281,5908,20189,77409.76999999999,
2003,,55444.657999999996,4257.252,15472,3312,18784,78485.91,
2004,,60133.143000000004,4474.007,19100,8206,27306,91913.15,
2005,,64288.038,7200.962,21271,6371.4,27642.4,99131.4,
2006,,69324.101,12218.019,24402,8612.6,33014.6,114556.72,
2007,,72191.67300000001,10019.267,36277,5648,41925,124135.94,
2008,,83006.39199999999,11006.798,44698,4592,49290,143303.19,
2009,,88395.351,10856.269,50715.33315326,1777.8496316600001,52493.18278492,151744.80278492,
2010,,95519.84768499,15449.535,54976.4358592,5315.588960020001,60292.02481922,171261.40750421002,
2011,,119901.52640616,19944.527,63511.352629019995,7498.45827967,71009.81090869,210855.86431485,
2012,,133120.72828841,19691.189,70790.88478802,12026.59311084,82817.47789886,235629.39518727,
2013,,143140.03717765,23248.037,81901.44526349001,7788.502204439999,89689.94746793,256078.02164558,
2014,,153750.14311176,27141.949,92558.21105433001,9473.64349279,102031.85454712,282923.94665888,
2015-12-31T00:00:00,,168491.79047888,29420.302,98116.71562322999,4668.35829865,102785.07392187999,300697.16640075995,
2016-12-31T00:00:00,,170323.06883444,29666.38936651,97838.65477041001,4575.662944510001,102414.31771492,302403.77591587,
2017-12-31T00:00:00,,172046.35069519997,31310.60287368,97534.49527582001,1035.05006049,98569.54533631001,301926.49890519,
2018-12-31T00:00:00,,180132.44599683,30732.92690745,99942.62424247,806.57243413,100749.1966766,311614.56958088,
2019-12-31T00:00:00,,189160.26772414,29319.44217519,105469.77303161999,724.0172830299999,106193.79031464999,324673.50021398003,
2020-12-31T00:00:00,,206283.560385,27384.42056186,118539.02029291,444.11675722,118983.13705013001,352651.11799699004,
2021-12-31T00:00:00,,204366.04192211002,23131.09189783,128334.80563762,444.11356157,128778.91919919,356276.05301913,
2022-12-31T00:00:00,,199965.70505283002,22483.25877809,135861.80628237998,5845.39925734,141707.20553972,364156.16937064,
2023-12-31T00:00:00,,211884.8803785,22869.79649194,142041.652737,117.59177034,142159.24450734,376913.92137778,
2024-12-31T00:00:00,,229088.19631035,21337.40795991,155343.54783463,47.19547293,155390.74330756,405816.34757782,
2025-12-31T00:00:00,,241965.75771247002,23005.439478,166515.84040265996,0.00096324,166515.84136589995,431487.03855636995,
,,,,,,,,
Q1,2000,47690.352000000006,4131.558,10827.9,2009,12836.9,64658.810000000005,
Q2,2000,48298.585,3803.231,11214,1952.3,13166.3,65268.115999999995,
Q3,2000,46125.869000000006,3420.591,11182,2191.5,13373.5,62919.96000000001,
Q4,2000,51019.457,5971.003,11213,3760,14973,71963.45999999999,
Q1,2001,50095.584,3706.646,11702,2639,14341,68143.23000000001,
Q2,2001,49272.039,3744.161,12263,2938,15201,68217.2,
Q3,2001,46528.598,3240.852,12079,2635,14714,64483.45,
Q4,2001,49203.422999999995,3453.207,12716,1980,14696,67352.63,
Q1,2002,49154.153000000006,3127.047,12985,2542,15527,67808.20000000001,
Q2,2002,49257.453,3686.427,13628,1472,15100,68043.88,
Q3,2002,46996.861,4433.919,13728,1078,14806,66236.78,
Q4,2002,52329.208999999995,4891.561,14281,5908,20189,77409.76999999999,
Q1,2003,55544.399000000005,4589.811,16649,17355,34004,94138.21,
Q2,2003,54889.519,4249.461,15294,1535,16829,75967.98000000001,
Q3,2003,52233.157,4103.033,15511,2585,18096,74432.19,
Q4,2003,55444.657999999996,4257.252,15472,3312,18784,78485.91,
Q1,2004,56701.482,4017.858,16587,2560,19147,79866.34,
Q2,2004,57072.653999999995,4708.516,17364,2614,19978,81759.17,
Q3,2004,56038.276000000005,4092.484,18039,2790,20829,80959.76000000001,
Q4,2004,60133.143000000004,4474.007,19100,8206,27306,91913.15,
Q1,2005,58743.87299999999,5323.527,19638,1772,21410,85477.4,
Q2,2005,60156.39699999999,7388.543,21006,1543.7,22549.7,90094.63999999998,
Q3,2005,59591.729999999996,5907.83,20759,1004.4,21763.4,87262.95999999999,
Q4,2005,64288.038,7200.962,21271,6371.4,27642.4,99131.4,
Q1,2006,61031.89600000001,6746.034,23246,12212.4,35458.4,103236.33000000002,
Q2,2006,63512.05099999999,6803.069,23245,7236.5,30481.5,100796.62,
Q3,2006,62071.74200000001,8295.648,23460,5921.5,29381.5,99748.89000000001,
Q4,2006,69324.101,12218.019,24402,8612.6,33014.6,114556.72,
Q1,2007,65067.91400000001,8227.206,25189,5141.7,30330.7,103625.82,
Q2,2007,67010.43999999999,8141.52,26654,1217,27871,103022.95999999999,
Q3,2007,69103.571,10425.239,27904,436,28340,107868.81,
Q4,2007,72191.67300000001,10019.267,36277,5648,41925,124135.94,
Q1,2008,72398.341,10103.029,42984,616.4,43600.4,126101.76999999999,
Q2,2008,77597.312,11089.565,64133,3277,67410,156096.877,
Q3,2008,84326.015,16196.105,65000,4897,69897,170419.12,
Q4,2008,83006.39199999999,11006.798,44698,4592,49290,143303.19,
Q1,2009,82860.384,10626.866,46821,1312.8,48133.8,141621.05,
Q2,2009,85458.739,10289.401,48707,1447,50154,145902.14,
Q3,2009,88568.808,13425.952,49416.9,2836,52252.9,154247.66,
Q4,2009,88395.351,10856.269,50715.33315326,1777.8496316600001,52493.18278492,151744.80278492,
Q1,2010,89822.43005877998,11264.623,51229.35932193,1931.18451973,53160.54384166,154247.59690043997,
Q2,2010,92422.55834878,11685.507,52015.00487828,5478.91169595,57493.91657423,161601.98192301,
Q3,2010,95465.63755183,13696.426,52861.265793110004,5613.160054970001,58474.425848080005,167636.48939991003,
Q4,2010,95519.84768499,15449.535,54976.4358592,5315.588960020001,60292.02481922,171261.40750421002,
Q1,2011,106228.08105395001,15300.908,58540.92546593,11367.645575190001,69908.57104112,191437.56009507,
Q2,2011,116849.97777308001,16332.675,61471.107216129996,5790.4534633,67261.56067943,200444.21345251,
Q3,2011,120705.09973213999,16208.894,61373.41320589,4321.96391237,65695.37711826,202609.3708504,
Q4,2011,119901.52640616,19944.527,63511.352629019995,7498.45827967,71009.81090869,210855.86431485,
Q1,2012,122692.86451341,18065.818,68010.90789713,6446.189035490001,74457.09693262,215215.77944602998,
Q2,2012,125605.75844218,20125.321,68257.63588423001,7977.26689955,76234.90278378001,221965.98222596,
Q3,2012,130143.21903666,19658.181,69193.33392306,4630.99981137,73824.33373443,223625.73377109,
Q4,2012,133120.72828841,19691.189,70790.88478802,12026.59311084,82817.47789886,235629.39518727,
Q1,2013,135305.73502887,21015.616,75254.04315352,5682.7559946,80936.79914812,237258.15017699002,
Q2,2013,138842.91246035,22523.824,79614.02677366,4788.66786807,84402.69464173,245769.43110207998,
Q3,2013,139043.20607018,24923.766,79647.88161683,8305.495572799999,87953.37718963,251920.34925981,
Q4,2013,143140.03717765,23248.037,81901.44526349001,7788.502204439999,89689.94746793,256078.02164558,
Q1,2014,146656.71354123,24883.577,86360.10275332001,12295.597182110001,98655.69993543,270195.99047666,
Q2,2014,151494.47654171,27057.609,90368.71933227,12781.66972028,103150.38905255,281702.47459426,
Q3,2014,158033.85283291,32600.768,91097.27902265,10254.49036318,101351.76938582999,291986.39021874,
Q4,2014,153750.14311176,27141.949,92558.21105433001,9473.64349279,102031.85454712,282923.94665888,
Q1,2015,166589.37775913,27398.172,97377.77092102,9349.238401199998,106727.00932222,300714.55908135,
Q2,2015,174016.5636936,31891.409,100818.78861814999,6621.693820109999,107440.48243825999,313348.45513186,
Q3,2015,175145.86631435,37137.404,99755.557908,8797.88909458,108553.44700258,320836.71731693,
Q4,2015,168491.79047888,29420.302,98116.71562322999,4668.35829865,102785.07392187999,300697.16640075995,
Q1,2016,169233.5330036,30513.258229249997,95979.6919818,2444.57690326,98424.26888506001,298171.06011791003,
Q2,2016,181801.6594786,42736.51633767,95732.36443761,1247.0778448499998,96979.44228246,321517.61809873,
Q3,2016,173468.07739563,34193.09019855,94445.05250044,2295.2062299,96740.25873033999,304401.42632452,
Q4,2016,170323.06883444,29666.38936651,97838.65477041001,4575.662944510001,102414.31771492,302403.77591587,
Q1,2017,169762.96960108,29890.99989309,96152.85591025,6885.7001181099995,103038.55602836,302692.52552252996,
Q2,2017,184276.19897168,39117.479568920004,98715.12581249,579.88919763,99295.01501012,322688.69355072,
Q3,2017,170609.52780694998,32696.98594111,98964.6498102,6651.224390779999,105615.87420098,308922.38794904,
Q4,2017,172046.35069519997,31310.60287368,97534.49527582001,1035.05006049,98569.54533631001,301926.49890519,
Q1,2018,180821.62861363002,31684.78249323,98713.77267919,674.10817413,99387.88085332,311894.29196018004,
Q2,2018,189861.89484327,36062.97439868,98861.96848573,1855.9693029300001,100717.93778866,326642.80703061004,
Q3,2018,178997.72355044002,32456.172217080002,98414.47652094,1628.33381954,100042.81034048,311496.706108,
Q4,2018,180132.44599683,30732.92690745,99942.62424247,806.57243413,100749.1966766,311614.56958088,
Q1,2019,184719.10812617,29840.92620551,100444.1471077,5350.29633535,105794.44344305,320354.47777473,
Q2,2019,190809.98193501,33079.15777897,101213.36567384998,855.21769085,102068.58336469998,325957.72307868,
Q3,2019,188213.70171782997,29715.40181661,103285.55073101999,738.93924646,104024.48997747999,321953.59351191996,
Q4,2019,189160.26772414,29319.44217519,105469.77303161999,724.0172830299999,106193.79031464999,324673.50021398003,
Q1,2020,198554.91404857003,34158.62720782,107459.92981541001,518.83380107,107978.76361648,340692.30487287004,
Q2,2020,208584.81825026002,32247.600741590002,112974.48485988,453.93770213,113428.42256201,354260.84155386005,
Q3,2020,206931.15328828,29134.69716598,115001.63955568,459.59946647,115461.23902215001,351527.08947641,
Q4,2020,206283.560385,27384.42056186,118539.02029291,444.11675722,118983.13705013001,352651.11799699004,
Q1,2021,206970.44325522002,26273.62927201,121412.63917883999,451.18782633,121863.82700517,355107.8995324,
Q2,2021,208648.15258485003,27396.168902139998,125064.75578211,477.27071322,125542.02649533,361586.34798232,
Q3,2021,204414.59086529,24443.10816692,128232.88785613001,444.04195406,128676.92981019,357534.62884240004,
Q4,2021,204366.04192211002,23131.09189783,128334.80563762,444.11356157,128778.91919919,356276.05301913,
Q1,2022,205371.37972904003,23870.86256225,126858.36713139,444.19339304000005,127302.56052443,356544.80281572003,
Q2,2022,206421.14705046,25170.99891584,130735.00354928999,444.67135654000003,131179.67490583,362771.82087213,
Q3,2022,199405.75887122002,23313.08823941,131151.77425929002,444.89245811,131596.66671740002,354315.51382803003,
Q4,2022,199965.70505283002,22483.25877809,135861.80628237998,5845.39925734,141707.20553972,364156.16937064,
Q1,2023,207552.70111986,24280.73573222,135318.39558177,8439.888202279999,143758.28378405,375591.72063612996,
Q2,2023,220840.75538973,26102.76491915,139681.58004628,446.48703092,140128.0670772,387071.58738608,
Q3,2023,207977.63003381,23684.37537401,141217.54605056997,447.06889773,141664.61494829998,373326.62035612,
Q4,2023,211884.8803785,22869.79649194,142041.652737,117.59177034,142159.24450734,376913.92137778,
Q1,2024,227490.77005046,24695.46430683,147242.086972,45.157741789999996,147287.24471379,399473.47907108004,
Q2,2024,229187.03391492998,25534.70425318,148733.65830683,45.84173322,148779.50004004998,403501.23820816,
Q3,2024,224781.67146168998,21610.20132737,152767.56468442,46.550351240000005,152814.11503566,399205.98782472,
Q4,2024,229088.19631035,21337.40795991,155343.54783463,47.19547293,155390.74330756,405816.34757782,
Q1,2025,251534.70336374,24092.45050285,160284.14177528,47.81802304,160331.95979832,435959.11366490996,
Q2,2025,244311.08135188997,23577.881872230002,165487.34310072,98.3727583,165585.71585901998,433474.6790831399,
Q3,2025,237340.87662348003,22268.827325,165504.78634817,0.00189225,165504.78824042,425114.49218890007,
Q4,2025,241965.75771247002,23005.439478,166515.84040265996,0.00096324,166515.84136589995,431487.03855636995,
,,,,,,,,
2000-01-31T00:00:00,,47642.835,4104.129,10510.5,870,11380.5,63127.464,
2000-02-29T00:00:00,,47924.169,3638.014,10824.6,4133,14957.6,66519.78300000001,
2000-03-31T00:00:00,,47690.352000000006,4131.558,10827.9,2009,12836.9,64658.810000000005,
2000-04-30T00:00:00,,47281.484000000004,3879.367,11039.2,2464,13503.2,64664.05100000001,
2000-05-31T00:00:00,,49421.842,3763.158,11254.2,3448.9,14703.1,67888.1,
2000-06-30T00:00:00,,48298.585,3803.231,11214,1952.3,13166.3,65268.115999999995,
2000-07-31T00:00:00,,46871.854999999996,3818.315,11347,3001.4,14348.4,65038.57,
2000-08-31T00:00:00,,46081.112,3600.408,11211.2,2442.6000000000004,13653.800000000001,63335.32000000001,
2000-09-30T00:00:00,,46125.869000000006,3420.591,11182,2191.5,13373.5,62919.96000000001,
2000-10-31T00:00:00,,46439.776,3234.764,11230.6,2104.2,13334.8,63009.34,
2000-11-30T00:00:00,,47311.512,3684.248,11128.3,2769.6000000000004,13897.9,64893.66,
2000-12-31T00:00:00,,51019.457,5971.003,11213,3760,14973,71963.45999999999,
