,,,,,,,,,,,,
القائمة الرئيسية   Main List,,,,,,,,,,,قائمة الإحصاءات النقدية والمالية       Money & Banking Stat. List,
,,,,,,,,,,,,
Table 10b: Consolidated Balance Sheet of Commercial Banks - Liabilities *,,,,,,,,,,,جدول 10b:  المركز المالي  الموحـــــــد  للمـــــصـــــــارف الـتـجـــــاريـــة - الـمـطــلــوبـــــــات *,
(Million ﷼),,,,,,,,,,,(مليون ﷼),
نهاية الفترة,,مجموع,المطـلوبات,Capital Accounts            حســاب رأس المــال,,,,مطلوبات ,**اتفاقيات ,مطـلوبـات,إجمالي,
,,الودائع,الأجنبية,المجموع,الإحتياطيات,رأس المال,***(أرباح الفترة (تراكمي,ما بين المصارف,إعادة الشراء,أخــرى,المطـلوبات,
End of Period,,Total,Foreign,,,,Period Profits,Inter Bank,Repos**,Other,Total,
,,Deposits,Liabilities,Total,Reserves,Capital ,(Cumulative)***,Liabilities,,Liabilities,Liabilities,
1993,,185799.95799999998,37292.09299999999,34480.971000000005,13992.779,16200,4288.192,16633.772,708.105,45839.42399999999,320754.32300000003,320754.32300000003
1994,,191265.847,39150.438,36961.933999999994,13613.094,19700,3648.84,17769.406000000003,490.212,46593.334,332231.1709999999,332231.1709999999
1995,,198681.707,39677.854,39254.61,14826.860999999999,19900,4527.749,18826.479,644.9,44072.344,341157.894,341157.894
1996,,215284.925,38653.283,43003.90000000001,14793.223000000002,22090,6120.677,18159.327,1388.31,41457.66299999999,357947.408,357947.40799999994
1997,,226725.60599999997,46043.90000000001,44873.572,15713.845000000001,22640,6519.727,14894.610999999999,1648.054,47601.702999999994,381787.446,381787.446
1998,,238237.282,43104.975,47598.981,16447.419,23812,7339.562,14027.568,2271.142,59065.648,404305.59599999996,404305.59599999996
1999,,250385.62700000004,51152.852,48692.134999999995,19310.153,23028,6353.982,10585.025,2001.633,52410.409,415227.6810000001,415227.6810000001
2000,,267969.85199999996,64443.763,52380.261999999995,20144.664,23380,8855.598,17036.494000000002,3302.89,48139.028999999995,453272.2899999999,453272.2899999999
2001,,290779.44800000003,59614.025,53846.674,19912.777000000002,23880,10053.896999999999,13292.048,4432.816,50466.17100000001,472431.18200000003,472431.18200000003
2002,,337879.354,42998.866,57854.164000000004,22802.903,24495,10556.261,10458.794,5652.353,53393.767000000014,508237.298,508237.298
2003,,361662.12399999995,40063.409999999996,59181.00399999999,22078.261999999995,24945,12157.742,14573.967,8226.246,61500.97499999999,545207.726,545207.726
2004,,435534.782,45747.669,68811.606,24165.071999999996,28072.5,16574.034,24468.778000000002,9983.677,70835.395,655381.9070000001,655381.9070000001
2005,,489059.895,65039.725999999995,92219.69999999998,31132.255,35476.165,25611.280000000002,17081.254,5952.014,89722.85099999998,759075.44,759075.44
2006,,590943.952,59198.539000000004,114611.9,32835.805,47111.25,34664.845,16731.309,2452.724,77149.988,861088.412,861088.412
2007,,717563.815,105212.69299999998,136289.749,39544.34,66481.16,30264.249,20831.738999999998,5293.601,90029.13699999999,1075220.7340000002,1075220.7340000002
2008,,846118.179,112465.985,161749.891,46550.651000000005,85271,29928.239999999998,28520.697000000004,36777.872,116638.688,1302271.3120000002,1302271.3120000002
2009,,940548.4299999999,99682.954,190471.78,59602.615,104039.643,26829.522,32409.057999999997,4631.09,102514.794,1370258.106,1370258.106
2010,,984849.944,94705.745,204144.389,73984.991,104039.643,26119.755,16407.627,8475.831,106683.587,1415267.1230000001,1415267.1230000001
2011,,1119643.919,81563.31,220275.088,82185.106,107358.39,30731.592,16979.963,6499.422,123693.85200000001,1568655.5540000002,1544433.9690000005
2012,,1274952.772,88112.108,242784.686,96357.479,113027.926,33399.281,19996.216999999997,10342.334,123668.88,1759856.9970000004,1734141.478
2013,,1417930.407,83822.047,261187.509,111629.933,114027.926,35529.65,19381.262000000002,6892.537,132549.416,1921763.1780000003,1893283.2090000003
2014,,1588139.04,105119.075,287696.65,102532.522,145085.119,40079.009,19186.504999999997,9441.778,152961.898,2162544.9460000005,2132576.5140000004
2015-12-31T00:00:00,,1617090.273,99986.571,312838.27,109880.262,160537.679,42420.329,32726.721,1712.483,168900.029,2233254.3470000005,2208768.3819999998
2016-12-31T00:00:00,,1629384.61526081,96101.0824317776,338789.9832698901,130639.42445746,167753.039,40397.51981243,34095.943209997095,1857.631,188771.819822993,2289001.074995468,
2017-12-31T00:00:00,,1633125.02193909,119186.08941118,360924.7445565565,147614.37162700001,169453.039,43857.333929556495,43477.19911772,705.404,193472.35157965004,2350890.810604196,
2018-12-31T00:00:00,,1673512.92585707,110933.26644153001,351586.83078817,121054.32027088,182384.289,48148.22151729,39055.909,471.749,222585.82481184,2398146.50589861,
2019-12-31T00:00:00,,1795979.1838346,173154.83832517,393290.91693213,143724.36820293,199251.514,50315.0347292,22463.254999999997,2931.618,243308.57533878,2631128.3874306805,
2020-12-31T00:00:00,,1942983.506445473,182066.02250321797,415799.345200877,172790.983090017,204307.764,38700.598110859995,28378.133721956998,1250.672,409147.5744296609,2979625.254301187,
2021-12-31T00:00:00,,2104453.9135196,225726.74116967001,473399.77316566,220436.84903145,199087.764,53875.16013421,47296.073,13.327,426956.23416194995,3277846.0620168797,
2022-12-31T00:00:00,,2295406.310874,202529.814525,507000.08164900006,218452.645709,219275.292,69272.14394,92691.57494199998,2885.029,520436.416754,3620949.227744,
2023-12-31T00:00:00,,2473458.34533119,274703.45267190004,540967.5609799807,229075.29731218,234495.292,77396.9716678006,102311.33551,2549.254,563034.5007623982,3957024.449255469,
2024-12-31T00:00:00,,2692384.1230183803,410840.1064635375,589069.1917302149,235480.23059746524,264491.692,89097.26913274958,135428.50999999998,40751.275,625677.4897653677,4494150.6959775,
2025-12-31T00:00:00,,2925812.2141662017,622809.1252733461,645878.9556521557,272960.05107527,269554.692,103364.21257688565,118082.93699999999,40318.169,605203.7179147222,4958105.119006426,
,,,,,,,,,,,,
Q1,1993,186828.6,42064.114,28108.36,17224.8,9630.225,1253.335,18773.032000000003,1260.864,43302.255000000005,320337.22500000003,320337.22500000003
Q2,1993,193329.469,47625.804000000004,29124.869000000002,16624.8,10230.225,2269.844,17473.349,776.435,41577.084,329907.01,329907.01
Q3,1993,194260.511,38653.009000000005,30465.693000000003,16624.8,10230.225,3610.668,23806.111,616.543,41907.16200000001,329709.02900000004,329709.02900000004
Q4,1993,185799.95799999998,37292.09299999999,34480.971000000005,13992.779,16200,4288.192,16633.772,708.105,45839.42399999999,320754.32300000003,320754.32300000003
Q1,1994,186874.407,37218.055,33967.265999999996,16753.049000000003,16200,1014.217,19802.587,924.852,42080.665,320867.83200000005,320867.83200000005
Q2,1994,188616.80700000003,36574.65,35030.552,13567.634999999998,19400,2062.917,22443.99,788.85,42115.591,325570.44000000006,325570.44000000006
Q3,1994,190094.092,35684.608,36502.655999999995,13477.633999999998,19490,3535.022,19473.842,1018.15,45108.379,327881.727,327881.727
Q4,1994,191265.847,39150.438,36961.933999999994,13613.094,19700,3648.84,17769.406000000003,490.212,46593.334,332231.1709999999,332231.1709999999
Q1,1995,195502.485,42452.126,35604.884999999995,14651.753,19700,1253.132,20815.166,208.212,47069.666,341652.5399999999,341652.5399999999
Q2,1995,198534.459,43146.935999999994,37085.070999999996,14454.096,19900,2730.975,21229.954,462,54929.196,355387.61600000004,355387.61600000004
Q3,1995,197449.415,41365.388,38708.218,14454.096,19900,4354.122,19328.998,251,47146.799,344249.81799999997,344249.81799999997
Q4,1995,198681.707,39677.854,39254.61,14826.860999999999,19900,4527.749,18826.479,644.9,44072.344,341157.894,341157.894
Q1,1996,201593.587,39577.87500000001,37687.880000000005,15513.224000000002,20650,1524.656,19691.268,535.9,47277.758,346364.268,346364.268
Q2,1996,205997.20500000002,36011.41700000001,39772.047000000006,14793.224000000002,22090,2888.8230000000003,17420.659,537,43811.742999999995,343550.071,343550.071
Q3,1996,208365.42,45242.515,41183.147000000004,14793.224000000002,22090,4299.923,18565.128999999997,287,43724.44000000001,357367.651,357367.651
Q4,1996,215284.925,38653.283,43003.90000000001,14793.223000000002,22090,6120.677,18159.327,1388.31,41457.66299999999,357947.408,357947.408
Q1,1997,222611.20500000002,45974.935999999994,40576.11800000001,16536.197,22390,1649.921,14951.21,1847.413,44041.79099999999,370002.67300000007,370002.67300000007
Q2,1997,222322.882,46408.585,42210.155000000006,16382.226999999999,22390,3437.928,13356.025000000001,1759.163,48767.509000000005,374824.319,374824.319
Q3,1997,221703.39500000002,43142.88900000001,44083.672000000006,16216.422,22640,5227.25,15014.243,1879.02,45109.748999999996,370932.9680000001,370932.9680000001
Q4,1997,226725.60599999997,46043.90000000001,44873.572,15713.845000000001,22640,6519.727,14894.610999999999,1648.054,47601.702999999994,381787.446,381787.446
Q1,1998,228128.457,45119.32900000001,42183.702,16547.420000000002,23812,1824.2820000000002,15041.452,2374.085,53185.03999999999,386032.06500000006,386032.06500000006
Q2,1998,233160.63400000002,46089.61800000001,44063.538,16547.420000000002,23812,3704.118,16392.73,2217.751,51385.369000000006,393309.64,393309.64
Q3,1998,231104.843,46518.337999999996,45949.958,16547.420000000002,23812,5590.538,14360.124000000002,2276.8019999999997,59447.594,399657.659,399657.659
Q4,1998,238237.282,43104.975,47598.981,16447.419,23812,7339.562,14027.568,2271.142,59065.648,404305.59599999996,404305.59599999996
Q1,1999,240089.231,49414.635,44300.135,18609.605,23878,1812.53,12153.193999999998,1687.39,58810.281,406454.866,406454.866
Q2,1999,240087.065,47452.369,45967.6,18252.96,23878,3836.64,15258.404,1469.098,54542.058000000005,404776.594,404776.594
Q3,1999,241465.135,50198.642,46856.907999999996,19949.114999999998,22181.846,4725.947,23750.692000000003,1899.563,45153.211,409324.151,409324.151
Q4,1999,250385.62700000004,51152.852,48692.134999999995,19310.153,23028,6353.982,10585.025,2001.633,52410.409,415227.6810000001,415227.6810000001
Q1,2000,256225.94799999997,57469.176999999996,45306.232,19950.04,23380,1976.192,19092.278,2055.935,46376.068,426525.63800000004,426525.63800000004
Q2,2000,262245.66000000003,57290.176999999996,47656.633,19949.579999999998,23380,4327.053,18089.069000000003,1569.098,41900.259,428750.89600000007,428750.89600000007
Q3,2000,262316.345,60682.808999999994,49924.553,19949.579999999998,23380,6594.973,17062.456000000002,2018.112,48328.475999999995,440332.75100000005,440332.75100000005
Q4,2000,267969.85199999996,64443.763,52380.261999999995,20144.664,23380,8855.598,17036.494000000002,3302.89,48139.028999999995,453272.2899999999,453272.2899999999
Q1,2001,275379.79600000003,55026.479,47835.10999999999,21524.506,23880,2430.604,15070.659000000001,3633.908,52293.458999999995,449239.411,449239.411
