,,,,,,,
القائمة الرئيسية   Main List,,,,,,قائمة الإحصاءات النقدية والمالية       Money & Banking Stat. List,
,,,,,,,
Table 12a: Bank Claims on Private Sector,,,,,,جدول 12a: مطلوبات المصــــارف من القطــــاع الخـــاص ,
(Million ﷼),,,,,,(مليون ﷼),
نهاية الفترة,,ائتمان مصرفي,,,,,
,,Bank Credit ,,,استثمارات في,الإجمالي,
,,قروض وسلف,كمبيالات,المجموع,أوراق مالية خاصة,,
End of Period,,وسحوبات على المكشوف,مخصومة,,Investments in,Grand,
,,"Loans, Advances",Bills,Total,Private Securities,Total,
,,& Overdrafts,Discounted,,,,
1993,,92539.565,4902.757,97442.322,4489.71,101932.032,
1994,,102473.113,4652.379,107125.492,6066.076,113191.568,
1995,,109559.417,3847.483,113406.9,7745.947,121152.847,
1996,,113066.8,3853.2,116920,6626.7,123546.7,
1997,,124773.733,3579.158,128352.891,5331.079,133683.97,
1998,,152204.149,3024.671,155228.82,5426.02,160654.84,
1999,,148921.674,3053.713,151975.387,10214.427,162189.814,
2000,,156821.772,4272.621999999999,161094.394,11143.665,172238.059,
2001,,171575.09699999998,5227.832,176802.92899999997,10261.192,187064.12099999998,
2002,,191539.763,7157.454,198697.217,7132.259000000001,205829.476,
2003,,211046.981,10076.012999999999,221122.994,7363.255999999999,228486.25,
2004,,288068.669,14929.746,302998.415,10929.464,313927.87899999996,
2005,,409732.515,11095.814,420828.329,15097.442,435925.771,
2006,,451874.875,10227.648000000001,462102.523,13916.984,476019.507,
2007,,549884.496,7520.965999999999,557405.462,20476.472999999998,577881.935,
2008,,703617.181,9119.445,712736.6259999999,21820.436999999998,734557.063,
2009,,701706.3579999999,7062.976000000001,708769.3339999999,25467.554,734236.8879999999,
2010,,735009.7729999999,8047.272,743057.0449999999,32698.685999999998,775755.7309999999,
2011,,819038.049,9867.365,828905.414,34320.171,863225.585,
2012,,958917.254,9489.315,968406.569,39108.456,1007515.025,
2013,,1074632.526,10913.338,1085545.864,47634.076,1133179.94,
2014,,1208452.174,10339.968,1218792.142,51688.886,1270481.028,
2015-12-31T00:00:00,,1320963.266,14648.143,1335611.409,49246.986,1384858.395,
2016-12-31T00:00:00,,1349517.37684425,14091.5976,1363608.9744442499,54311.11689566001,1417920.09133991,
2017-12-31T00:00:00,,1338555.23137677,12572.008,1351127.23937677,54083.13370043,1405210.3730772,
2018-12-31T00:00:00,,1375627.50258274,13312.273,1388939.77558274,56312.245,1445252.0205827402,
2019-12-31T00:00:00,,1477979.67194744,12853.223199999999,1490832.89514744,55686.02,1546518.91514744,
2020-12-31T00:00:00,,1690315.717910301,13116.772,1703432.489910301,59007.557,1762440.046910301,
2021-12-31T00:00:00,,1948981.4303,15165.863,1964147.2933,69937.874,2034085.1673,
2022-12-31T00:00:00,,2205599.88148991,15609.511173,2221209.39266291,68371.220163,2289580.6128259096,
2023-12-31T00:00:00,,2418230.1530493004,18765.285,2436995.4380493,81791.02872599999,2518786.4667753,
2024-12-31T00:00:00,,2729221.33687369,23231.83,2752453.16687369,102893.456,2855346.62287369,
2025-12-31T00:00:00,,3017480.5853122566,22099.328808529997,3039579.914120787,107840.03,3147419.9441207866,
,,,,,,,
