,,,,,
القائمة الرئيسية   Main List,,,,,قائمة الإحصاءات النقدية والمالية       Money & Banking Stat. List
,,,,,
Table 12c: Bank Credit Classified by Maturity,,,,,جدول 12c: الائتمان المصرفي حسب الآجال
(Million ﷼),,,,,(مليون ﷼)
نهاية الفترة,,قصير الاجل,متوسط الاجل,طويل الاجل,المجموع
End of Period ,,Short Term,Medium Term,Long Term,Total
1995,,119379.347,10305.215,8174.679,137859.241
1996,,106007.9,15649.7,11965.6,133623.2
1997,,116174.066,22264.097,10775.461,149213.624
1998,,134153.375,27157.452,17517.034,178827.861
1999,,116622.043,27280.743,22419.982,166322.768
2000,,114858.275,32049.186,26625.735,173533.196
2001,,113453.455,31950.763,42215.674,187619.892
2002,,124577.967,31646.367,54432.906,210657.24
2003,,146039.551,37757.587,63170.056,246967.19400000002
2004,,192481.048,42990.479,96664.473,332136
2005,,250841.242,53495.266,148164.246,452500.7540000001
2006,,276231.63,64633.334,156202.179,497067.14300000004
2007,,347592.757,83210.381,164036.794,594839.932
2008,,476606.182,104609.949,163585.944,744802.075
2009,,449633.565,117154.738,170116.798,736905.101
2010,,456160.174,126832.936,192348.512,775341.622
2011,,488680.423,136773.561,235403.386,860857.37
2012,,541872.285,201746.554,264492.902,1008111.741
2013,,609811.376,212454.775,307633.571,1129899.722
2014,,632117.409,238505.067,394257.528,1264880.004
2015-12-31T00:00:00,,694240.564,242437.535,437919.464,1374597.563
2016-12-31T00:00:00,,711226.9603172409,266524.428102953,441193.456471761,1418944.844891955
2017-12-31T00:00:00,,701233.224745447,267154.514792103,436562.39967556,1404950.1392131099
2018-12-31T00:00:00,,714927.0503750265,227911.3701134525,499866.83495486,1442705.255443339
2019-12-31T00:00:00,,683214.98919258,234624.91,634639.00595486,1552478.90514744
2020-12-31T00:00:00,,698110.197143175,260837.697585433,823642.178181693,1782590.072910301
2021-12-31T00:00:00,,771562.11530985,269365.5023234833,1018292.3706666668,2059219.9882999999
2022-12-31T00:00:00,,873392.3911694699,290352.98741943995,1185325.636485,2349071.01507391
2023-12-31T00:00:00,,929931.0689689501,398219.49565837,1255547.57054498,2583698.1351723005
2024-12-31T00:00:00,,1071740.54374647,444426.47574193,1439383.0313859999,2955550.0508744
2025-12-31T00:00:00,,1250506.1907829645,440034.9151000531,1605634.944237769,3296176.0501207868
,,,,,
Q1,1996,112552.43,15741.79,10412.07,138706.29
Q2,1996,108694.03,15849.37,9957.07,134500.47
Q3,1996,107062.9,17907.2,13509.7,138479.8
Q4,1996,106007.9,15649.7,11965.6,133623.2
