,,,,,
القائمة الرئيسية   Main List,,,,قائمة الإحصاءات النقدية والمالية       Money & Banking Stat. List,
,,,,,
Table 12e: Real Estate Loans by Banks,,,,جدول 12e: القروض العقارية من المصارف التجارية ,
(Million ﷼),,,,(مليون ﷼),
نهاية الفترة,,الأفراد,الشركات,الإجمالي,
End of Period,,Retail,Corporate,Total,
2009,,28211,25534.4,53745.4,
2010,,32978,26990,59968,
2011,,42314,27897,70211,
2012,,53576,34448,88024,
2013,,70648,44920,115568,
2014,,94562,61191,155753,
2015-12-31T00:00:00,,102503,82799,185302,
2016-12-31T00:00:00,,110484,89918,200402,
2017-12-31T00:00:00,,121248.785,89743.584,210992.369,
2018-12-31T00:00:00,,140276.139,98267.964,238544.103,
2019-12-31T00:00:00,,198099.618,99272.328,297371.946,
2020-12-31T00:00:00,,315198.729,113212.49,428411.219,
2021-12-31T00:00:00,,445754.207,123101.899,568856.106,
2022-12-31T00:00:00,,549779.821,138053.023,687832.844,
2023-12-31T00:00:00,,607220.445,160049.899,767270.3439999999,
2024-12-31T00:00:00,,681240.457,202038.117,883278.574,
2025-12-31T00:00:00,,729955.016,221347.401,951302.4169999999,
,,,,,
Q1,2009,18167,25694,43861,
Q2,2009,23708,26076.4,49784.4,
Q3,2009,25341,26052.4,51393.4,
Q4,2009,28211,25534.4,53745.4,
Q1,2010,26452,25408.4,51860.4,
Q2,2010,28729,26431.2,55160.2,
Q3,2010,31166.000000000004,25857.6,57023.600000000006,
Q4,2010,32978,26989.6,59967.6,
Q1,2011,34064,27176.4,61240.4,
Q2,2011,37510,28724.800000000003,66234.8,
Q3,2011,40199,29205,69404,
Q4,2011,42314,27897,70211,
Q1,2012,45576,31632,77208,
Q2,2012,47744,32678,80422,
Q3,2012,48946,36163,85109,
Q4,2012,53576,34448,88024,
Q1,2013,58203,35622,93825,
Q2,2013,64017,43430,107447,
Q3,2013,66542,42274,108816,
Q4,2013,70648,44920,115568,
Q1,2014,77068,47533,124601,
Q2,2014,84673,54100,138773,
Q3,2014,88768,60380,149148,
Q4,2014,94562,61191,155753,
Q1,2015,95881,65844,161725,
Q2,2015,98448,68450,166898,
Q3,2015,100546,71024,171570,
Q4,2015,102503,82799,185302,
Q1,2016,106292,82240,188532,
Q2,2016,108418,78634,187052,
Q3,2016,109482,88104,197586,
Q4,2016,110484,89918,200402,
Q1,2017,111602,93054,204656,
Q2,2017,115021,96853,211874,
Q3,2017,117171.156,96465.086,213636.242,
Q4,2017,121248.785,89743.584,210992.369,
Q1,2018,124723.618,92097.738,216821.356,
Q2,2018,128277.599,87307.837,215585.436,
Q3,2018,132059.654,95290.198,227349.852,
Q4,2018,140276.139,98267.964,238544.103,
Q1,2019,150893.473,97124.044,248017.517,
Q2,2019,162496.087,96684.423,259180.51,
Q3,2019,176682.15,99216.077,275898.227,
Q4,2019,198099.618,99272.328,297371.946,
Q1,2020,225090.862,104180.748,329271.61,
Q2,2020,250287.497,109608.161,359895.658,
Q3,2020,279231.132,112913.563,392144.69499999995,
Q4,2020,315198.729,113212.49,428411.219,
Q1,2021,358006.559,116513.566,474520.125,
Q2,2021,384668.341,118066.764,502735.105,
Q3,2021,412601.935,120847.83,533449.765,
Q4,2021,445754.207,123101.899,568856.106,
Q1,2022,476162.419,129351.04,605513.459,
Q2,2022,503224.534,135043.165,638267.699,
Q3,2022,529568.098,133117.33,662685.428,
Q4,2022,549779.821,138053.023,687832.844,
Q1,2023,566904.066,139049.42,705953.486,
Q2,2023,582345.746,148933.14,731278.886,
Q3,2023,591700.381,155502.421,747202.802,
Q4,2023,607220.445,160049.899,767270.3439999999,
Q1,2024,625239.551,175224.718,800464.269,
Q2,2024,639526.279,175118.716,814644.995,
Q3,2024,656881.443,189598.544,846479.987,
Q4,2024,681240.457,202038.117,883278.574,
Q1,2025,698760.249,211172.628,909932.877,
Q2,2025,716455.58,213697.964,930153.544,
Q3,2025,726149.041,211848.512,937997.553,
Q4,2025,729955.016,221347.401,951302.4169999999,
