,,,,,,,
القائمة الرئيسية   Main List,,,,,,قائمة الإحصاءات النقدية والمالية       Money & Banking Stat. List,
,,,,,,,
Table 12f: Residential New Mortgages Finance for Individuals Provided by Banks,,,,,,جدول 12f: التمويل العقاري السكني الجديد للأفراد المقدم من المصارف,
,,,,,,,
الفترة,,إجمالي عدد العقود ,الفلل,الشقق ,الأراضي ,حجم التمويل,
,,,,,,,
Period,,Total Number of Contracts ,Houses ,Apartments,Land,Total,
,,, (Million SAR مليون ريال ),,,,
2016-12-31T00:00:00,,20132,---,---,---,14929.584387619001,
2017-12-31T00:00:00,,28469,---,---,---,18922.87238819,
2018-12-31T00:00:00,,46820,21971.682910479998,3407.85662308,2361.59973878,27741.13927234,
2019-12-31T00:00:00,,135779,56515.870200538,11307.236456632,11139.606007728,78962.712664898,
2020-12-31T00:00:00,,225073,93260.95678001893,21915.32620628,35609.15735851491,150785.4403448138,
2021-12-31T00:00:00,,201481,96192.51772596402,28400.79096626,27947.859146161798,152541.1678383858,
2022-12-31T00:00:00,,154392,83968.96018895997,27239.317463019997,9065.720542639,120273.99819461895,
2023-12-31T00:00:00,,102853,53333.23847339598,20245.232361520702,4160.9299697120005,77739.40080462869,
2024-12-31T00:00:00,,122302,58299.64750101002,28085.058674597,4677.404864639999,91062.11104024701,
2025-12-31T00:00:00,,108795,51438.658978347994,24304.081324469003,4675.95899369,80418.699296507,
,,,,,,,
Q1,2016,6605,---,---,---,5378.709918629,
Q2,2016,5704,---,---,---,4129.91281286,
Q3,2016,4186,---,---,---,2864.2686607100004,
Q4,2016,3637,---,---,---,2556.69299542,
Q1,2017,5474,---,---,---,3701.326399,
Q2,2017,6876,---,---,---,4687.01860037,
Q3,2017,7196,---,---,---,4703.02451546,
Q4,2017,8923,---,---,---,5831.50287336,
Q1,2018,9228,4643.16183818,862.49289535,462.21012171999996,5967.86485525,
Q2,2018,9276,4671.20645727,614.7244182000001,404.40504870000007,5690.33592417,
Q3,2018,10263,4704.24131489,524.79399021,420.5265979,5649.561903,
Q4,2018,18053,7953.073300139999,1405.8453193199998,1074.45797046,10433.37658992,
Q1,2019,25596,10959.37043443,2161.4688565399997,1619.7150022,14740.55429317,
Q2,2019,28046,11921.38512254,2276.84417099,1873.08130544,16071.310598970002,
Q3,2019,33604,13851.69339189,2783.37325929,2858.1751098779996,19493.241761058,
Q4,2019,48533,19783.421251678,4085.550169812,4788.63459021,28657.6060117,
Q1,2020,56134,21733.864831508,4669.948318889999,8206.64121861549,34610.4543690135,
Q2,2020,47089,20852.06393333224,4290.00628525,6637.908476091,31779.978694673202,
Q3,2020,56048,22570.57290599,5846.32758505,8736.57951806,37153.4800091,
Q4,2020,65802,28104.455109188704,7109.04401709,12028.02814574842,47241.527272027095,
Q1,2021,65667,28932.6050154475,8315.99007956,11802.1418065778,49050.7369015853,
Q2,2021,42693,18027.5782542225,6138.06018607,8657.556326909998,32823.1947672025,
Q3,2021,45405,20634.351208235,7216.018111465,6303.190636905,34153.559956605,
Q4,2021,47716,28597.983248059034,6730.722589165,1184.970375769,36513.676212993,
Q1,2022,47056,25445.110833324972,6559.44186028,4206.070352780001,36210.313243235025,
Q2,2022,38685,22101.87480529796,6478.96002554,2570.831808808999,31151.66663964696,
Q3,2022,38204,20707.28997213802,7956.170561514,1151.44497462,29814.905508272022,
Q4,2022,30447,15714.68457819902,6244.7450156859995,1137.37340643,23096.80300031502,
Q1,2023,30213,15657.850433968,5883.638219148001,1220.521139925,22762.009793041,
Q2,2023,21773,11708.817691909,4212.9276256167,993.880874148,16915.6261916737,
Q3,2023,23879,12841.36448687999,4565.053203829,997.0835326399999,18403.50122334899,
Q4,2023,26988,13125.205860638991,5583.613312927,949.444422999,19658.26359656499,
Q1,2024,30329,14572.85509733001,6183.53397082,1346.543359819999,22102.93242797001,
Q2,2024,24482,12222.29848427,5157.977360138,941.9555111299999,18322.231355538,
Q3,2024,28035,12054.5121209,7247.704480419,1188.10745175,20490.324053069002,
Q4,2024,39456,19449.98179851001,9495.842863220001,1200.79854194,30146.62320367001,
Q1,2025,36280,17396.440364899987,9047.88165192,1325.62800161,27769.95001842999,
Q2,2025,25569,12180.811851069,5491.065247539,1319.75248818,18991.629586788004,
Q3,2025,24535,11547.005777659011,5519.4763505,1030.87113517,18097.35326332901,
Q4,2025,22411,10314.40098472,4245.65807451,999.7073687300001,15559.76642796,
,,,,,,,
2016-01-31T00:00:00,,1942,---,---,---,1883.797528458,
2016-02-29T00:00:00,,2349,---,---,---,1798.958525323,
2016-03-31T00:00:00,,2314,---,---,---,1695.953864848,
2016-04-30T00:00:00,,1856,---,---,---,1362.48552978,
2016-05-31T00:00:00,,2101,---,---,---,1427.10079844,
2016-06-30T00:00:00,,1747,---,---,---,1340.32648464,
2016-07-31T00:00:00,,1026,---,---,---,683.62822957,
2016-08-31T00:00:00,,1973,---,---,---,1375.96640928,
2016-09-30T00:00:00,,1187,---,---,---,804.67402186,
2016-10-31T00:00:00,,1160,---,---,---,864.44383398,
2016-11-30T00:00:00,,1285,---,---,---,905.30334142,
2016-12-31T00:00:00,,1192,---,---,---,786.94582002,
2017-01-31T00:00:00,,1319,---,---,---,828.55828235,
2017-02-28T00:00:00,,1784,---,---,---,1206.22137891,
2017-03-31T00:00:00,,2371,---,---,---,1666.54673774,
2017-04-30T00:00:00,,2287,---,---,---,1627.84185795,
2017-05-31T00:00:00,,2826,---,---,---,1867.95378116,
2017-06-30T00:00:00,,1763,---,---,---,1191.22296126,
2017-07-31T00:00:00,,2504,---,---,---,1691.07559667,
2017-08-31T00:00:00,,2868,---,---,---,1854.54384736,
2017-09-30T00:00:00,,1824,---,---,---,1157.40507143,
2017-10-31T00:00:00,,3188,---,---,---,2050.68189926,
2017-11-30T00:00:00,,3062,---,---,---,2010.11434905,
2017-12-31T00:00:00,,2673,---,---,---,1770.70662505,
2018-01-31T00:00:00,,2553,1286.18231223,228.91349345,127.98387469,1643.07968037,
2018-02-28T00:00:00,,2959,1450.76047,298.44175416,159.26127863,1908.46350279,
