,,,,,,,,,,,
القائمة الرئيسية   Main List,,,,,,,,,,قائمة الإحصاءات النقدية والمالية       Money & Banking Stat. List,
,,,,,,,,,,,
Table 13a: Consumer and Credit Card Loans*,,,,,,,,,,جدول 13a: القروض الاستهلاكية  وقروض  البطاقات الائتمانية *,
(Million ﷼),,,,,,,,,,(مليون ﷼),
نهاية الفترة,,Consumer Loans                                          القروض الاستهلاكية,,,,,,,,إجمالي قروض,
,,ترميم وتحسين,سيارات ووسائل,أثاث وسلع معمرة,تعليم ,الرعاية ,سياحة وسفر,أخرى,المجموع,بطاقات الائتمان,
,, عقارات,نقل شخصية ,,,الصحية,,,,,
End of Period,,Renovation and,Vehicles &Private ,Furniture and,Education,Health care,Tourism,Others,Total,Total Credit,
,,home Improvement,Transport means,Durable Goods,,,and Travel,,,Card Loans,
1998,,3083.05081446917,4887.92370642903, ---, ---, ---, ---,36267.4462453754,44238.4207662736,1898.29558630549,
1999,,3340.36561796272,4553.94993066509, ---, ---, ---, ---,39116.196919523,47010.51246815081,1918.5440727216499,
2000,,3260.3987757106897,4987.64815107122, ---, ---, ---, ---,44455.0660522636,52703.11297904551,2123.0824856936097,
2001,,3983.99508584338,6662.61063335293, ---, ---, ---, ---,50102.0757280853,60748.68144728161,2199.5995409068696,
2002,,4951.7502835302,9606.42685373888, ---, ---, ---, ---,56210.1234630126,70768.30060028168,2299.07496035687,
2003,,5540.89802033393,10439.3265915471, ---, ---, ---, ---,70951.8820369169,86932.10664879793,2607.80005635273,
2004,,7757.1227099752505,12153.456405834098, ---, ---, ---, ---,94876.9948401311,114787.57395594046,3231.16409140553,
2005,,11916.90010757,13925.0713654603, ---, ---, ---, ---,125885.656329473,151727.6278025033,4215.0922615889,
2006,,12489.265232711401,12045.5970570178, ---, ---, ---, ---,140923.467130188,165458.3294199172,7178.49100220812,
2007,,13441.892604136,14099.5231117156, ---, ---, ---, ---,138437.761578104,165979.17729395558,8595.16480036021,
2008,,11753.207321939999,14088.9167608409, ---, ---, ---, ---,134551.690799182,160393.8148819629,9003.64273594792,
2009,,11798.6742351414,15834.584311594701, ---, ---, ---, ---,138893.063006574,166526.3215533101,8606.218493100001,
2010,,12693.836716700001,16426.49713916, ---, ---, ---, ---,152511.07478174,181631.4086376,8390.50854476,
2011,,14133.81567392,15699.37694726, ---, ---, ---, ---,188936.62890871,218769.82152989,7759.39728284,
2012,,18049.99054028,15455.615484850001, ---, ---, ---, ---,221054.75868022998,254560.36470536,7964.6542488000005,
2013,,21300.287289810003,18114.137672779998, ---, ---, ---, ---,238225.82958228,277640.25454487,8509.113389760001,
2014,,25603.897,20788.203,5455.163,414.45,246.047,102.72,245397.672,298008.152,9666.707,
2015-12-31T00:00:00,,37020.541,9429.154,4911.855,636.639,312.161,85.264,254789.238,307184.852,10212.696,
2016-12-31T00:00:00,,29080.18,9327.765,4821.814,957.62,506.491,72.111,273499.518,318265.499,10957.695,
2017-12-31T00:00:00,,30028.005,16720.033,10783.908,3722.451,565.647,324.256,255515.043,317659.343,12093.963,
2018-12-31T00:00:00,,28055.147,16789.358,12498.68,3522.2,703.481,483.608,259234.405,321286.879,15331.865,
2019-12-31T00:00:00,,25648.219,15624.968,12462.085,3239.001,559.381,454.707,275450.383,333438.744,19054.274,
2020-12-31T00:00:00,,23871.977,14469.345,12012.415,4167.531,549.505,571.545,309605.213,365247.531,18373.284,
2021-12-31T00:00:00,,19060.089,14047.003,12214.314,5168.441,636.542,646.085,376624.611,428397.085,19494.355,
2022-12-31T00:00:00,,13436.303,11025.888,8680.021,6346.741,564.428,814.167,410686.167,451553.715,23067.209,
2023-12-31T00:00:00,,10792.058,11310.993,7889.437,7461.561,510.126,918.197,402947.265,441829.637,27066.406,
2024-12-31T00:00:00,,8925.985,11716.791,8516.956,8177.541,471.173,992.463,432185.066,470985.975,31365.748,
2025-12-31T00:00:00,,7843.149,12681.263,10380.239,8008.024,478.945,1017.025,436307.463,476716.108,34505.952,
,,,,,,,,,,,
Q1,1998,2735.50386748494,5472.78723412271, ---, ---, ---, ---,34223.835542920206,42432.12664452785,1907.04739841,
Q2,1998,2740.6629389914497,5205.72870437652, ---, ---, ---, ---,35109.3208523538,43055.71249572177,1883.63823252279,
Q3,1998,2955.5883725235603,5034.31310811197, ---, ---, ---, ---,35799.7167502144,43789.61823084993,1946.87544111961,
Q4,1998,3083.05081446917,4887.92370642903, ---, ---, ---, ---,36267.4462453754,44238.4207662736,1898.29558630549,
Q1,1999,3115.84917662197,4714.68181869473, ---, ---, ---, ---,36668.100937162104,44498.6319324788,1831.89859318401,
Q2,1999,3151.8677541043103,4592.41023768865, ---, ---, ---, ---,36969.349639559,44713.62763135196,1794.19144169699,
Q3,1999,3206.93098462112,4550.95555215329, ---, ---, ---, ---,37217.991335120096,44975.87787189451,1899.2557904692198,
Q4,1999,3340.36561796272,4553.94993066509, ---, ---, ---, ---,39116.196919523,47010.51246815081,1918.5440727216499,
Q1,2000,3328.3128529474698,4524.5025351868, ---, ---, ---, ---,39201.449674729396,47054.26506286367,2129.89328376187,
