,,,,,,
القائمة الرئيسية   Main List,,,,,قائمة الإحصاءات النقدية والمالية       Money & Banking Stat. List,
,,,,,,
Table 13b: Maturity Terms of Personal Loans*,,,,,جدول 13b: فترات الاستحقاق للقروض الشخصية *,
(Million ﷼),,,,,(مليون ﷼),
نهاية الفترة,,قصير الاجل,متوسط الاجل,طويل الاجل,المجموع,
End of Period,,Short Term,Medium Term,Long Term,Total,
1998,,10916.7463132193,15888.8894387197,19331.0802056071,46136.7159575461,
1999,,11363.9834064256,16421.6084163871,21143.4644054191,48929.0562282318,
2000,,13633.7731060898,16993.9022031673,24198.5197994621,54826.1951087192,
2001,,14853.8016159227,18814.3832350047,29280.0961372611,62948.2809881885,
2002,,12031.477761505,21440.9076172103,39594.9901819232,73067.37556063851,
2003,,13278.5837583111,23791.7934946757,52469.5294521639,89539.9067051507,
2004,,14957.0649582578,26950.2912364199,76111.3818526683,118018.738047346,
2005,,19527.2152933613,33435.546538022,102979.958232709,155942.7200640923,
2006,,26301.2545615613,37181.6978820031,109153.867978561,172636.8204221254,
2007,,28623.605168084,39631.07352992,106319.663396311,174574.342094315,
2008,,28168.2758243716,45145.3566020067,96083.8251915322,169397.45761791052,
2009,,30460.5962133964,48662.750668358,96009.1931646556,175132.54004641,
2010,,33487.6188667039,55169.5250491107,101364.773266545,190021.9171823596,
2011,,46710.2262064955,64685.5899734937,115133.402632741,226529.2188127302,
2012,,48833.7512790428,77213.4698369252,136477.797838192,262525.01895416,
2013,,67890.4809955747,79183.2388496161,139075.648089439,286149.3679346298,
2014,,77521.79,82697.779,147455.291,307674.86,
2015-12-31T00:00:00,,82148.916,95656.899,139591.733,317397.548,
2016-12-31T00:00:00,,101014.661,85076.889,143131.644,329223.194,
2017-12-31T00:00:00,,108994.427,80899.69,139859.188,329753.305,
2018-12-31T00:00:00,,120013.897,73375.06,143229.786,336618.743,
2019-12-31T00:00:00,,129377.64,68022.814,155092.563,352493.017,
2020-12-31T00:00:00,,122922.413,76876.279,183822.123,383620.81499999994,
2021-12-31T00:00:00,,143467.815,79139.066,225284.559,447891.44,
,,,,,,
Q1,1998,10531.6894554361,15780.2844461806,18027.2001241528,44339.174025769506,
Q2,1998,10911.8900569204,15857.5399108335,18169.9206191012,44939.3505868551,
Q3,1998,10835.929164012,16028.9971953148,18871.5675090019,45736.4938683287,
Q4,1998,10916.7463132193,15888.8894387197,19331.0802056071,46136.7159575461,
Q1,1999,10865.1091200753,15962.95308836,19502.4679743493,46330.5301827846,
Q2,1999,10753.2878289181,16297.0812553034,19457.4501909173,46507.8192751388,
Q3,1999,10813.2688402591,16349.7916255656,19712.0732466928,46875.1337125175,
Q4,1999,11363.9834064256,16421.6084163871,21143.4644054191,48929.0562282318,
Q1,2000,11997.1255112332,16528.4612283728,20658.5712513008,49184.157990906795,
Q2,2000,12549.9094523223,16620.6507451673,21605.1524490871,50775.7126465767,
Q3,2000,13042.1757167048,16789.0930871673,22535.9699177121,52367.2387215842,
Q4,2000,13633.7731060898,16993.9022031673,24198.5197994621,54826.1951087192,
Q1,2001,14339.992672359,17559.4844361638,24442.9365708458,56342.4136793686,
Q2,2001,14667.284376915,18030.8191355894,26301.7168609541,58999.8203734585,
Q3,2001,14991.4371174377,18480.4312616272,28604.5631070236,62076.431486088506,
Q4,2001,14853.8016159227,18814.3832350047,29280.0961372611,62948.2809881885,
Q1,2002,11670.9798372432,19427.5203217147,35228.1481465006,66326.6483054585,
Q2,2002,11779.7618003032,20554.6865615622,37746.8581205831,70081.3064824485,
Q3,2002,12010.1333171302,21086.6261143181,39185.1491845602,72281.9086160085,
Q4,2002,12031.477761505,21440.9076172103,39594.9901819232,73067.37556063851,
Q1,2003,12248.4511607927,22169.5050695826,40799.6239438577,75217.58017423301,
Q2,2003,12715.6156398244,22954.4798835806,44564.8415571673,80234.9370805723,
Q3,2003,12949.4939998479,23450.6304442757,50978.7250599098,87378.8495040334,
Q4,2003,13278.5837583111,23791.7934946757,52469.5294521639,89539.9067051507,
Q1,2004,13787.1978928438,24261.1761803538,57322.2269061874,95370.600979385,
Q2,2004,14161.3032976775,24971.9005958858,67591.6657227313,106724.8696162946,
Q3,2004,14620.9444499452,25976.4288760785,73525.8078438197,114123.18116984339,
Q4,2004,14957.0649582578,26950.2912364199,76111.3818526683,118018.738047346,
Q1,2005,15549.7399428353,28334.7246648499,79736.769050313,123621.23365799821,
Q2,2005,17491.612290097,33418.7647983499,88276.8068347774,139187.18392322428,
Q3,2005,19751.9172899622,29034.1509234077,101493.69646364,150279.7646770099,
Q4,2005,19527.2152933613,33435.546538022,102979.958232709,155942.7200640923,
Q1,2006,25139.7475923801,29467.6689784392,107024.453505659,161631.87007647828,
Q2,2006,23411.6357638317,32712.9669405389,109869.656665474,165994.2593698446,
Q3,2006,24910.4552838458,35107.1191329034,111330.721374671,171348.2957914202,
Q4,2006,26301.2545615613,37181.6978820031,109153.867978561,172636.8204221254,
Q1,2007,27863.647868173,38027.7770751401,108364.784371759,174256.2093150721,
