,,,,,
القائمة الرئيسية   Main List,,,,قائمة الإحصاءات النقدية والمالية       Money & Banking Stat. List,
,,,,,
Table 15a: Islamic Banking Indicators,,,,جدول 15a: مؤشرات المصرفية الإسلامية,
(Million ﷼),,,,(مليون ﷼),
نهاية الفترة,, إجمالي الأصول ,إجمالي التمويل ,إجمالي الودائع ,
End of Period,,Total Assets,Total Financing ,Total Deposits ,
2017-12-31T00:00:00,,1453543.57016834,1109447.15702203,1254322.46439813,
2018-12-31T00:00:00,,1534514.88981917,1145901.27387412,1306079.7593801,
2019-12-31T00:00:00,,1747009.83700538,1252308.86545164,1365769.13590261,
2020-12-31T00:00:00,,2041007.11873396,1461900.653989336,1570202.50812537,
2021-12-31T00:00:00,,2413331.56882073,1724263.7363449058,1767998.74803458,
2022-12-31T00:00:00,,2714555.10635907,1976497.76992543,1873686.06562149,
2023-12-31T00:00:00,,2981708.48219069,2181732.8073018463,1973576.84351018,
2024-12-31T00:00:00,,3399029.17216446,2471647.1412016805,2194815.95801632,
2025-12-31T00:00:00,,3747805.13110302,2726308.760805381,2435312.57979901,
,,,,,
Q1,2017,1425504.20068756,1107878.1447675528,1249734.51708317,
Q2,2017,1444728.8548582,1113046.1284144223,1257758.73247879,
Q3,2017,1453063.40402713,1124233.8779155628,1240481.02492168,
Q4,2017,1453543.57016834,1109447.1570220345,1254322.46439813,
Q1,2018,1465709.98477101,1106226.5365938246,1263344.20977136,
Q2,2018,1479147.01307906,1120583.0786854671,1286821.61931804,
Q3,2018,1512989.16488441,1139310.190057319,1297712.25837,
Q4,2018,1534514.88981917,1145901.2738741157,1306079.7593801,
Q1,2019,1580050.71270309,1150606.400785147,1297946.41677697,
Q2,2019,1614310.29785776,1167088.857676715,1298518.40838282,
Q3,2019,1673631.35863161,1205716.375099566,1321120.06626531,
Q4,2019,1747009.83700538,1252308.8654516407,1365769.13590261,
Q1,2020,1809782.20507142,1299771.0583510667,1427173.60196919,
Q2,2020,1872359.14677267,1346348.4970408296,1458743.86108818,
Q3,2020,1958553.32817058,1401969.7838436665,1494848.07189295,
Q4,2020,2041007.11873396,1461900.653989336,1570202.50812537,
Q1,2021,2121820.44597756,1542104.7403406021,1588072.93350983,
Q2,2021,2230259.7164778,1612506.9596897531,1612404.97316112,
Q3,2021,2303180.43827464,1665800.5362053488,1633487.61055333,
Q4,2021,2413331.56882073,1724263.7363449058,1767998.74803458,
Q1,2022,2529255.18700095,1790882.322488443,1842793.64293268,
Q2,2022,2638945.75200562,1871685.3068345417,1912862.74902091,
Q3,2022,2663369.71890639,1942430.18959384,1854309.435638,
Q4,2022,2714555.10635907,1976497.76992543,1873686.06562149,
Q1,2023,2792703.13355726,2031969.2393086122,1893564.67695164,
Q2,2023,2864172.43203235,2079220.5702997018,1933046.15593559,
Q3,2023,2934458.69016701,2145869.117795006,1946821.83828542,
Q4,2023,2981708.48219069,2181732.8073018463,1973576.84351018,
Q1,2024,3072278.24868713,2245079.3642287957,2059559.8740839,
Q2,2024,3188560.40025357,2302604.75296064,2118105.81501001,
Q3,2024,3295226.46782294,2387740.36007153,2129576.16918816,
Q4,2024,3399029.17216446,2471647.1412016805,2194815.95801632,
Q1,2025,3561774.51399732,2586395.2439440144,2293218.54154252,
Q2,2025,3638551,2646129.379115712,2353317,
Q3,2025,3733565.96033388,2709298.7888540365,2443536.21879897,
Q4,2025,3747805.13110302,2726308.760805381,2435312.57979901,
,,,,,
,,,,,
Note: The indicators in Table 15a are based on the audited quarterly financial ,,,,ملاحظة: المؤشرات في جدول (15a) هي من واقع القوائم المالية الربعية المدققة للمصارف السعودية.,
"statements of Saudi banks. Therefore, the audited financial statements should be relied on ",,,, لذا عند مقارنة المؤشرات مع إجمالي الأصول، والتمويل، والودائع للمصارف السعودية,
"when comparing indicators with total assets, financing and deposits of Saudi banks.",,,, يجب الاعتماد على القوائم المالية المدققة.,
