,,,,,,,,
القائمة الرئيسية   Main List,,,,,,,,قائمة الإحصاءات النقدية والمالية       Money & Banking Stat. List
,,,,,,,,
Table 15b: Shariah-Compliant Financing Contracts,,,,,,,,جدول 15b: عقود التمويل المتوافقة مع أحكام ومبادئ الشريعة
(Million ﷼),,,,,,,,(مليون ﷼)
نهاية الفترة,,المرابحة,التورق,الإيجار التمويلي,المضاربة,المشاركة,أخرى*,إجمالي التمويل
End of Period,,Murabahah , Tawwaruq,Ijarah Financing,Mudarabah,Musharakah,Others*,Total Financing 
2013-12-31T00:00:00,,346209.58218728,343190.55233396,104113.01648774999,6023.27548504,4749.544,9814.483486840001,814100.45398087
2014-12-31T00:00:00,,399544.58700032905,388801.393352751,134916.23780573,4445,4712.868,10902.62248161,943322.7086404201
2015-12-31T00:00:00,,422976.160614218,431166.25182651205,153254.568846,3430.1070292825,4861.50863573,13650.18405882,1029338.7810105626
2016-12-31T00:00:00,,446878.47768635897,446751.61045107245,172061.3262904195,3729.153,2959.79556701,20344.8616159961,1092725.224610857
2017-12-31T00:00:00,,388718.79252564604,505442.67561607005,179717.4867064125,3042.156,2737.24787924,29788.79829466603,1109447.1570220345
2018-12-31T00:00:00,,392135.315072293,521954.8901495751,194795.8358465075,2071,2239.83996637,32704.39283937,1145901.2738741157
2019-12-31T00:00:00,,472871.363853494,562025.0998436565,195932.8092846815,1817.74836595,1923.84334798,17738.00075587876,1252308.8654516407
2020-12-31T00:00:00,,609171.232555924,600915.501591814,227114.80102273362,1555.6198726799998,1845.69766615014,21297.80128003428,1461900.653989336
2021-12-31T00:00:00,,841036.241489999,680588.093036222,176201.1538318125,1933.52498277,1285.36566297,23219.357341132247,1724263.7363449058
2022-12-31T00:00:00,,1005891.621002364,755673.753899735,178335.52753366,1788.61086884,1364.01848943,33444.23813140088,1976497.76992543
2023-12-31T00:00:00,,1097067.700991922,846703.864924132,198067.02077585598,1749.97086031,1870.90701112,36273.34273850589,2181732.8073018463
2024-12-31T00:00:00,,1259013.319186302,948173.3435390469,219366.99331138202,2159.86738382,1905.38279078,41028.23499035,2471647.1412016805
2025-12-31T00:00:00,,1373022.581332862,1065751.731188989,248361.39505465998,2514.7022715000003,1088,35570.35095737,2726308.760805381
,,,,,,,,
Q4,2013,346209.58218728,343190.55233396,104113.01648774999,6023.27548504,4749.544,9814.483486840001,814100.45398087
Q1,2014,360026.755509793,356863.88527127705,112066.73416978,5993.24691798812,4708.05839,9777.81519892,849436.4954577581
Q2,2014,382113.613122169,372109.125074831,120878.57156713,6066.03455994206,4567.336229,11182.089535539999,896916.7700886121
Q3,2014,396643.250550861,380511.372018009,127341.90151525999,4651.05220057,4461.66932,10437.94078995,924047.18639465
Q4,2014,399544.58700032905,388801.393352751,134916.23780573,4445,4712.868,10902.62248161,943322.7086404201
Q1,2015,405426.86927980196,399950.439317268,136432.0637429,4444.87883118862,5045.86998775,11145.22333846,962445.3444973687
Q2,2015,412060.626275109,414449.24665417103,142050.50120722,3892.93572246193,5036.16074822,11385.493563330001,988874.9641705118
