,,,,,
القائمة الرئيسية   Main List,,,,قائمة الإحصاءات النقدية والمالية       Money & Banking Stat. List,
,,,,,
Table 17: Offshore Riyal Position of Commercial Banks,,,,جدول 17: العـمـلـيــــــــات الـخــارجـيــــة لـلــمـــصـــارف الـتـجــاريــــة بـالـريــــال,
(Million ﷼),,,,(مليون ﷼),
نهاية الفترة,,مطلوبات بالريال,مطلوبات بالريال,صافي المطلوبات بالريال,
,,على غير المقيمين,لغير المقيمين,على غير المقيمين,
End of Period,,Riyal Claims on,Riyal Liabilities to,Net Riyal Claims on,
,,Non-Residents ,Non-Residents ,Non-Residents ,
1993,,7015.897,6708.945,306.952,
1994,,4570.746,10165.082,-5594.336,
1995,,8827.452,10124.673,-1297.221,
1996,,11496.698,10976.291,520.407,
1997,,6332.189,15171.288,-8839.099,
1998,,11654.196,12771.022,-1116.826,
1999,,7434.235,15894.636,-8460.401,
2000,,5887.474999999999,16384.28,-10496.805000000004,
2001,,7864.0960000000005,19069.638000000003,-11205.542000000001,
2002,,12164.456,7859.546000000001,4304.91,
2003,,8969.584,8567.572999999999,402.01100000000224,
2004,,14645.556999999999,9609.844,5035.713,
2005,,11613.681,15621.824000000002,-4008.143000000002,
2006,,14646.497000000001,10278.323000000002,4368.173999999999,
2007,,15192.742,29254.850000000006,-14062.108000000006,
2008,,22139.239999999998,36181.398,-14042.158000000003,
2009,,24178.497,24682.443999999996,-503.9469999999965,
2010,,20708.687,15405.784,5302.903000000002,
2011,,37197.938,18538.387,18659.551,
2012,,28712.858,21999.047,6713.811,
2013,,21090.922,23168.29,-2077.368,
2014,,31854.93,42867.51,-11012.58,
2015-12-31T00:00:00,,46103.252,24831.037,21272.215,
2016-12-31T00:00:00,,33179.88684412,26540.7855317228,6639.101312397204,
2017-12-31T00:00:00,,43826.325659769995,27013.94325336,16812.382406409997,
2018-12-31T00:00:00,,47422.286,31375.400441529997,16046.885558470003,
2019-12-31T00:00:00,,52539.79749167,46831.392406889994,5708.40508478,
2020-12-31T00:00:00,,37164.22775417,49392.9804932,-12228.752739029997,
2021-12-31T00:00:00,,38570.687333329995,61723.32666967,-23152.639336340002,
2022-12-31T00:00:00,,27065.911938,29442.088247000003,-2376.176309000004,
2023-12-31T00:00:00,,23072.52942944,43016.3073446,-19943.77791516,
2024-12-31T00:00:00,,27223.99488459,50642.379227,-23418.384342409998,
2025-12-31T00:00:00,,22912.176926160002,77125.95488818575,-54213.77796202576,
,,,,,
Q1,1993,9454.564999999999,7147.392000000001,2307.172999999998,
Q2,1993,9491.618,8342.298,1149.3199999999997,
Q3,1993,7806.155,8141.754,-335.59900000000016,
Q4,1993,7015.897,6708.945,306.9520000000002,
Q1,1994,7102.096999999999,8399.478,-1297.3810000000003,
Q2,1994,6174.918000000001,7385.526000000002,-1210.608000000001,
Q3,1994,5563.835999999999,9162.859999999999,-3599.0239999999994,
Q4,1994,4570.746,10165.082,-5594.336,
Q1,1995,5190.271999999999,10121.498000000001,-4931.226000000002,
Q2,1995,6153.9310000000005,8662.114,-2508.182999999999,
Q3,1995,5196.179,10016.627,-4820.448,
Q4,1995,8827.451999999997,10124.673,-1297.2210000000032,
Q1,1996,10322.26,8648.864,1673.396,
Q2,1996,7715.852,9225.848,-1509.996,
Q3,1996,8993.516,11030.689,-2037.173,
Q4,1996,11496.698,10976.291,520.407,
Q1,1997,10149.963,11389.245,-1239.282,
Q2,1997,7930.183,10714.053,-2783.87,
Q3,1997,7547.086,11980.028,-4432.942,
Q4,1997,6332.189,15171.288,-8839.099,
Q1,1998,5927.49,12856.023,-6928.533,
Q2,1998,5918.465,12638.18,-6719.715,
Q3,1998,7490.604,14831.773,-7341.169,
Q4,1998,11654.196,12771.022,-1116.826,
Q1,1999,12509.863,14996.898,-2487.035,
Q2,1999,11941.417,11813.518,127.899,
Q3,1999,10282.848,12674.63,-2391.782,
Q4,1999,7434.235,15894.636,-8460.401,
Q1,2000,8682.203,13943.136,-5260.933000000001,
Q2,2000,6729.766999999999,13662.270999999999,-6932.504,
Q3,2000,5890.173,13445.544000000002,-7555.371000000002,
Q4,2000,5887.474999999999,16384.280000000002,-10496.805000000004,
Q1,2001,5862.976,18475.605999999996,-12612.629999999997,
Q2,2001,6173.135,16563.436,-10390.301000000001,
Q3,2001,7738.235000000001,15865.900000000003,-8127.665000000003,
Q4,2001,7864.0960000000005,19069.638000000003,-11205.542000000001,
Q1,2002,11547.663,14899.832999999999,-3352.1699999999983,
Q2,2002,11414.011999999999,18067.921,-6653.909,
Q3,2002,11610.714,17311.359,-5700.645,
Q4,2002,12164.456,7859.546000000001,4304.909999999999,
Q1,2003,12082.947,9340.677999999998,2742.269000000002,
Q2,2003,9910.295999999998,7147.52,2762.775999999998,
Q3,2003,9335.44,8358.724999999999,976.715000000002,
Q4,2003,8969.584,8567.572999999999,402.01100000000224,
Q1,2004,11254.634,11691.617,-436.9830000000002,
Q2,2004,10909.839,9390.239999999998,1519.599000000002,
Q3,2004,9931.733999999999,13478.554,-3546.8200000000015,
Q4,2004,14645.556999999999,9609.844,5035.713,
Q1,2005,11039.481,8294.569,2744.9120000000003,
Q2,2005,9489.867,8665.169,824.6980000000003,
Q3,2005,10374.882000000001,11282.442000000001,-907.5599999999995,
Q4,2005,11613.681,15621.824000000002,-4008.143000000002,
Q1,2006,16584.024000000005,15795.202999999998,788.8210000000072,
Q2,2006,13341.752999999999,17916.927999999996,-4575.174999999997,
Q3,2006,17534.593999999997,11552.358,5982.235999999997,
