,,,,,,,,,,,,,
القائمة الرئيسية   Main List,,,,,,,,,,,,,قائمة شركات التمويل       Finance Companies 
,,,,,,,,,,,,,
Table 1: Balance Sheet of Finance and Real Estate Refinance Companies,,,,,,,,,,,,,جدول 1: المركز المالي الموحـــد للشركات التمويل وإعادة التمويل العقاري
(Million ﷼),,,,,,,,,,,,,(مليون ﷼)
,,المركز المالي  للشركة السعودية لاعادة التمويل العقاري,,,,المركز المالي  لشركات التمويل,,,,المركز المالي الموحد لشركات التمويل وإعادة التمويل العقاري ,,,
نهاية الفترة,, Balance Sheet of Saudi Real Estate Refinance Company ,,,, Balance Sheet of Finance Companies ,,,, Balance Sheet of Finance Companies and Real Estate Refinance Company ,,,
End of Period,,حقوق الملكية,رأس المال,الأصول,المطلوبات,حقوق الملكية,رأس المال,الأصول,المطلوبات,حقوق الملكية,رأس المال,الأصول,المطلوبات
,, Equity  ,Capital,Assets,Liabilities, Equity  ,Capital,Assets,Liabilities, Equity  ,Capital,Assets,Liabilities
2018,,1487.128695,1500,1761.065263,273.936568,18247.1350210809,12926.882,37662.5196972252,19415.3846761443,19734.2637160809,14426.882,39423.5849602252,19689.3212441443
2019,,1467.660352,1500,2250.242074,782.581722,17983.263995349,12752.922,38426.9491912831,20443.6851962923,19450.924347349,14252.922,40677.1912652831,21226.2669182923
2020,,1503.473313,1500,7521.409441,6017.936128,18060.66999653,12828.422,45576.4484772114,27515.7784806814,19564.14330953,14328.422,53097.8579182114,33533.7146086814
2021,,5098.469328,5000,13402.965967,8304.496639,20398.61710741,14505.077,53492.88884761,33094.2717401999,25497.08643541,19505.077,66895.85481461,41398.7683792
2022,,5201.359152,5000,21004.917546,15803.558394,22347.21153291,14643.722,57018.11696229,34670.90542938,27548.57068491,19643.722,78023.03450829,50474.46382338
2023,,5360.464,5000,31018.502,25658.038,23854.62199467,15458.00772,64197.6067062,40342.98471153,29215.08599467,20458.00772,95216.1087062,66001.02271153
2024,,5568.83921049,5000,30373.53967427,24804.70046378,29848.5592395861,16432.65059,69188.353092805,39339.7938532189,35417.3984500761,21432.65059,99561.892767075,64144.4943169989
2025,,5722.98,5000,43802.71,38079.73,31110.32,16642.65,73832.59,42722.27,36833.3,21642.65,117635.3,80801.99
,,,,,,,,,,,,,
Q1,2018,1486.467683,1500,1504.18019,17.712507,17820.2267466638,12873.75,37813.0044757926,19992.7777291288,19306.6944296638,14373.75,39317.1846657926,20010.4902361288
Q2,2018,1488.898543,1500,1551.180824,62.282281,17826.7384651602,13026.75,36990.607270203,19163.8688050428,19315.6370081602,14526.75,38541.788094203,19226.1510860428
Q3,2018,1487.396839,1500,1503.488767,16.091928,18160.1428785535,12909.922,37312.567662814,19152.4247842605,19647.5397175535,14409.922,38816.056429814,19168.5167122605
Q4,2018,1487.128695,1500,1761.065263,273.936568,18247.1350210809,12926.882,37662.5196972252,19415.3846761443,19734.2637160809,14426.882,39423.5849602252,19689.3212441443
Q1,2019,1479.568806,1500,2251.058329,771.489523,17674.2645673692,12926.8820000037,38065.198779032,20390.9342116629,19153.8333733692,14426.8820000037,40316.257108032,21162.4237346629
Q2,2019,1473.444441,1500,2251.723256,778.278815,17519.6552825773,12576.882,37353.9116945642,19834.2564119869,18993.0997235773,14076.882,39605.6349505642,20612.5352269869
Q3,2019,1468.047344,1500,2246.565869,778.518525,17772.3700550252,12576.882,37573.1509141956,19800.7808591704,19240.4173990252,14076.882,39819.7167831956,20579.2993841704
Q4,2019,1467.660352,1500,2250.242074,782.581722,17983.263995349,12752.922,38426.9491912831,20443.6851962923,19450.924347349,14252.922,40677.1912652831,21226.2669182923
Q1,2020,1471.766705,1500,3100.599703,1628.832998,17767.2305176432,12652.922,38923.9616972586,21156.7311798495,19238.9972226432,14152.922,42024.5614002586,22785.5641778495
Q2,2020,1466.390146,1500,2820.601055,1354.210909,17769.9369404504,12838.4220000004,41076.4694270604,23306.53248661,19236.3270864504,14338.4220000004,43897.0704820604,24660.74339561
Q3,2020,1477.813206,1500,6064.242664,4586.429458,17800.1363729907,12828.4220000037,42247.0371612616,24446.9007882709,19277.9495789907,14328.4220000037,48311.2798252616,29033.3302462708
Q4,2020,1503.473313,1500,7521.409441,6017.936128,18060.66999653,12828.422,45576.4484772114,27515.7784806814,19564.14330953,14328.422,53097.8579182114,33533.7146086814
Q1,2021,5023.626786,5000,11390.334608,6366.707822,20215.38878562,14359.277,46824.6188682,26609.23008258,25239.01557162,19359.277,58214.9534762,32975.93790458
