,,,,,
القائمة الرئيسية   Main List,,,,قائمة شركات التمويل       Finance Companies ,
,,,,,
Table 2: Profitability Indicators for the Finance Companies ,,,,جدول 2: مؤشرات الربحية لقطاع شركات التمويل,
(Million ﷼),,,,(مليون ﷼),
الفترة,,شركات التمويل,,,
,,Finance Companies,,,
Period,,صافي الدخل ,العائد على الأصول,العائد على حقوق الملكية,
,,Net Income ,Return on Assets,Return  on Equity,
2018,,1266.535259584445,3.3628532285314874,6.941008865891647,
2019,,1356.4819084802189,3.53002759008495,7.543023940654183,
2020,,851.8627964350001,1.869085514332997,4.716673282877483,
2021,,1817.293732853,3.397262275421483,8.908906536575218,
2022,,1864.24332603,3.269563123704966,8.342174249725028,
2023,,1661.95057976,2.5888045754819298,6.9669960820646875,
2024,,2871.6912143930012,4.150541364297386,9.62087044584877,
2025,,3071.225842408,4.159715706042548,9.872048382684588,
,,,,,
Q1,2018,335.12096242876,0.00886258489835951,0.0188056508591564,
Q2,2018,267.48676143962,0.00723120762753977,0.0150048065136752,
Q3,2018,331.475142214229,0.00888373979538747,0.0182528928561289,
Q4,2018,332.452393501836,0.00882714157667815,0.018219429686784,
Q1,2019,421.505275797037,0.0110732450983343,0.0238485326611685,
Q2,2019,280.620836427974,0.00751248861759264,0.0160174861834777,
Q3,2019,324.278125195964,0.008630581074675,0.0182461947501635,
Q4,2019,330.077671059244,0.00858974438527949,0.0183547142023057,
Q1,2020,146.311194522657,0.00375889781365605,0.00823489031548092,
Q2,2020,157.714120524101,0.00383952473822401,0.00887533371967628,
Q3,2020,159.546386757,0.00377651067335193,0.00896321148410357,
Q4,2020,388.291094631242,0.00851955577068254,0.0214992630232347,
Q1,2021,648.597682907,0.0138516382745719,0.0320843536468798,
Q2,2021,439.477358557979,0.00878120694090305,0.021537133761847,
Q3,2021,624.33684428,0.012190969382343,0.029406961900902,
Q4,2021,104.881847108021,0.00196066896680056,0.00514161555931756,
Q1,2022,875.431005564,0.016484350598891,0.040278244804684,
Q2,2022,277.297437427,0.00503916370284122,0.0127451724414828,
Q3,2022,294.16769571,0.00525660169541128,0.0133131954546951,
Q4,2022,417.347187329,0.00731955402183871,0.0186755822628871,
Q1,2023,378.868467925,0.00621501164296097,0.0167205584073187,
Q2,2023,360.469498806639,0.00578012837410179,0.0155664302115515,
Q3,2023,392.052311787,0.00621214703494404,0.0167249871599958,
Q4,2023,530.560301241361,0.00826448723656424,0.0222414046787205,
Q1,2024,761.18425065,0.011394277492069,0.028271064786534,
Q2,2024,596.57528865,0.00895644560895444,0.0212714254936292,
Q3,2024,768.25845963,0.0113930883247181,0.0274184940808404,
Q4,2024,745.673215463001,0.01077743842902,0.0249818830275086,
Q1,2025,733.04689423,0.0103332379443547,0.0243705313342453,
Q2,2025,895.315879774,0.0125942534538969,0.0289885801328349,
Q3,2025,964.66403753,0.0133301837050362,0.0307115940414601,
Q4,2025,478.199030874,0.00647680192995831,0.015371075456458,
