,,,,,,,,
القائمة الرئيسية   Main List,,,,,,,,قائمة شركات التمويل       Finance Companies 
,,,,,,,,
Table 3:  Finance Companies' Credit Classified by Activity,,,,,,,,جدول 3: القروض من شركات التمويل حسب النشاط
(Million ﷼),,,,,,,,(مليون ﷼)
نهاية الفترة,,التمويل العقاري السكني,التمويل العقاري التجاري,تمويل المركبات,تمويل بطاقات الائتمان,التمويل الشخصي,أخرى,الإجمالي
End of,,Residential Real,Commercial Real,,,,,
 Period,, Estate Finance, Estate Finance,Auto Finance,Credit Card Finance,Personal Finance,Other,Total
2018,,13339.4113627085,3469.96957706397,23833.1258298772,822.326,2441.87120623814,3762.80724313588,47669.51121902369
2019,,16939.7470485568,3967.84798242528,20826.8332647738,896.734000004993,2527.45118009181,4157.88226573591,49316.495741588595
2020,,20141.4838428577,3870.788185,17281.1448026065,520.708433,6202.519802,6108.51227567763,54125.157341141836
2021,,22002.1890949785,4304.985832,18477.15205254,794.940371,14492.44403165,8001.35236314537,68073.06374531388
2022,,22481.0735808959,4549.61453456413,19192.63185097,942.47836934999,19193.673393,9089.64752920155,75449.11925798158
2023,,23096.7630658696,4100.82719959583,21188.50820117,1270.018474,23288.86661645,11799.1666715763,84744.15022866173
2024,,23359.78589168,4916.96380075174,25136.003988543,1935.243013,27609.64759248,13278.7586072769,96236.40289373165
2025,,23071.55,6023.75,29053.13,2184.5,31222.99,15735.75,107291.67
,,,,,,,,
Q1,2018,12300.4580945243,3410.0509249663,27043.7695546751,790.183,2241.02041328653,3621.25908517398,49406.74107262621
Q2,2018,12670.6151390579,3356.16485006051,26148.0606816185,791.928,2319.8363979738,3587.4957001139,48874.1007688246
Q3,2018,12905.7838801514,3403.96867794891,24959.8530392972,866.806,2354.01062562929,3620.24522362173,48110.66744664853
Q4,2018,13339.4113627085,3469.96957706397,23833.1258298772,822.326,2441.87120623814,3762.80724313588,47669.51121902369
Q1,2019,14113.6391249715,3530.0472406947,22820.0885526217,808.222749193,2561.3715850063,3776.17497739619,47609.544229883395
Q2,2019,14865.6488403845,3419.57276232483,21568.4908523171,859.043,2728.89469418236,3989.41536555956,47431.06551476834
Q3,2019,15812.9166890743,3412.24145898848,21048.2656832819,915.694,2910.113255,4032.12058902426,48131.35167536895
Q4,2019,16939.7470485568,3967.84798242528,20826.8332647738,896.734000004993,2527.45118009181,4157.88226573591,49316.495741588595
Q1,2020,17882.6793853698,3579.39227845038,20039.9954165492,636.667,2708.9192323,4016.92437361821,48864.577686287594
Q2,2020,18589.40430556,3758.40734079,19504.6782291827,454.198382,3056.16621,4537.59513683125,49900.44960436396
Q3,2020,19332.680933614,3833.01834453,17713.7730085335,497.220093,4505.502979,5132.24259124553,51014.43794992303
Q4,2020,20141.4838428577,3870.788185,17281.1448026065,520.708433,6202.519802,6108.51227567763,54125.157341141836
Q1,2021,20826.7582973004,4053.197099,18127.1749933,499.378251,8734.159928,6607.82012072868,58848.48868932908
Q2,2021,21360.8041035706,4083.940152,18339.42319,652.78191,10183.45114193,6938.36082930699,61558.76132680759
Q3,2021,21734.8240996743,4298.137359,18508.0383919,767.869497,13023.36452152,7383.78617801449,65716.02004710879
Q4,2021,22002.1890949785,4304.985832,18477.15205254,794.940371,14492.44403165,8001.35236314537,68073.06374531388
Q1,2022,22160.16159743,4475.359025,18756.6441647,882.806372,16288.29088947,8450.03520553,71013.29725413
Q2,2022,22247.69713454,4397.479336,19096.96300975,938.590238,17341.071252,8531.104663,72552.90563329
Q3,2022,22324.2829359347,4475.105303,18890.71159515,985.920123295,18229.824387,8959.34245427994,73865.18679865965
Q4,2022,22481.0735808959,4549.61453456413,19192.63185097,942.47836934999,19193.673393,9089.64752920155,75449.11925798158
Q1,2023,22788.5851919006,4281.30349510941,19295.39417558,1033.59280755,20348.81538599,11144.9738408299,78892.66489695992
Q2,2023,22868.5756673022,4140.11748842782,19934.55490057,1157.10527479999,21429.7719117,11181.3192730414,80711.44451584142
Q3,2023,22916.3404753698,4098.90591754017,20155.66678203,1224.907209,22128.95460224,11524.47820244,82049.25318861997
Q4,2023,23096.7630658696,4100.82719959583,21188.50820117,1270.018474,23288.86661645,11799.1666715763,84744.15022866173
Q1,2024,22908.58743505,4443.142093,22724.60937191,1361.280728,25124.23042486,12025.3274760322,88587.17752885219
Q2,2024,22908.35763249,4608.42286574,23160.5389612,1614.823018,25585.46403887,12305.9600624618,90183.5665787618
Q3,2024,22856.72193471,5059.72935189,23801.2466094286,1852.554666,27091.4555313,12334.3450019049,92996.05309523351
Q4,2024,23359.78589168,4916.96380075174,25136.003988543,1935.243013,27609.64759248,13278.7586072769,96236.40289373165
Q1,2025,23140.11612495,5321.83650350067,25958.0146479397,1839.186491,28031.0846676,13901.0738316228,98191.31226661317
Q2,2025,22984.1100610604,5659.5646985,25930.7103171061,2124.1423,28668.41094887,14004.0072547671,99370.9455803036
Q3,2025,23002.50045567,5769.89457276302,27157.8388597358,2278.61159,30040.58525211,14444.7735499442,102694.20428022303
Q4,2025,23071.55,6023.75,29053.13,2184.5,31222.99,15735.75,107291.67
