,,,,,,,,,,
القائمة الرئيسية   Main List,,,,قائمة شركات التمويل       Finance Companies ,,,,,,
,,,,,,,,,,
Table 4: Real Estate Loans by Finance companies,,,,جدول 4: القروض العقارية من شركات التمويل,,,,,,
(Million ﷼),,,,(مليون ﷼),,,,,,
نهاية الفترة,,الأفراد,الشركات,الإجمالي,,,,,,
End of Period,,Retail,Corporate,Total,,,,,,
2010,,2225.7371101999997,531.68989486,2757.42700506,,,,,,
2011,,4590.25461508,707.8269577000001,5298.08157278,,,,,,
2012,,6544.5947172001,842.93715462,7387.5318718201,,,,,,
2013,,8623.5011933106,1105.7561797147998,9729.257373025399,,,,,,
2014,,9516.110252002,1533.842385193,11049.952637195,,,,,,
2015,,10163.1329227485,1967.3680655186,12130.5009882671,,,,,,
2016-12-31T00:00:00,,11402.18803773,2189.60331510498,13591.79135283498,,,,,,
2017-12-31T00:00:00,,12136.5701310539,2615.36459321893,14751.93472427283,,,,,,
2018-12-31T00:00:00,,13339.4113627085,3469.96957706397,16809.38093977247,,,,,,
2019-12-31T00:00:00,,16939.7470485568,3967.84798242528,20907.59503098208,,,,,,
2020-12-31T00:00:00,,20141.4838428577,3870.788185,24012.2720278577,,,,,,
2021-12-31T00:00:00,,22002.1890949785,4304.985832,26307.1749269785,,,,,,
2022-12-31T00:00:00,,22481.0735808959,4549.61453456413,27030.68811546003,,,,,,
2023-12-31T00:00:00,,23096.7630658696,4100.82719959583,27197.59026546543,,,,,,
2024-12-31T00:00:00,,23359.78589168,4916.96380075174,28276.74969243174,,,,,,
2025-12-31T00:00:00,,23071.55,6023.75,29095.3,,,,,,
,,,,,,,,,,
Q1,2014,9050.16745269907,1217.8248350162,10267.99228771527,,,,,,
Q2,2014,9342.718307767,1299.0155332461,10641.7338410131,,,,,,
Q3,2014,9413.525049436,1346.903852306,10760.428901742001,,,,,,
Q4,2014,9516.110252002,1533.842385193,11049.952637195,,,,,,
Q1,2015,9632.9886270018,1575.0090184081,11207.9976454099,,,,,,
Q2,2015,9827.9407432117,1517.4814652571,11345.4222084688,,,,,,
Q3,2015,9969.1334991068,1726.0115365333,11695.1450356401,,,,,,
Q4,2015,10163.1329227485,1967.3680655186,12130.5009882671,,,,,,
Q1,2016,10410.9835723844,2095.38981857499,12506.37339095939,,,,,,
Q2,2016,10797.04960394,2152.5685249094,12949.6181288494,,,,,,
Q3,2016,11101.1993518349,2175.1906463385,13276.389998173401,,,,,,
Q4,2016,11402.18803773,2189.60331510498,13591.79135283498,,,,,,
Q1,2017,11732.95912259,2153.96925223,13886.92837482,,,,,,
Q2,2017,11930.65808767,2181.93543457,14112.59352224,,,,,,
Q3,2017,11834.5826481658,2600.60943665418,14435.19208481998,,,,,,
Q4,2017,12136.5701310539,2615.36459321893,14751.93472427283,,,,,,
Q1,2018,12300.4580945243,3410.0509249663,15710.5090194906,,,,,,
Q2,2018,12670.6151390579,3356.16485006051,16026.77998911841,,,,,,
Q3,2018,12905.7838801514,3403.96867794891,16309.75255810031,,,,,,
Q4,2018,13339.4113627085,3469.96957706397,16809.38093977247,,,,,,
Q1,2019,14113.6391249715,3530.0472406947,17643.6863656662,,,,,,
Q2,2019,14865.6488403845,3419.57276232483,18285.22160270933,,,,,,
Q3,2019,15812.9166890743,3412.24145898848,19225.15814806278,,,,,,
Q4,2019,16939.7470485568,3967.84798242528,20907.59503098208,,,,,,
Q1,2020,17882.6793853698,3579.39227845038,21462.07166382018,,,,,,
Q2,2020,18589.40430556,3758.40734079,22347.81164635,,,,,,
Q3,2020,19332.680933614,3833.01834453,23165.699278144,,,,,,
Q4,2020,20141.4838428577,3870.788185,24012.2720278577,,,,,,
Q1,2021,20826.7582973004,4053.197099,24879.9553963004,,,,,,
Q2,2021,21360.8041035706,4083.940152,25444.7442555706,,,,,,
Q3,2021,21734.8240996743,4298.137359,26032.9614586743,,,,,,
Q4,2021,22002.1890949785,4304.985832,26307.1749269785,,,,,,
Q1,2022,22160.16159743,4475.359025,26635.52062243,,,,,,
Q2,2022,22247.69713454,4397.479336,26645.176470540002,,,,,,
Q3,2022,22324.2829359347,4475.105303,26799.3882389347,,,,,,
Q4,2022,22481.0735808959,4549.61453456413,27030.68811546003,,,,,,
Q1,2023,22788.5851919006,4281.30349510941,27069.88868701001,,,,,,
Q2,2023,22868.5756673022,4140.11748842782,27008.69315573002,,,,,,
Q3,2023,22916.3404753698,4098.90591754017,27015.246392909972,,,,,,
Q4,2023,23096.7630658696,4100.82719959583,27197.59026546543,,,,,,
Q1,2024,22908.58743505,4443.142093,27351.729528050004,,,,,,
Q2,2024,22908.35763249,4608.42286574,27516.78049823,,,,,,
Q3,2024,22856.72193471,5059.72935189,27916.4512866,,,,,,
Q4,2024,23359.78589168,4916.96380075174,28276.74969243174,,,,,,
Q1,2025,23140.11612495,5321.83650350067,28461.952628450672,,,,,,
Q2,2025,22984.1100610604,5659.5646985,28643.674759560403,,,,,,
Q3,2025,23002.50045567,5769.89457276302,28772.39502843302,,,,,,
Q4,2025,23071.55,6023.75,29095.3,,,,,,
