,,,,,,,,,,,,,
القائمة الرئيسية   Main List,,,,,,,,,,,,,قائمة شركات التمويل       Finance Companies 
,,,,,,,,,,,,,
Table 5: Finance Companies' Credit to Non-Retail Classified by Economic Activity,,,,,,,,,,,,,جدول 5: الإئتمان الممنوح من شركات التمويل لغير الأفراد حسب النشاط الإقتصادي
(Million ﷼),,,,,,,,,,,,,(مليون ﷼)
نهاية,,الحكومة ,الزراعة ,الصناعة,التمويل,البناء,التعدين ,التجارة,النقل,الخدمات,الماء والكهرباء والغاز,أخرى,الإجمالي
الفترة,,وشبه الحكومة,وصيد الأسماك,,,والتشييد,والمناجم,Commerce,والاتصالات,,والخدمات الصحية,,
End of,,Government & ,Agriculture,Manufacturing,Finance,Building and,Mining and ,(wholesale/,Transportation and ,Services,Electricity Water & ,Other ,Total
Period,,Quasi Government,and Fishing,,, Construction,Quarrying, retail trade),Communication,,Gas and Health Services,,
2018,,0.1044438425,110.027828676346,1111.02241406243,13.78365141,3336.66965026465,149.594176367208,2290.60693499876,934.465714802693,1893.08101644414,319.095148527604,1571.07580379337,11729.526783189702
2019,,1.74958242,118.638297510336,1150.95058193395,15.3948206852754,2844.25866892462,157.0684030475,2085.74183608212,708.806929005555,1789.77210985602,413.295523001514,2654.17439531218,11939.85114777907
2020,,1.0179940125,76.4164625962732,1302.47619921695,71.6570882701332,3290.09228084805,162.256319575,2673.16197745567,1030.45528159237,2156.53017464754,483.611226813337,2469.73938165146,13717.414386679282
2021,,2.172857,94.2597037106219,1371.79020262472,89.497709,3645.31652648457,130.29026081,3461.32813717348,1423.34744739745,2533.89452857748,551.225130636162,3538.65608458087,16841.77858799535
2022,,0.7755094125,56.843619264766,1575.50423821539,116.8027202125,4456.13700155792,216.7970649,3565.44388056479,2219.33899489413,2881.39526334203,553.38282240929,2347.31543363574,17989.736548409055
2023,,90.989302,115.484560661154,1777.70847208776,67.204121,5262.2462500124,177.46582,3384.60908866565,2641.327843243,3628.98088406215,671.801922382344,1930.48195756185,19748.30022167631
2024,,74.356151,120.608508205429,1953.46653628898,166.391318,6955.74646764791,161.088065,3248.29673767486,1751.88737915624,5032.46478160015,512.352046121632,1907.7453698736,21884.403360568802
2025,,62.74,370.29,1892.09,161.22,8545.29,121.49,3155.49,2317.58,6077.63,643.8,2367.26,25714.880000000005
,,,,,,,,,,,,,
Q1,2018,0.1391815375,41.1283919723387,1134.39497900156,12.647695075,3691.12999906998,100.853028456683,2405.81693688913,1044.82964154302,2096.98091289939,327.880427436163,1059.63120461991,11915.432398500674
Q2,2018,0.1149988975,42.54671885,1178.78026809452,11.4010565475,3483.1163814141,98.2110338580137,2322.9088843339,1063.43624140637,1956.80791125958,334.714275086117,1233.53587587557,11725.573645623172
Q3,2018,0.1396267375,86.8292696875,1183.55940835537,12.426527055,3442.73954746262,99.7861654510807,2207.59245638327,1013.25955876037,1850.97178041018,300.006441282306,1375.47891579847,11572.789697383669
Q4,2018,0.1044438425,110.027828676346,1111.02241406243,13.78365141,3336.66965026465,149.594176367208,2290.60693499876,934.465714802693,1893.08101644414,319.095148527604,1571.07580379337,11729.526783189702
Q1,2019,1.0179940125,76.4164625962732,1302.47619921695,71.6570882701332,3290.09228084805,162.256319575,2673.16197745567,1030.45528159237,2156.53017464754,483.611226813337,2469.73938165146,13717.414386679282
Q2,2019,0.10986767,116.383787154593,1154.5882200223,23.2285829486843,2853.1248413758,146.8117520087,2168.23859921614,856.056185638466,1791.30448333848,397.900892447414,1909.12672445664,11416.873936277218
Q3,2019,0.05772903,111.742222287009,1106.03544906993,26.4353506775,3043.03171697371,161.047235783333,2153.06693973849,791.275383793973,1716.69043153735,399.952548768576,2042.51853195314,11551.853539613012
Q4,2019,1.74958242,118.638297510336,1150.95058193395,15.3948206852754,2844.25866892462,157.0684030475,2085.74183608212,708.806929005555,1789.77210985602,413.295523001514,2654.17439531218,11939.85114777907
Q1,2020,1.9332582375,126.497784135746,1073.67133812783,9.24628679359988,2827.92437315783,149.335199205,2109.06430188419,664.144401179611,2002.47988800173,296.717300751668,2279.41184936005,11540.425980834756
Q2,2020,0.234542,88.9312580811245,959.585130474919,72.3835139473925,3260.01327529673,115.230753,2445.02933000151,955.99473221212,2000.29245091383,323.382434905815,2258.91839429296,12479.9958151264
Q3,2020,1.4353449,97.4724123668952,1077.94998321888,73.6923483025674,2981.23499403613,136.19113597,2422.11531549871,970.255307963247,2027.19768996322,333.343632859969,2372.92937600939,12493.817541089009
Q4,2020,1.0179940125,76.4164625962732,1302.47619921695,71.6570882701332,3290.09228084805,162.256319575,2673.16197745567,1030.45528159237,2156.53017464754,483.611226813337,2469.73938165146,13717.414386679282
Q1,2021,0.61114965,86.0728773954841,1356.7865494883,94.483018336738,3496.64201523724,141.8823614,3068.56798510579,1148.97948071846,2377.89571492446,572.713982046596,2616.44308771647,14961.07822201954
Q2,2021,1.174982,97.055417054894,1238.38569376512,95.80090351,3429.84857689229,148.220612,3463.83780864361,1228.72229650104,2562.48908204148,477.378082401853,2822.0210293667,15564.934484176987
Q3,2021,1.539839,102.616504028399,1302.69694342405,91.480032,3561.49224059497,152.20200017,3449.52389326892,1297.92653210312,2326.04069156992,553.09542370849,3428.49935004661,16267.11344991448
Q4,2021,2.172857,94.2597037106219,1371.79020262472,89.497709,3645.31652648457,130.29026081,3461.32813717348,1423.34744739745,2533.89452857748,551.225130636162,3538.65608458087,16841.77858799535
Q1,2022,1.7274213,90.5545720519553,1458.33533876729,149.0110139125,4026.36271336489,163.578369007496,3758.38784940167,1715.466165351,2716.80317287125,619.939724165646,2802.0775708863,17502.243911079997
Q2,2022,1.2200565375,81.719979598603,1482.51441724011,110.89374785,4279.0603248956,237.09560555,3894.64201852032,1902.14586778383,2924.38469360709,590.63507820865,2053.5231618608,17557.834951652505
Q3,2022,1.63538174,60.8882344907476,1628.28649673384,129.09557669,4238.04235242806,196.24474763,3688.18800479132,1955.89226875267,2928.00227849158,587.755476409276,2288.28393570245,17702.314753859944
Q4,2022,0.7755094125,56.843619264766,1575.50423821539,116.8027202125,4456.13700155792,216.7970649,3565.44388056479,2219.33899489413,2881.39526334203,553.38282240929,2347.31543363574,17989.736548409055
Q1,2023,100.6420790625,72.869845734071,1939.06918972729,117.3063119125,5204.04653098291,168.38815955,3640.76504073986,1696.05815104797,3929.43931891846,663.781356072593,2090.94174822926,19623.307731977413
Q2,2023,112.4405233875,75.6999208640441,1638.96599367718,91.34346985,5286.29477404373,164.2825331875,3761.43199057023,1525.11783872217,4272.12882433086,603.137354155027,2062.56079593562,19593.40401872386
Q3,2023,91.749523,105.577874702867,1783.92646170574,92.40946,5135.57997203747,194.020146,3449.91445184618,2545.21518889733,3002.25480404545,636.201922980486,2209.07395513447,19245.923760349993
Q4,2023,90.989302,115.484560661154,1777.70847208776,67.204121,5262.2462500124,177.46582,3384.60908866565,2641.327843243,3628.98088406215,671.801922382344,1930.48195756185,19748.30022167631
Q1,2024,94.076874,131.822379190367,1727.37652645353,82.812401,5690.67458728705,171.12883,3271.2574991341,1818.58891117889,4514.45436786929,705.811481596782,2111.58996202221,20319.593819732218
Q2,2024,91.308684,126.03464752225,1738.78309340471,67.837515,5938.33386950893,155.868999,3155.9371262611,1705.44591418606,4257.36861026806,668.775547290051,2628.80326069068,20534.49726713184
Q3,2024,117.439015,123.633225087361,1978.24940246905,79.932817,6449.54995098858,149.815019,3110.45899640759,1615.98460683827,4548.29711119491,633.83072782269,2051.20483084542,20858.39570265387
Q4,2024,74.356151,120.608508205429,1953.46653628898,166.391318,6955.74646764791,161.088065,3248.29673767486,1751.88737915624,5032.46478160015,512.352046121632,1907.7453698736,21884.403360568802
Q1,2025,66.254857,229.258685294003,1979.98850895471,136.85939,7063.99498521677,149.232255,3298.10840416833,1812.99754903069,5427.48460625302,524.046310273473,2078.97896943214,22767.204520623138
Q2,2025,77.7509837,231.117887669532,1805.71423060259,189.914842,7449.3413067033,140.69517689,3060.8768772132,1793.9748987939,5493.41016161557,498.717037812589,2208.56017113131,22950.07357413199
Q3,2025,90.22595,250.412591857908,1853.92742093138,210.80899949,7911.99517020312,133.1067472,2916.97234759909,1990.55262526037,5592.46695346508,502.592830521781,2195.55353584106,23648.61517236979
Q4,2025,62.74,370.29,1892.09,161.22,8545.29,121.49,3155.49,2317.58,6077.63,643.8,2367.26,25714.880000000005
