,,,,,,,
القائمة الرئيسية   Main List,,,,,,,قائمة شركات التمويل       Finance Companies 
,,,,,,,
Table 6: Finance Companies' Credit Classified by Sectors,,,,,,,جدول 6: الإئتمان الممنوح من شركات التمويل حسب القطاعات
(Million ﷼),,,,,,,(مليون ﷼)
نهاية الفترة,,الأفراد,متناهي الصغر,المنشآت الصغيرة,المنشآت المتوسطة,الشركات (كبيرة),الإجمالي
End of Period,,Retail,Microfinance,Small Enterprises,Medium Enterprises,Corporate – Non SME,Total
2018,,35939.984435834,1207.47598814929,3212.64975425402,3334.53327452778,3974.86776625862,47669.5112190237
2019,,37376.6445950173,1687.68227444181,3810.18642368109,3882.5414648117,2559.44098484447,49316.49574279637
2020,,40407.7429544625,2514.33162163558,5180.69679129725,4191.95128877126,1830.43468497519,54125.15734114178
2021,,51231.2851573185,2938.27297551679,6769.33710693391,4934.20632538466,2199.96218016,68073.06374531386
2022,,57459.3827095725,3137.06843358759,7397.49936004495,5272.23445934151,2182.934295435,75449.11925798154
2023,,64995.8500069854,2575.42545850827,8184.67969989374,6521.15872406431,2467.03633921,84744.15022866172
2024,,74351.9995331629,2587.5538104925,8274.03691595377,7355.61886133878,3667.19377278375,96236.40289373169
2025,,81576.8,3203.15,9095.32,8756.34,4660.07,107291.68
,,,,,,,
Q1,2018,37491.3086741255,1452.89382508271,2999.3722983862,3381.07857824675,4082.08769678502,49406.74107262619
Q2,2018,37148.5271232015,1371.55248305238,2905.84362080052,3378.47914853092,4069.69839323936,48874.10076882468
Q3,2018,36537.8777492649,1392.44096211572,2975.53361896353,3316.08765109934,3888.72746520507,48110.66744664856
Q4,2018,35939.984435834,1207.47598814929,3212.64975425402,3334.53327452778,3974.86776625862,47669.5112190237
Q1,2019,35755.6480813552,1113.6874153581,3468.95638244422,3569.95535545642,3701.29699526945,47609.54422988339
Q2,2019,36014.1915784912,1070.83186384216,3599.63880007838,3201.18936970599,3545.21390265068,47431.06551476841
Q3,2019,36579.498135756,1293.16513916937,3826.32604719684,3631.59096659329,2800.77138665351,48131.35167536901
Q4,2019,37376.6445950173,1687.68227444181,3810.18642368109,3882.5414648117,2559.44098484447,49316.49574279637
Q1,2020,37324.1517058256,1740.73685460228,4230.13139507294,3705.23828244137,1864.31944871817,48864.577686660356
Q2,2020,37420.4537892376,2026.7470493492,4761.60609918395,3848.31865927324,1843.32400732,49900.44960436399
Q3,2020,38520.620408834,1857.560273344,5165.3923969627,3728.78819550232,1742.07667528,51014.43794992302
Q4,2020,40407.7429544625,2514.33162163558,5180.69679129725,4191.95128877126,1830.43468497519,54125.15734114178
Q1,2021,43887.4104673096,2789.66609687696,5630.80224746071,4545.74408459707,1994.8657930848,58848.48868932914
Q2,2021,45993.8268426306,2702.83129170003,6099.61949690156,4658.2938831906,2104.1898123848,61558.761326807595
Q3,2021,49448.9065971942,2768.23598618025,6611.33622542279,4776.33103358665,2111.2102047248,65716.02004710869
Q4,2021,51231.2851573185,2938.27297551679,6769.33710693391,4934.20632538466,2199.96218016,68073.06374531386
Q1,2022,53511.05334305,3149.4485352802,7221.2708986814,4897.8250219109,2233.69945520749,71013.29725413
Q2,2022,54995.0706816375,3164.95978499589,7259.47251602697,4969.98767413715,2163.41497649249,72552.90563329
Q3,2022,56162.8720447997,3420.4383374561,7173.96565827596,4870.36874269788,2237.54201543,73865.18679865963
Q4,2022,57459.3827095725,3137.06843358759,7397.49936004495,5272.23445934151,2182.934295435,75449.11925798154
Q1,2023,59269.3571649825,2923.70210088613,8296.83094168651,6058.12422485477,2344.65046455,78892.6648969599
Q2,2023,61118.0404971175,2945.02114368512,8177.80303290429,6191.15570470695,2279.4241374275,80711.44451584136
Q3,2023,62803.32942827,2681.8980531305,8044.32426241122,6205.08191099828,2314.61953381,82049.25318862
Q4,2023,64995.8500069854,2575.42545850827,8184.67969989374,6521.15872406431,2467.03633921,84744.15022866172
Q1,2024,68267.58370912,2586.59552086506,8258.103847525,6849.93582296278,2624.95862837939,88587.17752885222
Q2,2024,69649.06931163,2570.17698294275,8135.97111034953,6899.60957582675,2928.73959801281,90183.56657876183
Q3,2024,72137.6573925796,2643.34185218182,7882.98588350178,6929.41730257391,3402.65066439637,92996.05309523348
Q4,2024,74351.9995331629,2587.5538104925,8274.03691595377,7355.61886133878,3667.19377278375,96236.40289373169
Q1,2025,75424.10774599,2669.81296646255,8427.87206502537,7587.21964241034,4082.29984672488,98191.31226661314
Q2,2025,76420.8720061716,2704.73109724195,8465.51286828288,7405.69438786843,4374.13522073875,99370.94558030361
Q3,2025,79045.5891078532,2647.63919985462,8722.50262842202,7857.55016901872,4420.92317507443,102694.204280223
Q4,2025,81576.8,3203.15,9095.32,8756.34,4660.07,107291.68
