,,,,,,
القائمة الرئيسية   Main List,,,,,,قائمة شركات التمويل       Finance Companies 
,,,,,,
Table 7: Residential New Mortgages Finance For Individuals Provided by Finance Companies,,,,,,جدول 7:التمويل العقاري السكني الجديد للأفراد المقدم من شركات التمويل
,,,,,,
الفترة,,إجمالي عدد العقود ,الفلل,الشقق ,الأراضي ,حجم التمويل
,,,,,,
Period,,Total Number of Contracts ,Houses ,Apartments,Land,Total
,,, (Million SAR مليون ريال ),,,
2016-12-31T00:00:00,,2127,---,---,---,2165.78305193
2017-12-31T00:00:00,,2364,---,---,---,2102.2572206199998
2018-12-31T00:00:00,,3582,1874.77904349,458.29181039,127.70480808999997,2460.77566197
2019-12-31T00:00:00,,9027,4168.69934953,1004.22619904,113.94019726999998,5286.86574584
2020-12-31T00:00:00,,6411,3511.9802939300007,998.2121273100001,82.01852472000002,4592.2109459600015
2021-12-31T00:00:00,,4590,2563.9454654,1094.5916243200002,108.9268972,3767.46398692
2022-12-31T00:00:00,,3431,1544.89297461,1335.17582769,206.02210057000002,3086.09090287
2023-12-31T00:00:00,,3594,1157.41684961,1481.19875941,418.14591826,3056.7615272800003
2024-12-31T00:00:00,,3024,1044.68858745,1200.3471599499999,323.4566817,2568.4924290999998
2025-12-31T00:00:00,,2793,866.5757307,1276.4165535299999,344.24468844,2487.23697267
,,,,,,
Q1,2016,439,---,---,---,481.98021400000005
Q2,2016,640,---,---,---,659.4271096699999
Q3,2016,557,---,---,---,570.4474702800001
Q4,2016,491,---,---,---,453.92825798
Q1,2017,623,---,---,---,608.86852469
Q2,2017,549,---,---,---,462.60725042999997
Q3,2017,487,---,---,---,442.5631733700001
Q4,2017,705,---,---,---,588.2182721300001
Q1,2018,562,312.14314646,99.16641664000001,26.781166,438.09072910000003
Q2,2018,993,522.11172957,102.75302186,25.308963860000002,650.1737152899999
Q3,2018,758,417.64325773,82.48806696,31.97968723,532.11101192
Q4,2018,1269,622.88090973,173.88430493,43.634991,840.40020566
Q1,2019,1826,843.30586608,190.07827185999997,47.44614953,1080.8302874699998
Q2,2019,2046,856.6200122199999,216.98007409999997,18.548047320000002,1092.14813364
Q3,2019,2463,1146.8010031,267.20329713,16.1611446,1430.1654448299998
Q4,2019,2692,1321.9724681300002,329.96455595,31.784855819999997,1683.7218799000002
Q1,2020,2087,1068.9763317700001,280.13936242,27.665398,1376.7810921900002
Q2,2020,1115,710.053366,154.02566227,20.604318,884.68334627
Q3,2020,1584,847.39370195,248.04973907,16.578384,1112.02182502
Q4,2020,1625,885.55689421,315.99736355,17.17042472,1218.72468248
Q1,2021,1588,916.62528026,346.61050844,25.959020199999998,1289.1948088999998
Q2,2021,923,584.81331119,191.99216884999998,12.124079,788.9295590400001
Q3,2021,1052,583.2092052,243.34411235,51.458623,878.01194055
Q4,2021,1027,479.29766875,312.64483468000003,19.385175,811.3276784300001
Q1,2022,861,458.61237399000004,280.56187215,50.187481,789.3617271400001
Q2,2022,759,346.26010597,291.94936764,72.24993975000001,710.45941336
Q3,2022,791,349.11049829,362.55846236,44.32462912,755.99358977
Q4,2022,1020,390.90999636000004,400.10612554,39.2600507,830.2761726000001
Q1,2023,1046,321.82205646,419.48097723000006,81.03021718,822.33325087
Q2,2023,638,230.49722616,269.01478008000004,100.10102144999999,599.6130276900001
Q3,2023,883,304.40400612999997,365.33779485,94.85987663,764.60167761
Q4,2023,1027,300.69356086,427.36520725,142.154803,870.21357111
Q1,2024,909,304.76292865000005,350.6012328,111.258487,766.62264845
Q2,2024,654,255.541371,250.38802285000003,50.0428029,555.97219675
Q3,2024,669,210.89608456,271.67617674999997,73.114441,555.68670231
Q4,2024,792,273.48820323999996,327.68172755,89.0409508,690.21088159
Q1,2025,707,174.69242047,346.99339449999997,96.87526,618.5610749699999
Q2,2025,600,196.83658196,281.75685077,94.8948714,573.48830413
Q3,2025,666,211.0968795,294.93853241,52.52396204,558.55937395
Q4,2025,820,283.94984877,352.72777585,99.95059499999999,736.62821962
,,,,,,
2016-01-31T00:00:00,,122,---,---,---,124.681373
2016-02-29T00:00:00,,148,---,---,---,173.443984
2016-03-31T00:00:00,,169,---,---,---,183.854857
2016-04-30T00:00:00,,185,---,---,---,212.210944
2016-05-31T00:00:00,,232,---,---,---,237.29537975
2016-06-30T00:00:00,,223,---,---,---,209.92078592
2016-07-31T00:00:00,,155,---,---,---,171.40088148
2016-08-31T00:00:00,,253,---,---,---,256.5418543
2016-09-30T00:00:00,,149,---,---,---,142.5047345
2016-10-31T00:00:00,,176,---,---,---,174.92894941
2016-11-30T00:00:00,,181,---,---,---,171.48002946
2016-12-31T00:00:00,,134,---,---,---,107.51927911
2017-01-31T00:00:00,,235,---,---,---,225.7060654
2017-02-28T00:00:00,,152,---,---,---,142.80842001
2017-03-31T00:00:00,,236,---,---,---,240.35403928
2017-04-30T00:00:00,,184,---,---,---,159.94393968
2017-05-31T00:00:00,,229,---,---,---,187.4728195
2017-06-30T00:00:00,,136,---,---,---,115.19049125
2017-07-31T00:00:00,,224,---,---,---,203.0171214
2017-08-31T00:00:00,,161,---,---,---,154.79301329
2017-09-30T00:00:00,,102,---,---,---,84.75303868
2017-10-31T00:00:00,,201,---,---,---,158.0770263
2017-11-30T00:00:00,,232,---,---,---,210.24071549
2017-12-31T00:00:00,,272,---,---,---,219.90053034
2018-01-31T00:00:00,,121,63.19670382,18.57250575,7.956454,89.72566357000001
2018-02-28T00:00:00,,184,123.593299,34.59150644,12.5615,170.74630544000001
2018-03-31T00:00:00,,257,125.35314364,46.00240445,6.263212,177.61876009
2018-04-30T00:00:00,,392,209.45746586,40.29891646,6.351738,256.10812032
2018-05-31T00:00:00,,441,228.6474958,43.348782,15.01378086,287.01005866
2018-06-30T00:00:00,,160,84.00676791,19.1053234,3.943445,107.05553631
2018-07-31T00:00:00,,328,180.70517873,29.89026896,14.16531223,224.76075992
2018-08-31T00:00:00,,206,110.938079,19.597798,5.814375,136.350252
2018-09-30T00:00:00,,224,126,33,12,171
2018-10-31T00:00:00,,454,233.261632,52.6501292,21.276372,307.1881332
2018-11-30T00:00:00,,399,199.46658026,56.15735565,5.935955,261.55989091000004
2018-12-31T00:00:00,,416,190.15269747,65.07682008,16.422664,271.65218155
2019-01-31T00:00:00,,516,244.16864409,74.4337129,10.22444925,328.82680624
2019-02-28T00:00:00,,657,307.67305294,50.9964611,26.138284,384.80779803999997
2019-03-31T00:00:00,,653,291.46416905,64.64809786,11.08341628,367.19568319
2019-04-30T00:00:00,,674,286.33335125,82.37141931,9.48856291,378.19333346999997
2019-05-31T00:00:00,,905,386.29343981,84.12789657,6.29048441,476.71182079
2019-06-30T00:00:00,,467,183.99322116,50.48075822,2.769,237.24297938
2019-07-31T00:00:00,,1070,488.19695221,109.00715565,6.125575,603.32968286
2019-08-31T00:00:00,,558,258.06683896,66.07877976,3.774235,327.91985372
2019-09-30T00:00:00,,835,400.53721193,92.11736172,6.2613346,498.91590825000003
2019-10-31T00:00:00,,879,425.66065678,119.33191446,13.64516699,558.63773823
2019-11-30T00:00:00,,881,442.47039409,97.60241682,5.86918883,545.94199974
2019-12-31T00:00:00,,932,453.84141726,113.03022467,12.2705,579.14214193
2020-01-31T00:00:00,,911,460.88533457,114.98509623,17.823599,593.6940298
2020-02-29T00:00:00,,669,361.15793881,88.55041691,5.193799,454.90215472
2020-03-31T00:00:00,,507,246.93305839,76.60384928,4.648,328.18490767000003
2020-04-30T00:00:00,,134,65.67430457,22.17467552,1.204375,89.05335509
2020-05-31T00:00:00,,291,176.87794215,38.97417994,2.851492,218.70361409
2020-06-30T00:00:00,,690,467.50111928,92.87680681,16.548451,576.92637709
2020-07-31T00:00:00,,714,407.77715712,95.99859755,5.895884,509.67163867000005
2020-08-31T00:00:00,,365,189.14127589,70.90915242,1.43,261.48042831
2020-09-30T00:00:00,,505,250.47526894,81.1419891,9.2525,340.86975804
2020-10-31T00:00:00,,474,241.39398836,93.60635264,5.13975,340.140091
2020-11-30T00:00:00,,591,309.53515855,122.75134545,6.74565472,439.03215872
2020-12-31T00:00:00,,560,334.6277473,99.63966546,5.28502,439.55243276
2021-01-31T00:00:00,,483,278.80834029,103.79506653,8.8316752,391.43508202
2021-02-28T00:00:00,,488,265.21963297,112.51960264,4.619125,382.35836061000003
2021-03-31T00:00:00,,617,372.597307,130.29583927,12.50822,515.4013662699999
2021-04-30T00:00:00,,422,247.37270952,90.95780875,4.4164,342.74691827000004
2021-05-31T00:00:00,,294,189.82761837,59.16108065,4.5385,253.52719902
2021-06-30T00:00:00,,207,147.6129833,41.87327945,3.169179,192.65544175000002
2021-07-31T00:00:00,,220,136.39650709,51.99412429,3.055,191.44563138
