,,,,,,,,,,,,,,,
القائمة الرئيسية   Main List,,,,,,,,,,,,,,قائمة الإحصاءات النقدية والمالية       Money & Banking Stat. List,
,,,,,,,,,,,,,,,
Table 20: Private Sector Imports Financed Through Commercial Banks,,,,,,,,,,,,,,جدول 20: واردات القطاع الخاص الممولة عن طريق المصارف التجارية,
 (Letters of Credit Settled and Bills Received),,,,,,,,,,,,,, (الإعتمادات المسددة وأوراق تحت التحصيل),
(Million ﷼),,,,,,,,,,,,,,(مليون ﷼),
الفترة,,Foodstuff             المواد الغذائية,,,,,,منسوجات ,مواد بناء,سيارات,آلات ,أجهزة, سلع أخرى,الإجمالي,
,,حبوب, فواكه و خضروات,سكر وشاي وبن,مواشي ولحوم,مواد,المجموع,وملبوسات,,,,,,,
Period,,Food,Fruits &,"Sugar, Tea",Livestock,غذائية أخرى,,Textiles,Building,Motor,Machinery,Appliances,Other,Grand,
,,Grains,Vegetables,& Coffee,& Meat,Others,Total,& Clothing,Materials,Vehicles,,,Goods,Total,
1993,,1813.1899999999998,224.955,677.118,1900.579,3555.2360000000003,8171.078,7120.3110000000015,5300.587,12778.755000000001,4354.204,5520.822999999999,28383.544,71629.30200000001,
1994,,1451.302,233.213,864.326,1734.478,3747.644,8030.963,5498.328,4286.321,9159.301,3158.779,5406.492,20917.085,56457.269,
1995,,1607.571,198.583,816.408,1376.301,4369.816,8368.679,5434.192,3510.631,6324.237,3188.98,4444.797,27875.298,59146.814,
1996,,1833,554.8,1401.3,1736.9,4685,10211,5397.9,3876.7,8823.7,3109.9,4757.5,28606.2,64782.9,
1997,,1996.915,277.981,614.165,1529.389,4113.644,8532.094,5269.302,3835.088,9836.598,3200.215,3762.656,36248.67,70684.623,
1998,,2383.643,218.2,514.044,1376.275,4254.504,8746.666,5084.258,3781.633,12439.415,3221.55,3436.44,33245.449,69955.411,
1999,,2805.205,201.233,360.709,1119.393,3828.28,8314.82,4380.268,3479.796,8458.074,2717.927,3607.502,34721.837,65680.224,
2000,,3072.252,156.994,371.14699999999993,1185.244,4287.24,9072,3994.565,3501.9510000000005,8922.834,3902.707,3341.9629999999997,38614.477999999996,71351.375,
2001,,2746.9780000000005,183.68200000000002,657.4110000000001,1403.452,4856.271,9847.794,4944.148,4514.28,11792.175,5240.321,3753.743,40933.26,81025.721,
2002,,3358.551,164.84900000000002,522.484,1726.07,4307.655,10079.608999999999,5096.061,4282.496999999999,13717.088000000003,3457.6050000000005,3243.899,39878.439,79755.19800000002,
2003,,3964.8609999999994,188.42,399.375,2331.642,5751.97,12636.268,4484.619,3889.0009999999997,13929.019,3493.629,3073.855,44668.844,86175.235,
2004,,2969.899,129.024,779.3909999999998,1930.17,5809.374999999999,11617.859,3796.552,4562.601000000001,14987.865000000002,4349.354,3586.781000000001,53118.382999999994,96019.395,
2005,,2762.6409999999996,331.782,974.012,2020.4809999999998,7200.556999999999,13289.473,4628.828,7370.124999999999,25558.445000000003,6107.049,4527.074,54702.028999999995,116183.02299999999,
2006,,3323.686,551.518,427.379,2576.091,6262.9569999999985,13141.631,4256.360000000001,10684.279,26664.573999999997,10249.641,4431.5199999999995,62863.656,132291.661,
2007,,5387.658,285.532,362.80600000000004,2921.259,9152.185,18109.440000000002,4626.0380000000005,14661.025,25608.734,12255.026,4552.557000000001,88705.46700000002,168518.28699999998,
2008,,7655.089,454.061,1150.692,2814.764,15686.076,27760.681999999997,4649.067,19011.775,25711.081,13687.445999999998,5777.072,115849.868,212446.991,
2009,,5277.955999999999,241.13800000000003,1075.906,3185.861,8582.237,18363.098,4597.212,11787.329000000002,23033.695999999996,15283.804,4471.630999999999,84183.21900000001,161719.989,
2010,,7473.5650000000005,176.464,1095.567,2949.304,9250.358,20945.258,3797.8450000000003,15405.788999999999,34307.772000000004,20129.697,4686.329,89699.81,188972.49999999997,
2011,,5524.447,300.317,1008.053,2655.851,8725.715,18214.383,4869.943,20563.417,36744.756,24296.991,6119.612,119801.118,230610.22,
2012,,12354.169,341.847,708.813,2738.189,8389.086,24532.104,4584.734,24783.42,47314.862,29805.285,5375.015,119188.971,255584.391,
2013,,17671.863,602.291,717.703,4105.473,9229.629,32326.959,4011.522,20891.802,56291.812,20700.321,5124.807,114073.305,253420.528,
2014,,12655.834,515.801,1434.846,4244.884,10313.619,29164.984,4362.636,26639.058,48400.848,21358.87,6786.481,101952.775,238665.652,
2015-12-31T00:00:00,,13056.118,671.876,1297.473,3823.975,9587.125,28436.567,2913.978,29196.224,53675.439,15896.277,6854.831,102574.841,239548.157,
2016-12-31T00:00:00,,10493.557,819.0506100300001,2353.55900282,4502.275679750001,9244.71581854,27413.15811114,2051.46050949,19318.33649652,34820.48829727,10393.0673989,5117.64555735,77891.66912520182,177005.8254958718,
2017-12-31T00:00:00,,6198.549092738499,601.4548012719999,869.3287454822,3457.7889924245,8068.103313897999,19195.224945815196,2201.0003066730997,14568.8774520416,25728.290017016403,7560.2227125278005,4057.9813958467994,66730.70551542478,140042.30234534567,
2018-12-31T00:00:00,,6157.95985451376,605.5828815689999,838.6900794472201,2544.37271821401,7686.432485764541,17833.038019508534,1712.8109210586101,15450.313631483372,19773.43734820827,5341.6609628304805,3375.18166972726,68983.28244042909,132469.7249932456,
2019-12-31T00:00:00,,5014.02824226143,264.89657299899994,756.6735838440001,2435.5933774021196,7885.8347227184895,16357.02649922504,1878.28981125027,14929.56790001279,25442.89886693951,6028.35922749695,3408.1688956028097,67025.65754044127,135069.96874096864,
2020-12-31T00:00:00,,4195.75630277,342.86859999999996,529.35589,1882.68172,6833.432630000001,13784.09514277,971.4586999999999,12286.421690000001,26156.55568,4750.82144898,2774.87828100923,62498.746477839995,123222.97742059926,
2021-12-31T00:00:00,,5605.6911900000005,227.032,724.64507,2142.2468500000004,9007.042405999999,17706.657516000003,717.4055199999999,12823.440794,29401.133247999995,4350.5007,3335.3662520000003,62420.871203,130755.375233,
2022-12-31T00:00:00,,7191.727480000001,585.474,589.1884857699999,968.8786800000001,10367.307909329998,19702.5765551,834.44405123,15304.59342468,35662.11749325,5241.67681168,3228.02034526,78148.41056275,158121.83924395,
2023-12-31T00:00:00,,4144.94633,163.00581774999998,458.26260467,884.09731843,7675.84752805,13326.1595989,665.18573683,16662.25257792,42915.98407544,8179.461613260001,3727.8119913800006,84808.68908516002,170285.54467889,
2024-12-31T00:00:00,,3838.14121,735.75864808,1149.88044814,1328.50821,6611.04843938,13663.336955599998,866.4261983900001,28336.318648810004,38811.35870413,11614.527352229998,3323.3305970500005,85643.78237540001,182259.08083161002,
2025-12-31T00:00:00,,3816.7567000000004,425.16155000000003,846.5617492299999,2142.29406,8458.93443936,15689.70849859,978.6616277,27417.29554823,31478.793621679997,9214.448014910002,4636.431996710001,88494.15662125,177909.49592907,
,,,,,,,,,,,,,,,
Q1,1993,424.438,62.931,172.359,464.816,782.2270000000001,1906.7710000000002,1681.3629999999998,1216.27,3173.134,929.384,1199.346,5655.934,15762.202000000001,
Q2,1993,521.396,53.759,172.398,479.408,764.7370000000001,1991.698,1914.0530000000003,1263.509,3475.576,1330.7359999999999,1350.7939999999999,11226.587,22552.953,
Q3,1993,337.657,64.365,169.361,439.699,1016.4720000000001,2027.554,1926.295,1415.908,2500.885,964.3330000000001,1472.583,5423.023,15730.581000000002,
Q4,1993,529.6990000000001,43.9,163,516.656,991.8000000000002,2245.0550000000003,1598.6,1404.9,3629.1600000000003,1129.751,1498.1,6078,17583.566,
Q1,1994,443.503,31.919,220.731,527.762,953.2339999999999,2177.149,1621.648,1256.261,3456.791,1441.4389999999999,1465.8719999999998,5644.715,17063.875,
Q2,1994,252,67.4,158.2,429.9,864.2,1771.7,1307.9,1101.1,2331.7,595.8,1398.5,6117.400000000001,14624.100000000002,
Q3,1994,311.9,82.3,127.30000000000001,385.9,930.3000000000001,1837.7000000000003,1188.8000000000002,915.4000000000001,1411.9,528.7,1181,4380.700000000001,11444.2,
Q4,1994,443.899,51.594,358.095,390.91600000000005,999.91,2244.4139999999998,1379.98,1013.56,1958.9099999999999,592.84,1361.12,4774.27,13325.094000000001,
Q1,1995,403.38,74.98,223.964,329.23,1034.3400000000001,2065.894,1302.944,1047.8799999999999,1802.73,894.96,1133.31,7849.499999999999,16097.218,
Q2,1995,433.908,39.404,184.35899999999998,359.55400000000003,1079.874,2097.099,1254.594,761.388,1873.5749999999998,584.3489999999999,1176.04,6193.248,13940.293,
Q3,1995,335.245,32.717999999999996,198.57799999999997,280.70399999999995,1082.79,1930.035,1325.992,867.097,1092.028,663.1300000000001,925.5020000000001,7525.380999999999,14329.165,
Q4,1995,435.038,51.481,209.507,406.813,1172.8120000000001,2275.651,1550.662,834.2659999999998,1555.904,1046.541,1209.945,6307.169,14780.137999999999,
Q1,1996,414.346,155.256,341.454,523.365,1180.764,2615.185,1361.001,1006.742,2201.882,681.348,1284.294,6489.071,15639.523,
Q2,1996,550.369,224.934,303.777,449.157,1301.302,2829.539,1455.234,896.539,2060.261,957.985,910.893,7274.547,16384.998,
Q3,1996,384.762,94.646,367.758,342.788,1125.567,2315.521,1335.848,1111.058,1940.431,802.173,1323.819,6308.85,15137.7,
Q4,1996,483.5,80,388.3,421.6,1077.4,2450.8,1245.8,862.4,2621.1,668.4,1238.5,8533.7,17620.7,
Q1,1997,381.454,92.165,163.006,440.052,1122.218,2198.895,1281.244,880.542,2172.801,610.702,999.292,11695.385,19838.861,
