,,,,,,,,,,,,,,,
القائمة الرئيسية   Main List,,,,,,,,,,,,,,قائمة الإحصاءات النقدية والمالية       Money & Banking Stat. List,
,,,,,,,,,,,,,,,
Table 21: Private Sector Imports Financed Through Commercial Banks,,,,,,,,,,,,,,جدول 21: واردات القطاع الخاص الممولة عن طريق المصارف التجارية,
 (New Letters of Credit Opened),,,,,,,,,,,,,, (الإعتمادات المستندية الجديدة المفتوحة),
(Million ﷼),,,,,,,,,,,,,,(مليون ﷼),
الفترة,,Foodstuff             المواد الغذائية,,,,,,منسوجات ,مواد بناء,سيارات,آلات ,أجهزة, سلع أخرى,الإجمالي,
,,حبوب, فواكه و خضروات,سكر وشاي وبن,مواشي ولحوم,مواد,المجموع,وملبوسات,,,,,,,
Period,,Food,Fruits &,"Sugar, Tea",Livestock,غذائية أخرى,,Textiles,Building,Motor,Machinery,Appliances,Other,Grand,
,,Grains,Vegetables,& Coffee,& Meat,Others,Total,& Clothing,Materials,Vehicles,,,Goods,Total,
1993,,1525.453,260.12800000000004,702.6589999999999,1293.5180000000003,2746.0049999999997,6527.763000000001,5851.741999999999,5128.941,11172.405999999999,3594.37,4313.414,19717.353,56305.989,
1994,,1809.65,287.09,990.02,1203.82,2752.46,7043.04,4538.79,3694.05,7286.959999999999,4480.67,4482.9,17938.489999999998,49464.90000000001,
1995,,1812.865,245.41000000000003,1031.845,985.906,2847.206,6923.231999999999,5190.927,2975.51,6729.466,4572.88,3077.1620000000003,27659.512000000002,57128.689,
1996,,1750.227,292.168,849.7310000000001,1078.382,2883.393,6853.901,3961.386,3639.3460000000005,7310.764999999999,2820.7349999999997,3965.469,22888.843,51440.445,
1997,,2284.05,176.063,438.45399999999995,594.069,2067.644,5560.28,4214.597,3001.811,7893.396999999999,2591.469,2424.327,27657.799,53343.67999999999,
1998,,2920.881,222.006,428.371,712.673,2457.508,6741.438999999999,3955.979,3124.727,10193.327,3979.923,2510.3,25155.412,55661.167,
1999,,2498.732,120.638,219.223,354.69,2268.3630000000003,5461.706,3592.852,2588.344,6229.655,2791.5730000000003,2714.5469999999996,23064.769,46443.446,
2000,,2737.745,117.59600000000002,185.04199999999997,466.7860000000001,2797.825,6304.994000000001,2973.4729999999995,2438.761,6513.261,3289.3840000000005,2539.8129999999996,25668.838,49728.524,
2001,,2365.722,115.695,239.73600000000002,858.185,2720.2619999999993,6299.6,3256.1910000000003,3615.3540000000003,8692.701000000001,3704.231,3225.2529999999997,25634.108999999997,54427.43900000001,
2002,,2794.0539999999996,73.839,229.624,1002.206,2833.659,6933.3820000000005,3459.735,2953.2150000000006,10545.475000000002,2509.981,2486.2830000000004,28264.849000000002,57152.92,
2003,,3851.7280000000005,72.757,140.649,871.855,3586.8859999999995,8523.875,3202.3520000000003,2630.891,11525.5,2956.527,2183.888,33971.166999999994,64994.2,
2004,,3011.7460000000005,100.235,156.405,741.9590000000001,3812.723,7823.068,3247.6539999999995,4472.783,12016.539,4816.0160000000005,3018.1150000000007,42767.05600000001,78161.231,
2005,,3378.0249999999996,130.297,190.83199999999997,896.218,4577.795999999999,9173.167999999998,3939.6269999999995,7408.134,18327.748,7766.516999999999,3579.256,37892.562999999995,88087.013,
2006,,3630.3319999999994,144.811,228.528,1342.957,4656.009,10002.637000000002,3687.2229999999995,11349.785000000002,16372.278999999999,11978.067000000003,3818.44,46760.137,103968.568,
2007,,7189.1,111.08500000000001,308.66100000000006,1479.808,6864.483999999999,15953.137999999999,4091.41,15289.965,18348.213,12409.137000000002,4308.227,62566.58499999999,132966.675,
2008,,8810.126,281.09599999999995,602.683,1158.617,8504.153,19356.675000000003,4404.182,19631.342,21302.377,15735.891,5192.571,86549.79800000001,172172.836,
2009,,5685.453,117.44900000000001,407.432,971.3179999999999,5726.691000000001,12908.343,3424.7840000000006,11514.667,19380.118,16334.037999999999,4265.6539999999995,51901.94500000001,119729.54899999998,
2010,,6149.946999999999,148.863,473.247,687.0040000000001,6757.492000000001,14216.553,3496.884,17567.386000000002,27944.486,20116.441,5811.72,64181.704,153335.174,
2011,,4615.139,119.426,557.069,589.952,5154.865,11036.451,3834.079,20289.272,26321.886,28237.886,6788.367,83155.198,179663.139,
2012,,14580.87,308.147,507.385,574.414,4929.21,20900.026,4402.279,22808.772,34715.451,28076.958,5356.061,89800.122,206059.669,
2013,,15388.731,163.333,345.913,349.539,5355.061,21602.577,3237.547,16917.103,47755.524,19195.129,5728.293,90170.464,204606.637,
2014,,11877.892,102.928,495.274,400.805,6039.754,18916.653,3477.548,25373.723,44747.375,20954.416,7981.952,82272.625,203724.292,
2015-12-31T00:00:00,,11877.064,152.991,494.704,556.247,5063.481,18144.487,2307.576,19076.482,50396.938,12599.01,6754.117,77905.812,187184.422,
2016-12-31T00:00:00,,9381.17,305.17966959378003,362.67299461247995,729.49747335597,4554.70782884861,15333.227966410837,1544.5366633858603,15131.36895831167,31424.135498910004,7934.238390655441,4577.77876104769,59804.5535977373,135749.8398364588,
2017-12-31T00:00:00,,4705.44711914,245.05669374000001,477.0746252610601,230.85518738559998,4477.04058647377,10135.47421200043,1673.36661223017,13345.43102962986,25162.2435462351,7202.91840994968,4935.31826576148,54104.421957276776,116559.17403308347,
2018-12-31T00:00:00,,4933.026973032,141.99412299921,387.48222190987997,158.87937133443,3991.19032417774,9612.57301345326,1049.15066962647,13061.099009183981,16642.759050246652,4646.149271886569,3596.10813263333,57152.87191454025,105760.71106157053,
2019-12-31T00:00:00,,4043.70710373738,175.383,386.91480434528006,99.26216989999999,4028.20270117097,8733.469779153631,1102.51963140419,13364.38745263264,26872.77457718655,5604.8011616963895,3606.43626726423,61133.94728176968,120418.3361511073,
2020-12-31T00:00:00,,4047.05852,58.096,325.94156999999996,252.67366,2456.992582,7140.762332,607.6639200000001,10229.772530889999,24472.35205593,4335.84146517658,4484.059929999999,55086.90446522999,106357.35669922657,
2021-12-31T00:00:00,,5666.517370000001,21.326,434.26059,315.547,4249.47568,10687.12664,590.54439,12087.200212000002,31797.433661000003,4778.7768670000005,4244.429317,62794.069005978075,126979.5800929781,
2022-12-31T00:00:00,,6878.00987,443.01251,617.2369528959999,127.94483,6233.262797208,14299.466960104,634.2546020050002,14042.122984974001,40499.573230357,5403.183884661001,3974.3339751119997,75917.700480886,154770.63611809904,
2023-12-31T00:00:00,,3404.7356299999997,74.499,567.553911179,179.583705846,6488.5683026980005,10714.940549723,536.6946425790001,15596.244937161,41951.879128723,9267.856340654002,3941.71714487,82993.232238738,165002.56498244798,
2024-12-31T00:00:00,,3790.1153600000002,523.687,569.701788162,279.56252077299996,5011.943113694,10175.009782629,584.116867877,24566.619935109,40920.56909839699,12848.354412131,3724.483732592,84396.171054699,177215.324883434,
2025-12-31T00:00:00,,2830.54503,83.865,779.2901254,198.15826,7441.063902613,11332.922318013001,603.1581108880001,21895.810397957997,34599.784640754995,8784.162615069003,6762.715950366,87386.867984953,171365.42201800202,
,,,,,,,,,,,,,,,
Q1,1993,466.697,57.946,234.18,328.048,707.884,1794.755,1468.2379999999998,1101.412,1905.308,945.3,934.8059999999999,4073.902,12223.721000000001,
Q2,1993,321.946,59.671,153.919,437.783,591.005,1564.324,1653.9299999999998,1393.772,4086.615,871.2549999999999,1067.52,6756.42,17393.836,
Q3,1993,363.552,75.341,159.927,261.361,749.496,1609.6770000000001,1331.327,1384.361,2641.655,987.597,1039.257,4181.921,13175.794999999998,
Q4,1993,373.25800000000004,67.17,154.633,266.326,697.62,1559.007,1398.247,1249.396,2538.828,790.2180000000001,1271.8310000000001,4705.11,13512.636999999999,
Q1,1994,450.1,36.3,248.7,450.3,670.5,1855.8999999999999,1230.9,957.5999999999999,2091.7,1305,1067.6,4409.9,12918.6,
Q2,1994,366.5,95.2,132.4,225.2,609.9,1429.2000000000003,1175.4,870.2,1237.7,957.5,1051.9,3847.3,10569.2,
Q3,1994,353.50000000000006,59.2,224.4,245.8,643.8,1526.7,1069.5,875.1999999999999,1516.9,1078.5,880.3,3850.8,10797.9,
Q4,1994,639.55,96.39,384.52,282.52,828.26,2231.24,1062.99,991.05,2440.66,1139.67,1483.1,5830.49,15179.2,
Q1,1995,558.51,87.23,229.11999999999998,226.32999999999998,679.9000000000001,1781.0900000000001,1027.6399999999999,997.98,2179.8900000000003,1081.59,827.51,6653.51,14549.21,
Q2,1995,432.111,66.71100000000001,153.00900000000001,287.528,682.671,1622.03,1496.967,789.005,1590.782,1591.5220000000002,866.8610000000001,7300.907,15258.074,
Q3,1995,298.966,48.338,267.233,264.159,630.512,1509.208,1137.6750000000002,570.8779999999999,1409.9700000000003,854.3580000000001,842.6500000000001,7641.214,13965.953,
Q4,1995,523.278,43.131,382.483,207.889,854.123,2010.9039999999998,1528.645,617.6469999999999,1548.824,1045.41,540.141,6063.881,13355.452000000001,
Q1,1996,425.222,142.362,259.742,445.454,890.443,2163.223,1071.408,841.533,1628.054,758.368,1007.248,5847.378,13317.212,
Q2,1996,488.026,62.721,189.468,203.357,739.39,1682.962,945.755,961.474,1988.232,635.447,756.669,5586.744,12557.283,
Q3,1996,248.079,28.185,265.421,188.971,607.66,1338.316,903.223,842.639,1276.379,694.62,1441.652,5532.621,12029.45,
Q4,1996,588.9000000000001,58.9,135.1,240.6,645.9,1669.4,1041,993.7,2418.1,732.3,759.9000000000001,5922.1,13536.5,
Q1,1997,485.085,58.423,109.803,257.17,559.428,1469.909,837.962,756.942,1622.072,478.801,703.29,6550.943,12419.919,
