,,,,,,,,,,
القائمة الرئيسية   Main List,,,,,,,,,قائمة الإحصاءات النقدية والمالية       Money & Banking Stat. List,
,,,,,,,,,,
Table 23: Private Sector Exports Financed Through Commercial Banks,,,,,,,,,جدول 23: صادرات القطاع الخاص الممولة عن طريق المصارف التجارية,
(Letters of Credit by Products),,,,,,,,, (إعتمادات مستندية حسب المنتجات),
(Million ﷼),,,,,,,,,(مليون ﷼),
,,الزراعة والإنتاج الحيواني,,المواد الكيميائية والبلاستيكية,,منتجات صناعية أخرى,,الإجمـــــــالي,,
الفترة,,Agricultural &,,Chemicals &,,Other Industrial,,,,
,, Animal Products,,Plastics,,Products,,Total,,
Period,,مفتوح,مسدد,مفتوح,مسدد,مفتوح,مسدد,مفتوح,مسدد,
,,Opened,Settled,Opened,Settled,Opened,Settled,Opened,Settled,
1996,,572.403,394.131,5012.829,3943.417,6964.019,6052.62,12549.251,10390.168,
1997,,463.266,324.181,5739.129,4031.756,12389.437,6314.675,18591.832,10670.612,
1998,,401.002,565.236,3783.085,3075.391,11305.503,5215.293,15489.59,8855.92,
1999,,1031.744,297.042,4094.721,2539.684,11569.442,7557.112,16695.907,10393.838,
2000,,730.773,260.117,4705.079,3829.199,17013.978,9040.572,22449.83,13129.887999999999,
2001,,498.007,135.963,4511.037,3188.643,16129.656,8308.083,21138.700000000004,11632.689,
2002,,310.258,186.553,8213.749,3146.83,12961.487,7617.166,21485.494,10950.548999999999,
2003,,562.613,227.858,8235.353,3595.336,22188.265,8661.896,30986.231,12485.09,
2004,,241.933,117.233,7931.919,4821.652,31555.060999999998,9741.712,39728.913,14680.597,
2005,,496.135,103.683,12665.558,5878.608,35764.287,10965.592,48925.979999999996,16947.883,
2006,,473.601,91.783,11981.286,6361.519,54370.838,17875.692,66825.725,24328.994,
2007,,1596.085,301.717,17221.367,6690.953,64973.657,23793.756,83791.109,30786.426,
2008,,2259.018,440.31,19693.459,7453.641,94915.06,33858.667,116867.537,41752.618,
2009,,2181.722,1043.176,6573.345,4820.983,52211.073,27406.137,60966.14,33270.295999999995,
2010,,2189.256,1725.966,9019.834,8077.915,66733.474,32495.078,77942.564,42298.959,
2011,,1506.021,1557.107,9000.333,7715.599,99419.908,38404.563,109926.262,47677.269,
2012,,3570.05,1492.413,10333.794,9326.685,126261.463,37189.288,140165.307,48008.386,
2013,,625.821,463.633,7434.689,5861.741,149646.704,42746.409,157707.214,49071.783,
2014,,407.50800000000004,495.879,8676.127,7173.485,114284.892,41417.916,123368.527,49087.28,
2015-12-31T00:00:00,,408.879,370.867,7952.589,6098.417,74069.392,44098.632,82430.86,50567.916,
2016-12-31T00:00:00,,149.661,220.61379813169992,5108.941,3423.534,52599.369647267995,38556.8060317269,57857.971647267994,42200.95382985859,
2017-12-31T00:00:00,,341.77,110.7177710011,12102.089,3615.379,57504.3875490466,37154.1631765338,69948.24654904661,40880.259947534905,
2018-12-31T00:00:00,,133.471,92.641,15841.567,4259.934,58251.435,40128.407,74226.473,44480.982,
2019-12-31T00:00:00,,222.517,168.123,9304.74855,2616.69352,47292.709048,34075.840534999996,56819.97459800001,36860.657055,
2020-12-31T00:00:00,,340.83489000000003,228.42794,6994.24662,1760.42966,48382.765,32152.66869187,55717.846509999996,34141.526291869995,
2021-12-31T00:00:00,,701.237,380.969,28054.164,11503.042,61887.87331,33102.44,90643.27431000001,44986.451,
2022-12-31T00:00:00,,478.298,624.017,32689.023,16881.435000000005,68310.782,43283.9443925,101478.103,60789.3963925,
2023-12-31T00:00:00,,743.004187535,383.345,25260.463,10082.779,63306.081788683,44330.016,89309.548976218,54796.14,
2024-12-31T00:00:00,,1625.155,1077.931,19012.875,9540.925,68724.37681999999,43916.70553,89362.40681999999,54535.56153,
2025-12-31T00:00:00,,2132.263,1543.006,17799.271,8703.773,76190.37028727494,51659.049,96121.90428727494,61905.828,
,,,,,,,,,,
Q3,1996,184.191,80.82,1462.586,1048.431,2345.722,1973.48,3992.499,3102.731,
Q4,1996,122.699,185.672,911.488,835.834,2434.502,2496.797,3468.689,3518.303,
Q1,1997,148.342,82.12,1353.784,916.542,3396.061,2180.72,4898.187,3179.382,
