,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
القائمة الرئيسية   Main List,,,,,,,قائمة الإحصاءات النقدية والمالية       Money & Banking Stat. List,,,القائمة الرئيسية   Main List,,,,,,,,,,قائمة الإحصاءات النقدية والمالية       Money & Banking Stat. List,,,القائمة الرئيسية   Main List,,,,,,,,,,قائمة الإحصاءات النقدية والمالية       Money & Banking Stat. List
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 25: Bank Purchases & Sales of Foreign Exchange,,,,,,,جدول 25: مشتريات ومبيعات المصارف من النقد الأجنبي,,,Contd...2 table 25: Bank Purchases & Sales Of Foreign Exchange,,,,,,,,,,تابع 2 جدول 25: مشتريات ومبيعات المصارف من النقد الأجنبي,,,Contd...3 table 25: Bank Purchases & Sales Of Foreign Exchange,,,,,,,,,,تابع 3 جدول 25: مشتريات ومبيعات المصارف من النقد الأجنبي
(Million ﷼),,,,,,,(مليون ﷼),,,(Million ﷼),,,,,,,,,,(مليون ﷼),,,(Million ﷼),,,,,,,,,,(مليون ﷼)
,,From          مـن,,,,,,,,,,A. Sales Attributable to Specific Purposes        أ - مبيعات منسوبة لأغراض محددة,,,,,,,,,,,,,B: Sales to Third Parties    ب: مبيعات لجهات أخرى - طرف ثالث,,,,,,,,المجموع الكلي
الفترة,,,,,,,مجموع المشتريات,,,الفترة,,تمويل الواردات,مقاولون أجانب,,تحويلات شخصية,,السفر الى الخارج,,إستثمارات  ,(الإجمالي(أ,,,الفترة,, للصيارفة,لجهات حكومية,للبنك,للوزارات أو البلديات,لعملاء آخرين,مصارف داخل المملكة,مصارف خارج المملكة,(الإجمالي(ب,( أ + ب  )
,,البنك المركزي,المصارف المحلية,المصارف الخارجية,عملاء,مصادر أخرى,,,,,,,Foreign Contractors,,Personal Transfers,,Foreign Travel,,بالخارج,,,,,,,,المركزي,,في المملكة,,,,
Period,,,,,,,Total Purchases,,,Period,,Import,إستيراد السلع,أغراض أخرى,سعودي,غير سعودي,سعودي,غير سعودي,Investments,Sub-Total (A),,,Period,,Money,Govt.,SAMA,Ministries or,Other Customers,Domestic Banks,Overseas Banks,Sub-Total (B),Total
,,SAMA  ,Local Banks ,Banks Abroad,Customers,Other Sources,,,,,,Financing,Import of Goods,Other Purposes,Saudis,Non-Saudis,Saudis,Non-Saudis,Abroad,,,,,,Changers,Agencies,,Municipalities,in the Kingdom,,, , ( A  +  B )
1993,,142026.575,199146.15600000002,625302.084,---,174425.2055,1140900.0204999999,,,1993,,43661.93,18649.4405,---,68794.3865,---,30853.1955,---,6333.828,174838.49699999997,,,1993,,11635.7025,7531.3845,---,1235.2449999999997,318156.605,---,630039.767,968598.7040000001,1143437.2010000001
1994,,108764.1625,338257.7625,506656.556,133410,17412,1104500.481,,,1994,,31522,15536,2113,13828,42205,8629,19563,296,136317,,,1994,,10906,3095,---,4962,164215,331245,468145,982568,1118885
1995,,116688.957,472409.28,523447.2635,179990.933,12491.327,1305027.7605,,,1995,,27268.4685,10829.4165,1137.3565,17779.762,37561.9755,7134.974,19711.8075,401.464,124757.934,,,1995,,7322.224,803.4255,95.289,868.4655,206416.0125,458327.854,517674.7205,1191507.991,1316265.925
1996,,128688.411,398726.8827979178,728195.4871460225,--,434136.4818539776,1689747.262797918,,,1996,,38892.574,14794.6225,10373.2755,23703.603,34549.872,6732.3865,19594.589,406.707,151992.6975,,,1996,,5463.955,89.254,2075.254,23.219,386281.939,420385.818,734099.0195,1548418.4585,1700411.156
1997,,131106.652,286479.683,599121.74,416793.112,13735.764,1447236.951,,,1997,,44308.957,17592.216,14571.796,28072.523,34059.12,8172.568,17551.014,1047.788,165375.98200000002,,,1997,,8768.312,7.853,2267.673,16.898,368404.278,280537.319,633374.646,1293376.979,1458752.961
1998,,178726.905,315562.371,653399.639,424098.122,3512.923,1575299.96,,,1998,,48000.28,13279.628,8485.937,12014.519,35860.84,5914.618,17561.089,471.891,141588.80200000003,,,1998,,7865.502,404.714,19646.994,1.676,433954.746,307337.299,649820.972,1419031.903,1560620.705
