,,,,,,,
القائمة الرئيسية   Main List,,,,,,,قائمة الإحصاءات النقدية والمالية       Money & Banking Stat. List
,,,,,,,
Table 26a: Bank Clearings,,,,,,,جدول 26a:  المقاصة المصرفية
,,,,,,,
,,(شيكات أفراد وشركات ),,,(شيكات بين المصارف ),,
الفترة,, (Commercial and Personal Cheques),,, (Inter Bank Cheques),,
,,عدد الشيكات, القيمة ,متوسط قيمة الشيك,عدد الشيكات, القيمة ,متوسط قيمة الشيك
Period,,No. of Cheques,Total Value,Average Value ,No. of Cheques,Total Value,Average Value 
,,(Thousands    آلاف ),(Million SAR   مليون ريال),per Cheque,(Thousands    آلاف ),(Million SAR   مليون ريال),per Cheque
1990,,1888.464,228369,120928.43707902296,---,---,---
1991,,1806.504,246177,136272.60166598027,---,---,---
1992,,2061.595,319441,154948.47436087107,---,---,---
1993,,3972.891,532318,133987.56724007783,495,1161797.1464,2347064.942222222
1994,,5462.477,310535,56848.75194897846,1747.79,1978700.3,1132115.5859685661
1995,,5821.73,228519.7,39252.88531072379,1694.24,2571309.7,1517677.36566248
1996,,6759.249,350951.77,51921.710533226404,1894.3,3250782.172533,1716086.2442765138
1997,,6627.793,344203.983,51933.42384108858,1574.7,904146.3,574170.5086683178
1998,,6631.12,317359.25,47859.07207228945,1538.12,110955.13,72136.84888045146
1999,,6749.7,336224.52,49813.25392239656,1418.58,101113.66,71278.08089779921
2000,,6365.78,359504.51,56474.54200427914,1400.37,103627.148,73999.83432949864
2001,,6367.53,375333.41,58944.89857134556,1322.016,120407.3,91078.54973010915
2002,,6438.1,312503.952,48539.779127382295,1249.677,129996.16,104023.8077519231
2003,,6356.889,321413,50561.367360669654,1201.957,137191.207,114139.86274051399
2004,,6317.663,348380,55143.80871534301,1120.181,138243.896,123412.10572220026
2005,,6439.883,367346,57042.34067606508,1138.038,137864.896,121142.61210961321
2006,,6192,376508,60805.555555555555,989.73,125828.96,127134.63267759894
2007,,6138.6,441558,71931.38500635324,939,154688,164736.95420660276
2008,,6352,526097,82823.83501259446,977,187232,191639.71340839306
2009,,6197.8,514476.41,83009.52112039755,918.9,140991,153434.5412993797
2010,,6156.934,543143,88216.47267942129,917,181022,197406.76117775353
2011,,6265.571,580323,92620.92792500477,893,211922,237314.66965285555
2012,,6420.576,628229,97846.20569867875,946,209385,221337.2093023256
2013,,6280.953,635789,101224.92558056078,844,243096,288028.43601895735
