,,,,,,,,,,,,,,,,,,,,,,,,,,,,
القائمة الرئيسية   Main List,,,,,,,,,,,,,قائمة الإحصاءات النقدية والمالية       Money & Banking Stat. List,,,القائمة الرئيسية   Main List,,,,,,,,,,,قائمة الإحصاءات النقدية والمالية       Money & Banking Stat. List,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 26b: Bank Clearing of Commercial and Personal Cheques by Cities,,,,,,,,,,,,,جدول 26b: عمليات المقاصة المصرفية للشيكات التجارية للشركات والأفراد حسب المدن,,,Contd.2 table 26b: Bank Clearing of Commercial and Personal Cheques by Cities,,,,,,,,,,,تابع 2 جدول 26b: عمليات المقاصة المصرفية للشيكات التجارية للشركات والأفراد حسب المدن,
(Value in Million ﷼),,,,,,,,,,,,, (القيمة بالمليون ﷼),,,(Value in Million ﷼),,,,,,,,,,, (القيمة بالمليون ﷼),
,,Jeddah    جدة,,Riyadh  الرياض,,Dammam   الدمام,,Abha  أبهـا,,Buraydah  بريدة,,Almadinah   المدينة,,,,,,Ta'if  الطائف,,Makkah  مكــــة,,Tabuk  تبـوك,,Jazan  جازان,,Grand Total  الإجمالي,,
الفترة,,القيمة,عدد الشيكات,القيمة,عدد الشيكات,القيمة,عدد الشيكات,القيمة,عدد الشيكات,القيمة,عدد الشيكات,القيمة,عدد الشيكات,,,الفترة,,القيمة,عدد الشيكات,القيمة,عدد الشيكات,القيمة,عدد الشيكات,القيمة,عدد الشيكات,القيمة,عدد الشيكات,
Period,,,No. Of,,No. Of,,No. Of,,No. Of,,No. Of,,No. Of,,,Period,,,No. Of,,No. Of,,No. Of,,No. Of,,No. Of,
,,Value,Cheques,Value,Cheques,Value,Cheques,Value,Cheques,Value,Cheques,Value,Cheques,,,,,Value,Cheques,Value,Cheques,Value,Cheques,Value,Cheques,Value,Cheques,
1993,,302458.8112,1405625.7375,81543.2399,183427.5853,111569.9424,1545101.4,4586.6,121466,10155.1,276259,6033.2,114979,,,1993,,1532.2,82019,11825.6,133165,1523.3,82462,1090.2,28386,532318.1935,3972890.7228,
1994,,112353,1306100,118815.8,1918398,47779.7,1366368,4610.5,135291,8392.3,273817,5333.6,117022,,,1994,,1642.4,85528,9106.4,136291,1236.9,84788,1264.4,38874,310535,5462477,
1995,,59176.4,1389197,95686.8,1994989,42631,1573600,5160.6,162448,7932.8,243782,4115.8,103938,,,1995,,1305.8,72600,8269.8,122647,2005.5,73670,1214,44828,227498.5,5781699,
1996,,75601.4,1483451,156213.5,2108301,48505.5,1611625,6974,190864,10329.2,309487,4184.2,109598,,,1996,,1503.4,85629,8711.6,137189,4000,82451,1246.5,49670,317269.3,6168265,
1997,,79568.6,1476264,173554.37,2313474,52474.5,1664228,7706.9,202989,9955.8,344008,4637.4,124264,,,1997,,1392.9,84146,9076.9,136497,4135,96533,1701.3,85050,344203.67,6527453,
1998,,65031.7,1467512,165372.7,2393254,52406.8,1690215,6818.1,202557,8055.4,332224,4608.1,127541,,,1998,,1533.9,83397,8776.8,145628,2694.9,97148,2060.8,91668,317359.2,6631144,
1999,,62074,1571417,184523,2339845,53098,1700724,6797,209308,9520,361760,5098,141484,,,1999,,1470,87284,8531,161829,2009,90739,3104,85134,336224,6749524,
2000,,64965,1359573,205055,2264009,50632,1661245,7037,184291,11519,395796,5530,142517,,,2000,,1307,65939,9551,157889,2030,62475,1879,72055,359505,6365789,
2001,,67233,1359762,210067,2335334,56535,1602236,7449,194448,10441,385002,6293,151447,,,2001,,1520,57718,12002,150410,2142,60028,1651,71097,375333,6367482,
2002,,66939.53,1350651,153885.8,2373012,51483.68,1670628,7227.2,190557,9425.63,375247,6706.25,160467,,,2002,,1319.59,48823,11763.91,134114,1837.1799999999998,59538,1914.93,75712,312503.69999999995,6438749,
2003,,72508.69,1353092,159595.839,2322803,48654.767,1654096,7115.041,192309,8992.593,361169,7081.847,153428,,,2003,,1283.705,42681,12381.039,140149,1982.02,62466,1813.876,75265,321409.417,6357458,
2004,,80016,1385537,166713,2217116,53442,1655243,6835,189165,12333,380200,9096,162904,,,2004,,1419,46161,14268,144702,2470,66011,1788,70614,348380,6317653,
2005,,88862,1434727,171923.48,2308787,55584.68,1629015,7789.73,198599,12507.619999999999,358853,9280.66,166669,,,2005,,1541.22,53744,15400.5,148627,2573.96,64899,1881.79,76301,367345.64,6440221,
2006,,91901.705,1407181,181014.353,2237737,57950.28,1600003,6255.728000000001,172718,9365.864000000001,284900,10772.134999999998,161516,,,2006,,1789.134,56507,13815.848999999998,137650,2099.541,62080,1543.469,71141,376508.05799999996,6191433,
2007,,109173.865,1417484,209062.693,2239565,67433.749,1494247,6004.698,161184,9552.646,249140,19066.441,313692,,,2007,,1964.9409999999998,50704,15945.407,131035,2245.66,58861,1107.539,23268,441557.6390000001,6139180,
2008,,127683,1477358,251079,2356561,85059,1674889,7400,161030,10731.3,251773,14886,166778,,,2008,,2316,45380,23341,137091,2422.2,55891,1179,25920,526096.5,6352671,
