,,,,,,,,,,,,,,,,,,,,,,,,,,,
القائمة الرئيسية   Main List,,,,,,,,,,,,,قائمة الإحصاءات النقدية والمالية       Money & Banking Stat. List,,,القائمة الرئيسية   Main List,,,,,,,,,,,قائمة الإحصاءات النقدية والمالية       Money & Banking Stat. List
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 26c: Inter Bank Clearing of Commercial Cheques by Cities,,,,,,,,,,,,,جدول 26c: عمليات المقاصة المصرفية للشيكات التجارية بين المصارف حسب المدن,,,Contd.2 table 26c: Inter Bank Clearing of Commercial Cheques by Cities,,,,,,,,,,,تابع 2 جدول 26c: عمليات المقاصة المصرفية للشيكات التجارية بين المصارف حسب المدن
(Value in Million ﷼),,,,,,,,,,,,, (القيمة بالمليون ﷼),,,(Value in Million ﷼),,,,,,,,,,, (القيمة بالمليون ﷼)
,,Jeddah    جدة,,Riyadh  الرياض,,Dammam   الدمام,,Abha  أبهـا,,Buraydah  بريدة,,Almadinah   المدينة,,,,,,Ta'if  الطائف,,Makkah  مكــــة,,Tabuk  تبـوك,,Jazan  جازان,,Grand Total  الإجمالي,
الفترة,,القيمة,عدد الشيكات,القيمة,عدد الشيكات,القيمة,عدد الشيكات,القيمة,عدد الشيكات,القيمة,عدد الشيكات,القيمة,عدد الشيكات,,,الفترة,,القيمة,عدد الشيكات,القيمة,عدد الشيكات,القيمة,عدد الشيكات,القيمة,عدد الشيكات,القيمة,عدد الشيكات
Period,,,No. Of,,No. Of,,No. Of,,No. Of,,No. Of,,No. Of,,,Period,,,No. Of,,No. Of,,No. Of,,No. Of,,No. Of
,,Value,Cheques,Value,Cheques,Value,Cheques,Value,Cheques,Value,Cheques,Value,Cheques,,,,,Value,Cheques,Value,Cheques,Value,Cheques,Value,Cheques,Value,Cheques
1993,,1151670.0888,379749.2625,---,---,7020.5576,25123.6,---,---,82.7,1690,1217.7,19562,,,1993,,688.8,16966,---,---,813.5,19854,303.8,32423,1161797.1464,495367.8625
1994,,1484413,606463,429900.4,571604,60601.8,460364,50.9,815,162.5,1845,906,22734,,,1994,,647.7,16162,989.5,9816,654,21593,374.5,36393,1978700.3,1747789
1995,,1237865.1,611532,1262287.5,576870,66148.9,371348,24.3,506,275.1,2566,968.6,23410,,,1995,,940.8,19129,1473.8,10573,670.4,20954,631.2,47156,2571285.7,1684044
1996,,860967.5,599259,2061586.9,611287,59926.4,384985,15.2,538,372.3,3209,1189.1,25833,,,1996,,1336.9,21964,2398.2,14646,789.7,27683,656.5,53929,2989238.7,1743333
1997,,287347.9,520269,793211.9,576186,39706,371266,25.1,927,359.6,3373,1108.5,28940,,,1997,,1159.5,19363,2727,16218,1025.6,39584,127.1,4724,1126798.2,1580850
1998,,39303.6,460970,40931.6,550720,18084.3,318700,45.5,1741,224,2786,1025.9,32590,,,1998,,809.3,19035,1714.4,14153,815.9,36140,76.5,4678,103031,1441513
1999,,36460,415235,42106,587369,17574,310710,54,2119,99,2191,1268,37899,,,1999,,941,19087,1848,10128,719,32472,47,1373,101116,1418583
2000,,33895,393754,46837,583039,17010,317457,46,1739,117,2672,827,34630,,,2000,,654,17324,2214,10463,765,35785,1262,3498,103627,1400361
2001,,36359,379808,57452,562941,20593,292249,62,1727,147,2902,905,10068,,,2001,,727,14662,2507,18690,882,33837,774,5159,120408,1322043
2002,,38782.5,360898,63603.12,534473,23196.08,288006,47.81,617,271.97,3177,643.37,6663,,,2002,,755.8699999999999,13696,2012.1999999999998,20154,532.19,18005,150.74,3340,129995.85,1249029
2003,,41196.394,352925,67373.633,509621,19647.165,268641,30.060000000000002,436,213.661,4609,1111.137,6556,,,2003,,874.544,14433,2073.779,22232,590.355,19185,78.899,3319,133189.627,1201957
2004,,41440,316998,69612,468091,21420,263442,10,114,275,4357,1379,6832,,,2004,,1017,13166,2364,27910,571,15796,56,3625,138144,1120331
2005,,40561.5,330346,73459.07999999999,470396,18106.805,260719,16.2,89,237.53,6613,1050.2,8991,,,2005,,1635.82,14673,2276.5299999999997,26132,479.74,14822,41.12,4808,137864.525,1137589
2006,,36951.852000000006,273467,66265.642,413407,17141.273999999998,236373,12.668,87,188.01100000000002,5738,1882.427,10183,,,2006,,642.072,10426,2286.061,24640,402.23900000000003,11360,56.449,3528,125828.695,989209
2007,,45189.584,282726,80026.202,369895,25136.28,218106,14.747,84,90.143,5378,1127.275,21135,,,2007,,494.61199999999997,9878,2255.056,19944,293.897,9377,60.137,3470,154687.93300000002,939993
2008,,55301.7,297630,93613.3,381847,32936,237247,220.3,5020,65.1,5149,1077.9,11774,,,2008,,660.8,9908,2916,16456,398.4,8647,42.1,3726,187231.6,977404
2009,,44496.5,285646,67860.7,354870,23232.3,219535,367,7316,72.8,3091,890.5,11661,,,2009,,815.5,10864,2771.9,17062,430.3,6677,53.4,2617,140990.9,919339
2010,,53519,268671,93350,402368,28293,191456,403,7247,74,5151,696,11507,,,2010,,1083,9099,3106,13484,445,5965,53,1772,181022,916720
2011,,60533,247513,110270,377110,34436,202940,407,7058,134,11992,1731,16800,,,2011,,1234,10516,2237,10773,885,6567,55,1850,211922,893119
