,,,,,,,,,,
القائمة الرئيسية   Main List,,,,,,,,,,قائمة الإحصاءات النقدية والمالية       Money & Banking Stat. List
,,,,,,,,,,
Table 27a: Value of Transactions for Saudi Arabian Riyal Interbank Express System,,,,,,,,,,جدول 27a: مبالغ عمليات النظام السعودي للتحويلات المالية السريعة 
,  and Instant Payments System*,,,,,,,,,                 ونظام المدفوعات الفورية*
(Value in Million ﷼),,,,,,,,,, (القيمة بالمليون ﷼)
 الفترة,,النظام السعودي للتحويلات المالية السريعة,,,,,,,,
,,مدفوعات العملاء,,,مدفوعات ما بين المصارف,,,**أخرى ,المجموع,نظام المدفوعات الفورية
,,Customer Payments,,,Interbank Payments,,,**Others,Total,Instant Payments
Period,,مجمعة,مفردة,   مجموع    Total ,مجمعة,مفردة,   مجموع    Total ,(3),(1+2+3),System
,,Bulk,Single,(1),Bulk,Single,(2),,,
1998,,24855,259589,284444,271984,4675272,4947256,16408,5248108,---
1999,,35164,288315,323479,240365,5056889,5297254,9431.6,5630164.6,---
2000,,58331,316389,374720,234418,4636368,4870786,3922.1,5249428.1,---
2001,,94613,355741,450354,144907,5205888,5350795,4405,5805554,---
2002,,212521,452469,664990,195229,6436254,6631483,7744.7,7304217.7,---
2003,,245095,520288,765383,147025,6305160,6452185,6202.9,7223770.9,---
2004,,293601,735407,1029008,86796,6899906,6986702,8324.9,8024034.9,---
2005,,379637,1011538,1391175,116589,8629928,8746517,8450,10146142,---
2006,,441327.3,1204279.0100000002,1645606.31,107618.45,12077170.98,12184789.43,9563.359,13839959.099,---
2007,,550269.348,1320990.5,1871259.8480000002,72669.668,31730199.06,31802868.728,28720.120000000003,33702848.696,---
2008,,719303.418,2092324.46,2811627.878,79046.67,32979135.130000003,33058181.799999997,35946.39,35905756.068,---
2009,,716980,2176457,2893437,42403.71,58280883.68,58323287.39,17440.13,61234164.52,---
2010,,866620,2015081,2881701,36500,52541937,52578437,83859,55543997,---
2011,,1159353.4610000001,2304258.38,3463611.841,37264,50894509,50931773,58399,54453783.841,---
2012,,1332405.621,2713995.5209999997,4046401.142,60896.339,61290295.3,61351191.639,22138.95,65419731.731000006,---
2013,,1529813.578,3040352.7970000003,4570166.375,49070.41,50013107.938,50062178.348000005,27495.921000000002,54659840.644,---
2014,,1722110,3456624,5178734,50616.2,49196465.4,49247081.6,33514,54459329.6,---
2015-12-31T00:00:00,,1984168,3348644,5332812,59236,43450319,43509555,22805,48865172,---
2016-12-31T00:00:00,,2067070,3396401,5463471,61402,34160785,34222187,31333,39716991,---
2017-12-31T00:00:00,,2180449.960579,3839017.051,6019467.011579001,80138.802,56047550.425000004,56127689.227000006,42176.471999999994,62189332.71057899,---
2018-12-31T00:00:00,,2640208.423475,3994081.221394,6634289.644869001,105832.146095,43225985.598482005,43331817.744577,17803.343442,49983910.732888,---
2019-12-31T00:00:00,,2924130.15739018,4953051.567534422,7877181.7249246,139835.1004333,40156874.84324336,40296709.943676665,36964.88868984,48210856.55729111,---
2020-12-31T00:00:00,,3365043.6282718,4935815.4016420785,8300859.029913881,148637.87588657,52199210.77571352,52347848.651600085,40953.67473013,60689661.3562441,---
2021-12-31T00:00:00,,4095946.7837144,4800266.413635979,8896213.19735038,129346.3085261,48431595.104284376,48560941.41281047,375274.37004127004,57832428.98020212,273439.74688164
2022-12-31T00:00:00,,5013620.5572796,5707256.53867947,10720877.095959071,119756.07878627,44094976.17775157,44214732.25653784,1878185.41845797,56813794.77095489,494972.44547989
2023-12-31T00:00:00,,5743006.38384609,6309590.323887491,12052596.70773358,117080.29811851002,35917367.13104777,36034447.42916628,1415961.8753517298,49503006.01225159,617754.20080288
2024-12-31T00:00:00,,6991000.487742839,7692716.27849128,14683716.766234118,136614.4583036,36233807.674593024,36370422.132896625,2360910.00745816,53415048.90658891,836539.66417074
2025-12-31T00:00:00,,7891861.487258551,9683921.55141498,17575783.038673528,332524.69390089,45573310.780453525,45905835.47435443,2912525.28992209,66394143.80295004,950298.1425200601
,,,,,,,,,,
Q1,2004,64484,148549,213033,12350,1555203,1567553,2033.8,1782619.8,---
Q2,2004,69578,188061,257639,17299,1836884,1854183,1676,2113498,---
Q3,2004,67775,182433,250208,23304,1626363,1649667,2106,1901981,---
Q4,2004,91764,216364,308128,33843,1881456,1915299,2509.1,2225936.1,---
Q1,2005,76911,234478,311389,33605,1834996,1868601,2069,2182059,---
Q2,2005,89339,273260,362599,28684,2041253,2069937,1841,2434377,---
Q3,2005,103036,235682,338718,28988,2019301,2048289,2828,2389835,---
Q4,2005,110351,268118,378469,25312,2734378,2759690,1712,3139871,---
Q1,2006,102079,287020,389099,30000,2662815,2692815,1939,3083853,---
Q2,2006,108428.79999999999,319032.43000000005,427461.23000000004,21776,4053225.55,4075001.55,2519.162,4504981.942,---
Q3,2006,115708.70000000001,282944.48,398653.18,35046.98,2637320.32,2672367.3,3406.657,3074427.1369999996,---
Q4,2006,115110.8,315282.1,430392.9,20795.469999999998,2723810.1100000003,2744605.58,1698.54,3176697.0199999996,---
Q1,2007,117916.65,255674.05,373590.69999999995,15445.07,5341772.32,5357217.390000001,2488.56,5733296.65,---
Q2,2007,137687.87,336980.39,474668.26,17304.93,7995056.67,8012361.6,13091.73,8500121.59,---
Q3,2007,145898.664,361235.96,507134.624,20216.432,7590448.57,7610665.002,2295.45,8120095.076,---
Q4,2007,148766.164,367100.1,515866.26399999997,19703.236,10802921.5,10822624.736,10844.38,11349335.38,---
Q1,2008,178320.165,460015.94999999995,638336.115,17335.71,14879280.240000002,14896615.950000003,9292.099999999999,15544244.165000003,---
Q2,2008,189439.49099999998,537140.92,726580.4110000001,32634.760000000002,7850818.0600000005,7883452.82,21323.050000000003,8631356.281000001,---
Q3,2008,173157.152,550473.8,723630.952,15849.23,5126331.08,5142180.3100000005,3727.17,5869538.432,---
Q4,2008,178386.61,544693.79,723080.4,13226.970000000001,5122705.75,5135932.72,1604.07,5860617.19,---
Q1,2009,185438,575222,760660,17384.71,13449930.68,13467315.39,4164.13,14232139.520000001,---
Q2,2009,181355,518822,700177,9424,16460645,16470069,4572,17174818,---
Q3,2009,167539,535867,703406,6087,13302721,13308808,5668,14017882,---
Q4,2009,182648,546546,729194,9508,15067587,15077095,3036,15809325,---
Q1,2010,199076,509863,708939,11762,16622151,16633913,68724,17411576,---
Q2,2010,224540,515355,739895,7078,13793290,13800368,7529,14547792,---
Q3,2010,210459,464122,674581,6193,10072756,10078949,3783,10757313,---
Q4,2010,232545,525741,758286,11467,12053740,12065207,3823,12827316,---
Q1,2011,277622,552042,829664,9965,13384740,13394705,41516,14265885,---
Q2,2011,328437,590892,919329,9875,14684751,14694626,6072,15620027,---
Q3,2011,264070,550240,814310,8200,10712445,10720645,5686,11540641,---
Q4,2011,289224.461,611084.38,900308.841,9224,12112573,12121797,5125,13027230.841,---
Q1,2012,308433,674248,982681,11371,18280787,18292158,5395,19280234,---
Q2,2012,328489.621,671491.521,999981.142,11875.339,15092794.3,15104669.639,7719.95,16112370.730999999,---
Q3,2012,312979,673959,986938,19162,12201467,12220629,4119,13211686,---
