,,,,,,,,,,,
القائمة الرئيسية   Main List,,,,,,,,,,قائمة الإحصاءات النقدية والمالية       Money & Banking Stat. List,
,,,,,,,,,,,
Table 27b: Number of Transactions for Saudi Arabian Riyal Interbank Express System ,,,,,,,,,,جدول 27b: عدد عمليات النظام السعودي للتحويلات المالية السريعة ,
,    and Instant Payments System*,,,,,,,,,                 ونظام المدفوعات الفورية*,
,,,,,,,,,,,
 الفترة,,النظام السعودي للتحويلات المالية السريعة,,,,,,,,,
,,مدفوعات العملاء,,,مدفوعات ما بين المصارف,,,**أخرى ,المجموع,نظام المدفوعات الفورية,
,,Customer Payments,,,Interbank Payments,,,**Others,Total,Instant Payments,
Period,,مجمعة,مفردة,   مجموع    Total ,مجمعة,مفردة,   مجموع    Total ,(3),(1+2+3),System,
,,Bulk,Single,(1),Bulk,Single,(2),,,,
1998,,210466,278154,488620,7465,106969,114434,10507,613561,---,
1999,,1884383,314040,2198423,6125,130681,136806,9203,2344432,---,
2000,,4670542,382691,5053233,9839,130160,139999,9241,5202473,---,
2001,,7851949,467912,8319861,7776,140506,148282,34579,8502722,---,
2002,,10750444,572336,11322780,6986,141973,148959,43116,11514855,---,
2003,,11853282,667813,12521095,5665,138839,144504,169510,12835109,---,
2004,,14098532,877876,14976408,22173,141572,163745,253386,15393539,---,
2005,,16799123,1146879,17946002,33075,163934,197009,284878,18427889,---,
2006,,18516565,1494688,20011253,52588,195700,248288,527226,20786767,---,
2007,,21766617,1721542,23488159,61136,244912,306048,1038765,24832972,---,
2008,,27221118,2332241,29553359,63151,262510,325661,1756664,31635684,---,
2009,,27982379,2621772,30604151,77232,265862,343094,1881898,32829143,---,
2010,,30253374,3003368,33256742,74786,236820,311606,1542060,35110408,---,
2011,,38920854,3551736,42472590,87477,272547,360024,1237163,44069777,---,
2012,,48881896,4348818,53230714,129024,334757,463781,1214557,54909052,---,
2013,,50767761,5290399,56058160,111708,341830,453538,1455731,57967429,---,
2014,,56374728,6084741,62459469,118321,373657,491978,1628242,64579689,---,
2015-12-31T00:00:00,,70639214,8023318,78662532,72479,464194,536673,2334957,81534162,---,
2016-12-31T00:00:00,,76083701,9156201,85239902,78829,468458,547287,3497360,89284549,---,
2017-12-31T00:00:00,,89805830,10299109,100104939,137223,513854,651077,2713821,103469837,---,
2018-12-31T00:00:00,,122236238,10676017,132912255,122462,512980,635442,2218044,135765741,---,
2019-12-31T00:00:00,,143229758,13190761,156420519,156234,627302,783536,1779095,158983150,---,
2020-12-31T00:00:00,,181026366,17827952,198854318,211513,854178,1065691,1686724,201606733,---,
2021-12-31T00:00:00,,160102446,3982736,164085182,286972,855586,1142558,1657944,166885684,176572248,
2022-12-31T00:00:00,,175652001,2324938,177976939,466595,1171549,1638144,1785214,181400297,346843235,
2023-12-31T00:00:00,,193738398,2938472,196676870,443064,890770,1333834,1488631,199499335,436962201,
2024-12-31T00:00:00,,210017811,4497975,214515786,695882,790833,1486715,1328789,217331290,592675704,
2025-12-31T00:00:00,,203711871,5871680,209583551,845300,852899,1698199,1030957,212312707,783932333,
,,,,,,,,,,,
Q1,2004,3290968,192050,3483018,1337,36946,38283,61967,3583268,---,
Q2,2004,3452086,213738,3665824,5184,37348,42532,67942,3776298,---,
Q3,2004,3393865,221564,3615429,7082,32967,40049,66220,3721698,---,
Q4,2004,3961613,250524,4212137,8570,34311,42881,57257,4312275,---,
Q1,2005,3793895,248994,4042889,8392,36924,45316,70337,4158542,---,
Q2,2005,3768850,285793,4054643,6690,39528,46218,70823,4171684,---,
Q3,2005,4857022,284815,5141837,8335,42770,51105,69594,5262536,---,
Q4,2005,4379356,327277,4706633,9658,44712,54370,74124,4835127,---,
Q1,2006,4293532,356836,4650368,12907,42730,55637,95364,4801369,---,
Q2,2006,4921899,380449,5302348,11096,49521,60617,117181,5480146,---,
Q3,2006,4366557,381102,4747659,11714,55810,67524,163594,4978777,---,
Q4,2006,4934577,376301,5310878,16871,47639,64510,151087,5526475,---,
Q1,2007,4630289,373689,5003978,10296,49150,59446,199273,5262697,---,
Q2,2007,6327803,437238,6765041,14722,61771,76493,244915,7086449,---,
