,,,,,,,,,
القائمة الرئيسية   Main List,,,,,,,,قائمة الإحصاءات النقدية والمالية       Money & Banking Stat. List,
,,,,,,,,,
Table 27c: SARIE Messages (Bulk Transactions)*,,,,,,,,جدول 27c:  عدد رسائل ســريــع (عمليات مجمعة)*,
,,,,,,,,,
,, مدفوعات العملاء ,,,مدفوعات ما بين المصارف,,,,
الفترة,,Customer Payments,,,Interbank Payments,,,المجموع,
,,مجمعة,مفردة,مجموع,مجمعة,مفردة,مجموع,Total,
Period,,,,Total,,,Total,(1+2),
,,Bulk,Single,(1),Bulk,Single,(2),,
1997,,17802,68846,86648,219,17127,17346,103994,
1998,,20773,278156,298929,3629,117474,121103,420032,
1999,,47540,314070,361610,2450,139847,142297,503907,
2000,,84999,382964,467963,3016,138953,141969,609932,
2001,,111390,468367,579757,2264,172716,174980,754737,
2002,,151941,573166,725107,2996,181191,184187,909294,
2003,,182914,672780,855694,2700,176192,178892,1034586,
2004,,216246,883963,1100209,3883,180331,184214,1284423,
2005,,267279,1158369,1425648,4873,207285,212158,1637806,
2006,,316579,1511056,1827635,6282,229677,235959,2063594,
2007,,439272,1746967,2186239,8435,273794,282229,2468468,
2008,,635028,2364838,2999866,8862,295122,303984,3303850,
2009,,762180,2658464,3420644,9970,298715,308685,3729329,
2010,,934809,3037949,3972758,10907,271980,282887,4255645,
2011,,1252403,3583992,4836395,12793,309747,322540,5158935,
2012,,1548783,4382504,5931287,14338,373391,387729,6319016,
2013,,1878942,5328842,7207784,14753,379781,394534,7602318,
2014,,2268487,6133417,8401904,14693,410036,424729,8826633,
2015-12-31T00:00:00,,2989676,8043318,11032994,13697,480949,494646,11527640,
2016-12-31T00:00:00,,2777655,9193404,11971059,14547,500364,514911,12485970,
2017-12-31T00:00:00,,2948734,10339039,13287773,23588,548887,572475,13860248,
2018-12-31T00:00:00,,3582112,10710503,14292615,29148,547113,576261,14868876,
2019-12-31T00:00:00,,3989523,13223165,17212688,32959,663633,696592,17909280,
2020-12-31T00:00:00,,4652150,17856889,22509039,43639,886497,930136,23439175,
2021-12-31T00:00:00,,4970345,4006702,8977047,54972,888332,943304,9920351,
2022-12-31T00:00:00,,5255010,2347840,7602850,81166,1204753,1285919,8888769,
2023-12-31T00:00:00,,6336057,2959714,9295771,72734,923505,996239,10292010,
2024-12-31T00:00:00,,7176797,4518376,11695173,111093,823363,934456,12629629,
2025-12-31T00:00:00,,7974954,5887830,13862784,120201,883991,1004192,14866976,
,,,,,,,,,
Q1,2004,52555,193632,246187,527,46175,46702,292889,
Q2,2004,54493,215417,269910,973,47779,48752,318662,
Q3,2004,52096,223014,275110,1264,42642,43906,319016,
Q4,2004,57102,251900,309002,1119,43735,44854,353856,
Q1,2005,55356,251188,306544,1112,47101,48213,354757,
Q2,2005,67942,288830,356772,1142,51169,52311,409083,
Q3,2005,72502,287864,360366,1286,53642,54928,415294,
Q4,2005,71479,330487,401966,1333,55373,56706,458672,
Q1,2006,68144,360111,428255,1558,52514,54072,482327,
Q2,2006,79348,384146,463494,1624,57802,59426,522920,
