,,,,,,,,,
القائمة الرئيسية   Main List,,,,,,,,,قائمة الإحصاءات النقدية والمالية       Money & Banking Stat. List
,,,,,,,,,
Table 28d: SADAD System Payments Value by Sectors,,,,,,,,,جدول 28d: مبــــالغ مـدفوعات نظام سداد حسب القـطاعـــــات
(Thousand ﷼),,,,,,,,, (ألف ﷼)
الفترة,,المال والتأمين وخدمات الاعمال,خدمات التعــــليم,الخدمات الحكومية,التقنية والاعلام والترفيه,الاتصالات وخدمات المرافق,خدمات النقل,أخرى,المجموع
,,,,,,,,,
Period,,"Financial, Insurance",Education Services,Government,"Technology, Media",Telecom ,Transportation,Other,Total
,,and Business Services ,,Services,and Entertainment,and  Utilities,Services,,
2016-12-31T00:00:00,,21666589.448310003,1232787.24946,146892017.53820002,35110.80288,56959042.75048,5993173.8237499995,71899.1214,232850620.73447996
2017-12-31T00:00:00,,22944217.030700002,1142150.61873,167625653.61611998,41621.45279,63485399.05287,5453103.954499999,112730.04385000002,260804875.76956004
2018-12-31T00:00:00,,25388328.239000004,1056935.333,260863545.50399998,70404.062,74883543.014,5484661.096000001,124589.397,367872006.64500004
2019-12-31T00:00:00,,33337163.312299997,932575.9971200001,311530589.32247,284087.62499,93437779.80218998,5174680.20479,178563.71642,444875439.9802801
2020-12-31T00:00:00,,40286400.690910004,781425.0258199999,329471874.94145,378016.55919,107607872.78544,2237479.67123,495695.07561999996,481258764.74966
2021-12-31T00:00:00,,55806473.8754747,787806.1856382001,436676187.5716132,477986.9158799999,110319016.00221004,3067449.4728499996,1358761.58222,608493681.6058861
2022-12-31T00:00:00,,72076326.57651299,944695.98346,493131113.35617,520287.42603999993,122632482.70059553,3237760.91467,2948136.6866200003,695490803.6440686
2023-12-31T00:00:00,,94275552.16712998,985375.01423,553978329.4796098,519133.03932,135559070.5684735,2755641.99072,4823411.09243,792896513.3519133
2024-12-31T00:00:00,,142118827.2411525,1214463.01474,612009351.0923101,485246.30759,131098531.49248,2544932.60156,15773199.921839999,905244551.6716725
2025-12-31T00:00:00,,186550473.75413004,1048358.00398,655992328.76803,500999.03552999994,131604376.17903,1746328.4343700001,32369654.05167,1009812518.22674
,,,,,,,,,
Q1,2016,4955101.123190001,393300.13994,30994286.37754,7262.385630000001,12333822.68189,1592252.401,8646.43615,50284671.54534
Q2,2016,5418270.05112,162853.10852,48454122.09966,13465.84225,12965800.36759,1679996.1097499998,14380.03325,68708887.61214
Q3,2016,5808349.174000001,229718.485,32375721.073,6344.159,15651963.513999999,1518868.794,16052.578000000001,55607017.777
Q4,2016,5484869.1,446915.516,35067887.988,8038.416,16007456.186999999,1202056.5189999999,32820.074,58250043.800000004
Q1,2017,5461184.294,379565.63399999996,34851858.555,7565.424000000001,12932633.597,1350959.8569999998,13826.914,54997594.275000006
Q2,2017,5569521.70311,191986.4142,48371309.1484,10109.554269999999,13818302.49591,1425128.0695,17354.55,69403711.93539001
Q3,2017,5754086.38059,206367.58052999998,41230398.780719995,5441.4555199999995,16904421.105959997,1460763.841,17968.75985,65579447.90416999
Q4,2017,6159424.653,364230.99,43172087.132,18505.019,19830041.854,1216252.187,63579.82,70824121.655
Q1,2018,5754097.308999999,361068.449,51742114.634,13391.525,15994782.183,1255652.524,20706.054,75141812.678
Q2,2018,6079788.312,123181.525,73598541.914,12863.787,16299650.845999999,1499302.942,20508.491,97633837.81699999
Q3,2018,6779605.489,334141.427,67225577.214,9711.438,19400903.773000002,1530386.185,23793.713,95304119.239
Q4,2018,6774837.129000001,238543.93199999997,68297311.742,34437.312,23188206.211999997,1199319.445,59581.139,99792236.91100001
Q1,2019,6818565.2469999995,351226.355,74343580.28099,74742.63829999999,30648003.60614,1222129.03441,35691.1336,113493938.29543999
Q2,2019,6869111.024499999,99947.39097,82845197.91615999,101500.83890999999,17274859.42072,1438813.9656500001,37702.86077,108667133.41768
Q3,2019,8544291.8488,326277.34051999997,76100882.94107,47690.57634,22878488.59001,1389515.91271,34910.696769999995,109322057.90621999
Q4,2019,11105195.192,155124.91063,78240928.18425,60153.57144,22636428.18532,1124221.29202,70259.02528,113392310.36094001
Q1,2020,9747299.420470001,306385.37428,68095513.88195,71404.68354,18555139.841069996,903961.6953799999,94182.70686,97773887.60354999
Q2,2020,8583107.1305,98214.21539,39390148.966070004,91183.63243,20263085.94345,175966.99952,154141.52034,68755848.4077
Q3,2020,10381254.52179,256097.50302,111998034.35946,101523.18033,27462381.69697,507180.83117,80623.28838,150787095.38112
Q4,2020,11574739.61815,120727.93312999999,109988177.73397,113905.06289,41327265.30395,650370.14516,166747.56004,163941933.35729
Q1,2021,12322371.79145,321363.97787,98912852.49129,119915.25386999999,24566572.98757,630691.90127,198955.42059,137072723.82391
Q2,2021,12578726.232585002,55763.833277,114590676.02619012,117566.69434000002,25846300.93124199,764976.7673,248637.95881,154202648.4437441
Q3,2021,14518651.451782502,261486.7173737,109298030.17599401,117821.83265,30217131.77037605,859340.6375899999,421722.67056,155694185.25632626
Q4,2021,16386724.399657201,149191.65711749997,113874628.87813902,122683.13502,29689010.313022003,812440.16669,489445.53226000007,161524124.08190572
Q1,2022,16173786.832155,285801.77363,110516281.25152001,129499.5265,25272452.3824305,766413.75107,805301.41878,153949536.9360855
Q2,2022,16153395.418739,107010.79521000001,136489280.4009,132207.94301,26187246.3449,937839.85442,508586.63096,180515567.388139
Q3,2022,20218208.647289,299943.83657,116398833.73462,127817.99466000001,32287246.74345,846060.68607,742260.0193,170920371.661959
Q4,2022,19530935.67832999,251939.57804999998,129726717.96913001,130761.96187,38885537.229815,687446.62311,891988.61758,190105327.65788502
Q1,2023,18334190.26381,259037.30609000003,123147873.17521001,136582.02967,30963348.16144,743993.30524,909135.0267500001,174494159.26821
Q2,2023,21457385.48316,117922.24153,158378046.32944998,122062.70532000001,27517402.046719998,706016.83117,945942.83217,209244778.46952
Q3,2023,26829182.4355,405246.89783000003,125195928.95081991,129181.15748000001,35770846.566369995,714551.6119,1416821.4087999999,190461759.0286999
Q4,2023,27654793.98465999,203168.56878,147256481.02413,131307.14685000002,41307473.7939435,591080.24241,1551511.8247099998,218695816.5854835
