,,,,
القائمة الرئيسية   Main List,,,,قائمة الإحصاءات النقدية والمالية       Money & Banking Stat. List
,,,,
Table 28a: SADAD System Payments Volume* ,,,,جدول 28a:  عــدد مـدفـوعــات نظام ســـداد*
,,,,
,,عدد الفواتير المسددة      Volume of Bills Paid,,
الفترة,,,,
Period,, من خلال سداد, من خلال قنوات أخرى,الإجمالي
,, Through SADAD,Through Other Channels,Total 
2007-12-23T00:00:00,,18879056,24634341,43513397
2008-12-24T00:00:00,,64324990,8899521,73224511
2009-12-25T00:00:00,,67703935,8709887,76413822
2010-12-26T00:00:00,,98888957,9896584,108785541
2011-12-27T00:00:00,,123696182,13886831,137583013
2012-12-28T00:00:00,,137289819,15113294,152403113
2013-12-29T00:00:00,,146993251,13838317,160831568
2014-12-30T00:00:00,,154594336,29189320,183783656
2015-12-31T00:00:00,,172351149,18559730,190910879
2016-12-31T00:00:00,,190103435,6697597,196801032
2017-12-31T00:00:00,,218371509,7546017,225917526
2018-12-31T00:00:00,,235633689,7819088,243452777
2019-12-31T00:00:00,,263466381,6201051,269667432
2020-12-31T00:00:00,,266963188,11957820,278921008
2021-12-31T00:00:00,,293158932,18409476,311568408
2022-12-31T00:00:00,,312100219,24498779,336598998
2023-12-31T00:00:00,,322410533,34861614,357272147
2024-12-31T00:00:00,,363536451,48994327,412530778
2025-12-31T00:00:00,,373018945,63648991,436667936
,,,,
Q4,2006,877701,9528189,10405890
Q1,2007,2031080,7981893,10012973
Q2,2007,2989979,7336929,10326908
Q3,2007,4804112,6261345,11065457
Q4,2007,9053885,3054174,12108059
Q1,2008,15594591,2101873,17696464
Q2,2008,16200810,2616865,18817675
Q3,2008,16415229,2550298,18965527
Q4,2008,16114360,1630485,17744845
Q1,2009,17171909,2153217,19325126
Q2,2009,17764618,2302774,20067392
Q3,2009,14999028,2080388,17079416
Q4,2009,17768380,2173508,19941888
Q1,2010,20244803,2379284,22624087
Q2,2010,25137812,2688127,27825939
Q3,2010,25586918,2368019,27954937
Q4,2010,27919424,2461154,30380578
Q1,2011,28549342,2773814,31323156
Q2,2011,32383617,3648500,36032117
Q3,2011,30486691,3545737,34032428
Q4,2011,32276532,3918780,36195312
Q1,2012,32819240,4099885,36919125
Q2,2012,34753142,3813112,38566254
Q3,2012,34476209,3468392,37944601
Q4,2012,35241228,3731905,38973133
Q1,2013,34917097,2553392,37470489
Q2,2013,37193991,2142194,39336185
Q3,2013,36127605,2917864,39045469
Q4,2013,38754558,6224867,44979425
Q1,2014,36987852,7605192,44593044
Q2,2014,39065635,9986782,49052417
Q3,2014,38801186,6499826,45301012
Q4,2014,39739663,5097520,44837183
Q1,2015,40579812,7077704,47657516
Q2,2015,43183308,7628034,50811342
Q3,2015,42506654,1961668,44468322
Q4,2015,46081375,1892324,47973699
Q1,2016,45780832,1719235,47500067
Q2,2016,49011929,1715105,50727034
Q3,2016,46385364,1669073,48054437
Q4,2016,48925310,1594184,50519494
Q1,2017,51597697,1547936,53145633
Q2,2017,53964817,1640385,55605202
Q3,2017,52898663,1983998,54882661
Q4,2017,59910332,2373698,62284030
Q1,2018,55244102,2107724,57351826
Q2,2018,57153500,1738299,58891799
Q3,2018,60711641,1921063,62632704
Q4,2018,62524446,2052002,64576448
Q1,2019,64541920,1211320,65753240
Q2,2019,62415615,932320,63347935
Q3,2019,68299814,1399456,69699270
Q4,2019,68209032,2657955,70866987
Q1,2020,65851339,2556059,68407398
Q2,2020,59403018,2676546,62079564
Q3,2020,70111828,3081331,73193159
Q4,2020,71597003,3643884,75240887
Q1,2021,71105369,4548494,75653863
Q2,2021,71808551,4769487,76578038
Q3,2021,74259228,4981559,79240787
Q4,2021,75985784,4109936,80095720
Q1,2022,76780478,4544377,81324855
Q2,2022,76888703,5428947,82317650
Q3,2022,79315313,7390844,86706157
Q4,2022,79115725,7134611,86250336
Q1,2023,78802747,6450566,85253313
Q2,2023,77194301,7680678,84874979
Q3,2023,82473605,10051165,92524770
Q4,2023,83939880,10679205,94619085
Q1,2024,81936631,10450268,92386899
Q2,2024,89421693,11410075,100831768
Q3,2024,98012099,13010448,111022547
Q4,2024,94166028,14123536,108289564
Q1,2025,87439277,14487198,101926475
Q2,2025,95397944,14671544,110069488
Q3,2025,94477165,16352948,110830113
Q4,2025,95704559,18137301,113841860
,,,,
2006-08-31T00:00:00,,265910,3281051,3546961
2006-09-30T00:00:00,,266282,3081127,3347409
