,,,,,
القائمة الرئيسية   Main List,,,,قائمة الإحصاءات النقدية والمالية       Money & Banking Stat. List,
,,,,,
Table 28b: SADAD System Payments Value* ,,,,جدول 28b:  مبـالـغ  مـدفـوعــات نظام ســــداد*,
(Value in Thousand ﷼),,,, (القيمة بالألف ﷼),
,,مبالغ الفواتير المسددة      Value of Bills Paid,,,
الفترة,,,,,
Period,, من خلال سداد, من خلال قنوات أخرى,الإجمالي,
,, Through SADAD,Through Other Channels,Total ,
2007,,8910195.787,13109337.462,22019533.248999998,
2008,,31796556,25893784,57690340,
2009,,43655939.8,17321197.3,60977137.099999994,
2010,,72678265,10311621,82989886,
2011,,107166039,11375687,118541726,
2012,,131991111,6929627,138920738,
2013,,171152550,5506751,176659301,
2014,,187325306.1,7392084.4,194717390.5,
2015-12-31T00:00:00,,210307186,7080205,217387391,
2016-12-31T00:00:00,,224559732,8290889,232850621,
2017-12-31T00:00:00,,250482970.61100003,10321904.976,260804875.587,
2018-12-31T00:00:00,,356544852.26100004,11327154.288,367872006.549,
2019-12-31T00:00:00,,421829058.13701004,23046383.21775,444875441.3547601,
2020-12-31T00:00:00,,450370475.22585005,30888289.51029,481258764.73614,
2021-12-31T00:00:00,,580415744.7960532,28077936.81051,608493681.6065632,
2022-12-31T00:00:00,,643584065.7481341,51906738.28329,695490804.0314242,
2023-12-31T00:00:00,,719008210.5388135,73888302.7061,792896513.2449133,
2024-12-31T00:00:00,,817273095.9650202,87971455.70248249,905244551.6675028,
2025-12-31T00:00:00,,898553656.33497,111258861.89364,1009812518.22861,
,,,,,
Q4,2006,301454,4430463,4731917,
Q1,2007,828683,3618034,4446717,
Q2,2007,1243593.762,3660847.8929999997,4904441.655,
Q3,2007,2426312.209,3412918.4699999997,5839230.679,
Q4,2007,4411606.816,2417537.099,6829143.915,
Q1,2008,6666796,2450310,9117106,
Q2,2008,7525408,11667221,19192629,
Q3,2008,8958988,6056786,15015774,
Q4,2008,8645364,5719467,14364831,
Q1,2009,7975797,2725524,10701321,
Q2,2009,10288836,8249007,18537843,
Q3,2009,11285094,4279696,15564790,
Q4,2009,14106212.8,2066970.3,16173183.1,
Q1,2010,13837774,3024492,16862266,
Q2,2010,17813020,2571976,20384996,
Q3,2010,19086204,2400164,21486368,
Q4,2010,21941267,2314989,24256256,
Q1,2011,21651596,3460670,25112266,
Q2,2011,31360631,2888812,34249443,
Q3,2011,26205954,2828979,29034933,
Q4,2011,27947858,2197226,30145084,
Q1,2012,27057686,1253009,28310695,
Q2,2012,38797681,2885125,41682806,
Q3,2012,32462199,1374963,33837162,
Q4,2012,33673545,1416530,35090075,
Q1,2013,34679517,1273853,35953370,
Q2,2013,51726900,1341037,53067937,
Q3,2013,41195356,1261649,42457005,
Q4,2013,43550777,1630212,45180989,
Q1,2014,39227834,1898543,41126377,
Q2,2014,58425139.1,1927064.4,60352203.5,
Q3,2014,44856957,1599424,46456381,
Q4,2014,44815376,1967053,46782429,
Q1,2015,44114046,1785071,45899117,
Q2,2015,60800528,1717953,62518481,
Q3,2015,52041345,1417530,53458875,
Q4,2015,53351267,2159651,55510918,
Q1,2016,48516793,1767878,50284671,
Q2,2016,66724384,1984504,68708888,
Q3,2016,53193051,2413967,55607018,
Q4,2016,56125504,2124540,58250044,
Q1,2017,53095295,1902299,54997594,
Q2,2017,67670480,1733232,69403712,
Q3,2017,63796748.021,1782699.882,65579447.903,
Q4,2017,65920447.59,4903674.0940000005,70824121.684,
Q1,2018,70461911,4679902,75141813,
Q2,2018,95567044,2066794,97633838,
Q3,2018,93501867.571,1802251.074,95304118.645,
Q4,2018,97014029.69,2778207.2139999997,99792236.90399998,
Q1,2019,99141415.36544001,14352524.309,113493939.67444,
Q2,2019,107349461.35468,1317672.063,108667133.41768,
Q3,2019,107067309.38800001,2254748.518,109322057.906,
Q4,2019,108270872.02888998,5121438.32775,113392310.35664,
Q1,2020,93976282.15242,3797605.45113,97773887.60355,
Q2,2020,64870373.216129996,3885475.1780000003,68755848.39412999,
Q3,2020,146450820.36931,4336275.01186,150787095.38117,
Q4,2020,145072999.48799,18868933.8693,163941933.35729,
Q1,2021,130918972.37026998,6153751.45388,137072723.82415,
Q2,2021,147874038.6986641,6328609.74508,154202648.4437441,
Q3,2021,149008446.1182062,6685739.13812,155694185.2563262,
Q4,2021,152614287.6089129,8909836.47343,161524124.0823429,
Q1,2022,145028423.9667055,8921112.96938,153949536.9360855,
Q2,2022,171610599.8663595,8904967.906210002,180515567.7725695,
Q3,2022,157011036.7479991,13909334.91416,170920371.6621591,
Q4,2022,169934005.16707,20171322.49354,190105327.66061002,
Q1,2023,160146235.46212,14347923.69909,174494159.16121,
Q2,2023,195134928.66515988,14109849.80436,209244778.4695199,
Q3,2023,170855236.85325003,19606522.17545,190461759.02870002,
Q4,2023,192871809.5582835,25824007.0272,218695816.5854835,
Q1,2024,179000459.48683,18267451.738502502,197267911.2253325,
Q2,2024,209798111.7614701,19825293.9457,229623405.70717007,
Q3,2024,210516200.68,22593487.066,233109687.746,
Q4,2024,217958324.03672,27285222.95228,245243546.98900002,
Q1,2025,207137722.97314,25508213.40318,232645936.37632,
Q2,2025,235960371.2440101,24533128.982029997,260493500.22604012,
Q3,2025,227847064.9877099,26505327.639709998,254352392.6274199,
Q4,2025,227608497.13011003,34712191.86872,262320688.99883,
,,,,,
2006-09-30T00:00:00,,88506,1458259,1546765,
2006-10-31T00:00:00,,106274,1266570,1372844,
2006-11-30T00:00:00,,93680,1572800,1666480,
2006-12-31T00:00:00,,101500,1591093,1692593,
2007-01-31T00:00:00,,185498,1322863,1508361,
2007-02-28T00:00:00,,261077,1096675,1357752,
2007-03-31T00:00:00,,382108,1198496,1580604,
2007-04-30T00:00:00,,381581,1394436,1776017,
2007-05-31T00:00:00,,435625.346,1204059.402,1639684.7480000001,
2007-06-30T00:00:00,,426387.416,1062352.491,1488739.907,
2007-07-31T00:00:00,,580058.045,1116598.187,1696656.2319999998,
2007-08-31T00:00:00,,823413.375,1056802.413,1880215.788,
2007-09-30T00:00:00,,1022840.789,1239517.87,2262358.659,
2007-10-31T00:00:00,,1200346.816,956826.005,2157172.821,
2007-11-30T00:00:00,,1602264,776848.094,2379112.094,
2007-12-31T00:00:00,,1608996,683863,2292859,
2008-01-31T00:00:00,,2323619,810669,3134288,
2008-02-29T00:00:00,,1956632,442405,2399037,
2008-03-31T00:00:00,,2386545,1197236,3583781,
2008-04-30T00:00:00,,2365739,2492477,4858216,
2008-05-31T00:00:00,,2387596,6112166,8499762,
2008-06-30T00:00:00,,2772073,3062578,5834651,
2008-07-31T00:00:00,,3192054,2607663,5799717,
2008-08-31T00:00:00,,2975494,1958464,4933958,
2008-09-30T00:00:00,,2791440,1490659,4282099,
2008-10-31T00:00:00,,3071654,1851516,4923170,
2008-11-30T00:00:00,,3029670,2900376,5930046,
2008-12-31T00:00:00,,2544040,967575,3511615,
2009-01-31T00:00:00,,2958099,885873,3843972,
2009-02-28T00:00:00,,2312372,1022109,3334481,
2009-03-31T00:00:00,,2705326,817542,3522868,
2009-04-30T00:00:00,,4287043,6626898,10913941,
2009-05-31T00:00:00,,3051112,824588,3875700,
2009-06-30T00:00:00,,2950681,797521,3748202,
2009-07-31T00:00:00,,3088256,882747,3971003,
2009-08-31T00:00:00,,4919234,2900308,7819542,
2009-09-30T00:00:00,,3277604,496641,3774245,
2009-10-31T00:00:00,,6015204.8,584932.3,6600137.1,
2009-11-30T00:00:00,,4109599,766078,4875677,
2009-12-31T00:00:00,,3981409,715960,4697369,
2010-01-31T00:00:00,,4656195,767722,5423917,
2010-02-28T00:00:00,,4371297,1336469,5707766,
2010-03-31T00:00:00,,4810282,920301,5730583,
2010-04-30T00:00:00,,6388551,820791,7209342,
2010-05-31T00:00:00,,5447604,873145,6320749,
2010-06-30T00:00:00,,5976865,878040,6854905,
2010-07-31T00:00:00,,6331950,880764,7212714,
2010-08-31T00:00:00,,7682772,830404,8513176,
2010-09-30T00:00:00,,5071482,688996,5760478,
2010-10-31T00:00:00,,7732867,837163,8570030,
2010-11-30T00:00:00,,6951808,619758,7571566,
2010-12-31T00:00:00,,7256592,858068,8114660,
2011-01-31T00:00:00,,7439533,887276,8326809,
2011-02-28T00:00:00,,6386283,1604463,7990746,
2011-03-31T00:00:00,,7825780,968931,8794711,
2011-04-30T00:00:00,,10523350,964134,11487484,
2011-05-31T00:00:00,,11948458,969623,12918081,
2011-06-30T00:00:00,,8888823,955055,9843878,
2011-07-31T00:00:00,,9187877,1004780,10192657,
2011-08-31T00:00:00,,8639777,884410,9524187,
2011-09-30T00:00:00,,8378300,939789,9318089,
2011-10-31T00:00:00,,9747312,966230,10713542,
2011-11-30T00:00:00,,8365204,770001,9135205,
2011-12-31T00:00:00,,9835342,460995,10296337,
2012-01-31T00:00:00,,9032427,423313,9455740,
2012-02-29T00:00:00,,8722218,408085,9130303,
2012-03-31T00:00:00,,9303041,421611,9724652,
2012-04-30T00:00:00,,15286572,486872,15773444,
2012-05-31T00:00:00,,12869528,1920133,14789661,
2012-06-30T00:00:00,,10641581,478120,11119701,
2012-07-31T00:00:00,,11005509,544489,11549998,
2012-08-31T00:00:00,,9389645,364845,9754490,
2012-09-30T00:00:00,,12067045,465629,12532674,
2012-10-31T00:00:00,,9682010,532553,10214563,
2012-11-30T00:00:00,,11483438,390798,11874236,
2012-12-31T00:00:00,,12508097,493179,13001276,
2013-01-31T00:00:00,,11696608,448024,12144632,
2013-02-28T00:00:00,,11258724,428995,11687719,
2013-03-31T00:00:00,,11724185,396834,12121019,
2013-04-30T00:00:00,,20333482,618599,20952081,
2013-05-31T00:00:00,,16161699,367036,16528735,
2013-06-30T00:00:00,,15231719,355402,15587121,
2013-07-31T00:00:00,,14337895,543288,14881183,
2013-08-31T00:00:00,,11387975,315333,11703308,
2013-09-30T00:00:00,,15469486,403028,15872514,
2013-10-31T00:00:00,,14150228,384253,14534481,
2013-11-30T00:00:00,,14174938,519541,14694479,
2013-12-31T00:00:00,,15225611,726418,15952029,
2014-01-31T00:00:00,,12874012,592453,13466465,
2014-02-28T00:00:00,,12533344,593059,13126403,
2014-03-31T00:00:00,,13820478,713031,14533509,
2014-04-30T00:00:00,,26354397,629059,26983456,
