,,,,,,,,,
القائمة الرئيسية   Main List,,,,,,,,,قائمة الإحصاءات النقدية والمالية       Money & Banking Stat. List
,,,,,,,,,
Table 28c: Sadad System Payments Volume by Sectors,,,,,,,,,جدول 28c:  عــــدد مـدفوعات نظام سداد حسب القـطاعـــــات
,,,,,,,,,
الفترة,,المال والتأمين وخدمات الاعمال,خدمات التعــــليم,الخدمات الحكومية,التقنية والاعلام والترفيه,الاتصالات وخدمات المرافق,خدمات النقل,أخرى,المجموع
,,,,,,,,,
Period,,"Financial, Insurance",Education Services,Government,"Technology, Media",Telecom ,Transportation,Other,Total
,,and Business Services ,,Services,and Entertainment,and  Utilities,Services,,
2016-12-31T00:00:00,,7026884,1968023,66332798,64047,115711540,5654720,43020,196801032
2017-12-31T00:00:00,,8512934,2682033,70644215,66886,138043012,5900150,68296,225917526
2018-12-31T00:00:00,,11177715,2823957,69838575,169359,153207405,6159146,76620,243452777
2019-12-31T00:00:00,,14722592,2876984,74452239,576061,170805162,6128945,105449,269667432
2020-12-31T00:00:00,,16519994,1895460,69190010,1198423,187357440,2504102,255579,278921008
2021-12-31T00:00:00,,20609813,1346145,79029018,1549230,205349570,2776796,907836,311568408
2022-12-31T00:00:00,,27927817,1886518,88901969,1722485,211916110,2672984,1571115,336598998
2023-12-31T00:00:00,,34696694,1723899,98568892,1728120,216126248,2193580,2234714,357272147
2024-12-31T00:00:00,,52437120,1632123,131063456,1604073,220508698,1963085,3322223,412530778
2025-12-31T00:00:00,,55409611,2961807,142315863,1665289,227391962,1334633,5588771,436667936
,,,,,,,,,
Q1,2016,1625087,659814,16190595,12697,27552685,1453918,5271,47500067
Q2,2016,1789120,223974,18065197,21435,29121258,1494699,11351,50727034
Q3,2016,1725956,448438,15830186,13688,28657090,1370664,8415,48054437
Q4,2016,1886721,635797,16246820,16227,30380507,1335439,17983,50519494
Q1,2017,1957630,964641,16608172,12571,32144228,1449098,9293,53145633
Q2,2017,1978124,241180,17985804,18768,33928019,1442708,10599,55605202
Q3,2017,2071616,490331,17053868,12182,33725877,1517020,11767,54882661
Q4,2017,2505564,985881,18996371,23365,38244888,1491324,36637,62284030
Q1,2018,2475307,887035,16989369,25891,35490517,1470264,13443,57351826
Q2,2018,2661753,283901,17071116,25800,37276854,1556543,15832,58891799
Q3,2018,2905120,815626,17737970,22247,39421546,1717658,12537,62632704
Q4,2018,3135535,837395,18040120,95421,41018488,1414681,34808,64576448
Q1,2019,3243545,865853,18118332,116077,41855504,1526538,27391,65753240
Q2,2019,3300443,373595,18380004,137348,39540670,1591337,24538,63347935
Q3,2019,3654538,960080,18585643,141146,44712731,1626071,19061,69699270
Q4,2019,4524066,677456,19368260,181490,44696257,1384999,34459,70866987
Q1,2020,4069774,729632,17771528,220470,44472650,1103224,40120,68407398
Q2,2020,3623113,147500,12356101,290109,45401469,157969,103303,62079564
Q3,2020,4425581,477587,19210421,321261,48166889,553529,37891,73193159
Q4,2020,4401526,540741,19851960,366583,49316432,689380,74265,75240887
Q1,2021,4441719,958205,18877197,380578,50220832,672317,103015,75653863
Q2,2021,4539510,23455,19432832,376625,51363073,664351,178192,76578038
Q3,2021,5321092,85856,20282356,378937,52189099,704560,278887,79240787
Q4,2021,6307492,278629,20436633,413090,51576566,735568,347742,80095720
Q1,2022,6525485,524653,20584391,439782,52140954,750520,359070,81324855
Q2,2022,5823381,230549,22275968,430856,52530642,672762,353492,82317650
Q3,2022,7807840,578003,23006681,419555,53834893,650008,409177,86706157
Q4,2022,7771111,553313,23034929,432292,53409621,599694,449376,86250336
Q1,2023,6705942,482087,23226140,450175,53306858,612625,469486,85253313
Q2,2023,7651600,234463,24091864,399151,51529504,507587,460810,84874979
Q3,2023,9657762,489634,25351458,432847,55390524,583639,618906,92524770
Q4,2023,10681390,517715,25899430,445947,55899362,489729,685512,94619085
Q1,2024,11932530,551746,24624863,410541,53730648,477371,659200,92386899
Q2,2024,13237677,167141,32816083,384335,53136339,462257,627936,100831768
Q3,2024,13610310,431141,38193296,396944,56942924,530805,917127,111022547
Q4,2024,13656603,482095,35429214,412253,56698787,492652,1117960,108289564
Q1,2025,13217855,574186,33430555,379758,52733244,408247,1182630,101926475
Q2,2025,13327998,653732,36403071,442162,57641946,361235,1239344,110069488
Q3,2025,13795370,1095793,36165388,416936,57513760,302189,1540677,110830113
Q4,2025,15068388,638096,36316849,426433,59503012,262962,1626120,113841860
,,,,,,,,,
2016-01-31T00:00:00,,526252,213654,5257255,3530,8869540,461419,1090,15332740
2016-02-29T00:00:00,,494775,310734,5316910,3697,8972284,505471,1637,15605508
2016-03-31T00:00:00,,604060,135426,5616430,5470,9710861,487028,2544,16561819
2016-04-30T00:00:00,,503682,117592,5119814,4726,8770238,466485,3417,14985954
2016-05-31T00:00:00,,640657,78424,6502540,7848,10460751,554849,4028,18249097
2016-06-30T00:00:00,,644781,27958,6442843,8861,9890269,473365,3906,17491983
2016-07-31T00:00:00,,483960,20516,4543094,2111,8713602,438591,2083,14203957
2016-08-31T00:00:00,,721633,313564,6633642,3538,11184945,517804,3124,19378250
2016-09-30T00:00:00,,520363,114358,4653450,8039,8758543,414269,3208,14472230
2016-10-31T00:00:00,,616240,370543,5492768,7521,10463941,460536,1754,17413303
2016-11-30T00:00:00,,629618,173900,5300470,4757,9903841,435418,13667,16461671
2016-12-31T00:00:00,,640863,91354,5453582,3949,10012725,439485,2562,16644520
2017-01-31T00:00:00,,702305,292784,5686187,4316,11191317,509973,2763,18389645
2017-02-28T00:00:00,,572930,508375,5055163,3362,9819731,466149,3495,16429205
2017-03-31T00:00:00,,682395,163482,5866822,4893,11133180,472976,3035,18326783
2017-04-30T00:00:00,,642400,118154,5810888,5101,11345315,481662,2504,18406024
2017-05-31T00:00:00,,715760,87110,6614780,9690,11945879,522152,3999,19899370
2017-06-30T00:00:00,,619964,35916,5560136,3977,10636825,438894,4096,17299808
2017-07-31T00:00:00,,714504,78447,6530846,2796,11557973,532501,4014,19421081
2017-08-31T00:00:00,,764818,289875,6353087,3908,12283603,518452,4083,20217826
2017-09-30T00:00:00,,592294,122009,4169935,5478,9884301,466067,3670,15243754
