,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
القائمة الرئيسية   Main List,,,,,,,,,,,قائمة الإحصاءات النقدية والمالية       Money & Banking Stat. List,,القائمة الرئيسية   Main List,,,,,,,,,,,,قائمة الإحصاءات النقدية والمالية       Money & Banking Stat. List,,القائمة الرئيسية   Main List,,,,,,,,,,,,,قائمة الإحصاءات النقدية والمالية       Money & Banking Stat. List,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 29a: Bank Branches Operating In Saudi Arabia,,,,,,,,,,,جدول 29a: فروع المصارف العاملــة في المملكـة العربيــة السعوديــة ,,Contd. 2 table 29a: Bank Branches Operating In Saudi Arabia,,,,,,,,,,,,تابع 2 جدول 29a: فروع المصارف العاملــة في المملكـة العربيــة السعوديــة ,,Contd.3 table 29a: Bank Branches Operating In Saudi Arabia,,,,,,,,,,,,,تابع 3 جدول 29a: فروع المصارف العاملــة في المملكـة العربيــة السعوديــة ,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
نهاية,,البنك الأهلي,بنك الرياض,البنك السعودي,البنك العربي,البنك السعودي,بنك الجزيرة,البنك الأول*,البنك السعودي,مصرف,مجموعة سامبا,,نهاية,,بنك الخليج ,بنك الإمارات ,بنك ,بي إن بي ,بنك الكويت,دويتشه,بنك ,بنك البحرين,بنك جي بي ,مصرف ,بنك باكستان,,نهاية,,بنك زراعات,ستيت بنك,البنك الصناعي,بنك قطر,بنك,بنك ,بنك ,بنك,المصرف,بنك,البنك  ,المجموع,,,,
الفترة,,السعودي**,,الفرنسي,الوطني,الأول*,,,للإستثمار,الراجحي,المالية **,,الفترة,,الدولي ,دبي الوطني,البلاد,باريبا,الوطني,بنك,مسقط,الوطني,مورجان تشيز ان أي,الانماء,الوطني,,الفترة,,بنكازي,أوف إنديا,والتجاري الصيني,الوطني,أبوظبي الأول ,إم يو إف جي,يو بي إس إيه جي,ستاندرد تشارترد,الأهلي العراقي,صحار الدولي,الأهلي المصري,,,,,
End of,,Saudi National,Riyad, Banque Saudi ,Arab,Saudi Awwal, Bank ,Alawwal,The Saudi ,Alrajhi ,Samba,,End of,,Gulf International,Emirates,Bank,BNP Paribas,  National Bank ,Deutsche,Bank,  National Bank ,J.P Morgan ,Alinma ,National Bank ,,End of,,T. C. Ziraat,State Bank,ICBC,Qatar National,First Abu Dhabi,المحدودة,UBS AG,Standard ,National Bank ,Sohar ,National Bank,Total,,,,
Period,,Bank**,  Bank,Fransi,National Bank,Bank*,AlJazira,Bank*,Investment Bank,Bank,Financial Group **,,Period,,Bank ,NBD, Albilad ,,of Kuwait,Bank, Muscat ,of Bahrain,Chase N.A Bank,Bank,of Pakistan,,Period,,Bankasi A. S.,of India,,Bank,Bank,MUFG,Bank,Chartered Bank,of Iraq,International Bank,of Egypt,,,,,
1994,,248,179,60,126,60,23,39,10,347,45,,1994,, ---, ---,         ---       ,         ---       ,         ---       ,         ---       ,---,---,---,---,---,,1994,,---,---,---,---,---,---,---,---,---,---,---,1214,,,,
1995,,241,177,58,118,61,13,37,11,350,46,,1995,, ---, ---,         ---       ,         ---       ,         ---       ,         ---       ,---,---,---,---,---,,1995,,---,---,---,---,---,---,---,---,---,---,---,1192,,,,
1996,,244,178,58,117,65,13,37,11,352,46,,1996,, ---, ---,         ---       ,         ---       ,         ---       ,         ---       ,---,---,---,---,---,,1996,,---,---,---,---,---,---,---,---,---,---,---,1208,,,,
1997,,245,181,55,115,67,12,37,11,357,43,,1997,,--, ---,---,---,---,---,---,---,---,---,---,,1997,,---,---,---,---,---,---,---,---,---,---,---,1201,,,,
1998,,247,193,55,115,68,12,36,13,364,43,,1998,,--, ---,---,---,---,---,---,---,---,---,---,,1998,,---,---,---,---,---,---,---,---,---,---,---,1229,,,,
1999,,246,191,56,115,70,13,37,13,375,80,,1999,,--, ---,---,---,---,---,---,---,---,---,---,,1999,,---,---,---,---,---,---,---,---,---,---,---,1196,,,,
2000,,246,196,56,114,69,13,37,13,375,64,,2000,,1, ---,---,---,---,---,---,---,---,---,---,,2000,,---,---,---,---,---,---,---,---,---,---,---,1184,,,,
2001,,245,193,56,115,71,13,37,13,392,63,,2001,,1, ---,---,---,---,---,---,---,---,---,---,,2001,,---,---,---,---,---,---,---,---,---,---,---,1199,,,,
2002,,246,193,56,117,69,13,37,15,391,65,,2002,,1, ---,---,---,---,---,---,---,---,---,---,,2002,,---,---,---,---,---,---,---,---,---,---,---,1203,,,,
2003,,246,193,58,117,69,15,37,15,393,65,,2003,,1, ---,---,---,---,---,---,---,---,---,---,,2003,,---,---,---,---,---,---,---,---,---,---,---,1209,,,,
2004,,246,193,62,117,68,17,38,15,393,65,,2004,,1,1,---,---,---,---,---,---,---,---,---,,2004,,---,---,---,---,---,---,---,---,---,---,---,1216,,,,
2005,,243,195,61,116,60,21,40,16,385,62,,2005,,2,1,21,1, ---, ---, ---,---,---,---,---,,2005,,---,---,---,---,---,---,---,---,---,---,---,1224,,,,
2006,,260,198,68,116,61,23,41,23,390,63,,2006,,2,1,40,1,1,1,---,---,---,---,---,,2006,,---,---,---,---,---,---,---,---,---,---,---,1289,,,,
2007,,266,200,74,123,63,24,42,26,403,65,,2007,,2,1,60,1,1,1,1,---,---,---,---,,2007,,---,---,---,---,---,---,---,---,---,---,---,1353,,,,
2008,,275,201,75,131,68,24,43,33,425,65,,2008,,2,1,61,1,1,1,1,1,1,---,---,,2008,,---,---,---,---,---,---,---,---,---,---,---,1410,,,,
2009,,284,216,77,139,72,48,42,43,442,67,,2009,,2,1,67,1,1,1,1,1,1,13,---,,2009,,---,---,---,---,---,---,---,---,---,---,---,1519,,,,
2010,,287,241,81,139,80,50,44,45,451,68,,2010,,2,1,75,1,1,1,1,1,1,20,1,,2010,,---,---,---,---,---,---,---,---,---,---,---,1591,,,,
2011,,295,232,83,142,80,51,44,48,455,69,,2011,,2,1,82,1,1,1,1,1,1,37,1,,2011,,1,1,---,---,---,---,---,---,---,---,---,1630,,,,
