,,,,,,,,,,,,,,,,
القائمة الرئيسية   Main List,,,,,,,,,,,,,,,قائمة الإحصاءات النقدية والمالية       Money & Banking Stat. List,
,,,,,,,,,,,,,,,,
Table 29b: Branches Of Banks Classified By Administrative Regions,,,,,,,,,,,,,,,جدول 29b: فروع المصارف حسب المناطق الإدارية,
,,,,,,,,,,,,,,,,
نهاية الفترة,,الرياض,مكة المكرمة,المدينة المنورة, الشرقية,القصيم,عسير,تبوك,حائل,الحدود الشمالية,الجوف,جازان,نجران,الباحة,المجموع,
End of,,,,,,,,,,,,,,,,
Period,,Riyadh,Makkah,Al-Madinah,Eastern,Al-Qassim,Asir,Tabuk,Hail,Northern Border,Al-Jawf,Jazan,Najran,Al-Bahah,Total,
2003,,335,278,61,203,72,77,31,26,11,17,28,15,19,1173,
2004,,340,280,61,204,72,77,31,26,11,17,28,15,19,1181,
2005,,357,291,63,209,74,78,31,26,11,17,30,15,19,1221,
2006,,377,301,63,216,81,82,32,26,13,17,30,18,21,1277,
2007,,402,315,65,242,87,83,32,27,13,17,31,18,21,1353,
2008,,427,317,66,258,93,85,34,27,12,18,30,19,24,1410,
2009,,451,345,69,283,96,96,39,28,13,20,34,20,25,1519,
2010,,481,360,70,303,96,99,40,30,13,20,34,20,25,1591,
2011,,490,371,69,309,98,102,40,33,14,20,36,22,26,1630,
2012,,505,379,71,320,101,106,42,33,14,21,37,23,25,1677,
2013,,535,386,77,331,104,111,43,37,13,23,40,23,26,1749,
2014,,590,408,89,370,111,117,49,39,15,24,46,25,26,1909,
2015-12-31T00:00:00,,613,423,92,386,114,119,49,40,15,25,49,25,26,1976,
2016-12-31T00:00:00,,624,433,100,393,116,124,50,42,16,27,50,27,27,2029,
2017-12-31T00:00:00,,631,436,106,405,119,126,51,42,17,28,53,27,28,2069,
2018-12-31T00:00:00,,629,435,105,401,120,127,50,42,17,28,55,28,27,2064,
2019-12-31T00:00:00,,626,442,104,408,120,128,51,42,17,27,57,27,27,2076,
2020-12-31T00:00:00,,612,424,101,387,117,125,50,43,19,28,55,27,26,2014,
2021-12-31T00:00:00,,588,406,98,371,113,123,48,42,20,29,53,27,27,1945,
2022-12-31T00:00:00,,590,391,99,368,112,123,46,42,20,29,54,26,27,1927,
2023-12-31T00:00:00,,584,376,102,356,117,124,48,42,18,28,54,26,26,1901,
2024-12-31T00:00:00,,585,377,103,355,118,123,47,44,19,28,54,26,26,1905,
2025-12-31T00:00:00,,586,385,101,350,117,124,48,45,19,28,55,26,26,1910,
,,,,,,,,,,,,,,,,
Q1,2003,331,275,59,200,70,75,31,26,11,17,26,15,19,1155,
Q2,2003,331,274,59,201,70,75,31,26,11,17,27,15,19,1156,
Q3,2003,334,275,61,202,71,75,31,26,11,17,27,15,19,1164,
Q4,2003,335,278,61,203,72,77,31,26,11,17,28,15,19,1173,
Q1,2004,335,277,61,203,72,77,31,26,11,17,28,15,19,1172,
Q2,2004,337,278,61,204,72,77,31,26,11,17,28,15,19,1176,
Q3,2004,340,279,61,204,72,77,31,26,11,17,28,15,19,1180,
Q4,2004,340,280,61,204,72,77,31,26,11,17,28,15,19,1181,
Q1,2005,340,280,61,203,72,77,31,26,11,17,29,15,19,1181,
Q2,2005,345,283,61,205,73,77,31,26,11,17,29,15,19,1192,
Q3,2005,351,286,61,205,74,77,31,26,11,17,30,15,19,1203,
Q4,2005,357,291,63,209,74,78,31,26,11,17,30,15,19,1221,
Q1,2006,359,294,63,209,76,80,31,26,12,17,30,15,19,1231,
Q2,2006,370,298,63,209,78,80,31,26,12,17,30,16,19,1249,
Q3,2006,373,299,63,213,79,81,31,26,13,17,30,17,20,1262,
Q4,2006,377,301,63,216,81,82,32,26,13,17,30,18,21,1277,
Q1,2007,384,305,64,221,84,81,32,26,13,17,30,18,21,1296,
Q2,2007,389,308,64,223,85,83,32,26,13,17,31,18,21,1310,
Q3,2007,395,309,65,226,86,83,32,26,13,17,31,18,21,1322,
