,,,,,,,,,,,
القائمة الرئيسية   Main List,,,,,,,,,,قائمة الإحصاءات النقدية والمالية       Money & Banking Stat. List,
,,,,,,,,,,,
Table 29c: Remittance Services Centers,,,,,,,,,,جدول 29c: مراكز الحوالات,
,,,,,,,,,,,
نهاية,,البنك الأهلي,بنك الرياض,البنك العربي,بنك الجزيرة,مصرف الراجحي,مجموعة سامبا,بنك البلاد,مصرف الإنماء,المجموع,
الفترة,,السعودي*,,الوطني,,,المالية *,,,,
End of,,Saudi National ,Riyad,The Arab, Bank ,Al-Rajhi ,Samba,Bank,Alinma,Total ,
Period,,Bank*,  Bank,National Bank,Al-Jazira,Bank,Financial Group *, Albilad ,Bank,,
1990,,---,---,---,---,---,1,---,---,1,
1991,,---,---,---,---,---,3,---,---,3,
1992,,---,---,1,---,1,6,---,---,8,
1993,,---,---,3,---,7,10,---,---,20,
1994,,---,---,3,---,7,13,---,---,23,
1995,,---,---,3,---,7,14,---,---,24,
1996,,---,---,3,---,7,15,---,---,25,
1997,,---,---,3,---,7,16,---,---,26,
1998,,---,---,4,---,9,17,---,---,30,
1999,,---,---,9,---,10,17,---,---,36,
2000,,---,---,11,---,10,21,---,---,42,
2001,,---,---,11,---,24,21,---,---,56,
2002,,---,---,11,---,27,23,---,---,61,
2003,,---,---,13,---,30,25,---,---,68,
2004,,---,---,15,---,39,27,---,---,81,
2005,,---,---,25,---,58,29,60,---,172,
2006,,---,---,36,---,73,31,78,---,218,
2007,,---,---,41,---,107,35,82,---,265,
2008,,4,---,50,---,122,35,84,---,295,
2009,,8,---,61,---,130,34,94,---,327,
2010,,18,---,72,---,140,33,104,---,367,
2011,,25,---,77,---,153,32,126,---,413,
2012,,28,---,89,---,161,32,144,---,454,
2013,,57,1,93,1,168,32,151,---,503,
2014,,97,10,94,10,175,31,158,---,575,
2015-12-31T00:00:00,,138,24,96,30,186,30,171,---,675,
2016-12-31T00:00:00,,148,24,95,41,217,29,176,---,730,
2017-12-31T00:00:00,,150,18,94,50,233,28,179,---,752,
2018-12-31T00:00:00,,150,11,92,57,236,7,180,---,733,
2019-12-31T00:00:00,,138,0,87,61,231,7,179,53,756,
2020-12-31T00:00:00,,127,0,87,62,226,6,177,53,738,
2021-12-31T00:00:00,,130,0,85,62,207,---,168,52,704,
2022-12-31T00:00:00,,120,0,75,54,174,---,152,49,624,
2023-12-31T00:00:00,,96,0,59,52,142,---,148,33,530,
2024-12-31T00:00:00,,93,0,58,38,136,---,146,31,502,
2025-12-31T00:00:00,,93,0,54,24,135,---,141,31,478,
,,,,,,,,,,,
Q1,1997,---,---,3,---,7,15,---,---,25,
Q2,1997,---,---,3,---,7,15,---,---,25,
Q3,1997,---,---,3,---,7,15,---,---,25,
Q4,1997,---,---,3,---,7,16,---,---,26,
Q1,1998,---,---,4,---,7,16,---,---,27,
Q2,1998,---,---,4,---,7,16,---,---,27,
Q3,1998,---,---,4,---,9,17,---,---,30,
Q4,1998,---,---,4,---,9,17,---,---,30,
Q1,1999,---,---,4,---,9,17,---,---,30,
Q2,1999,---,---,4,---,9,17,---,---,30,
Q3,1999,---,---,9,---,9,17,---,---,35,
Q4,1999,---,---,9,---,10,17,---,---,36,
Q1,2000,---,---,9,---,10,18,---,---,37,
Q2,2000,---,---,9,---,10,20,---,---,39,
Q3,2000,---,---,9,---,10,20,---,---,39,
Q4,2000,---,---,11,---,10,21,---,---,42,
Q1,2001,---,---,11,---,12,21,---,---,44,
Q2,2001,---,---,11,---,14,21,---,---,46,
Q3,2001,---,---,11,---,21,21,---,---,53,
Q4,2001,---,---,11,---,24,21,---,---,56,
Q1,2002,---,---,11,---,24,23,---,---,58,
Q2,2002,---,---,11,---,24,23,---,---,58,
Q3,2002,---,---,11,---,24,23,---,---,58,
Q4,2002,---,---,11,---,27,23,---,---,61,
Q1,2003,---,---,12,---,27,24,---,---,63,
Q2,2003,---,---,12,---,29,24,---,---,65,
Q3,2003,---,---,13,---,29,24,---,---,66,
Q4,2003,---,---,13,---,30,25,---,---,68,
Q1,2004,---,---,15,---,33,25,---,---,73,
Q2,2004,---,---,15,---,33,25,---,---,73,
Q3,2004,---,---,15,---,34,26,---,---,75,
Q4,2004,---,---,15,---,39,27,---,---,81,
Q1,2005,---,---,18,---,41,27,---,---,86,
Q2,2005,---,---,21,---,44,28,13,---,106,
Q3,2005,---,---,22,---,54,28,23,---,127,
Q4,2005,---,---,25,---,58,29,60,---,172,
Q1,2006,---,---,27,---,59,29,69,---,184,
Q2,2006,---,---,32,---,61,29,72,---,194,
Q3,2006,---,---,32,---,68,31,78,---,209,
Q4,2006,---,---,36,---,73,31,78,---,218,
Q1,2007,---,---,36,---,87,34,78,---,235,
Q2,2007,---,---,38,---,99,34,80,---,251,
Q3,2007,---,---,39,---,100,35,82,---,256,
Q4,2007,---,---,41,---,107,35,82,---,265,
Q1,2008,1,---,46,---,113,36,82,---,278,
Q2,2008,1,---,47,---,114,35,84,---,281,
Q3,2008,1,---,50,---,120,35,84,---,290,
Q4,2008,4,---,50,---,122,35,84,---,295,
Q1,2009,6,---,52,---,123,35,87,---,303,
Q2,2009,7,---,57,---,127,35,88,---,314,
Q3,2009,8,---,58,---,129,35,93,---,323,
Q4,2009,8,---,61,---,130,34,94,---,327,
Q1,2010,8,---,61,---,130,34,97,---,330,
Q2,2010,10,---,64,---,133,33,100,---,340,
Q3,2010,15,---,64,---,135,33,100,---,347,
Q4,2010,18,---,72,---,140,33,104,---,367,
Q1,2011,19,---,72,---,141,33,109,---,374,
Q2,2011,23,---,72,---,144,33,110,---,382,
Q3,2011,24,---,75,---,147,33,118,---,397,
Q4,2011,25,---,77,---,153,32,126,---,413,
Q1,2012,25,---,77,---,154,32,132,---,420,
Q2,2012,25,---,77,---,156,32,136,---,426,
Q3,2012,25,---,87,---,158,32,138,---,440,
Q4,2012,28,---,89,---,161,32,144,---,454,
Q1,2013,31,---,88,---,161,32,144,---,456,
Q2,2013,43,---,89,---,165,32,147,---,476,
Q3,2013,44,---,90,---,167,32,147,---,480,
Q4,2013,57,1,93,1,168,32,151,---,503,
Q1,2014,58,8,92,1,170,32,152,---,513,
Q2,2014,61,10,92,4,174,32,153,---,526,
Q3,2014,73,10,94,6,175,32,155,---,545,
Q4,2014,97,10,94,10,175,31,158,---,575,
Q1,2015,98,21,95,16,176,31,156,---,593,
Q2,2015,98,21,95,22,176,31,163,---,606,
Q3,2015,107,21,96,24,179,31,167,---,625,
Q4,2015,138,24,96,30,186,30,171,---,675,
Q1,2016,138,25,94,30,191,29,172,---,679,
Q2,2016,139,25,95,33,198,29,173,---,692,
Q3,2016,140,24,95,36,199,29,173,---,696,
Q4,2016,148,24,95,41,217,29,176,---,730,
Q1,2017,148,25,96,45,223,29,178,---,744,
Q2,2017,148,20,96,48,230,29,178,---,749,
Q3,2017,148,20,96,48,232,28,179,---,751,
Q4,2017,150,18,94,50,233,28,179,---,752,
Q1,2018,156,18,94,50,234,21,179,---,752,
Q2,2018,156,18,93,51,234,13,179,---,744,
Q3,2018,153,11,93,53,236,7,179,---,732,
Q4,2018,150,11,92,57,236,7,180,---,733,
Q1,2019,147,11,91,57,236,7,180,52,781,
Q2,2019,146,9,89,57,236,7,180,54,778,
Q3,2019,138,1,88,60,232,7,179,55,760,
Q4,2019,138,0,87,61,231,7,179,53,756,
Q1,2020,138,0,87,61,231,7,178,53,755,
Q2,2020,138,0,87,61,231,6,178,53,754,
Q3,2020,127,0,87,61,228,6,178,53,740,
Q4,2020,127,0,87,62,226,6,177,53,738,
Q1,2021,127,0,86,62,225,6,177,53,736,
Q2,2021,131,0,86,62,217,---,175,53,724,
Q3,2021,131,0,86,62,215,---,173,52,719,
Q4,2021,130,0,85,62,207,---,168,52,704,
Q1,2022,121,0,84,61,205,---,158,52,681,
Q2,2022,120,0,80,54,199,---,154,52,659,
Q3,2022,120,0,78,54,195,---,152,49,648,
Q4,2022,120,0,75,54,174,---,152,49,624,
Q1,2023,120,0,75,54,170,---,151,42,612,
Q2,2023,101,0,62,54,163,---,150,41,571,
Q3,2023,101,0,60,52,153,---,150,36,552,
Q4,2023,96,0,59,52,142,---,148,33,530,
Q1,2024,96,0,57,51,142,---,147,33,526,
Q2,2024,95,0,56,46,136,---,146,33,512,
Q3,2024,95,0,57,43,136,---,146,31,508,
Q4,2024,93,0,58,38,136,---,146,31,502,
Q1,2025,93,0,58,32,136,---,146,31,496,
Q2,2025,93,0,57,27,136,---,142,31,486,
Q3,2025,93,0,57,24,136,---,143,31,484,
Q4,2025,93,0,54,24,135,---,141,31,478,
,,,,,,,,,,,
1997-01-31T00:00:00,,---,---,3,---,7,15,---,---,25,
1997-02-28T00:00:00,,---,---,3,---,7,15,---,---,25,
1997-03-31T00:00:00,,---,---,3,---,7,15,---,---,25,
1997-04-30T00:00:00,,---,---,3,---,7,15,---,---,25,
1997-05-31T00:00:00,,---,---,3,---,7,15,---,---,25,
1997-06-30T00:00:00,,---,---,3,---,7,15,---,---,25,
1997-07-31T00:00:00,,---,---,3,---,7,15,---,---,25,
1997-08-31T00:00:00,,---,---,3,---,7,15,---,---,25,
1997-09-30T00:00:00,,---,---,3,---,7,15,---,---,25,
1997-10-31T00:00:00,,---,---,3,---,7,15,---,---,25,
1997-11-30T00:00:00,,---,---,3,---,7,16,---,---,26,
1997-12-31T00:00:00,,---,---,3,---,7,16,---,---,26,
1998-01-31T00:00:00,,---,---,3,---,7,16,---,---,26,
1998-02-28T00:00:00,,---,---,4,---,7,16,---,---,27,
1998-03-31T00:00:00,,---,---,4,---,7,16,---,---,27,
1998-04-30T00:00:00,,---,---,4,---,7,16,---,---,27,
1998-05-31T00:00:00,,---,---,4,---,7,16,---,---,27,
1998-06-30T00:00:00,,---,---,4,---,7,16,---,---,27,
1998-07-31T00:00:00,,---,---,4,---,8,16,---,---,28,
1998-08-31T00:00:00,,---,---,4,---,8,16,---,---,28,
1998-09-30T00:00:00,,---,---,4,---,9,17,---,---,30,
1998-10-31T00:00:00,,---,---,4,---,9,17,---,---,30,
1998-11-30T00:00:00,,---,---,4,---,9,17,---,---,30,
