,,,,,,,,,,,,,
القائمة الرئيسية   Main List,,,,,,,,,,,,,قائمة التأمين       Insurance
,,,,,,,,,,,,,
Table 1: Gross Written Premiums by Line of Business,,,,,,,,,,,,,جدول 1: إجمالي أقساط التأمين المكتتب بها حسب نوع النشاط
 (Thousand ﷼),,,,,,,,,,,,,(ألف ﷼)
الفترة,,التأمين العام                              General Insurance,,,,,,,,,الحماية ,الصحي,الإجمالي 
,,,,,,,,,,,والادخار,,
Period,,الطيران,الطاقة,الهندسي,البحري,الممتلكات,الحوادث والمسئوليات,المركبات,أخرى,المجموع ,Protection,Health ,Grand
,,Aviation ,Energy ,Engineering,Marine ,Property/ Fire,Accident and Liability,Motor ,Other ,Total ,and Saving,,Total
2009,,174101.5725,301733.24053500005,810310.2944900001,525023.00551,904927.84779,525765.675899,3055415.4947600006,17975.707449999998,6315252.838934,1002847.29705,7291955.028102,14610055.164086
2010,,304544.16000000003,328872.88233999995,869237.89505,518155.00458000007,958734.2411,451406.2464710001,3238769.3304449865,55407.856789999954,6725127.616775987,972214.8661,8690095.562149666,16387438.045025654
2011,,272142.989,360982.27573,912536.1102900001,634135.08831,1156745.57671,516597.657119,3922227.0351189957,114923.33384,7890290.066118,905067.8167699,9708386.073236266,18503743.956124164
2012,,67075.735,384636.904,1076609.4235299998,743098.31068,1348350.70857,562729.8921100001,4689151.064696002,128207.88699999999,8999859.925586002,888544.4706100001,11285409.320472002,21173813.716668002
2013,,144035.176,455982,1199650.92847,740299.27918,1664502.64539,772673.2357660001,6354710.496480044,168103.796976666,11499957.55826271,844508.78755,12894965.88983891,25239432.23565162
2014,,140356,442698,1434109,811400,1923248,880285,8026207,199071,13857374,904361,15720484,30482219
2015-12-31T00:00:00,,146647.19,562637,1204015.75,726221.24,1961948.16,868963.8,10799248.48,224106.97,16493788.590000002,1035690.57,18966789.5,36496268.66
2016-12-31T00:00:00,,139655.9,457778,908415.27,634102.46,1825784.05,820527.85,12158398.79,229019.44,17173681.76,1051376.97,18630284.49,36855343.22
2017-12-31T00:00:00,,134943.82,739019.26,932440.31,621844.28,1708535.68,782408.13,11136448.5,271809.08,16327449.06,1140272.58,19035518,36503239.64
2018-12-31T00:00:00,,147992.66,511478.33,701744.98,544573.82,1697936.6,713039.42,9423328.46,288276.87,14028371.14,1102724.33,19883370.24,35014465.71
2019-12-31T00:00:00,,158519.73152,700444,1198415.99392,653628.16431,1844622.39427,836520.38611,8603649.79404194,284895.27667,14280695.740841938,1134884.85836,22474907.987908,37890488.58710994
2020-12-31T00:00:00,,178627.92502247,910823,1061771.66844943,689957.66073713,2109220.14335448,1013682.18151322,8357972.74650297,356201.34541938,14678256.67099908,1263640.47113,22836839.2866547,38778736.42878378
2021-12-31T00:00:00,,189129.648,1295270,1002035.109331,696324.11348,2282091.05245,1170228.960664,8162642.097119,416186.66459,15213907.645634,1707229.23684,25109336.9321101,42030473.8145841
2022-12-31T00:00:00,,234580.67491,1652653,1593801.679512,692308.780972,2463148.300704,1884720.77508198,10340589.1338421,790964.8411,19652767.18612208,1873558.56322,31829840.7319081,53356166.48125018
,,,,,,,,,,,,,
Q1,2009,31187.301,5637,143188.02268,56502.42843,104266.89799,53659.10600000001,472580.34812999994,6072.98693,873094.09116,64877,958222.0667099999,1896193.1578699998
Q2,2009,58924.675,133216,129600.44042,67533.94574000001,109542.61473,50994.178790000005,444526.91706,2209.8753000000006,996548.64704,110053,821126.64526,1927728.2922999999
Q3,2009,13193.628,50332,160413.819,62541.967789999995,134552.47404,40517.614147,429947.42925,5817.687099999999,897316.6193269999,137422,1567888.1386358,2602626.7579627996
Q4,2009,58373.899,-6171,153790.95436,84339.46119999999,159776.0105,70711.231802,528705.383604,3875.1581199999982,1053401.0985859998,220171,1710185.3467012001,2983757.4452871997
Q1,2010,32066.948,41751,198313.73872000002,109766.73255,185165.15445,108884.779464,743452.6069499999,10509.33069,1429910.290824,147899.45,2160998.680086,3738808.42091
Q2,2010,66771.07800000001,172185,131853.40896,116392.60136999999,161130.92191,103461.972668,613959.4131499941,16020.196859999998,1381774.5929179941,142905,1871331.8606174253,3396011.4535354194
Q3,2010,27868.564999999995,4056,137116.2378,105119.87315,275275.39856999996,76368.181791,617879.4159310032,17936.02559999998,1261619.697842003,103957.89,1777934.7922900026,3143512.3801320055
Q4,2010,175090.569,17011,199958.77969,92770.62708,158658.94985,84580.577288,656804.55210699,10942.303639999976,1395817.35865499,194497.61061,1963817.7155272372,3554132.684792227
Q1,2011,63774.86168640837,63552,192383.2415562981,169269.71979756473,335345.4065332381,144565.49139233347,1172305.2237209384,33101.054506521,2174296.999193303,159296.10009999998,2662808.0341873476,4996401.13348065
