,,,,,,,,,,,,,
القائمة الرئيسية   Main List,,,,,,,,,,,,,قائمة التأمين       Insurance
,,,,,,,,,,,,,
Table 2: Net Written Premiums by Line of Business,,,,,,,,,,,,,جدول 2: صافي أقساط التأمين المكتتب بها حسب نوع النشاط*
 (Thousand ﷼),,,,,,,,,,,,,(ألف ﷼)
الفترة,,التأمين العام                              General Insurance,,,,,,,,,الحماية ,الصحي,الإجمالي 
,,,,,,,,,,,والادخار,,
Period,,الطيران,الطاقة,الهندسي,البحري,الممتلكات,الحوادث والمسئوليات,المركبات,أخرى,المجموع ,Protection,Health ,Grand
,,Aviation ,Energy ,Engineering,Marine ,Property/ Fire,Accident and Liability,Motor ,Other ,Total ,and Saving,,Total
2010,,4844.6516299999785,7579.677970000019,113916.56783543655,175351.97296075703,126518.38205054044,260223.32180892964,3098801.8890477708,15682.801609999946,3802919.2649134346,876805.62837,7120023.997769803,11799748.891053237
2011,,1242.3583599999547,7405.406060000008,131194.60755143827,204947.3856958241,135522.76123483502,257308.36199252002,3710553.0043901587,22478.914469999996,4470652.799754776,841189.3616799001,8225149.245876382,13536991.40731106
2012,,2395.4490000000005,7316.695999999982,165921.31845815445,229513.6434220153,203164.3382636935,291955.60180237656,4408244.61317783,37004.832999999984,5345516.49312407,766984.98181,9951316.062662002,16063817.537596071
2013,,3633.914320000011,7548,180303.7641021012,241513.23955491013,281645.21093157516,349973.8035530937,5967016.0197918415,41068.84770666601,7072702.799960188,713973.45673,11455955.529728923,19242631.78641911
2014,,3494,8665,204921,251525,315758,500003,7601729,64071,8950166,729571,14654512,24334249
2015,,2925.91,11120,216522.67,248898.75,330266.83,419033.63,9912374.02,108312.33,11249454.139999999,835924.93,18189146.17,30274525.240000002
2016-12-31T00:00:00,,9056.73,12644,199249,192335.26,272707.12,397309.99,10720428.53,128111.66,11931842.29,820603.29,18095017.86,30847463.439999998
2017-12-31T00:00:00,,5713.75,17176.26,168644.81,172431.69,322417.44,357653.42,10388217.37,148673.04,11580927.779999997,846209.5,18411602.45,30838739.729999997
2018-12-31T00:00:00,,5294.08,3491.58,120169.58,155420.59,313960.31,314938.94,8860428.93,155499.69,9929203.7,794806.48,19319417.2,30043427.38
2019-12-31T00:00:00,,4037.27952,12774,144200.646525,181173.98598,314649.109007677,301988.50275,8117114.04813627,184634.01749,9260571.589408945,797204.53596,21621950.8320871,31679726.957456045
2020-12-31T00:00:00,,8704.36657247,16921,236491.04717843,176558.91553713,362734.19905048,367893.12680322,7763517.63146297,269346.18556938,9202166.472174078,859393.47559,21924713.4917397,31986273.43950378
2021-12-31T00:00:00,,7895.175,22731,189060.819602,194360.52015954,422454.178037,440209.69818599,7691103.366755,333636.39965,9301451.15738953,1078484.27134,24221661.7860291,34601597.214758635
2022-12-31T00:00:00,,5405.67491,32006,226762.42514177,208108.46081115,489895.51695686,1001797.62864498,9860595.0696664,340178.08195702,12164748.85808818,1192074.53212,31286810.0039735,44643633.39418168
,,,,,,,,,,,,,
Q1,2010,805.3029999999999,2099,18611.447655004933,35210.405527308445,29163.059056710434,72921.18526074305,708055.953603099,3315.262850000001,870181.6169528659,139861.8,1791763.011837134,2801806.42879
Q2,2010,875.0568299999995,2417,16103.287480959887,33480.76600180798,30785.657825989245,62687.62166502491,595170.3912873884,5466.264699999998,746986.0457911703,138063,1500928.3789748512,2385977.424766022
Q3,2010,620.7885299999907,273,34112.45035543846,34176.76428239201,31498.215700974826,45477.30397353467,584103.999234664,3886.8567099999837,734149.3787870039,98990.66,1482740.8257750028,2315880.8645620067
Q4,2010,2472.5032699999283,414,13368.390556000853,28344.906172048006,13311.965956195858,44654.48993115738,619203.5581881205,3014.4173499999633,724784.2314235226,171471.48025999998,1642267.1924658122,2538522.904149335
Q1,2011,476.3921064083697,1641,42455.7862861547,55111.73051432475,50478.30249888931,70296.56167401772,1112909.0569446185,8438.82311652101,1341807.6531409344,142796.10009999998,2220973.2523857155,3705577.0056266496
Q2,2011,470.3086375516141,505,29257.467186978978,48965.40919611494,34921.66340154962,60204.83721231952,928479.8541470742,4828.289534342497,1107632.8293159313,175129.4301,1903883.1669087056,3186645.4263246367
Q3,2011,128.36822604000918,957,27357.028220250886,52583.12540707032,35237.26778676366,51927.56202651258,773621.5562426883,6406.482419136477,948218.3903284622,136344.35615,2097048.99891316,3181611.745391622
Q4,2011,169.2893899999617,3609,17319.664058053746,34764.80995831399,10316.766847632276,53166.7714866701,831172.2020247772,2805.3194000000103,953323.8231654473,130832.31,1920712.2016445524,3004868.33481
