,,,,,,,,,,,,,
القائمة الرئيسية   Main List,,,,,,,,,,,,,قائمة التأمين       Insurance
,,,,,,,,,,,,,
Table 3: Net Claims Incurred by Line of Business*,,,,,,,,,,,,,جدول 3: صافي المطالبات المتكبدة حسب نوع النشاط*
 (Thousand ﷼),,,,,,,,,,,,,(ألف ﷼)
الفترة,,التأمين العام                              General Insurance,,,,,,,,,الحماية ,الصحي,الإجمالي 
,,,,,,,,,,,والادخار,,
Period,,الطيران,الطاقة,الهندسي,البحري,الممتلكات,الحوادث والمسئوليات,المركبات,أخرى,المجموع ,Protection,Health ,Grand
,,Aviation ,Energy ,Engineering,Marine ,Property/ Fire,Accident and Liability,Motor ,Other ,Total ,and Saving,,Total
2009,,234,-428.28950000000003,43090.147252999996,103437.20647162502,81017.43614299998,543376.00656,1850174.2505384998,365.37678900000105,2621266.1342551247,160172.6528,3534425.819687,6315864.606742125
2010,,1440.928695,1608.3247524199517,40363.620781532736,86491.11233554837,50076.10600701181,36452.62960352712,1892391.7292928742,1927.287015625002,2110751.738483539,158959.05571,4443076.2844855,6712787.078679039
2011,,1135.4676,-53.725750000000005,26595.113969521444,77051.47227688698,130763.86636033194,44876.25952827031,2459177.547978394,4061.7294353750767,2743607.73139878,324621.38614200003,5571742.338113715,8639971.455654494
2012,,418,661.2950000000001,47802.13615296089,94267.15054829074,91468.61195285417,54305.75780885207,3218283.634391936,28037.255501500007,3535243.841356394,137418.63339,7390863.8730929,11063526.347839294
2013,,826.552703999999,1408.01615,73447.01058516523,105665.26573672026,284246.3509239385,84202.42568363629,5286860.3722916525,18629.563648500018,5855285.557723613,203707.425887,10075562.677125504,16134555.660736118
2014,,-485,5677,96523.9,115500,231769.6,161835,6276732.6,45083,6932636.1,208883.9,10453241,17594761
2015-12-31T00:00:00,,789.36,692,92366.67,117704.6,161382.85,100561.56,7993656.88,26872.48,8494026.4,262181.78,12800893.05,21557101.23
2016-12-31T00:00:00,,795.01,4975.13,57052.23,71394.38,186797.19,102816.34,8805726.76,42659.65,9272216.69,253872.55,14144068.98,23670158.22
2017-12-31T00:00:00,,571.46,9292,82968.9,75364.95,172850.26,123225.21,7718856.48,59432.21,8242561.470000001,249528.77,16071505.35,24563595.59
2018-12-31T00:00:00,,7058.67,10838,70500.04,46509.84,118451.56,90545.16,6556956.76,84586.05,6985446.079999999,357454.1,17041136.11,24384036.29
2019-12-31T00:00:00,,1403.99710867,3047,59265.55874435,65772.08233222,118140.44298676,92628.3923749151,5999790.22076519,83895.7836436358,6423943.477955741,531252.472851,18345491.635126,25300687.58593274
2020-12-31T00:00:00,,-552.37755128,15974,39058.91503824,83227.79564628,161057.498321,63247.0077595,5171502.45737847,112954.53603055,5646469.83262276,639988.61673676,17990688.1786648,24277146.62802432
2021-12-31T00:00:00,,1602.80975836,5746,57265.27728055,77378.68348986,189259.01431425,107471.48060986,6199614.59485952,137677.37614414,6776015.23645654,900765.346283,19734863.9954444,27411644.578183938
2022-12-31T00:00:00,,2199.04499612,14251,34879.44342081,66623.28682655,252915.670091,54306.41361297,7782531.01086153,148980.17200133,8356686.04181031,783690.530541,24209651.4926926,33350028.06504391
,,,,,,,,,,,,,
Q1,2009,140,-1300,2941.1277,2953.70704,4607.31316,3650.60599,206358.945,121.814,219473.51289,4577,337411.093,561461.60589
Q2,2009,653.113,54,1232.41704,9049.29891,8731.31696,6403.30963,223945.66328,905.66884,250974.78766,4170,427063.684,682208.47166
Q3,2009,481.999125,994,3030.550859,6220.568983,11203.844416,-813.197209,238804.571256,-816.0493985,259106.28803149998,7714,708333.794595245,975154.082626745
Q4,2009,-1037.57693,-320,18606.430104,5319.451996,8430.91917800001,6862.2585475,291524.9492065,153.943347500001,329540.37544950005,12689,731880.229404755,1074109.604854255
Q1,2010,22.826919,127,7378.7269405,19150.166373,8968.22055075,4382.4570875,356836.625825,677.7134885,397543.73718424997,110253.32,940180.8539495,1447977.9111337499
Q2,2010,151,-1,10339.1859547692,6505.908414125,12006.8067089831,6884.920124,325161.3848065,535.979696874999,361584.1857052523,97421.8,999657.605619748,1458663.5913250004
Q3,2010,316.574046000001,-574,2650.35138556699,15177.332401475,7345.08837186649,7386.2488505,301457.616984,-1079.853324,332679.3587154085,53510.65,975256.199905441,1361446.2086208495
Q4,2010,1150,1253,5665.43178736752,22750.745573513,14934.0152343184,13703.779064324,445368.261585606,1793.44715425,506618.6803993789,114524.28308,1066101.82931482,1687244.7927941987
Q1,2011,1833,319,9872.5699980705,12746.816650697,44897.413959841,7722.53126850799,565428.748232894,1654.175850875,644474.2559608854,118881.3,1163997.04420442,1927352.6001653054
