,,,,,,,,,,,,,
القائمة الرئيسية   Main List,,,,,,,,,,,,,قائمة التأمين       Insurance
,,,,,,,,,,,,,
Table 4: Net Earned Premium by Line of Business*,,,,,,,,,,,,,جدول 4: صافي الأقساط المكتسبة حسب نوع النشاط*
 (Thousand ﷼),,,,,,,,,,,,,(ألف ﷼)
الفترة,,التأمين العام                              General Insurance,,,,,,,,,الحماية ,الصحي,الإجمالي 
,,,,,,,,,,,والادخار,,
Period,,الطيران,الطاقة,الهندسي,البحري,الممتلكات,الحوادث والمسئوليات,المركبات,أخرى,المجموع ,Protection,Health ,Grand
,,Aviation ,Energy ,Engineering,Marine ,Property/ Fire,Accident and Liability,Motor ,Other ,Total ,and Saving,,Total
2009,,1592,2046.3461450000002,104703.8271326801,169299.17429400003,103189.20148100001,536338.644989,2651895.9951334996,7402.738359999996,3576467.9275351795,624005.94678,4725257.488804556,8925731.363119736
2010,,4027.6024932055,11559.667392082192,104800.35297951245,160603.43065987088,95072.2631623729,193199.069248749,2822277.6380634517,14206.314306389078,3405746.338305634,500745.76537000004,6209767.918828012,10116260.022503646
2011,,2065.815399934756,6633.17441,122754.65473948898,194229.20685557422,126479.38778687744,214544.3187283815,3294425.9513815274,21240.07493616658,3982372.584237951,616370.15996,7520176.3215534985,12118919.065751448
2012,,1903.6519999999998,7089.353,154348.81932857336,225753.30023705776,181117.3909130547,287686.5787128891,4099710.972139904,36189.55024594671,4993799.616577425,809435.67181,9082977.198558683,14886212.486946108
2013,,3135.9918803057863,7763,130810.77362045005,236863.4254985662,249845.65236497167,313291.47940600594,5453963.153845591,38913.555573423844,6434587.032189313,658351.7138455,10711023.436944526,17803962.182979338
2014,,3686,8183,185971,246482,281940,446618,6845858,61463,8080201,648770,13256661,21985632
2015-12-31T00:00:00,,2940.76,9768,188323.09,251019.3,304639.55,399991.85,8998986.29,76195.18,10231864.02,672470.62,16561945.69,27466280.33
2016-12-31T00:00:00,,6876.16,12114,198741.78,202448.79,289083.95,435320.57,10732496.54,87619.31,11964701.1,708621.74,18237759.12,30911081.96
2017-12-31T00:00:00,,5855.01,14132.26,170348.56,176535.14,310969.1,394109.62,10388998.45,134487.67,11595435.809999999,684133.85,18323175.21,30602744.869999997
2018-12-31T00:00:00,,5498.65,7544.58,145124.03,160789.46,330339.28,363656.58,9243462.07,152079.45,10408494.1,634579.13,18802785.69,29845858.92
2019-12-31T00:00:00,,5411.55191267,7803,139627.985411539,176493.953746837,316730.847791967,332896.392720582,8211089.17276984,163888.245176918,9353941.149530353,697941.08533,20899314.9947252,30951197.229585554
2020-12-31T00:00:00,,7885.7730202,14493,181105.03959155,171738.73596742,322826.98922255,363352.25306997,7761917.2119731,222857.82132308,9046176.82416787,854585.06965,21789391.9004259,31690153.794243768
2021-12-31T00:00:00,,7050.83086527,21709,175971.1417844,188192.76431941,400412.23758521,409975.2557118,7517195.06555107,292592.28842997,9013098.584247129,1076950.66775,22759883.3260595,32849932.57805663
2022-12-31T00:00:00,,4518.1313667,23784,208559.36382871,207746.34443799,465772.95629555,862692.66581364,8501947.94718343,296052.34965185,10571073.75857787,1184767.71756,28457098.8640359,40212940.34017377
,,,,,,,,,,,,,
Q1,2009,935.714650000001,191,17570.78211,12066.28072,9609.78509,19595.57514,297009.99741,1930.23715,358909.37227,60035,422186.98698,841131.35925
Q2,2009,929.946129999999,295,2702.77273000009,16456.60243,10400.49725,24493.37666,339932.32978,1533.47713,396744.00211000006,106933,486230.70877,989907.7108800001
Q3,2009,454.180430000003,127,29098.0964149999,17295.809542,11102.005886,23638.9544,400430.795945,1934.09976,484080.94237799995,132092,1010217.92519621,1626390.8675742098
Q4,2009,-137.15002000001,-5676,17665.6271344707,23113.93248,13487.527417,23300.189133,447629.7946655,2004.92432,521388.8451299707,193233,1119595.44998205,1834217.2951120208
Q1,2010,-142.39998,3943,12157.6718005342,31683.1431113084,19798.8545357104,32367.9468397431,484073.007080599,1787.57362,585668.7970078952,141034.8,1241072.8294721,1967776.426479995
Q2,2010,766.586717874695,2864,16489.8061246421,21885.1946548006,15768.637607043,34757.6731454901,488508.352434227,4872.83395045135,585913.0846345288,139186,1362840.10153734,2087939.1861718688
Q3,2010,1391.34640868187,1308,19473.4963823448,29951.1436367489,23164.1094428022,40747.7017411352,552246.231218822,2030.87808722422,670312.9069177591,97355.66,1427736.85260914,2195405.4195268992
Q4,2010,1962.06934664891,1466,23053.0119676857,33387.2529887806,17048.0720330113,43810.2332099357,635092.706739661,5515.0286487135,761334.3749344368,164681.48026,1584289.44683795,2510305.302032387
