,,,,,,,,,,,,,
القائمة الرئيسية   Main List,,,,,,,,,,,,,قائمة التأمين       Insurance
,,,,,,,,,,,,,
Table 5: Total Number of Policies by Line of Business,,,,,,,,,,,,,جدول 5: إجمالي عدد وثائق التأمين حسب نوع النشاط
,,,,,,,,,,,,,
الفترة,,التأمين العام                              General Insurance,,,,,,,,,الحماية ,الصحي,الإجمالي 
,,,,,,,,,,,والادخار,,
Period,,الطيران,الطاقة,الهندسي,البحري,الممتلكات,الحوادث والمسئوليات,المركبات,أخرى,المجموع ,Protection,Health ,Grand
,,Aviation ,Energy ,Engineering,Marine ,Property/ Fire,Accident and Liability,Motor ,Other ,Total ,and Saving,,Total
2009,,168,13,4209,41174,10380,119245,1929722,193,2105104,107758,630064,2842926
2010,,227,35.894,6219.726000000001,79907.82886837881,18634.42,137396.503,2152872.059,724.6661316211878,2396018.097,215470,1254342.716,3865830.813
2011,,204,56,12676,111118,24377,196277,3462767,2477,3809952,590992,1580943,5981887
2012,,326,53,10660.086,112497.067,24983.649,151842.269,3672780.644655262,4615,3977757.715655262,598747.033,1951146.0359999998,6527650.784655262
2013,,274,44,12627.513000000003,125186.0979051904,26379.180112939015,160811.75157243435,3733776.566,6603,4065702.1085905638,255098.17500000002,2572622.62105,6893422.904640564
2014,,212,72,16325.04,118567.61,25649.39,155957.85,3606848.54,11981,3935613.43,245087.05,2158235.96,6338936.44
2015-12-31T00:00:00,,262,76,45381,121535,17237,146238,4258900,17550,4607176,103539,3412786,8123501
2016-12-31T00:00:00,,240,260,84644,101024,17525,163757,3903486,22492,4293428,97976,2916663,7308067
2017-12-31T00:00:00,,283,98,49790,93757,11474,153023,3953987,30962,4293374,90286,1282574,5666234
2018-12-31T00:00:00,,246,83,5778,75281,11135,133934,4297381,59875,4583713,56654,1371959,6012326
2019-12-31T00:00:00,,259,170,7773,74517,14393,157845,4996233,32370,5283560,116947,2251771,7652278
2020-12-31T00:00:00,,386,325,15603,68953,61930,115097,5796879,9960,6069133,104582,2212344.00176304,8386059.00176304
2021-12-31T00:00:00,,320,359,23319,73208,76206,422278,6055686,12593,6663969,90891,2688266,9443126
2022-12-31T00:00:00,,333,385,28682,60320,76667,799492,7686625,19789,8672293,227548,5106973,14006814
,,,,,,,,,,,,,
Q1,2009,48,4,645,13792,2646,30648,817245,0,865028,15789,86115,966932
Q2,2009,53,5,1024,7662,2467,33168,350116,4,394499,25295,101847,521641
Q3,2009,39,3,1156,8293,2261,22815,399820,97,434484,31045,218317,683846
Q4,2009,28,1,1384,11427,3006,32614,362541,92,411093,35629,223785,670507
Q1,2010,52,13.894,2052.726,16585.495,6765.42,41783.503,429070.059,124,496447.097,30884,314496.716,841827.8130000001
Q2,2010,56,10,1498,18272.3338683788,4853,44243,465801,142.666131621188,534876,32192,330776,897844
Q3,2010,61,6,1204,17860,3064,25485,626509,141,674330,34678,248158,957166
Q4,2010,58,6,1465,27190,3952,25885,631492,317,690365,117716,360912,1168993
Q1,2011,58,22,1885,24499,6557,31188,849871,324,914404,136610,290212,1341226
Q2,2011,46,10,4137,34279,7315,108618,956665,543,1111613,154201,461804,1727618
Q3,2011,53,11,1986,25750,4403,26551,807836,895,867485,143576,408882,1419943
Q4,2011,47,13,4668,26590,6102,29920,848395,715,916450,156605,420045,1493100
Q1,2012,37,21,3036.008,30801.005,8441.055,41381.025,985583.123655262,1007,1070307.216655262,170821.007,374760.943,1615889.166655262
Q2,2012,55,12,2820.02,30075.011,6082.149,45548.053,931783.395,1955,1018330.628,147230.007,425001.261,1590561.896
Q3,2012,188,8,2468.033,28175.022,5697.194,35539.077,710290.5,1181,783546.826,142901.009,573072.877,1499520.7119999998
Q4,2012,46,12,2336.025,23446.029,4763.251,29374.114,1045123.626,472,1105573.0450000002,137795.01,578310.955,1821679.0100000002
Q1,2013,61,8,2801.021,34184.025,7738.095,39753.042,1067232.806,1436,1153213.989,65917.036,675391.074,1894522.0990000002
Q2,2013,67,21,2951.01,35589.007,5960.052,48942.5241634608,933557.189,2068,1029155.7821634609,64285.051,546839.17805,1640280.011213461
Q3,2013,79,20,3799.46,28068.0569051904,7269.98711293902,40013.1534089735,805697.113,1845,886791.7704271029,62653.048,589109.549,1538554.3674271028
Q4,2013,67,-5,3076.022,27345.009,5411.046,32103.032,927289.458,1254,996540.567,62243.04,761282.82,1820066.4270000001
Q1,2014,61,31,3587.84,29180.08,8155.3,38293.98,870595.54,1901,951805.74,64318.05,603905.96,1620029.75
Q2,2014,44,13,3312.77,32931.95,6147.75,52731.53,927071,4157,1026409,66851,481978,1575238
Q3,2014,60,13,4079.39,27342.33,5508.78,37859.9,819455,3641,897959.4,65591,425120,1388670.4
