,,,,,,,,,,,,,,,,,,,,,,,,,
القائمة الرئيسية   Main List,,,,,,,,,,,قائمة الإحصاءات النقدية والمالية       Money & Banking Stat. List,,القائمة الرئيسية   Main List,,,,,,,,,,,,قائمة الإحصاءات النقدية والمالية       Money & Banking Stat. List
,,,,,,,,,,,,,,,,,,,,,,,,,
Table 30b: Distribution of ATMs by Bank,,,,,,,,,,,جدول 30b: توزيع أجهزة الصرف الآلي حسب المصرف,,Contd. 2 table 30b: Distribution of ATMs by Bank,,,,,,,,,,,,تابع 2 جدول 30b: توزيع أجهزة الصرف الآلي حسب المصرف
,,,,,,,,,,,,,,,,,,,,,,,,,
نهاية,,البنك الأهلي,بنك الرياض,البنك السعودي,البنك العربي,البنك السعودي,بنك,البنك الأول*,البنك السعودي,مصرف,مجموعة سامبا,,نهاية,,بنك ,بنك الإمارات ,بنك ,بنك ,مصرف,بنك ,بنك,بنك,بنك قطر, أخرى **,المجموع
الفترة,,السعودي***,,الفرنسي,الوطني,الأول*,الجزيرة,,للإستثمار,الراجحي,المالية ***,,الفترة,,البلاد ,دبي الوطني,الكويت الوطني,مسقط,الإنماء, البحرين الوطني,الخليج الدولي,أبو ظبي الأول,الوطني,,
End of,, Saudi National ,Riyad, Banque Saudi ,The Arab,Saudi Awwal,Bank,Alawwal,Saudi Investment,Al-Rajhi ,Samba,,End of,,AL-Bilad,Emirates, National Bank , Muscat,Alinma,  National Bank ,Gulf International,First Abu Dhabi,Qatar National, Others **,Total
Period,, Bank***,  Bank,Fransi,National Bank,Bank*, Al-Jazira,Bank*,Bank,Bank,Financial Group***,,Period,,Bank ,NBD,of Kuwait,Bank,Bank,of Bahrain,Bank,Bank,Bank,,
1995,,203,121,103,166,92,0,52,12,194,84,,1995,, ---, ---, ---, ---, ---, ---,---,---,---,9,1124
1996,,256,145,105,210,103,11,57,14,247,92,,1996,, ---, ---, ---, ---, ---, ---,---,---,---,9,1359
1997,,324,196,112,226,109,12,65,16,313,104,,1997,, ---, ---, ---, ---, ---, ---,---,---,---,9,1591
1998,,373,247,111,224,124,13,71,22,396,108,,1998,, ---, ---, ---, ---, ---, ---,---,---,---,9,1808
1999,,432,282,125,233,142,16,86,24,450,195,,1999,, ---, ---, ---, ---, ---, ---,---,---,---,12,1997
2000,,503,305,137,249,162,18,96,29,566,157,,2000,, ---, ---, ---, ---, ---, ---,---,---,---,12,2234
2001,,591,352,137,258,180,20,111,49,685,182,,2001,, ---, ---, ---, ---, ---, ---,---,---,---,12,2577
2002,,710,505,149,283,207,23,125,74,800,232,,2002,, ---, ---, ---, ---, ---, ---,---,---,---,12,3120
2003,,810,556,162,312,234,25,136,94,1060,275,,2003,, ---, ---, ---, ---, ---, ---,---,---,---,12,3676
2004,,892,619,174,381,240,27,144,123,1175,316,,2004,, ---,1, ---, ---, ---, ---,---,---,---,12,4104
2005,,931,687,194,417,258,61,155,141,1338,362,,2005,,31,1, ---, ---, ---, ---,---,---,---,12,4588
2006,,1048,1262,222,534,308,112,166,184,1592,398,,2006,,240,1, ---, ---, ---, ---,---,---,---,12,6079
2007,,1184,1562,320,705,401,190,179,221,1921,438,,2007,,400,5,2,3, ---, ---,---,---,---,12,7543
2008,,1384,2027,274,842,452,314,169,247,2266,476,,2008,,420,5,2,3, ---, ---,---,---,---,12,8893
2009,,1485,2433,330,899,474,296,221,293,2460,496,,2009,,450,12,2,4,82,1,---,---,---,12,9950
2010,,1626,2576,385,927,510,308,245,324,2750,512,,2010,,497,15,2,5,190,1,---,---,---,12,10885
2011,,1791,2594,437,935,524,318,257,334,3034,520,,2011,,586,15,2,6,400,1,---,---,---,12,11766
2012,,1960,2591,482,886,569,350,257,379,3297,528,,2012,,728,15,1,6,650,1,---,---,---,12,12712
2013,,2252,2520,490,995,667,369,268,419,3644,540,,2013,,856,16,1,4,829,1,---,---,---,12,13883
2014,,2643,2551,471,1110,854,511,382,442,3997,543,,2014,,953,18,1,4,1022,1,---,---,---,13,15516
2015-12-31T00:00:00,,3107,2929,551,1255,977,611,500,500,4121,561,,2015-12-31T00:00:00,,914,8,1,2,1166,1,6,---,---,13,17223
2016-12-31T00:00:00,,3477,2667,550,1266,966,621,560,500,4475,540,,2016-12-31T00:00:00,,896,8,1,0,1340,1,6,---,---,13,17887
2017-12-31T00:00:00,,3630,2592,554,1274,933,630,586,488,4794,541,,2017-12-31T00:00:00,,860,8,1,0,1437,1,4,---,---,0,18333
2018-12-31T00:00:00,,3729,2588,566,1243,925,618,617,499,5006,520,,2018-12-31T00:00:00,,863,12,1,0,1488,1,9,---,---,0,18685
2019-12-31T00:00:00,,3723,2558,569,1236,1433,607,---,469,5215,540,,2019-12-31T00:00:00,,971,17,4,0,1527,2,11,---,---,0,18882
2020-12-31T00:00:00,,3571,2486,472,1199,1236,612,---,409,5211,528,,2020-12-31T00:00:00,,978,20,4,0,1557,4,12,---,---,0,18299
2021-12-31T00:00:00,,3118,2242,466,1142,1089,635,---,372,4891,---,,2021-12-31T00:00:00,,964,29,4,0,1584,2,0,6,---,0,16544
