,,,,,,,,,,
القائمة الرئيسية   Main List,,,,,,,,,,قائمة الإحصاءات النقدية والمالية       Money & Banking Stat. List
,,,,,,,,,,
Table 30c: Points of Sale Transactions and E-Commerce Transactions (Mada Cards),,,,,,,,,,جدول 30c:عـمـليــات نقــاط الـبيــع والتجارة الإلكترونية
(Sales in Thousand ﷼),,,,,,,,,, (المبيعات بالألف ﷼)
,,إجمالي عمليات نقاط البيع ,,,منها: نقاط البيع بأستخدام تقنية التواصل قريب المدى,,,, التجارة الإلكترونية عبر بطاقات مدى **,
الفترة,,Total Points of Sale Transactions,,,of Which: Points of Sale Transactions Using Near Field Communication Technology,,,,E-Commerce Transactions Using Mada Cards**,E-Commerce Transactions Using Mada Cards
,,مبيعات,عدد ,عدد أجهزة ,عدد العمليات ,, المبيعات,,مبيعات,عدد 
Period,,,العمليات,* نقاط البيع,Number of Transactions,,Sales,,,العمليات
,,Sales,Number of,Number of Points,عبر الهاتف الجوال, عبر البطاقات,باستخدام الهاتف الجوال,باستخدام البطاقات,Sales,Number of
,,,Transactions,of Sale Terminals*,Mobile Transactions,Cards Transactions,Sales Using Mobile,Sales Using Cards,,Transactions
1993,,16500,91688,1274,---,---,---,---,---,---
1994,,640000,1899801,9957,---,---,---,---,---,---
1995,,2005531.51,4470498,14020,---,---,---,---,---,---
1996,,3214952.502,6834075,15679,---,---,---,---,---,---
1997,,4102409.521,8667022,15881,---,---,---,---,---,---
1998,,5004437,10896137,15885,---,---,---,---,---,---
1999,,6278034,14283316,16419,---,---,---,---,---,---
2000,,7372991,17970971,18537,---,---,---,---,---,---
2001,,10238545,23962839,21631,---,---,---,---,---,---
2002,,14729107,33203974,24291,---,---,---,---,---,---
2003,,19706775,43018097,29060,---,---,---,---,---,---
2004,,23971388,52177384,35521,---,---,---,---,---,---
2005,,28075759,66126594,44253,---,---,---,---,---,---
2006,,30966298.59,83131750,52784,---,---,---,---,---,---
2007,,39430624,99434671,61557,---,---,---,---,---,---
2008,,51403483,120683743,72351,---,---,---,---,---,---
2009,,56256358,124830388,82620,---,---,---,---,---,---
2010,,71855105,151183608,80505,---,---,---,---,---,---
2011,,98904916,190301481,88793,---,---,---,---,---,---
2012,,122225709,237945994,92538,---,---,---,---,---,---
2013,,134194183.41499999,265315873,107763,---,---,---,---,---,---
2014,,159970264.476,327034423,138779,---,---,---,---,---,---
2015-12-31T00:00:00,,172835452.755,394915865,225372,---,---,---,---,---,---
2016-12-31T00:00:00,,182748678.509,524569736,267827,---,---,---,---,---,---
2017-12-31T00:00:00,,200467827.104,708119092,303464,---,---,---,---,---,---
2018-12-31T00:00:00,,232305824.99999997,1031518190,351645,---,---,---,---,---,---
2019-12-31T00:00:00,,287794256.2546847,1623002741,438618,106510707,809233112,9294167.316,85072311.23900002,10251969.79273,38144136
2020-12-31T00:00:00,,357297966.4867401,2852864282,721060,639022937,1879900276,54869660.89738001,218832355.41,38822193.536800005,170308987
2021-12-31T00:00:00,,473258165.57963854,5171154926,1013233,1803246591,3103486371,128146797.21600316,301575138.97750777,74324926.0405895,347660680
2022-12-31T00:00:00,,559134945.3569436,7261504522,1438121,3063616170,3946904340,186421698.8161638,335984586.9270188,122673465.6763997,610577492
2023-12-31T00:00:00,,613956933.3240206,8971739435,1739070,4070407726,4566090331,222558099.93332937,353074412.1444906,156908391.8676898,873742893
2024-12-31T00:00:00,,668184480.8291448,10373398062,1981111,5384440627,4556095965,314771680.9293309,311263446.599216,197417278.9222098,1125931637
2025-12-31T00:00:00,,707151169.312102,11546271820,2330051,6268893524,4808972761,358085052.0022158,309416563.8865792,325195894.71433973,1770786311
,,,,,,,,,,
Q1,1995,268674.752,826876,11019,,,,,---,---
Q2,1995,451253.495,985005,12076,---,---,---,---,---,---
Q3,1995,617157.6869999999,1200071,13089,---,---,---,---,---,---
Q4,1995,668445.571,1458546,14020,---,---,---,---,---,---
Q1,1996,802520.133,1585827,14439,---,---,---,---,---,---
Q2,1996,793255.682,1620732,15007,---,---,---,---,---,---
Q3,1996,760169.4550000001,1705763,15332,---,---,---,---,---,---
Q4,1996,859007.232,1921753,15679,---,---,---,---,---,---
Q1,1997,933092.501,1946185,16035,---,---,---,---,---,---
Q2,1997,1005369.02,2081587,16112,---,---,---,---,---,---
Q3,1997,1079748,2183865,15997,---,---,---,---,---,---
Q4,1997,1084200,2455385,15881,---,---,---,---,---,---
Q1,1998,1170443,2479269,15886,---,---,---,---,---,---
Q2,1998,1220332,2582656,15901,---,---,---,---,---,---
Q3,1998,1284303,2724421,15827,---,---,---,---,---,---
Q4,1998,1329359,3109791,15885,---,---,---,---,---,---
Q1,1999,1439004,3183015,15878,---,---,---,---,---,---
Q2,1999,1585281,3467462,16071,---,---,---,---,---,---
Q3,1999,1557592,3558829,15856,---,---,---,---,---,---
Q4,1999,1696157,4074010,16419,---,---,---,---,---,---
Q1,2000,1446757,3799801,16785,---,---,---,---,---,---
Q2,2000,1907395,4378020,17371,---,---,---,---,---,---
Q3,2000,1937874,4580330,16386,---,---,---,---,---,---
Q4,2000,2080965,5212820,18537,---,---,---,---,---,---
Q1,2001,2076047,5102477,18919,---,---,---,---,---,---
Q2,2001,2592443,5928545,18407,---,---,---,---,---,---
Q3,2001,2660168,5976265,20423,---,---,---,---,---,---
Q4,2001,2909887,6955552,21631,---,---,---,---,---,---
Q1,2002,2910534,7021167,22223,---,---,---,---,---,---
Q2,2002,3689730,8099380,22950,---,---,---,---,---,---
Q3,2002,3879559,8471964,23462,---,---,---,---,---,---
Q4,2002,4249284,9611463,24291,---,---,---,---,---,---
Q1,2003,4061008,9310579,25126,---,---,---,---,---,---
Q2,2003,4861834,10727994,26537,---,---,---,---,---,---
Q3,2003,5320563,11099163,27820,---,---,---,---,---,---
Q4,2003,5463370,11880361,29060,---,---,---,---,---,---
Q1,2004,5525023,11942497,29907,---,---,---,---,---,---
Q2,2004,5788547,12772282,32521,---,---,---,---,---,---
Q3,2004,6152223,12821652,34068,---,---,---,---,---,---
Q4,2004,6505595,14640953,35521,---,---,---,---,---,---
Q1,2005,6619792,15332572,34876,---,---,---,---,---,---
Q2,2005,7221954,16662286,37575,---,---,---,---,---,---
Q3,2005,6801011,15735359,41636,---,---,---,---,---,---
Q4,2005,7433002,18396377,44253,---,---,---,---,---,---
Q1,2006,7680238,19842743,46311,---,---,---,---,---,---
Q2,2006,8117337.9,20534885,48749,---,---,---,---,---,---
Q3,2006,7704342.199999999,21061584,51863,---,---,---,---,---,---
Q4,2006,7464380.49,21692538,52784,---,---,---,---,---,---
Q1,2007,8474961,22909555,54806,---,---,---,---,---,---
Q2,2007,10388601,25666474,57520,---,---,---,---,---,---
Q3,2007,10784209,25804022,59537,---,---,---,---,---,---
Q4,2007,9782853,25054620,61557,---,---,---,---,---,---
Q1,2008,11538799,29365548,63870,---,---,---,---,---,---
Q2,2008,13797233,30961962,66855,---,---,---,---,---,---
Q3,2008,14322531,31645059,70848,---,---,---,---,---,---
Q4,2008,11744920,28711174,72351,---,---,---,---,---,---
Q1,2009,13186543,30657266,74291,---,---,---,---,---,---
Q2,2009,13971640,30425489,75269,---,---,---,---,---,---
Q3,2009,14674875,31274542,75241,---,---,---,---,---,---
Q4,2009,14423300,32473091,82620,---,---,---,---,---,---
Q1,2010,16131313,34517161,70469,---,---,---,---,---,---
Q2,2010,18572798,37766806,73855,---,---,---,---,---,---
Q3,2010,18839273,38862046,74792,---,---,---,---,---,---
Q4,2010,18311721,40037595,80505,---,---,---,---,---,---
Q1,2011,20526036,41784936,81292,---,---,---,---,---,---
Q2,2011,27142517,48525832,84473,---,---,---,---,---,---
Q3,2011,25837271,48904909,86954,---,---,---,---,---,---
Q4,2011,25399092,51085804,88793,---,---,---,---,---,---
Q1,2012,28275207,54581212,83841,---,---,---,---,---,---
Q2,2012,31751883,59671636,87181,---,---,---,---,---,---
Q3,2012,31074583,60234621,90152,---,---,---,---,---,---
Q4,2012,31124036,63458525,92538,---,---,---,---,---,---
Q1,2013,32181567.768999998,62789641,95969,---,---,---,---,---,---
Q2,2013,35701698.453999996,65966521,100530,---,---,---,---,---,---
Q3,2013,33583792.939,66776128,104474,---,---,---,---,---,---
Q4,2013,32727124.253,69783583,107763,---,---,---,---,---,---
Q1,2014,37780585.671,75133576,113345,---,---,---,---,---,---
Q2,2014,43486496.572,82916555,121609,---,---,---,---,---,---
Q3,2014,39918300.347,82821591,127939,---,---,---,---,---,---
Q4,2014,38784881.886,86162701,138779,---,---,---,---,---,---
Q1,2015,44980794.92,94553105,156812,---,---,---,---,---,---
Q2,2015,44775766.413,97710518,175300,---,---,---,---,---,---
Q3,2015,41687118.643,97645958,197686,---,---,---,---,---,---
Q4,2015,41391772.779,105006284,225372,---,---,---,---,---,---
Q1,2016,43552661.388,115650451,249229,---,---,---,---,---,---
Q2,2016,50718792.85,134715294,258293,---,---,---,---,---,---
Q3,2016,43102464.309,127373897,261828,---,---,---,---,---,---
Q4,2016,45374759.962,146830094,267827,---,---,---,---,---,---
Q1,2017,46227001.284,154899093,292540,---,---,---,---,---,---
Q2,2017,53405079.533,177356272,301363,---,---,---,---,---,---
Q3,2017,47336078.62,173437432,297447,---,---,---,---,---,---
Q4,2017,53499667.666999996,202426295,303464,---,---,---,---,---,---
Q1,2018,51361308,220704280,313180,---,---,---,---,---,---
Q2,2018,61761998,248620459,324300,---,---,---,---,---,---
Q3,2018,57688656.300000004,260943113,339048,---,---,---,---,---,---
Q4,2018,61493862.699999996,301250338,351645,---,---,---,---,---,---
Q1,2019,64048262.232999995,326126619,368744,5150372,113108697,430946.355,7884723.5600000005,1017226.264,4111599
Q2,2019,72708719.5102279,362372235,391828,14620849,157974572,1434392.2119999998,17040969.256,1730288.4704300002,6800455
Q3,2019,72138750.0684568,419030268,407150,29486112,225710462,2581088.98,24964339.785,3048123.88447,10974894
Q4,2019,78898524.443,515473619,438618,57253374,312439381,4847739.769,35182278.638,4456331.173830001,16257188
Q1,2020,79256484.6184264,543981191,472163,83616069,346178770,7184123.514,40803077.964,5137430.34833,20795320
Q2,2020,76645526.7525937,502021137,531705,93228348,342932986,9715703.897,47722576.284,10452677.6702,48069025
Q3,2020,95874353.91372,828794836,614285,196712743,552799484,16512252.859000001,61695115.916,10676710.04235,46344959
Q4,2020,105521601.202,978067118,721060,265465777,637989036,21457580.62738,68611585.24599999,12555375.47592,55099683
Q1,2021,109165265.8361801,1065644781,792842,324742211,673411264,25393495.243470952,71028334.3179191,13860761.29561995,66170035
Q2,2021,118148271.54051341,1205841390,848358,400154012,741486823,30855794.947113197,76321975.9444766,17185270.032260012,79893247
Q3,2021,119821617.52262624,1383560270,899751,504410165,812263844,34429302.9102744,75349415.8845456,20222689.54286975,90918993
Q4,2021,126123010.68031886,1516108485,1013233,573940203,876324440,37468204.115144596,78875412.8305664,23056205.16983978,110678405
Q1,2022,133438206.34195274,1634182021,1136469,660182726,913095753,42556859.6409755,81693307.46087009,26233911.46878999,127344537
Q2,2022,137785786.34265918,1709226854,1205169,706148420,943415608,45163531.2273007,83229362.7162064,29787047.600840002,146057977
Q3,2022,142870781.74678016,1900816276,1323560,813310143,1023924639,48477585.037941396,85535181.3383685,32673429.030869998,155935317
Q4,2022,145040170.9255515,2017279371,1438121,883974881,1066468340,50223722.9099462,85526735.4115738,33979077.5758997,181239661
Q1,2023,148538743.97383767,2041747796,1576180,904769380,1065974876,52358296.3897302,86567044.5633298,36532163.749919996,193451223
Q2,2023,153222545.72560486,2174009305,1603344,976255419,1117950027,55797141.6119235,88097138.6619065,38719317.07659,218704870
Q3,2023,154492072.2586774,2318367827,1691163,1055003384,1172405085,56058793.322530404,89021449.5016096,41127735.92518,224452748
Q4,2023,157703571.36590067,2437614507,1739070,1134379543,1209760343,58343868.6091453,89388779.41764471,40529175.1159998,237134052
Q1,2024,167198884.50394005,2445398282,1780710,1242705108,1103895943,76447236.38042751,79660166.2628924,44422575.35316999,263242173
Q2,2024,162205009.66114995,2519133585,1802069,1306405601,1110076523,76383152.2261059,75754351.637034,46204016.165019795,274504581
Q3,2024,167491231.777158,2648554321,1895058,1383425637,1154788551,79339439.64084649,77643860.9946136,51637838.5569599,282788801
Q4,2024,171289354.8868969,2760311874,1981111,1451904281,1187334948,82601852.681951,78205067.704676,55152848.8470601,305396082
Q1,2025,181737947.55856857,2712998890,2082249,1433506515,1151017148,90041971.7610575,80931011.7662556,69297943.86898011,370904025
Q2,2025,165703631.73218197,2799676324,2130219,1518129927,1163765901,83767974.36474639,73274623.46239561,76640063.5309795,420734656
Q3,2025,179699311.73348996,2975393736,2249852,1638246567,1227238137,92352697.39519921,77838963.4075007,88289189.7159001,465476969
Q4,2025,180010278.28786147,3058202870,2330051,1679010515,1266951575,91922408.4812127,77371965.2504273,90968697.59848,513670661
,,,,,,,,,,
