,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
القائمة الرئيسية   Main List,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,قائمة الإحصاءات النقدية والمالية       Money & Banking Stat. List
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 30d: Points of Sale Transactions by Activity (Number of Transactions),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,جدول 30d:عمليات نقاط البيع حسب الأنشطة (عدد العمليات)
 (Transactions in Thousand) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, (العمليات بالألف) 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Activity,2024-12-31T00:00:00,2025-01-01T00:00:00,Q1 2024,Q2 2024,Q3 2024,Q4 2024,Q1 2025,Q2 2025,Q3 2025,Q4 2025,,2024-01-05T00:00:00,2024-02-05T00:00:00,2024-03-05T00:00:00,2024-04-05T00:00:00,2024-05-06T00:00:00,2024-06-07T00:00:00,2024-07-08T00:00:00,2024-08-08T00:00:00,2024-09-06T00:00:00,2024-10-08T00:00:00,2024-11-09T00:00:00,2024-12-08T00:00:00,2025-01-09T00:00:00,2025-02-10T00:00:00,2025-03-11T00:00:00,2025-04-12T00:00:00,2025-05-01T00:00:00,2025-06-01T00:00:00,2025-07-01T00:00:00,2025-08-01T00:00:00,2025-09-01T00:00:00,2025-10-01T00:00:00,2025-11-02T00:00:00,2025-12-01T00:00:00,2026-01-01T00:00:00,2026-02-01T00:00:00,,النشاط
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Transportation,266253.16000000003,292249.09400000004,63896.897,64351.121,67725.87299999999,70279.269,70370.929,69199.2,74404.674,78274.291,,21249.127,20278.82,22368.95,20233.024,23094.922,21023.175,22092.147,22910.261,22723.465,23522.241,22821.511,23935.517,23605.166,21859.532,24906.231,21946.897,24924.965,22327.338,25078.521,25370.231,23955.922,26171.603,25651.744,26450.944,27199.507,27702.051,,النقل
Airlines,6436.916,6750.526,1614.634,1657.438,1622.877,1541.9669999999999,1593.2510000000002,1603.0659999999998,1702.842,1851.3670000000002,,545.89,520.028,548.716,596.645,565.469,495.324,572.597,535.982,514.298,531.622,495.431,514.914,520.676,511.1,561.475,534.155,568.233,500.678,582.227,569.237,551.378,618.416,611.129,621.822,622.316,560.225,,الطيران
Auto & Equipment Rentals,11724.881,13188.965,2917.732,2729.261,2897.576,3180.3120000000004,3124.038,2894.967,3439.3900000000003,3730.5699999999997,,975.462,941.45,1000.82,895.095,982.972,851.194,949.148,991.894,956.534,1029.467,1065.606,1085.239,1074.412,997.9,1051.726,922.624,1048.837,923.506,1169.708,1197.205,1072.477,1220.381,1252.422,1257.767,1261.092,1056.135,,تأجير السيارات والمعدات
Trade of Vehicles & Spare Parts  ,93614.606,93876.371,22303.882,23154.388999999996,24405.299,23751.036,22174.8,22722.912,24147.021999999997,24831.637000000002,,7497.157,7209.154,7597.571,7118.547,8410.942,7624.9,8078.333,8286.505,8040.461,8243.15,7775.526,7732.36,7512.752,6966.473,7695.575,7222.651,8125.351,7374.91,8283.381,8201.292,7662.349,8356.026,8072.927,8402.684,8306.625,7813.57,,تجارة المركبات وقطع الغيار
Maintenance & Repair of Vehicles ,105838.824,120874.72399999999,24546.356,25493.483,27174.526999999995,28624.458,28304.716999999997,29199.413,31060.148999999998,32310.445,,8324.272,7970.093,8251.991,7985.995,9144.391,8363.097,8667.319,9089.917,9417.291,9643.727,9435.604,9545.127,9564.592,8899.582,9840.543,9305.967,10392.704,9500.742,10411.817,10706.182,9942.15,10830.393,10653.457,10826.595,11301.544,12361.754,,صيانة وإصلاح المركبات
Freight Transport & Postal & Courier Services,13736.921000000002,13878.696,3613.099,3228.838,3306.9790000000003,3588.005,3925.55,3224.567,3239.934,3488.645,,1134.155,996.681,1482.263,978.784,1156.438,1093.616,981.056,1266.817,1059.106,1165.34,1191.951,1230.714,1155.976,1145.288,1624.286,910.95,1266.672,1046.945,1046.931,1189.207,1003.796,1129.057,1171.887,1187.701,1323.234,1475.014,,خدمات الشحن والتوصيل ونقل الطرود
Others,34901.012,43679.812000000005,8901.194,8087.7119999999995,8318.615,9593.491,11248.573,9554.275000000001,10815.337,12061.627,,2772.191,2641.414,3487.589,2657.958,2834.71,2595.044,2843.694,2739.146,2735.775,2908.935,2857.393,3827.163,3776.758,3339.189,4132.626,3050.55,3523.168,2980.557,3584.457,3507.108,3723.772,4017.33,3889.922,4154.375,4384.696,4435.353,,أخرى
Health,541364.2450000001,542014.816,131507.87,133500.907,134694.329,141661.13900000002,142487.34100000001,137095.274,130484.02500000001,131948.176,,45418.691,42076.622,44012.557,44902.663,46369.405,42228.839,43985.887,44432.107,46276.335,47675.606,45226.692,48758.841,49626.537,43618.913,49241.891,44366.344,48325.5,44403.43,45958.8,43135.229,41389.996,46206.402,43658.796,42082.978,43659.414,39645.096,,الصحة
Medical Services,147316.01899999997,162191.77000000002,36067.869,34438.28999999999,37089.319,39720.541,38915.706000000006,37363.520000000004,39659.113,46253.431,,12572.383,11500.732,11994.754,11043.469,12828.343,10566.478,11826.525,11914.233,13348.561,13575.372,12224.478,13920.691,13902.526,12589.929,12423.251,12616.974,13455.119,11291.427,12711.471,12806.049,14141.593,16320.474,15313.72,14619.237,14536.023,14036.228,,الخدمات الطبية
Pharmacies & Medical Supplies,270451.417,244350.46499999997,66963.32500000001,67056.428,66500.12700000001,69931.537,69802.02799999999,66771.09,57483.102,50294.245,,23046.614,21156.881,22759.83,22934.017,22907.445,21214.966,21819.484,21832.07,22848.573,23493.471,22160.036,24278.03,24547.725,21261.217,23993.086,22006.968,23103.999,21660.123,21673.988,18778.326,17030.788,17775.677,16576.377,15942.191,16475.283,15119.373,,الصيدليات والمستلزمات الطبية
Personal Care,123596.80900000001,135472.581,28476.676,32006.189000000002,31104.883,32009.061,33769.607,32960.664,33341.81,35400.5,,9799.694,9419.009,9257.973,10925.177,10633.617,10447.395,10339.878,10685.804,10079.201,10606.763,10842.178,10560.12,11176.286,9767.767,12825.554,9742.402,11766.382,11451.88,11573.341,11550.854,10217.615,12110.251,11768.699,11521.55,12648.108,10489.495,,العناية الشخصية
Restaurants & Café,2657639.4790000003,2817760.3570000003,606727.141,627048.277,694763.865,729100.196,635484.165,699543.355,732522.032,750210.805,,219900.392,215048.107,171778.642,193197.865,228624.964,205225.448,221728.485,237353.121,235682.259,248025.865,238339.483,242734.848,243790.75,225241.969,166451.446,229487.773,246687.179,223368.403,245623.984,246762.715,240135.333,255958.568,244109.621,250142.616,256264.898,204476.755,,المطاعم والمقاهي
Bakeries & Pastries,274039.98600000003,310706.863,68882.22,69422.73300000001,66122.905,69612.128,69371.125,63747.37400000001,79252.469,98335.895,,23101.461,22923.486,22857.273,22629.329,24278.355,22515.049,21639.171,22215.495,22268.239,23405.859,22806.688,23399.581,23671.97,22281.342,23417.813,19746.734,22338.15,21662.49,21526.013,24053.993,33672.463,34402.862,32049.862,31883.171,31689.503,27485.938,,المخبوزات والحلويات
Hotels,37101.958,38946.342000000004,9230.594000000001,8528.079,9900.914999999999,9442.369999999999,9166.705,8778.475,10543.228,10457.934000000001,,3357.708,3114.841,2758.045,2819.523,3041.684,2666.872,3617.6,3374.88,2908.435,3090.928,3304.927,3046.515,3349.843,2934.507,2882.355,3023.936,3054.784,2699.755,3775.99,3822.007,2945.231,3419.156,3579.114,3459.664,3876.828,2985.557,,الفنادق
Food & Beverages,2466681.9020000002,2643979.8279999997,576551.07,588769.601,632619.145,668742.086,627885.0449999999,645763.2239999999,672964.328,697367.231,,192972.973,185184.626,198393.471,183379.717,212221.162,193168.722,201490.153,208787.749,222341.243,230882.058,217969.278,219890.75,215902.463,201434.631,210547.951,207291.86,226870.482,211600.882,224262.472,227104.623,221597.233,238361.594,226235.586,232770.051,234659.796,221913.467,,الأطعمة  والمشروبات
"Apparel, Clothing & Accessories",366456.304,439143.08700000006,95167.774,93246.428,84335.238,93706.864,118278.40100000001,84769.839,106936.631,129158.21599999999,,27259.062,27606.139,40302.573,36055.902,26577.178,30613.348,26206.061,30266.699,27862.478,27280.907,32030.383,34395.574,31501.38,30711.045,56065.976,23108.359,31047.414,30614.066,31656.216,38593.812,36686.603,39528.893,44106.556,45522.767,46434.694,45557.503,,الملبوسات والإكسسوارات
Recreation & Culture,171257.749,184362.55800000002,40928.129,40965.08,44588.534,44776.006,39220.546,40775.845,50551.947,53814.22,,14314.81,13689.175,12924.144,12903.965,14712.034,13349.081,13121.348,15840.621,15626.565,14921.299,15026.66,14828.047,13625.551,13011.25,12583.745,13518.595,14210.258,13046.992,14232.829,17114.982,19204.136,19213.299,16928.08,17672.841,18777.281,16187.192,,الثقافة والترفيه
Books & Stationery,58295.861000000004,58026.999,13625.841999999999,12038.552,15407.409,17224.058,12056.106,13207.455000000002,14931.165,17832.273,,4584.802,4519.495,4521.545,4064.112,4866.147,3108.293,2624.315,6268.862,6514.232,5819.612,5658.498,5745.948,4090.173,4473.175,3492.758,5371.024,4381.501,3454.93,2770.458,4796.245,7364.462,6916,4982.707,5933.566,6415.518,5359.688,,الكتب والأدوات المكتبية
Recreation,112961.888,126335.559,27302.287000000004,28926.528,29181.125,27551.948000000004,27164.440000000002,27568.39,35620.782,35981.947,,9730.008,9169.68,8402.599,8839.853,9845.887,10240.788,10497.033,9571.759,9112.333,9101.687,9368.162,9082.099,9535.378,8538.075,9090.987,8147.571,9828.757,9592.062,11462.371,12318.737,11839.674,12297.299,11945.373,11739.275,12361.763,10827.504,,الترفيه
Professional & Business Services,882099.385,770106.8759999999,221617.19600000003,231875.061,213178.49599999998,215428.632,215400.188,209153.73100000003,190338.90600000002,155214.051,,73915.526,72837.581,74864.089,73314.557,81719.522,76840.982,80555.597,65407.522,67215.377,72326.797,70351.196,72750.639,72100.479,68391.723,74907.986,67122.591,74674.402,67356.738,66381.365,65901.085,58056.456,50116.385,50761.514,54336.152,58491.855,55075.206,,الخدمات المهنية والتجارية
Electronic & Electric Devices,70836.924,82565.916,16715.381,17845.491,18214.59,18061.462,17622.843999999997,19267.612999999998,21799.940000000002,23875.519,,5187.998,5314.372,6213.011,5627.01,6263.597,5954.884,6197.732,6083.478,5933.38,6058.34,5945.489,6057.633,5810.396,5697.868,6114.58,5406.77,6286.209,7574.634,7195.501,7107.68,7496.759,8075.518,7706.946,8093.055,8308.293,8241.465,,الأجهزة الإلكترونية والكهربائية
Furniture & Home Supplies,119729.224,131565.492,31978.064,28212.004,28833.352999999996,30705.803,35049.026,29035.082000000002,32935.626000000004,34545.758,,9627.519,10121.428,12229.117,9501.311,9486.149,9224.544,9156.193,9748.418,9928.742,9816.016,10134.725,10755.062,10569.526,11505.452,12974.048,8539.529,10475.935,10019.618,10898.748,11320.22,10716.658,11049.917,11311.713,12184.128,12854.885,13590.27,,الأثاث والمستلزمات المنزلية
Construction & Building Materials,106020.34300000001,119498.526,25767.845,24371.952,26739.713000000003,29140.833000000002,29142.114999999998,27674.525,30342.882999999998,32339.003,,8489.296,8355.487,8923.062,7575.357,8721.438,8075.157,8719.585,9064.902,8955.226,9595.414,9493.971,10051.448,9678.961,9617.408,9845.746,8697.466,9887.034,9090.025,10272.527,10438.768,9631.588,10494.613,10521.136,11323.254,11626.616,11343.998,,مواد البناء والتعمير
Jewelry,13292.455,15133.172,3387.906,3698.676,2981.5609999999997,3224.312,4127.4130000000005,3518.042,3700.2870000000003,3787.4300000000003,,1035.586,1047.791,1304.529,1459.677,1088.463,1150.536,960.799,946.084,1074.678,1032.932,1090.137,1101.243,1060.327,1002.356,2064.73,965.569,1251.167,1301.306,1259.39,1216.075,1224.822,1321.396,1214.078,1251.956,1385.367,1295.574,,المجوهرات
Telecommunication,111260.792,176043.636,19084.298000000003,26131.122000000003,31362.925000000003,34682.447,35472.727,38132.386,46659.839,55778.68400000001,,5752.826,5961.426,7370.046,7790.068,9185.918,9155.136,10107.473,10645.888,10609.564,11431.283,11406.766,11844.398,11913.285,11192.167,12367.275,12049.576,13172.504,12910.306,14763.044,14944.634,16952.161,18874.327,17968.083,18936.274,19752.467,17954.799,,الاتصالات
Education,8851.958,9661,1828.212,1822.6800000000003,2669.523,2531.543,2055.858,2216.8410000000003,2822.109,2566.192,,668.438,627.968,531.806,487.475,802.72,532.485,649.184,1092.325,928.014,926.548,785.711,819.284,829.782,726.77,499.306,834.613,805.352,576.876,690.174,1078.36,1053.575,951.908,813.821,800.463,837.547,718.74,,التعليم
Public Utilities & Services,53544.666,39001.512,18245.404000000002,13314.127,12242.446,9742.689,10144.661,9142.030999999999,9467.641,10247.179,,7472.011,5526.466,5246.927,4289.581,4808.516,4216.03,4429.298,4630.146,3183.002,3252.597,3097.925,3392.167,3268.358,3161.363,3714.94,2974.138,3197.839,2970.054,3090.487,3121.364,3255.79,3426.226,3268.426,3552.527,3703.656,3882.448,,المنافع والخدمات العامة
