,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
القائمة الرئيسية   Main List,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,قائمة الإحصاءات النقدية والمالية       Money & Banking Stat. List
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 30e: Points of Sale Transactions by Activity (Value of Transactions),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,جدول 30e:عمليات نقاط البيع حسب الأنشطة (قيمة العمليات)
(Sales in Thousand ﷼),,,,,,,,,,,,,,,,, (المبيعات بالألف ﷼),,,,,,,,,,,,,,,,,,,,,, (المبيعات بالألف ﷼)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Activity,2024-12-31T00:00:00,2025-01-01T00:00:00,Q1 2024,Q2 2024,Q3 2024,Q4 2024,Q1 2025,Q2 2025,Q3 2025,Q4 2025,,2024-01-05T00:00:00,2024-02-05T00:00:00,2024-03-05T00:00:00,2024-04-05T00:00:00,2024-05-06T00:00:00,2024-06-07T00:00:00,2024-07-08T00:00:00,2024-08-08T00:00:00,2024-09-06T00:00:00,2024-10-08T00:00:00,2024-11-09T00:00:00,2024-12-08T00:00:00,2025-01-09T00:00:00,2025-02-10T00:00:00,2025-03-11T00:00:00,2025-04-12T00:00:00,2025-05-01T00:00:00,2025-06-01T00:00:00,2025-07-01T00:00:00,2025-08-01T00:00:00,2025-09-01T00:00:00,2025-10-01T00:00:00,2025-11-02T00:00:00,2025-12-01T00:00:00,2026-01-01T00:00:00,2026-02-01T00:00:00,,النشاط
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Transportation,51018209.71854,51911933.62964001,12168439.371459998,12104504.283300001,13360569.95923,13384696.10455,13048531.185179997,12235400.917890001,13483445.892710004,13144555.633860003,,4014586.13005,3770669.0323199998,4383184.209089999,3603893.223680002,4492434.804169999,4008176.2554499987,4403215.515619999,4503835.80687,4453518.636740001,4523361.411019999,4266642.032630001,4594692.6609,4195994.575319999,3953240.2456499995,4899296.3642099975,3937623.3337699994,4509012.806050001,3788764.77807,4595282.429930002,4590740.299860002,4297423.162920001,4411043.147680001,4354391.78306,4379120.70312,4257811.13982,4234274.70456,,النقل
Airlines,2580993.04177,2546918.97173,578333.85402,751622.6458300003,687522.9575799998,563513.5843400001,511458.3328199999,653752.97958,695704.6933799998,686002.9659500001,,200574.12674999985,190561.79908000006,187197.92819,198900.19299000007,282213.55188000004,270508.9009600001,304068.86231999996,207825.74670999995,175628.34854999985,192482.3434,183023.56910999998,188007.6718300001,174594.6799899999,162421.08911999996,174442.56371000005,205173.74894000002,241121.2356600001,207457.9949799999,303456.8643399998,218293.31591000006,173954.51313000004,235912.9070200001,252455.2848099999,197634.77412000005,184635.5869199999,151472.50686999998,,الطيران
Auto & Equipment Rentals,3529504.4791099997,3718809.8653300004,858449.5217499996,841855.6546600001,880647.3984400001,948551.90426,929501.9446600002,839583.4481599999,974927.3400900001,974797.1324199999,,286311.89139999985,281000.67406999995,291136.9562799998,270873.9208099999,304432.4170000002,266549.31684999994,298630.08761,295641.66081000003,286375.65002000006,309214.11493,313068.2949,326269.4944299999,320713.0422800001,293827.9408400001,314960.96153999993,281834.5325499998,298916.89349,258832.0221200001,340567.87936999986,333366.6907600001,300992.7699600002,324849.0810200001,332823.80189999985,317124.2495,330338.06633,267764.13892,,تأجير السيارات والمعدات
Trade of Vehicles & Spare Parts  ,27840213.479569994,27474442.404840004,6535392.889939997,6418648.11063,7533364.224880001,7352808.254119998,6939012.497030001,6400248.381960001,7238368.129830001,6896813.396019999,,2198945.9800099987,2040327.84608,2296119.063849999,1872126.7911099999,2444997.9614900006,2101523.3580299993,2419853.2281,2530417.8704600004,2583093.1263200003,2526188.111269999,2291676.35964,2534943.783209999,2236810.957770001,2104194.8430399993,2598006.6962200007,2135779.7275499995,2331162.7397600003,1933305.9146500002,2382195.039529999,2461222.213120002,2394950.8771800008,2326517.078350001,2248663.532479999,2321632.7851899997,2138392.87737,2084607.5090099997,,تجارة المركبات وقطع الغيار
Maintenance & Repair of Vehicles ,10711591.940429997,11612324.186749998,2505563.9880999997,2508590.374649999,2801031.191659999,2896406.386019998,2760160.7645199983,2789033.399049999,3030407.6150699994,3032722.40811,,845432.9868499998,797141.7730199997,862989.2282300004,779577.9522500001,908344.8518999995,820667.5704999993,913015.0611199992,934334.09167,953682.0388699997,990219.3964399992,942905.4827499992,963281.5068299999,933448.7879099995,862722.2850699994,963989.6915399994,889513.1902999997,1008279.4807999996,891240.7279499997,1042745.2544699993,1018850.97853,968811.3820699999,1016628.3180799998,1006221.6572700002,1009872.4327600002,1029437.2483300002,1036447.7485499983,,صيانة وإصلاح المركبات
Freight Transport & Postal & Courier Services,2821378.53173,2808585.43112,757415.0307499999,722762.1350499999,615160.5427899999,726040.82314,896624.07625,711958.1503499999,611755.80687,588247.3976499999,,218537.86703000005,178985.35815999986,359891.80555999995,201253.32176999998,256757.49134,264751.32193999994,184133.21947999997,254983.3401199999,176043.98319000006,217620.63346999994,250485.23002000002,257934.95964999998,225891.9176199999,245407.46617000006,425324.69246000005,169458.12831000012,308346.1625099999,234153.85952999993,208875.44859999995,239585.87188,163294.48638999998,188160.54178,202739.20741000006,197347.64845999994,220913.20395000008,335180.89674999984,,خدمات الشحن والتوصيل ونقل الطرود
Others,3534528.2459299993,3750852.769869997,933284.0868999993,861025.36248,842843.6438799999,897375.1526700003,1011773.5698999991,840824.5587899999,932282.3074699994,965972.3337099992,,264783.2780099999,282651.58190999983,385849.2269799996,281161.0447499999,295688.53056000004,284175.78717,283515.0569899999,280633.0970999999,278695.48978999996,287636.81151000015,285483.09621000005,324255.2449500001,304535.18974999984,284666.62140999973,422571.75873999955,255864.00611999998,321186.29383000004,263774.25883999997,317441.94361999986,319421.2296599997,295419.13418999984,318975.2214299997,311488.2991899999,335508.81308999966,354094.1569199998,358801.9044599998,,أخرى
Health,48357064.57759999,47817131.308769986,11794327.650299998,11898314.920729995,12305267.77978,12359154.22679,12659740.49952,12051633.663289998,11883393.718229998,11222363.427729998,,3961057.948409999,3778071.358999999,4055198.3428899995,3846794.7861499987,4245617.278819998,3805902.855759999,4078166.17083,3962215.7546,4264885.85435,4170814.0315699996,3935655.641779999,4252684.553440001,4205907.00614,3921743.2347899997,4532090.258590001,3812710.82826,4373025.577369998,3865897.2576599987,4190060.9732799996,3836592.6707300004,3856740.074219999,3879811.964480001,3680973.22563,3661578.237619997,3726252.891880001,3487078.7882200005,,الصحة
Medical Services,23704653.980410002,24961151.930249996,5893413.03274,5502313.370189999,6197962.969700001,6110964.60778,6153253.483859998,5798883.958539998,6463377.580700001,6545636.907149999,,1965734.5555799997,1910722.16935,2016956.3078100001,1654545.2151599994,2105298.598399999,1742469.5566300007,2022046.5501099997,1944737.1574799998,2231179.2621100014,2082383.3369200001,1897470.9843300001,2131110.2865299997,2028830.4764299996,2015575.0135599992,2108847.9938699994,1866971.58924,2156494.8291299995,1775417.5401699992,2109798.32182,2043882.0666000003,2309697.19228,2257026.30479,2136400.350619999,2152210.25174,2121595.21902,2098595.8635700005,,الخدمات الطبية
