,,,,,,,,,,,,,,,,,
القائمة الرئيسية   Main List,,,,,,,,,,,,,,,,قائمة الإحصاءات النقدية والمالية       Money & Banking Stat. List,
,,,,,,,,,,,,,,,,,
Table 30f: Distribution Of Points Of Sale Terminals By Bank,,,,,,,,,,,,,,,,جدول 30f:توزيع أجهزة نقــاط الـبيــع حسب المصرف,
,,,,,,,,,,,,,,,,,
نهاية,,البنك الأهلي,بنك,البنك السعودي,البنك العربي,البنك السعودي, بنك,البنك الأول*,البنك السعودي,مصرف,مجموعة سامبا,مصرف,بنك ,بنك الخليج,بنك,المجموع,
الفترة,,السعودي**,الرياض,الفرنسي,الوطني,الأول*, الجزيرة,,للإستثمار,الراجحي,المالية **,الإنماء,البلاد ,الدولي,إس تي سي,,
End of,,Saudi National ,Riyad,Banque Saudi ,The Arab,Saudi Awwal,Bank,Alawwal,Saudi Investment,Al-Rajhi ,Samba,Alinma,AL-Bilad,Gulf International,STC ,Total,
Period,, Bank**, Bank,Fransi,National Bank,Bank*, Al-Jazira,Bank*,Bank,Bank,Financial Group**,Bank,Bank ,Bank,Bank,,
1993,,82,15,310,324,74, ---,110, ---,51,235, ---, ---,---,---,1274,
1994,,1688,1206,1211,2043,771, ---,539,68,784,971, ---, ---,---,---,9957,
1995,,3655,1325,1468,2288,1397, ---,712,117,1089,1037, ---, ---,---,---,14020,
1996,,4040,1350,1686,2207,1812, ---,817,135,1814,828, ---, ---,---,---,15679,
1997,,3237,1388,2113,2099,1934, ---,1095,159,2141,803, ---, ---,---,---,15881,
1998,,3049,1444,2157,2107,1937, ---,1255,190,2127,810, ---, ---,---,---,15885,
1999,,2992,1770,2172,2134,2043, ---,1532,179,2283,1314, ---, ---,---,---,16419,
2000,,2973,2042,2263,2378,2179, ---,1871,221,3143,1467, ---, ---,---,---,18537,
2001,,3253,2412,2730,2425,2463, ---,2327,264,4056,1701, ---, ---,---,---,21631,
2002,,4068,3127,2852,1961,2709, ---,2579,286,4678,2031, ---, ---,---,---,24291,
2003,,5349,3827,2822,2673,2996, ---,2932,238,5622,2601, ---, ---,---,---,29060,
2004,,6005,4437,2765,5174,3551, ---,3566,196,6794,3033, ---, ---,---,---,35521,
2005,,7783,6422,3175,4535,5395, ---,4245,184,8769,3745, ---, ---,---,---,44253,
2006,,8991,6084,4586,6457,5858, ---,4770,168,11474,4396, ---, ---,---,---,52784,
2007,,10641,6787,5341,8275,5772, ---,5056,169,14621,4892, ---,3,---,---,61557,
2008,,12625,8118,5810,10135,6176, ---,5642,173,17631,5720, ---,321,---,---,72351,
2009,,16541,9851,6180,11870,6976, ---,6613,142,18070,5694, ---,683,---,---,82620,
2010,,13457,10713,5147,9364,7069, ---,7190,154,21105,5381, ---,925,---,---,80505,
2011,,13491,13827,5080,9394,7478,802,6767,202,25339,5097,32,1284,---,---,88793,
2012,,12775,12930,5922,10180,7868,2321,7993,553,24133,5419,686,1758,---,---,92538,
2013,,14075,14416,7735,10939,8704,3801,8751,1509,28103,5935,1668,2127,---,---,107763,
2014,,26514,20008,8634,10368,10644,5255,9150,2819,32792,6786,3119,2690,---,---,138779,
2015-12-31T00:00:00,,30803,40859,14091,20035,16465,7541,11316,8315,51111,8833,11704,4299,---,---,225372,
2016-12-31T00:00:00,,39132,41740,17600,21579,20459,8623,9240,8792,62118,13528,16953,8063,---,---,267827,
2017-12-31T00:00:00,,49129,41305,21767,15719,22930,8574,11089,9112,74817,18379,19772,10871,---,---,303464,
2018-12-31T00:00:00,,59311,43864,27501,16754,26891,8617,14009,9186,83849,18184,29193,14286,---,---,351645,
2019-12-31T00:00:00,,71174,53580,29541,19299,45735,10192,---,9303,115324,19039,43933,21498,---,---,438618,
2020-12-31T00:00:00,,135621,88542,45036,25624,62748,14066,---,9865,204665,20795,74277,38446,1375,---,721060,
2021-12-31T00:00:00,,213776,138511,76160,32815,53306,18043,---,6635,326121,---,100764,46760,250,---,1013141,
2022-12-31T00:00:00,,298097,196911,74509,68514,42084,22044,---,9012,533442,---,125247,53741,376,---,1423977,
2023-12-31T00:00:00,,422242,227744,27395,153895,49584,23143,---,10844,601153,---,133928,46069,586,---,1696583,
2024-12-31T00:00:00,,340408,254260,27864,218853,54544,25193,---,10546,786252,---,161716,39549,746,---,1919931,
2025-12-31T00:00:00,,452717,168833,31028,290417,87335,26949,---,10892,991927,---,190085,31215,809,---,2282207,
,,,,,,,,,,,,,,,,,
Q1,2001,2957,2123,2345,2434,2240, ---,1975,243,3145,1457, ---, ---,---,---,18919,
Q2,2001,2909,2199,2347,2412,2314, ---,2081,252,2429,1464, ---, ---,---,---,18407,
Q3,2001,3111,2295,2420,2407,2355, ---,2205,257,3747,1626, ---, ---,---,---,20423,
Q4,2001,3253,2412,2730,2425,2463, ---,2327,264,4056,1701, ---, ---,---,---,21631,
Q1,2002,3389,2526,2979,2252,2443, ---,2351,281,4224,1778, ---, ---,---,---,22223,
Q2,2002,3624,2807,2810,2074,2559, ---,2455,289,4433,1899, ---, ---,---,---,22950,
Q3,2002,3880,2917,2812,1964,2621, ---,2532,290,4558,1888, ---, ---,---,---,23462,
Q4,2002,4068,3127,2852,1961,2709, ---,2579,286,4678,2031, ---, ---,---,---,24291,
Q1,2003,4301,3209,2842,1990,2748, ---,2660,267,4977,2132, ---, ---,---,---,25126,
Q2,2003,4558,3470,2853,2142,2823, ---,2708,271,5369,2343, ---, ---,---,---,26537,
Q3,2003,5000,3711,2838,2324,2903, ---,2845,264,5456,2479, ---, ---,---,---,27820,
Q4,2003,5349,3827,2822,2673,2996, ---,2932,238,5622,2601, ---, ---,---,---,29060,
Q1,2004,5462,3817,2771,3012,3106, ---,3020,228,5772,2719, ---, ---,---,---,29907,
Q2,2004,5682,4130,2768,4174,3294, ---,3169,197,6003,3104, ---, ---,---,---,32521,
Q3,2004,6007,4230,2781,4703,3404, ---,3377,195,6437,2934, ---, ---,---,---,34068,
Q4,2004,6005,4437,2765,5174,3551, ---,3566,196,6794,3033, ---, ---,---,---,35521,
Q1,2005,6200,4427,2819,3859,3644, ---,3600,197,6993,3137, ---, ---,---,---,34876,
Q2,2005,6579,5047,2899,4176,3891, ---,3826,188,7600,3369, ---, ---,---,---,37575,
Q3,2005,7898,5902,2940,4203,4210, ---,4365,203,8279,3636, ---, ---,---,---,41636,
Q4,2005,7783,6422,3175,4535,5395, ---,4245,184,8769,3745, ---, ---,---,---,44253,
Q1,2006,7668,6365,4320,4893,5463, ---,4325,184,9338,3755, ---, ---,---,---,46311,
Q2,2006,8232,5790,4427,5465,5607, ---,4794,184,10327,3923, ---, ---,---,---,48749,
Q3,2006,8770,6009,4571,6154,5619, ---,5138,187,11168,4247, ---, ---,---,---,51863,
Q4,2006,8991,6084,4586,6457,5858, ---,4770,168,11474,4396, ---, ---,---,---,52784,
Q1,2007,9430,6156,4775,7006,5784, ---,4824,169,12207,4455, ---, ---,---,---,54806,
Q2,2007,9976,6379,4971,7365,5964, ---,4949,161,13161,4594, ---, ---,---,---,57520,
Q3,2007,9956,6565,5223,7829,5913, ---,5079,166,14153,4650, ---,3,---,---,59537,
Q4,2007,10641,6787,5341,8275,5772, ---,5056,169,14621,4892, ---,3,---,---,61557,
Q1,2008,11295,7101,5381,8603,5639, ---,5225,174,15340,5016, ---,96,---,---,63870,
Q2,2008,11829,7346,5551,9006,5783, ---,5137,175,16539,5290, ---,199,---,---,66855,
Q3,2008,12517,7891,5734,9807,6047, ---,5485,180,17266,5664, ---,257,---,---,70848,
Q4,2008,12625,8118,5810,10135,6176, ---,5642,173,17631,5720, ---,321,---,---,72351,
Q1,2009,13617,8608,5919,10416,6357, ---,5769,138,17209,5854, ---,404,---,---,74291,
Q2,2009,14250,8670,6052,10701,6563, ---,5656,132,17153,5569, ---,523,---,---,75269,
Q3,2009,14652,8446,5961,10314,6629, ---,5846,133,17194,5473, ---,593,---,---,75241,
Q4,2009,16541,9851,6180,11870,6976, ---,6613,142,18070,5694, ---,683,---,---,82620,
Q1,2010,10091,9328,4707,8945,7177, ---,6960,145,16653,5733, ---,730,---,---,70469,
Q2,2010,12039,9599,4892,9128,6855, ---,6997,138,18092,5336, ---,779,---,---,73855,
Q3,2010,10528,10428,5029,9265,7013, ---,7008,145,19213,5309, ---,854,---,---,74792,
Q4,2010,13457,10713,5147,9364,7069, ---,7190,154,21105,5381, ---,925,---,---,80505,
Q1,2011,13442,10997,5021,9614,7297,123,6476,180,21759,5355, ---,1028,---,---,81292,
Q2,2011,13350,11706,5025,9298,7730,344,6434,190,24114,5197, ---,1085,---,---,84473,
Q3,2011,13612,12065,5186,9506,8247,527,6625,197,24652,5120,21,1196,---,---,86954,
Q4,2011,13491,13827,5080,9394,7478,802,6767,202,25339,5097,32,1284,---,---,88793,
Q1,2012,12421,12264,5467,9531,7038,1234,7167,217,22060,4800,212,1430,---,---,83841,
Q2,2012,12690,12555,5513,9804,7297,1728,7482,297,22702,5134,332,1647,---,---,87181,
