,,,,,,,,,,,,,
القائمة الرئيسية   Main List,,,,,,,,,,,,,مؤسسات الإقراض المتخصصة الحكومية       Government Specialized Credit Institutions
,,,,,,,,,,,,,
Table 1a: Consolidated Balance Sheet Of Government Specialized Credit Institutions-Assets,,,,,,,,,,,,,جدول 1a: المركز المالي الموحد لمؤسسات الإقراض المتخصصة الحكومية - المــوجـــودات 
(Million ﷼),,,,,,,,,,,,,(مليون ﷼)
نهاية ,,الأصول ,عملة ,ودائع لدى ,ودائع لدى ,أصول نقدية ,القروض ,الإستثمارات ,داخلية ,خارجية ,الأصول ,الأصول ,مجموع 
الفترة ,,النقدية , سعودية ,البنك المركزي,المصارف المحلية ,تحت التحصيل ,,,,,الثابتة ,الأخرى ,الأصول 
End of,,Monetary,Saudi,Dep. with,Deposits with,Monetary Assets,Loans,Investments,Domestic,Foreign,Fixed,Other ,Total
Period,,Assets,Currency,SAMA,Local Banks,under Collection,,,,,Assets,Assets,Assets
1998,,4911.65,0.1,4581.5,199.75,130.3,88905.9,8746.6,8746.6,0,53.9,7564.400000000001,110182.44999999998
1999,,5300.299999999999,0,4906.2,262.70000000000005,131.4,89202.29999999999,8753.9,8753.9,0,56.9,8194.1,111507.49999999999
2000,,4696.7,0.1,4398.400000000001,149.1,149.1,88642.59999999999,10133.7,10133.7,0,58.800000000000004,3015.8,106547.59999999999
2001,,5899.599999999999,0.1,5370.9,411.3,117.3,88368.3,9931.699999999999,9931.699999999999,0,58.6,2509.7000000000003,106767.90000000001
2002,,5849.900000000001,0.1,5304,417.8,128,88224.5,9675.1,9675.1,0,60,3001.8999999999996,106811.4
2003,,6188,0.1,5676.7,407.20000000000005,104,89090.6,9365.5,9365.5,0,57.8,2343.2,107045.1
2004,,6133,0.1,5655.6,372.1,105.2,88702.3,9924.6,9924.6,0,56.9,2192,107008.8
2005,,10827.8,0.1,10368.9,322.8,136,88977.3,10522.6,10522.6,0,61.2,7807.8,118196.70000000001
2006,,14643.4924,0.1004,14037.735,432.977,172.68,93143.66999999998,12121.56,12121.56,0,60.3,10772.449999999999,130741.47239999998
2007,,16021.082999999999,0.1,15492.919999999998,389.573,138.49,98480.54999999999,14425.77,14425.77,0,63.4,9325.686,138316.48899999997
