,,,,,,,,,,,
القائمة الرئيسية   Main List,,,,,,,,,,,مؤسسات الإقراض المتخصصة الحكومية       Government Specialized Credit Institutions
,,,,,,,,,,,
Table 1b: Consolidated Balance Sheet Of Government Specialized Credit Institutions-Liabilities,,,,,,,,,,,جدول 1b: المركز المالي الموحد لمؤسسات الإقراض المتخصصة الحكومية - المطلوبات 
(Million ﷼),,,,,,,,,,,(مليون ﷼)
نهاية ,,رأس المال ,الإحتياطي ,Due to   مستحقات الى,,Borrowing from     الإقتراض من ,,,الإحتياطيات ,الخصوم ,مجموع 
الفتره,,المدفوع,,,,,,,التخصصية ,الأخرى ,المطلوبات 
End of,,Paid up, Reserves,المصارف المحلية,جهات أخرى,البنك المركزي,الحكومة ,جهات أخرى ,Earmarked,Other,Total
Period,,Capital,,  Local Banks,  Others,  SAMA,  Government,  Others,Reserves,Liabilities,Liabilities
1998,,94840.90000000001,0,0,16.2,0,49.4,0,206,15069.949999999983,110182.44999999998
1999,,94840.90000000001,0,0,18.2,0,48.9,1.6,206,16392.3,111507.90000000001
2000,,94840.90000000001,0,0,18.799999999999997,0,57.1,0.6,230,11400.1,106547.50000000003
2001,,94840.90000000001,0,0,14.3,0,50.9,4.1,230,11627.5,106767.70000000001
2002,,94840.90000000001,0,0,16.2,0,0,59.8,230,11664.49999999998,106811.4
2003,,95040.90000000001,0,0,8.5,0,0,60,230,11705.7,107045.1
2004,,95240.90000000001,0,0,9.8,0,46.9,17.4,230,11463.8,107008.8
2005,,100840.90000000001,0,0,10.4,0,247.4,217.7,230,16650.260000000002,118196.66
2006,,115890.90000000001,0,0,14.9,0,2079.5,0,225,12531.172399999981,130741.47239999998
2007,,123556.89000000001,0,0,22.1,0,2734.06,0,225,11778.438999999944,138316.48899999997
2008,,127731.90000000001,0,0,10.5,0,10124.8,33.2,225,15391.1,153516.50000000003
2009,,135731.90000000002,0,0,18.3,0,10191.2,0,225,17924,164090.40000000002
2010,,139481.90000000002,0,0,29.6,0,10504.3,0,225,18714.199999999997,168955
2011,,203440.6,0,0,21,0,596.8,0,225,99150.4,303433.8
2012,,222902.4,0,0,45,0,811.3,0,225,56381.5,280365.19999999995
2013,,235914.4,0,0,225.7,0,708.6,0,225,39898.600000000006,276972.30000000005
2014,,254914.4,0,0,246,0,784.7,0,263,33651.399999999994,289859.5
2015,,277174.5,0,0,68.8,0,830.5,0,277,23426.360000000026,301777.16000000003
2016,,276215.8,0,0,53.4,0,751.7,0,290,15251.829999999994,292562.73000000004
2017-12-31T00:00:00,,275715.8,0,0,60.6,0,1003.299691,0,342,17760.52218315001,294882.22187415
2018-12-31T00:00:00,,281715.742239,0,0,104.567526,0,1238.354577,0,342,21857.14231899998,305257.80666099995
2019-12-31T00:00:00,,281715.742239,0,0,336.454,0,1722.956159,0,2153.217,27161.442461,313089.811859
2020-12-31T00:00:00,,283441.753212,0,0,680.261,0,2625.545792,0,4433.174,31796.71360799999,322977.447612
,,,,,,,,,,,
Q1,1998,94840.90000000001,0,0,12.600000000000001,0,11.8,1.3,206,14406.39,109478.99000000002
Q2,1998,94840.90000000001,0,0,14.9,0,23,2.2,206,14706.5,109793.5
Q3,1998,94840.90000000001,0,0,14.5,0,32.4,5.2,206,14988.599999999999,110087.6
Q4,1998,94840.90000000001,0,0,16.2,0,49.4,0,206,15070,110182.5
Q1,1999,94790.90000000001,0,0,16.6,0,7.4,9.2,206,15239.9,110270
Q2,1999,94790.90000000001,0,6.4,11,0,27,2.5,206,15509.1,110552.9
Q3,1999,94790.90000000001,0,0,20.200000000000003,0,31.7,11,206,15775,110834.8
Q4,1999,94840.90000000001,0,0,18.2,0,48.9,1.6,206,16392.3,111507.9
Q1,2000,94840.8,0,0,18.8,0,16,1.1,206,16291.999999999998,111374.7
Q2,2000,94840.7,0,0,20.40074,0,29.211487,1.166934,205.3,16516.689817,111613.468978
Q3,2000,94840.78,0,0,13.379999999999999,0,40.73,2.3,205.26,11377.510000000002,106479.95999999999
Q4,2000,94840.90000000001,0,0,18.799999999999997,0,57.1,0.6,230,11400.1,106547.50000000001
Q1,2001,94840.90000000001,0,0,15.7,0,3.9,9.6,230,11471.8,106571.90000000001
Q2,2001,94840.90000000001,0,0,17.4,0,17.3,9.8,230,11794.400000000001,106909.8
Q3,2001,94840.7,0,0,12.9,0,35.8,4.3,230,11893.8,107017.5
Q4,2001,94840.90000000001,0,0,14.3,0,50.9,4.1,230,11627.5,106767.7
Q1,2002,94840.8,0,0,5.9,0,0.6,16.9,230,11551.4,106645.6
Q2,2002,94840.90000000001,0,0,7.9,0,3.6,29.3,230,11986.1,107097.8
Q3,2002,94840.90000000001,0,0,1.3,0,5.5,40.2,230,12152.1,107270.00000000001
Q4,2002,94840.90000000001,0,0,16.2,0,0,59.8,230,11664.6,106811.5
Q1,2003,94940.90000000001,0,0,8.7,0,1.4,12.5,230,12131.4,107324.9
Q2,2003,95040.90000000001,0,0,4,0,24.4,6.1,230,12204.500000000002,107509.90000000002
Q3,2003,95040.90000000001,0,0,1.5,0,32.1,13.4,230,12352.300000000001,107670.20000000001
Q4,2003,95040.90000000001,0,0,8.5,0,0,60,230,11705.7,107045.1
Q1,2004,95090.90000000001,0,0,5.2,0,1.4,13.5,230,11640.800000000001,106981.80000000002
