,,,,,,
القائمة الرئيسية   Main List,,,,,,مؤسسات الإقراض المتخصصة الحكومية       Government Specialized Credit Institutions
,,,,,,
Table 2: Outstanding Loans Of Government Specialized Credit Institutions,,,,,,جدول 2: مؤسسات الإقراض المتخصصة الحكومية : القروض القائمة 
(Million ﷼),,,,,,(مليون ﷼)
نهاية ,,صندوق,بنك,صندوق التنمية,صندوق , المجموع 
الفتره,,التنمية الزراعية,التنمية الاجتماعية,الصناعية السعودي,التنمية العقارية,
End of,,Agricultural,Social,Saudi Industrial,Real Estate,Total
Period,,Dev. Fund,Development Bank,Dev. Fund,Dev. Fund,
1998,,8024.1,770.9,10223.2,69887.7,88905.9
1999,,8194.9,762.3,10352.9,69892.2,89202.29999999999
2000,,8074.3,776.8,10260.1,69531.4,88642.59999999999
2001,,8606.6,785.7,9602.9,69373.1,88368.3
2002,,9413.9,819.4,9279.8,68711.4,88224.5
2003,,9501.8,961.8,9219.5,69407.5,89090.6
2004,,9215.6,1010,9480.9,68995.8,88702.3
2005,,9180.2,1063.2,9844.9,68889,88977.3
2006,,9450.9,1313.4,11138.47,71240.9,93143.66999999998
2007,,9431.7,1799.12,13857,73392.73,98480.54999999999
2008,,9518.4,9864,17172.26,75394.3,111948.96
2009,,9477.1,14175.47,20889.5,76788.1,121330.17000000001
2010,,9378.4,14598.9,24760,77596.8,126334.1
2011,,9338.8,21112.2,27387.6,78878.5,136717.1
2012,,8420.5,25257,29312.3,99595.9,162585.7
2013,,8476.1,24827.8,29705.3,116678.2,179687.4
2014,,8648.5,36948.5,30930.2,129517.7,206044.9
2015,,8722.4,41942.1,33445,149260.7,233370.2
2016,,7930,38530.5,35488.32,157741.5,239690.32
2017-12-31T00:00:00,,7796,33244.592105,38610.57,157263.6,236914.762105
2018-12-31T00:00:00,,7346.10707,26931.612387,42940.530079,153516.830298,230735.07983399997
2019-12-31T00:00:00,,7965.042,24238.046,47183.287,156974.781,236361.156
2020-12-31T00:00:00,,8481.504,25792.61,48093.033194,155017.536,237384.68319399998
,,,,,,
Q1,1998,7615,703.6,9253.5,70345.54,87917.63999999998
Q2,1998,7643.3,732,9514.8,70225.8,88115.9
Q3,1998,7688.3,751.2,9748.2,70078.9,88266.59999999999
Q4,1998,8024.1,770.9,10223.2,69887.7,88905.9
Q1,1999,7870.7,749.3,10063.3,69763.6,88446.90000000001
Q2,1999,7903.3,757.4,10180.3,69632.3,88473.3
Q3,1999,7930.4,759.7,10076.5,69486.4,88253
Q4,1999,8194.9,762.3,10352.9,69892.2,89202.29999999999
Q1,2000,8172.8,753.6,10251.2,69823.2,89000.79999999999
Q2,2000,8100.5,762.752426,10171.4,69663.4,88698.052426
Q3,2000,8050.96,772.83,10166.18,69582.39,88572.36
Q4,2000,8074.3,776.8,10260.1,69531.4,88642.59999999999
Q1,2001,8121.2,771.7,10099.8,69427.8,88420.5
Q2,2001,8051.4,774.4,9983.5,69192.3,88001.6
Q3,2001,8226.1,783.3,9855.9,69084.9,87950.2
Q4,2001,8606.6,785.7,9602.9,69373.1,88368.3
Q1,2002,8909.7,777.2,9660.5,69334.5,88681.9
Q2,2002,9173.6,800.4,9634,69241.4,88849.4
Q3,2002,9245.4,806.4,9673.6,69310.5,89035.9
Q4,2002,9413.9,819.4,9279.8,68711.4,88224.5
Q1,2003,9419.3,888.4,9403.4,69499.2,89210.29999999999
Q2,2003,9510.9,926.6,9166.1,69420.5,89024.1
Q3,2003,9591.6,964.4,9220.3,69413.6,89189.90000000001
Q4,2003,9501.8,961.8,9219.5,69407.5,89090.6
Q1,2004,9327.3,961.2,9143.1,69348.5,88780.1
Q2,2004,9266.5,977.7,9040.2,69195.5,88479.9
Q3,2004,9197.8,984.7,9398.6,69140.4,88721.5
Q4,2004,9215.6,1010,9480.9,68995.8,88702.3
Q1,2005,9227,1010.4,9263,68880.5,88380.9
Q2,2005,9089.8,1016.125,9359.2,68777.9,88243.025
