,,,,,
القائمة الرئيسية   Main List,,,,,قائمة الإحصاءات النقدية والمالية       Money & Banking Stat. List
,,,,,
,,,,,
Table 4b: Money Supply Components in M3,,,,,جدول4b :   مــــكــــونـــــات عـــــرض الـنـقـــــــــود فــــي ن3
(Percentage Shares),,,,,(نـسـب مـئـوية)
نهاية الفترة,,النقد المتداول,الودائع,الودائع الزمنية ,الودائع الأخرى
,,خارج المصارف, تحت الطلب,والإدخارية,شبه النقدية
End of Period,,Currency,Demand,Time & Savings,Other Quasi-
,,Outside Banks,Deposits,Deposits,Money Deposits
1993,,18.659610992727142,34.53244348923767,20.96653587364204,25.84140964439314
1994,,19.034374239007327,34.15274983985784,21.76561765168693,25.0472582694479
1995,,17.821647539379647,33.661868682784736,25.32274435120711,23.19373942662851
1996,,16.66042447086309,34.7976657555577,27.516276936865285,21.02563283671391
1997,,16.812842869550018,34.98842843961941,28.312557403250295,19.88617128758027
1998,,15.893395512490772,33.62793963464845,29.456039942845972,21.02262491001481
1999,,18.026198039278395,33.26444748751459,27.939943422781838,20.769411050425195
2000,,15.994096215933054,35.88864196072477,28.47493738418675,19.64232443915542
2001,,14.472324107175385,38.29383245604747,26.967414778963967,20.266428657813176
2002,,13.410574231811513,38.44350847831086,27.68473202367935,20.461185266198274
2003,,13.292677173491748,40.17609140673238,27.182938732461075,19.34829268731478
2004,,12.131739813505183,42.60316783661158,27.573476738483738,17.69161561139951
2005,,11.618013579893503,39.62263576396155,29.866633115262765,18.892717540882188
2006,,10.499387435908547,36.86649534140037,34.232573266724444,18.40154395596662
2007,,9.141015681045829,39.425501529405004,35.841362206526384,15.592120583022778
2008,,8.93382809913871,36.86133083655152,39.566694119856614,14.63814694445316
2009,,8.590882478933025,42.09775305498445,31.42805612622678,17.883308339855745
2010,,8.84140304737818,49.06396227288779,27.609300842703682,14.485333837030334
2011,,9.67302383712701,51.800736502210796,25.525538186002166,13.000701474660042
2012,,9.454103657312166,53.72981913550946,23.41354112072083,13.402536086457543
2013,,9.169351563314885,55.10771145585157,22.437583538039206,13.285353442794317
2014,,8.826631717012928,56.91432150861417,23.159880313357256,11.099166461015654
2015-12-31T00:00:00,,9.436238967958973,54.892501669195525,24.60695243230399,11.06430693054152
2016-12-31T00:00:00,,9.463929633665197,54.23581881848906,27.561104076187746,8.739147471658
2017-12-31T00:00:00,,9.530748897492897,55.533106895297536,25.15839028250792,9.777753924701653
2018-12-31T00:00:00,,9.717740444423455,56.14153427883954,23.900063079827223,10.240662196909778
2019-12-31T00:00:00,,9.528815095363226,55.368960721319695,25.271117255552955,9.831106927764123
2020-12-31T00:00:00,,9.597856104928209,59.67575363808832,22.052493516071493,8.673896740911983
2021-12-31T00:00:00,,8.85153653668122,58.909234696091396,21.454005780344858,10.785222986882518
2022-12-31T00:00:00,,8.013462673162135,53.22494397320134,26.239144591304864,12.522448762331667
2023-12-31T00:00:00,,7.890420797978345,48.87011385622236,32.17724332709169,11.062222018707589
2024-12-31T00:00:00,,7.841532325830417,49.31214315604905,32.507852327149735,10.338472190970787
2025-12-31T00:00:00,,7.638343339099951,45.215292665912855,37.05552178176727,10.090842213219927
,,,,,
