,,,,,,
القائمة الرئيسية   Main List,,,,,احصاءات اسعار الفائدة وأسواق المال   Money Market & Exchange Rate Stat.,
,,,,,,
Table 1: RIYAL - SDR  Exchange Rate,,,,,جدول 1:  سعر الـصرف للريال وحقوق السحب الخاصة,
,,,,,,
,,ريال سعودي لكل وحدة حقوق سحـب خاصة ,,وحـدة حقوق سحـب خاصة لكل ريال سعودي,,
الفترة,,Saudi Riyal per SDR,,SDR per Saudi Riyal,,
Period,,نهاية,متوسط,نهاية,متوسط,
,,End,Average,End,Average,
1996,,5.38516,5.436832800047053,0.18569550394045858,0.1839306148961111,
1997,,5.05294,5.1538296287366965,0.19790458624088156,0.194030472878693,
1998,,5.26835,5.097826877705629,0.18981274972239887,0.19623319793252084,
1999,,5.14331,5.103742362332461,0.19442732403841106,0.1959558499880933,
2000,,4.87938,4.847387368421052,0.20494407076308874,0.206296696342989,
2001,,4.71274,4.735521428571429,0.21219078497858995,0.21116998731471714,
2002,,5.09822,5.026088636363636,0.19614689048334516,0.19896187121831138,
2003,,5.5724,5.5030172727272735,0.17945588974230134,0.18171849195457895,
2004,,5.8044,5.774252272727273,0.17228309558266142,0.17318259625114782,
2005,,5.35975,5.54041550677088,0.18657586641167964,0.18059682447660774,
2006,,5.64149,5.5178960653350275,0.17725813570528354,0.18127185426370748,
2007,,5.9193,5.740596419971619,0.1689388948017502,0.17425947449878013,
2008,,5.77601,5.928883409569709,0.17312989416569569,0.16885107669741464,
2009,,5.87883,5.781271578941589,0.170101874012346,0.17310086266751673,
2010,,5.77514,5.722798294328955,0.17315597543955644,0.1748165198794455,
2011,,5.75725,5.920532450698139,0.1736940379521473,0.16893720067603762,
2012,,5.76346,5.744185636364324,0.1735068864883247,0.1741042743711853,
2013,,5.77501,5.698912966013518,0.1731598733162367,0.17549005447519506,
2014,,5.433010101318359,5.698788840659662,0.1840600295878969,0.17555645995402314,
2015,,5.19648,5.246858344760258,0.19243795800234004,0.19060973265909847,
2016,,5.04124,5.21289495366174,0.19836389459736095,0.1918689546807767,
2017,,5.34051,5.200173461675021,0.18724803436375925,0.19236779531625628,
2018,,5.21548,5.310257197390572,0.19173690628666967,0.18837788739529465,
2019-12-31T00:00:00,,5.1622,5.183045361702128,0.19371585758010149,0.19294477824678216,
2020,,5.40754,5.217754971098263,0.18492697233862349,0.19171318365770101,
2021-12-31T00:00:00,,5.2412,5.340111062500002,0.1907960009158208,0.18728172284901387,
2022-12-31T00:00:00,,4.99286,5.021537554347831,0.20028600842002378,0.19932722211094747,
2023-12-31T00:00:00,,5.02074,5.001116885245905,0.1991738269657461,0.1999729524568523,
2024-12-31T00:00:00,,4.8939,4.980378686868688,0.20433601013506608,0.20080219622043116,
2025-12-31T00:00:00,,5.13563,5.064430810810812,0.19471807743159067,0.19751849824766432,
,,,,,,
Q1,1997,5.1939,5.161,0.1925,0.1938,
Q2,1997,5.1986,5.2068,0.1924,0.1921,
Q3,1997,5.1127,5.0907,0.1956,0.1964,
Q4,1997,5.0529,5.0715,0.1979,0.1972,
Q1,1998,5.00291,5.0344205,0.19988366770539545,0.19863259336402272,
Q2,1998,4.98662,4.994162272727274,0.20053663603803779,0.20023378204206962,
Q3,1998,5.13559,5.112825238095238,0.19471959404859035,0.19558657951949596,
Q4,1998,5.26835,5.2498995000000015,0.18981274972239887,0.19047983680449496,
Q1,1999,5.08511,5.103154347826086,0.19665257978686793,0.1959572319081421,
Q2,1999,5.00283,5.017846315789474,0.1998868640349562,0.19928868623443816,
Q3,1999,5.1969,5.1524245,0.1924224056649156,0.19408338734512265,
Q4,1999,5.14331,5.141544285714286,0.19442732403841106,0.19449409446467028,
Q1,2000,5.04403,5.0288765,0.19825417374599277,0.19885157251326416,
Q2,2000,5.00811,4.9832054545454545,0.19967612532472329,0.2006740458770058,
Q3,2000,4.8606,4.843521000000001,0.20573591737645558,0.2064613738641785,
Q4,2000,4.87938,4.847387368421052,0.20494407076308874,0.20629669634298933,
Q1,2001,4.72115,4.794775454545455,0.2118127998474948,0.2085603402036269,
Q2,2001,4.67117,4.6891075,0.21407912792726447,0.21326019930231924,
Q3,2001,4.83379,4.822315999999999,0.20687700541397125,0.20736923917885103,
Q4,2001,4.71274,4.735521428571429,0.21219078497858995,0.21116998731471714,
Q1,2002,4.67591,4.687845714285714,0.2138621145402713,0.21331760065238617,
Q2,2002,4.98925,4.877674000000001,0.2004309264919577,0.20501575136017697,
Q3,2002,4.9601,4.956303809523809,0.20160883853148123,0.20176325714304383,
Q4,2002,5.09822,5.026088636363636,0.19614689048334516,0.19896187121831138,
Q1,2003,5.15172,5.137144285714286,0.19410992833461446,0.19466068001649608,
Q2,2003,5.25323,5.30560619047619,0.1903590743218934,0.1884798765869669,
Q3,2003,5.36173,5.233625000000001,0.1865069669677511,0.1910721536220115,
Q4,2003,5.5724,5.5030172727272735,0.17945588974230134,0.18171849195457895,
Q1,2004,5.55192,5.523820434782608,0.180117869133561,0.1810341251687258,
Q2,2004,5.49834,5.496202272727273,0.1818730744188246,0.1819438132694104,
Q3,2004,5.508731339172589,5.492445948292294,0.18153,0.18206824598991622,
Q4,2004,5.8044,5.774252272727273,0.17228309558266142,0.17318259625114782,
Q1,2005,5.66559,5.70946203125,0.176504124018858,0.175155062904977,
Q2,2005,5.4623,5.59470406779661,0.183073064460026,0.178774300322485,
Q3,2005,5.43549,5.47985969230769,0.183976053676853,0.182496767648373,
Q4,2005,5.35975,5.3793259375,0.18657586641168,0.185906412110096,
Q1,2006,5.40316,5.402506,0.185076880936341,0.185103702168399,
Q2,2006,5.54763,5.52596123076923,0.180257154857119,0.180989599388494,
Q3,2006,5.53639,5.55845692307693,0.180623113617357,0.179908792490203,
Q4,2006,5.64149,5.58803142857143,0.177258135705284,0.178972521240354,
Q1,2007,5.66319,5.62457453125,0.176578924599033,0.177795249385644,
Q2,2007,5.6834,5.68554671875,0.175951015237358,0.175887131721274,
Q3,2007,5.83744,5.75144784615385,0.171307970617257,0.173875164465208,
Q4,2007,5.9193,5.8985453125,0.16893889480175,0.169547050408106,
Q1,2008,6.16686,6.0012578125,0.162157078318626,0.166669372989485,
Q2,2008,6.12606,6.09966846153846,0.163237056117635,0.163949494584991,
Q3,2008,5.83959,5.96889046875,0.17124489904257,0.167613412389004,
Q4,2008,5.77601,5.65254095238095,0.173129894165696,0.176969917714688,
Q1,2009,5.60654,5.5982307936508,0.1783631259208,0.178657123515846,
Q2,2009,5.82086,5.69848453125,0.171795920190487,0.175530198420566,
Q3,2009,5.94142,5.86203636363637,0.168309932642365,0.17060077533965,
Q4,2009,5.87883,5.96492538461538,0.170101874012346,0.167658083258786,
Q1,2010,5.6934,5.78561629032258,0.175641971405487,0.172864510345771,
Q2,2010,5.54585,5.582711875,0.180315010323034,0.179166708490778,
Q3,2010,5.8357,5.68760031746032,0.171359048614562,0.175837716390973,
Q4,2010,5.77514,5.8332262295082,0.173155975439556,0.171455252527642,
Q1,2011,5.94566,5.86520693548387,0.168189906587326,0.170516738850481,
Q2,2011,6.00168,5.99371111111111,0.166620013063009,0.166849379716012,
Q3,2011,5.8561,5.97071359375,0.170762111302744,0.167501155840255,
Q4,2011,5.75725,5.8561531147541,0.173694037952147,0.170777412877442,
Q1,2012,5.80906,5.78225774193548,0.172144890911783,0.172947526551897,
Q2,2012,5.69081,5.73685296875,0.175721909534847,0.174325533038178,
Q3,2012,5.78322,5.69334841269841,0.17291405134164,0.175660300517798,
Q4,2012,5.76346,5.76087810344828,0.173506886488325,0.173587404789368,
Q1,2013,5.62199,5.70722383333333,0.177872959574812,0.175234055863501,
Q2,2013,5.63984,5.6462628125,0.177309994609776,0.177115241676143,
Q3,2013,5.75281,5.68189222222222,0.17382809444428,0.176006678311195,
Q4,2013,5.77501,5.7602175,0.173159873316237,0.173606879226861,
Q1,2014,5.79609,5.77758135593221,0.17253010218958,0.173085728884458,
Q2,2014,5.7971,5.79568650793651,0.172500043125011,0.172543908657817,
Q3,2014,5.55969,5.70947484375,0.179866143615921,0.175173378675969,
Q4,2014,5.43301,5.51343616666667,0.18406003302037,0.181390274807383,
Q1,2015,5.17309,5.26808762711864,0.19330806152609,0.18985347557202,
Q2,2015,5.27398,5.24064390625,0.189610123663723,0.190832390960517,
Q3,2015,5.26402,5.25553734375,0.189968883096949,0.190281085913068,
Q4,2015,5.19648,5.21840806451613,0.19243795800234,0.191644655366216,
Q1,2016,5.28307,5.21402516129032,0.189283882288139,0.191798429917425,
Q2,2016,5.24565,5.2847603125,0.190634144481618,0.189227344644339,
Q3,2016,5.23431,5.2363503125,0.191047148525785,0.190975764833566,
Q4,2016,5.04124,5.11739672131148,0.198363894597361,0.195441122697299,
Q1,2017,5.08818,5.07761016666666,0.196533927651931,0.196947466383575,
Q2,2017,5.18323,5.14243711538461,0.192929891206834,0.194471609344586,
Q3,2017,5.29987,5.28363,0.188683873378026,0.189276805505119,
Q4,2017,5.34051,5.29146508474576,0.187248034363759,0.188986174090306,
Q1,2018,5.452,5.42815516666667,0.183418928833456,0.184233799446262,
Q2,2018,5.27465,5.360670625,0.189586038884097,0.186568340165212,
Q3,2018,5.23218,5.25042222222222,0.191124923072218,0.190464407471198,
Q4,2018,5.21548,5.20166933333333,0.19173690628667,0.192248294660456,
Q1,2019,5.20595,5.22182819672131,0.192087899422776,0.191504961740337,
Q2,2019,5.2133,5.19505078125,0.191817083229432,0.1924926174538,
Q3,2019,5.1124,5.15413368421053,0.195602847977467,0.194022848768167,
Q4,2019,5.1622,5.15500509433962,0.193715857580101,0.1939884966982,
Q1,2020,5.118,5.14859744680851,0.195388823759281,0.194237972543729,
Q2,2020,5.15887,5.13626755555556,0.1938408992667,0.19470170461259,
Q3,2020,5.27841,5.26761487179487,0.189450989976148,0.189855974026481,
Q4,2020,5.40754,5.336155,0.184926972338623,0.187410389729231,
Q1,2021,5.31454,5.39015551724138,0.188163039510475,0.185529138003233,
Q2,2021,5.34908,5.382507826086957,0.18694803592393458,0.18579233881664753,
Q3,2021,5.28326,5.332504390243902,0.18927707513921327,0.18753055005389657,
Q4,2021,5.2412,5.269891363636363,0.1907960009158208,0.18976205718120304,
Q1,2022,5.18401,5.225556599999999,0.19290086245975607,0.19137632193158205,
Q2,2022,4.97919,5.056508,0.20083587892809876,0.1977881664573814,
Q3,2022,4.78455,4.8970925581395335,0.20900607162638074,0.20423111920009368,
Q4,2022,4.99286,4.881896521739131,0.20028600842002378,0.2048910251228052,
