,,,,,,,,,,,,,,
القائمة الرئيسية   Main List,,,,,,,,,,,,,احصاءات اسعار الفائدة وأسواق المال   Money Market & Exchange Rate Stat.,
,,,,,,,,,,,,,,
Table 2a: Exchange Rates of Some Foreign Currencies Against Saudi Riyal,,,,,,,,,,,,,جدول 2a:  سعــــر صرف بعض العــمـــلات الأجــنبـيــــة مقـــــابل الريال السعودي,
,,,,,,,,,,,,,,
متوسط,,الدولار,الريال ,اليوان,الين ,الروبية ,الجنيه,الوان,الدولار,اليورو,البات,الليرة,الفرنك ,
الفترة ,,الاسترالي,البرازيلي,الصيني,الياباني ,الهندية,الإسترليني ,الكوري الجنوبي,الأمريكي ,,التايلاندي,التركية,السويسري ,
Period,,Australian,Brazilian,Chinese,Japanese,Indian,Pound,Korean,U.S.,EURO,Thai,Turkish,Swiss,
Average,,Dollar,Real,Yuan,Yen,Rupee,Sterling,Won,Dollar,,Baht,Lira,Franc,
2009,,2.97372744487071,1.90314590734607,0.548961660002531,0.0401244208302029,0.0776268387530672,5.87391497431936,0.00295451824897029,3.75,5.2304341398399,0.109354444266338,-,3.46205588494212,
2010,,3.44664034405482,2.13173552610891,0.553853517440469,0.0428023891316136,0.0820455380033612,5.79612438443676,0.00324722829827115,3.75,4.97390182744988,0.118409053242953,-,3.60437872380947,
2011,,3.87239562584896,2.25267324382723,0.580672215211065,0.0470602655844969,0.0807294070597258,6.01460920675239,0.00338909251838788,3.75,5.22176565399687,0.123017284587108,-,4.24099539661439,
2012,,3.88503745702351,1.92990501590448,0.59404693874782,0.047029597998222,0.0702992231524141,5.9428676131974,0.00332769765676948,3.75,4.81707125269745,0.120607177558341,2.08825494159721,3.99876950689912,
2013,,3.63235304882772,1.74754114275788,0.605507854639965,0.0384603808629599,0.0642883610088529,5.86344634138176,0.00342577283086584,3.75,4.97942794297525,0.122264709276657,1.97550212837275,4.04731031317029,
2014,,3.38811207377343,1.60029357200391,0.610420713705394,0.0355840656025342,0.0614830946890869,6.18086403668271,0.00356542832020679,3.75,4.98277330655256,0.11546102564625,1.7147730880782,4.10268214024244,
2015-12-31T00:00:00,,2.82063576509305,1.14285204273214,0.602335628235502,0.0309702505556906,0.0584937714100498,5.73384969638059,0.00331709933267465,3.75,4.1586858092687,0.109561531454734,1.38605833333333,3.89942034843072,
