,,,,,,,,,,,,,,,,,,,
القائمة الرئيسية   Main List,,,,,,,,,,,,,,,,,,احصاءات اسعار الفائدة وأسواق المال   Money Market & Exchange Rate Stat.,
,,,,,,,,,,,,,,,,,,,
"Table 4b: G.C.C. Currencies Per  SAR, SDR And US$",,,,,,,,,,,,,,,,,,جدول 4b: سعــر تعادل عملات دول مجلس التعاون الخليجي لكل ريال سعودي، وحدة حقوق السحب الخاصــة ، والدولار الأمريكي ,
,,,,,,,,,,,,,,,,,,,
نهاية الفترة,,ريال سعودي,,دينار كويتي ,,,دينار بحريني ,,,ريال عماني ,,,ريال قطري ,,,درهم إماراتي ,,,
End of,,Saudi Riyal,, Kuwaiti Dinar,,,Bahraini Dinar,,,Omani Riyal,,,Qatari Riyal,,, U.A.E. Dirham,,,
Period,,SDR,US$,SAR,SDR,US$,SAR,SDR,US$,SAR,SDR,US$,SAR,SDR,US$,SAR,SDR,US$,
1993,,5.14398,3.75,0.07982243321319289,0.410605,0.2984,0.10040058214794305,0.516459,0.376,0.1026703058721068,0.528134,0.3845,0.9719633435588785,4.99976,3.64,0.9802409807192096,5.04234,3.671,
1994,,5.46714,3.75,0.07954158847221765,0.434865,0.3001,0.10040053006203987,0.548904,0.376,0.1026701346590722,0.561312,0.3845,0.9719615740588315,5.31385,3.64,0.9802401255501048,5.35911,3.671,
1995,,5.56691,3.75,0.07986728723834227,0.444614,0.2989,0.100399890786127,0.55892,0.37600003215490035,0.10267006292539309,0.571555,0.3845,0.9719611058917784,5.41082,3.64,0.9802385883730831,5.4569,3.671,
1996,,5.38516,3.75,0.08007747216424396,0.43123,0.2999,0.10040020200673408,0.540673,0.37599995391087504,0.1026703013466638,0.552896,0.3845,0.9706666767618068,5.23417,3.64,0.9802401414256958,5.27875,3.671,
1997,,5.05294,3.75,0.0814151761152913,0.411386,0.3049,0.1004005152044262,0.507318,0.37600002422953577,0.10267032658214821,0.518787,0.3845,0.9706666767618068,4.91127,3.64,0.9802412061097104,4.9531,3.671,
1998,,5.26835,3.75,0.08052350356373437,0.424226,0.3018680991726424,0.10045878851780114,0.5528946,0.3760001514286524,0.10267028576309471,0.540903,0.38450000997016887,0.9706666767618068,5.12064,3.6399990508022046,0.9806409976558126,5.16636,3.672500464720867,
1999,,5.14331,3.75,0.08122298675366642,0.417755,0.3041847748511587,0.10040052483838247,0.516391,0.3760002226635788,0.10267026486834355,0.528065,0.3845002740647325,0.9706666767618068,4.9991,3.6399992306501625,0.9806408713454954,5.04374,3.671972264245445,
2000,,4.87938,3.75,0.08162143551024925,0.398262,0.3062731718238537,0.10039373788366873,0.489893,0.3759999465906886,0.1026702162979723,0.500967,0.38450004440988345,0.9706666767618068,4.7426,3.6400007301463178,0.9806409830757185,4.78492,3.672500198010094,
2001,,4.71274,3.75,0.08181482534576488,0.385572,0.3066185076330609,0.10029224153670195,0.472529,0.3760071434065125,0.1027,0.483213,0.3845002419853253,0.9706666767618068,4.5745,3.640001284011962,0.9806,4.61533,3.6724993119165763,
2002,,5.09822,3.75,0.07984747617796015,0.40708,0.3008536242122671,0.1000376122774724,0.51118,0.37599994891514893,0.10253382553126385,0.52274,0.3845001404182388,0.9706642710593109,4.94866,3.640001062577591,0.9793339636186748,4.99286,3.6725054489839026,
2003,,5.5724,3.75,0.0785873232359486,0.43792,0.29469988427897775,0.1002624973019291,0.55873,0.3760000165190044,0.10253391716316129,0.57136,0.3844999915099238,0.9706661402627235,5.40894,3.640001352507148,0.9793320651783791,5.45723,3.672500344467795,
2004,,5.8044,3.75,0.07864516573633795,0.456488,0.294713693560059,0.10043188793462654,0.581987,0.37599998534243617,0.10253290607125627,0.595142,0.3844997481175673,0.9706636344841845,5.63412,3.6400088643773802,0.979331197022948,5.68443,3.6725113374030673,
2005,,5.35975,3.75,0.0778667667870465,0.418938,0.291999832719973,0.1003,0.537403,0.376,0.1025,0.549553,0.3845,0.9707,5.20253,3.64,0.9793,5.24899,3.6725,
2006,,5.64149,3.75,0.0771041118928758,0.434622,0.28913888075787,0.1003,0.565656,0.376,0.1025,0.578443,0.3845,0.9707,5.47603,3.64,0.9793,5.52492,3.6725,
2007,,5.9193,3.75,0.0730133630665788,0.432188,0.273800111499671,0.1003,0.593507,0.376,0.1025,0.606925,0.3845,0.9707,5.74567,3.64,0.9793,5.79697,3.6725,
2008,,5.77601,3.75,0.073586783956399,0.425038,0.275950320398372,0.1003,0.579143,0.376,0.1025,0.592235,0.3845,0.9707,5.60658,3.64,0.9793,5.65665,3.6725,
2009,,5.87883,3.75,0.0764801839821869,0.449614,0.286800324043657,0.1003,0.589452,0.376,0.1025,0.602776,0.3845,0.9707,5.70639,3.64,0.9793,5.75735,3.6725,
2010,,5.77514,3.75,0.0748264111346218,0.432133,0.280600377914716,0.1003,0.579052,0.376,0.1025,0.592143,0.3845,0.9707,5.60573,3.64,0.9793,5.65579,3.6725,
2011,,5.75725,3.75,0.0742800985540985,0.426292,0.278549398849974,0.1003,0.577261,0.376,0.1025,0.590308,0.3845,0.9707,5.58837,3.64,0.9793,5.63825,3.6725,
2012,,5.76346,3.75,0.0749731931860376,0.432105,0.281149962262187,0.1003,0.577881,0.376,0.1025,0.590947,0.3845,0.9707,5.59437,3.64,0.9793,5.64433,3.6725,
2013,,5.77501,3.75,0.075266536335002,0.434665,0.28225,0.1003,0.579039,0.376,0.1025,0.592129,0.3845,0.9707,5.6056,3.64,0.9793,5.65566,3.6725,
2014,,5.43301,3.75,0.0780802906676041,0.424211,0.292799607954114,0.1003,0.544750988483429,0.376,0.1025,0.557066,0.3845,0.9707,5.27365,3.64,0.9793,5.32073,3.6725,
2015-12-31T00:00:00,,5.19648,3.75,0.0809334395590861,0.420569,0.303499960309728,0.1003,0.521034,0.376,0.1025,0.532813,0.3845,0.9707,5.04406,3.64,0.9793,5.08908,3.6725,
2016-12-31T00:00:00,,5.04124,3.75,0.081613452245876,0.411433,0.306050597695506,0.1003,0.505469,0.376,0.1025,0.516895,0.3845,0.9707,4.89337,3.64,0.9793,4.93705,3.6725,
2017-12-31T00:00:00,,5.34051,3.75,0.080466472303207,0.429732,0.301750542436435,0.1003,0.535475,0.376,0.1025,0.547579,0.3845,0.9707,5.18385,3.64,0.9793,5.23013,3.6725,
2018-12-31T00:00:00,,5.21548,3.75,0.0809463366746685,0.422174,0.303549781059685,0.1003,0.522939,0.376,0.1025,0.534759,0.3845,0.9707,5.06247,3.64,0.9793,5.10767,3.6725,
2019-12-31T00:00:00,,5.1622,3.75,0.08117972957266281,0.419066,0.30524145968388083,0.1003,0.519942,0.376,0.1025,0.531697,0.3845,0.9707,5.03347,3.64,0.9793,5.07844,3.6725,
2020-12-31T00:00:00,,5.40754,3.75,0.08095991892801534,0.437266,0.3036000194407993,0.1003,0.5415409432,0.376,0.1025,0.553783,0.3845,0.9707,5.24257,3.64,0.9793,5.28938,3.6725,
2021-12-31T00:00:00,,5.2412,3.75,0.08071987331145537,0.423377,0.30250073235733327,0.1003,0.526247283038462,0.376,0.1025,0.538144,0.3845,0.9707,5.09453,3.64,0.9793,5.14001,3.6725,
2022-12-31T00:00:00,,4.99286,3.75,0.08161354414103339,0.407485,0.306050637284724,0.1003,0.500397,0.376,0.1025,0.51171,0.3845,0.9707,4.84642,3.64,0.9793,4.88969,3.6725,
2023-12-31T00:00:00,,5.02074,3.75,0.08198651991539097,0.411633,0.30745036822371274,0.1003,0.504467759680146,0.376,0.1025,0.516028,0.3845,0.9707,4.87346,3.64,0.9793,4.91695,3.6725,
2024-12-31T00:00:00,,4.8939,3.75,0.08206297635832363,0.401608,0.3079508944660425,0.1003,0.490354620288162,0.376,0.1025,0.501439,0.3845,0.9707,4.74705,3.64,0.9793,4.78943,3.6725,
2025-12-31T00:00:00,,5.13563,3.75,0.08144005701345307,0.418246,0.3054005111354509,0.1003,0.514933058702368,0.376,0.1025,0.526574,0.3845,0.9707,4.985,3.64,0.9793,5.0295,3.6725,
,,,,,,,,,,,,,,,,,,,
Q1,1996,5.47223,3.75,0.0797300186578415,0.436301,0.2992,0.10040056713159284,0.549415,0.375999895368943,0.10267020940274806,0.561835,0.3845,0.9706666767618068,5.3188,3.64,0.9793339857317809,5.3641,3.672499216771071,
Q2,1996,5.40531,3.75,0.08006016306187805,0.43275,0.2999,0.100400262782908,0.542696,0.375999796230836,0.10267015212818506,0.554964,0.3845,0.9706666767618068,5.25376,3.64,0.9793339857317809,5.2985,3.672499216771071,
Q3,1996,5.39044,3.75,0.08010941592894087,0.431825,0.3001,0.10040007006158044,0.541203,0.376000100324006,0.10267028294536253,0.553438,0.3845,0.9706666767618068,5.23931,3.64,0.9793339857317809,5.28393,3.672499216771071,
Q4,1996,5.38516,3.75,0.08007747216424396,0.43123,0.2999,0.100399908050855,0.540673,0.376000023719715,0.1026703013466638,0.552896,0.3845,0.9706666767618068,5.23417,3.64,0.9793339857317809,5.27875,3.672499216771071,
Q1,1997,5.1939,3.75,0.08095073066481834,0.42045,0.3034388920114016,0.10040054669660158,0.521471,0.37599998963204884,0.10267024779067753,0.533259,0.3845,0.9706666767618068,5.04828,3.64,0.9793339857317809,5.09127,3.672499216771071,
Q2,1997,5.19858,3.75,0.08074781959688992,0.419774,0.3023894193314446,0.10040053958890645,0.521941,0.37600002080959144,0.1026703445941007,0.53374,0.3845,0.9706666767618068,5.05283,3.64,0.9793339857317809,5.09586,3.672499216771071,
Q3,1997,5.11271,3.75,0.08122835052252132,0.415297,0.30458190314281275,0.10040046935322497,0.513319,0.375999949069935,0.10267020816748848,0.524923,0.3845,0.9706666767618068,4.96936,3.64,0.9793339857317809,5.01169,3.672499216771071,
Q4,1997,5.05294,3.75,0.0814151761152913,0.411386,0.3046288562752789,0.10040050517897178,0.507318,0.3760001374065678,0.10267032658214821,0.518787,0.3845,0.9706666767618068,4.91127,3.64,0.9793339857317809,4.9531,3.672499216771071,
Q1,1998,5.00291,3.75,0.08166087337169767,0.408542,0.3052993991648318,0.10040055255614823,0.502295,0.37599994531499775,0.10267024591687637,0.51365,0.38450020051026695,0.9706666767618068,4.86264,3.6400006327026824,0.9793339857317809,4.90606,3.672499216771071,
Q2,1998,4.98662,3.75,0.08185845322081892,0.408197,0.3064806702003489,0.10040051307176186,0.500659,0.3760003220749907,0.10267014530884647,0.511977,0.3844999391173393,0.9706666767618068,4.84681,3.6400000021740784,0.9793339857317809,4.89008,3.672499216771071,
Q3,1998,5.13559,3.75,0.08105475709704241,0.416264,0.3041559040191783,0.1003986427036473,0.515616,0.3759998162480386,0.10267038451278236,0.527273,0.38450018092644334,0.9706666767618068,4.9916,3.640000780633021,0.9793339857317809,5.03617,3.672499216771071,
Q4,1998,5.26835,3.75,0.08052350356373437,0.424226,0.3018680991726424,0.10062864631980095,0.5528946,0.37600052207658274,0.10267028576309471,0.540903,0.38450000997016887,0.9706666767618068,5.12064,3.6399990508022046,0.9793339857317809,5.16636,3.672499216771071,
Q1,1999,5.08511,3.75,0.08183756103604445,0.416153,0.30455490622767833,0.10040050250250165,0.510546,0.37600011632299674,0.1026701487283461,0.522089,0.38449985545052573,0.9706666767618068,4.94254,3.640000711774546,0.9793339857317809,4.98667,3.672499216771071,
Q2,1999,5.00283,3.75,0.08187725747227069,0.409618,0.3063006309913457,0.10040053879269653,0.502287,0.3759998650146917,0.10267028861664299,0.513642,0.38449995295966793,0.9706666767618068,4.86257,3.6399991621527246,0.9793339857317809,4.90598,3.672499216771071,
Q3,1999,5.1969,3.75,0.08096923165733418,0.420789,0.3039356764458155,0.1004005298864641,0.521771,0.37600110669926756,0.10267024572341203,0.533567,0.38450096562325087,0.9706666767618068,5.05119,3.6400112571736387,0.9793339857317809,5.09629,3.672499216771071,
Q4,1999,5.14331,3.75,0.08122298675366642,0.417755,0.3041847748511587,0.10040052817186758,0.516391,0.3759998026173593,0.10267026486834355,0.528065,0.3845002740647325,0.9706666767618068,4.9991,3.6399992306501625,0.9793339857317809,5.04374,3.672499216771071,
Q1,2000,5.04403,3.75,0.08159864235541818,0.411586,0.30634181919390496,0.10040052683735623,0.506423,0.37600006066696834,0.10267028546618477,0.517872,0.3844998178495126,0.9706666767618068,4.90261,3.6399992671484886,0.9793339857317809,4.94638,3.672499216771071,
Q2,2000,5.00811,3.75,0.08172823679991054,0.409304,0.30624834107636795,0.10040055451711803,0.502817,0.3759998775324415,0.10267026882396751,0.514184,0.38450003772465335,0.9706666767618068,4.8677,3.6400088063604787,0.9793339857317809,4.91116,3.672499216771071,
Q3,2000,4.8606,3.75,0.08206990906472453,0.398909,0.3080449563365719,0.1004005144191591,0.488007,0.37599984369654893,0.10267024647162902,0.499039,0.3845002623559892,0.9706666767618068,4.72432,3.639999310465251,0.9793339857317809,4.7665,3.672499216771071,
