,,,,,,,,,,
القائمة الرئيسية   Main List,,,,,,,,,احصاءات اسعار الفائدة وأسواق المال   Money Market & Exchange Rate Stat.,
,,,,,,,,,,
Table 6: Monetary Indicators: (Interest Rates),,,,,,,,,جدول 6:   مؤشرات نقـدية: (أسعـار الفائـدة ),
,,,,,,,,,,
,,,,متوسط شهري  ,أذونات البنك المركزي (متوسط),,,,,
الفترة,,إتفاقية إعادة,إتفاقية إعادة, لأسعار الفائدة ,          (Average) SAMA Bills        ,,,,,
,,الشراء,  الشراء المعاكس, بين البنوك ,أسبوع,4 أسابيع,13 أسبوع,26 أسبوع,52 أسبوع,
Period,,RR,RRR,Monthly Avg. ,,,,,,
,,,, 3M SAIBOR,1 week,4 weeks,13 weeks,26 weeks,52 weeks,
2007,,5.5,4,4.905105,4.75119166666667,4.76651666666667,4.80735833333333,4.82907,4.85072166666667,
2008,,2.5,1.5,3.28457917336521,2.51954329166667,2.95556291666667,3.18836666666667,3.37663,3.55429020833333,
2009,,2,0.25,0.911300286087369,0.2233875,0.286664722222222,0.461928472222222,0.583446527777778,0.759602430555555,
2010,,2,0.25,0.735862703846154,0.136204166666667,0.191825,0.382495833333333,0.4667,0.579641666666667,
2011,,2,0.25,0.694466619183286,0.121291666666667,0.188066666666667,0.332176666666667,0.4241,0.531434166666667,
2012,,2,0.25,0.91631625,0.116965,0.212303333333333,0.385695,0.4716025,0.589243333333333,
2013,,2,0.25,0.953235796901451,0.1143925,0.2810525,0.489888541666667,0.57614,0.706917291666667,
2014,,2,0.25,0.935765467171717,0.121350833333333,0.320385,0.5105235,0.577619833333333,0.698195,
2015-12-31T00:00:00,,2,0.5,0.879691666666667,0.1431875,0.309040833333333,0.466660833333333,0.533091666666667,0.646015,
2016-12-31T00:00:00,,2,0.75,2.06617265065053,0.474028333333333,0.963574166666667,1.1213075,1.18461,1.29720083333333,
2017-12-31T00:00:00,,2,1.5,1.81166836013473,0.798477,0.927491819444444,1.14688508333333,1.26954498611111,1.38724334722222,
2018-12-31T00:00:00,,3,2.5,2.45098221187026,1.85566916666667,1.924275,2.07430083333333,2.24258583333333,2.4423025,
2019-12-31T00:00:00,,2.25,1.75,2.63184506109621,2.2844375,2.31964166666667,2.37890916666667,2.440515,2.49720083333333,
2020-12-31T00:00:00,,1,0.5,1.1922916801841124,0.7597116666666668,0.8306683333333333,0.8811616666666667,0.9185316666666667,0.9474516666666667,
2021-12-31T00:00:00,,1,0.5,0.8099914578691756,0.5103516666666666,0.5556850000000001,0.5907366666666666,0.6161691666666667,0.6325175,
2022-12-31T00:00:00,,5,4.5,3.1254128924010476,2.0297633333333334,2.1065733333333334,2.3396508333333332,2.5402366666666665,2.7091125000000003,
2023-12-31T00:00:00,,6,5.5,5.930440041988725,5.215694166666665,5.252180833333333,5.376541666666667,5.5116525,5.591985833333332,
2024-12-31T00:00:00,,5,4.5,6.019712269887564,5.349776666666666,5.3579083333333335,5.362514999999999,5.370791666666666,5.375693333333333,
2025-12-31T00:00:00,,4.25,3.75,5.305789713325654,4.478233333333334,4.494766666666667,4.5128416666666675,4.535325000000001,4.554083333333334,
,,,,,,,,,,
Q1,2007,5.5,5,5.08687666666667,4.79976666666667,4.855,4.93046666666667,4.97736666666667,5.0117,
Q2,2007,5.5,5,5.04479333333333,4.83836666666667,4.8566,4.90423333333333,4.94426666666667,5.00552666666667,
Q3,2007,5.5,5,5.05125,4.87786666666667,4.87836666666667,4.90723333333333,4.91686333333333,4.93615,
Q4,2007,5.5,4,4.4375,4.48876666666667,4.4761,4.4875,4.47778333333333,4.44951,
Q1,2008,5.5,2.25,2.75072916666667,2.83101333333333,2.95989666666667,3.05917,3.20028,2.87347,
Q2,2008,5.5,2,2.49768391330891,2.123494,2.34096,2.46175,2.57541666666667,2.75035666666667,
