,,,,
القائمة الرئيسية   Main List,,,,قائمة الإحصاءات النقدية والمالية       Money & Banking Stat. List
,,,,
,,,,
,,,,
,,,,
Table 5: Monetary Ratios,,,,جدول 5  : نــســـــــب نـقـــــديــــــــة 
(Percentage Shares),,,,(نـسـب مـئـوية)
نهاية الفترة,,النقد المتداول خارج المصارف / ن3,ن1/ ن3,ن2/ ن3
End of Period,,Currency Outside Banks /M3,M1/M3,M2/M3
1993,,18.659610992727142,53.192054481964824,74.15859035560686
1994,,19.034374239007327,53.18712407886517,74.95274173055209
1995,,17.821647539379647,51.48351622216438,76.80626057337149
1996,,16.66042447086309,51.458090226420794,78.97436716328609
1997,,16.812842869550018,51.80127130916943,80.11382871241972
1998,,15.893395512490772,49.521335147139226,78.97737508998519
1999,,18.026198039278395,51.29064552679298,79.23058894957481
2000,,15.994096215933054,51.882738176657824,80.35767556084458
2001,,14.472324107175385,52.76615656322286,79.73357134218682
2002,,13.410574231811513,51.85408271012237,79.53881473380171
2003,,13.292677173491748,53.468768580224136,80.65170731268522
2004,,12.131739813505183,54.73490765011676,82.3083843886005
2005,,11.618013579893503,51.24064934385506,81.10728245911783
2006,,10.499387435908547,47.365882777308926,81.59845604403337
2007,,9.141015681045829,48.56651721045083,84.40787941697721
2008,,8.93382809913871,45.795158935690225,85.36185305554685
2009,,8.590882478933025,50.68863553391747,82.11669166014426
2010,,8.84140304737818,57.90536532026598,85.51466616296966
2011,,9.67302383712701,61.4737603393378,86.99929852533997
2012,,9.454103657312166,63.183922792821626,86.59746391354246
2013,,9.169351563314885,64.27706301916646,86.71464655720568
2014,,8.826631717012928,65.7409532256271,88.90083353898434
2015-12-31T00:00:00,,9.436238967958973,64.3287406371545,88.93569306945848
2016-12-31T00:00:00,,9.463929633665197,63.699748452154246,91.260852528342
2017-12-31T00:00:00,,9.530748897492897,65.06385579279042,90.22224607529836
2018-12-31T00:00:00,,9.717740444423455,65.859274723263,89.75933780309022
2019-12-31T00:00:00,,9.528815095363226,64.89777581668294,90.16889307223587
2020-12-31T00:00:00,,9.597856104928209,69.27360974301652,91.32610325908801
2021-12-31T00:00:00,,8.85153653668122,67.76077123277263,89.21477701311747
2022-12-31T00:00:00,,8.013462673162135,61.23840664636347,87.47755123766834
2023-12-31T00:00:00,,7.890420797978345,56.76053465420071,88.93777798129241
2024-12-31T00:00:00,,7.841532325830417,57.153675481879475,89.66152780902921
2025-12-31T00:00:00,,7.638343339099951,52.85363600501282,89.90915778678007
,,,,
Q1,1993,19.953890730535175,56.55521354578321,76.15610334488154
Q2,1993,19.850031581416946,56.890766085177766,76.02583487073186
Q3,1993,18.23082656301198,55.35744753606456,74.59943069556414
Q4,1993,18.659610992727142,53.192054481964824,74.15859035560686
Q1,1994,19.333872721755093,54.03338284729837,75.08659534288883
Q2,1994,19.23593369969665,54.60578081366347,75.26551833182495
Q3,1994,18.147133180614993,53.96679697361495,74.78921468357291
Q4,1994,19.034374239007327,53.18712407886517,74.95274173055209
Q1,1995,19.196742091108636,53.27378184257395,75.8510253699519
Q2,1995,19.10097159884995,53.403023657221205,76.28405931712918
Q3,1995,17.786017484094952,51.740312986498374,76.07197024608656
