,,,,,,
القائمة الرئيسية   Main List,,,,,, صناديق الإستثمار       Investment Funds
,,,,,,
Table 1: Investment Funds,,,,,,جدول 1:  صنــــاديق الإسـتـثـمــــــار
,,,,,,
نهاية,,عدد ,عدد,الأصول المحلية,الأصول الأجنبية,إجمالي أصول الصناديق
الفترة,,الصناديق العاملة,المشتركين,Domestic,Foreign,Total Assets
End of,,No. of,No. of,Assets,Assets,of Funds
Period,,Operating Funds,Subscribers,(مليون ريال   Million SAR),,
1992,,52,33162,5300,7100,12400
1993,,60,34170,7400,8400,15800
1994,,61,30945,5280,6830,12110
1995,,71,33051,5770,7190,12960
1996,,83,45136,8148,8509,16657
1997,,104,63307,11216,10217,21433
1998,,121,69543,12001,13008,25009
1999,,134,79322,15972,18710,34682
2000,,138,95800,16583,21973,38556
2001,,138,173999,30416,19643,50059
2002,,143,165044,32827,15998.9,48825.9
2003,,170,172197,37216,16650,53866
2004,,188,198357,44490,15827,60317
2005,,199,568284,115661,21313,136974
2006,,214,499968,61343.5,22764.5,84108
2007,,252,426085,79889.5,25210.5,105100
2008,,262,374975,61259,13555,74814
2009,,244,356331,74135,15413,89548
2010,,243,320415,74440,20300,94740
2011,,249,293905,64531,17662,82193
2012,,240,275624,69812,18256,88068
2013,,236,258110,81863,21316,103179
2014,,252,246031,81873,28838,110711
2015-12-31T00:00:00,,270,236977,75920,26978,102898
2016-12-31T00:00:00,,275,224411,70655,17181,87836
2017-12-31T00:00:00,,273,238445,91145.39,19087.38,110232.77
2018-12-31T00:00:00,,249,332567,93649.5,18212.2,111861.7
2019-12-31T00:00:00,,253,329739,133441.67,26516.37,159958.04
2020-12-31T00:00:00,,254,358894,149561.86,60162.46,209724.31999999998
2021-12-31T00:00:00,,256,529312,147689.21,79484.19,227173.4
2022-12-31T00:00:00,,255,652869,101186.01,24919,126105.01
2023-12-31T00:00:00,,291,1080455,101181.5,21396,122577.5
2024-12-31T00:00:00,,325,1571635,144584.56,29865.29,174449.85
2025-12-31T00:00:00,,356,1577818,192892.4,27924.65,220817.05
,,,,,,
Q1,1998,105,63039,11600,9731,21331
Q2,1998,107,65631,12062,10570,22632
Q3,1998,116,68039,11754,11938,23692
Q4,1998,121,69543,12001,13008,25009
Q1,1999,119,75734,12569,13562,26131
Q2,1999,122,80227,13811,16113,29924
Q3,1999,125,76616,15396,16518,31914
Q4,1999,134,79322,15972,18710,34682
Q1,2000,136,86358,16670,20783,37453
Q2,2000,138,92589,17493,21166,38659
Q3,2000,140,94075,18863,20360,39223
Q4,2000,138,95800,16583,21973,38556
Q1,2001,139,99251,19629,20403,40032
Q2,2001,139,174639,25742,19679,45421
Q3,2001,139,172550,27739,18041,45780
Q4,2001,138,173999,30416,19643,50059
Q1,2002,151,171360,32671,19504,52175
Q2,2002,147,178166,34695,17737,52432
Q3,2002,134,169040,34004,15949,49953
Q4,2002,143,165044,32827,15998.9,48825.9
Q1,2003,151,161998,34049,16180,50229
Q2,2003,153,164467,36456,16093,52549
Q3,2003,159,168484,36695,16665,53360
Q4,2003,170,172197,37216,16650,53866
Q1,2004,175,171895,38614,16601,55215
Q2,2004,173,172693,38723,16251,54974
Q3,2004,186,184885,41128,16010,57138
Q4,2004,188,198357,44490,15827,60317
Q1,2005,189,221762,52935,16204,69139
Q2,2005,196,406240,81691,16163,97854
Q3,2005,197,488963,97108,16738,113846
Q4,2005,199,568284,115661,21313,136974
Q1,2006,201,680629,121115,20604,141719
Q2,2006,209,585602,91333,20621,111954
Q3,2006,209,553684,78512,21592,100104
Q4,2006,214,499968,61343.5,22764.5,84108
Q1,2007,221,478559,57055,21958,79013
Q2,2007,224,449404,53968,23799,77767
Q3,2007,234,433008,56490,24806,81296
Q4,2007,252,426085,79889.5,25210.5,105100
Q1,2008,260,413936,82989,20982,103971
Q2,2008,267,396340,88222,21625,109847
Q3,2008,274,385956,75165,22075,97240
Q4,2008,262,374975,61259,13555,74814
Q1,2009,253,371097,64499,12695,77194
Q2,2009,247,369245,75199,13357,88556
Q3,2009,250,364306,77820,16050,93870
Q4,2009,244,356331,74135,15413,89548
Q1,2010,241,349474,77479,15653,93132
Q2,2010,241,340515,79508,19439,98947
Q3,2010,244,331285,78420,19869,98290
Q4,2010,243,320415,74440,20300,94740
Q1,2011,243,312661,70756,18135,88891
Q2,2011,243,305268,69087,19804,88891
Q3,2011,239,300038,67351,18126,85477
Q4,2011,249,293905,64531,17662,82193
Q1,2012,253,289303,71696,18561,90257
Q2,2012,241,283836,68961,18506,87467
Q3,2012,239,279654,70804,19279,90083
Q4,2012,240,275624,69812,18256,88068
Q1,2013,240,270864,70216,22309,92525
Q2,2013,241,265512,77964,22257,100221
Q3,2013,243,261544,79250,24107,103357
Q4,2013,236,258110,81863,21316,103179
Q1,2014,240,256440,88928,19479,108407
Q2,2014,249,254154,93842,22075,115917
Q3,2014,250,251756,99931,21604,121535
Q4,2014,252,246031,81873,28838,110711
Q1,2015,255,242802,88343,24009,112352
Q2,2015,263,242818,96076,23903,119979
Q3,2015,266,239182,90749,22774,113523
Q4,2015,270,236977,75920,26978,102898
Q1,2016,277,234047,65815,25380,91195
Q2,2016,278,228325,70075,19135,89210
Q3,2016,277,225849,66692,15124,81816
Q4,2016,275,224411,70655,17181,87836
Q1,2017,275,224244,83041,21490,104531
Q2,2017,275,229515,86133,24294,110427
Q3,2017,278,235190,87923,24730,112653
Q4,2017,273,238445,91145.39,19087.38,110232.77
Q1,2018,262,294789,94949.45,25135.45,120084.9
Q2,2018,264,311231,103843,15219,119062
Q3,2018,264,326902,102949.6,14905.5,117855.1
Q4,2018,249,332567,93649.5,18212.2,111861.7
Q1,2019,252,356410,83026.94,36732.66,119759.6
Q2,2019,251,335367,104986,21121,126107
Q3,2019,252,333318,113279.37,23961.35,137240.72
Q4,2019,253,329739,133441.67,26516.37,159958.04
Q1,2020,253,339678,129628.68,45114.13,174742.81
Q2,2020,253,350442,141851.24,39732.78,181584.02
Q3,2020,255,358576,148789.96,47280.73,196070.69
Q4,2020,254,358894,149561.86,60162.46,209724.31999999998
Q1,2021,251,382245,154308.19,78522.75,232830.94
Q2,2021,252,401540,155226.19,86413.59,241639.78
Q3,2021,254,446731,155364.62,84441.87,239806.49
Q4,2021,256,529312,147689.21,79484.19,227173.4
Q1,2022,253,508805,158084.71,57598.4,215683.11
Q2,2022,254,665763,142660.7,49852.73,192513.43000000002
Q3,2022,253,662617,134662.32,39682.36,174344.68
Q4,2022,255,652869,101186.01,24919,126105.01
Q1,2023,260,719712,95586.8,20422,116008.8
Q2,2023,276,818500,94354.96,26652.64,121007.6
Q3,2023,283,1042484,94833.275,22283.86,117117.135
Q4,2023,291,1080455,101181.5,21396,122577.5
Q1,2024,298,1162753,115672.74,20987.05,136659.79
Q2,2024,305,1230917,124987.58,19979.69,144967.27
Q3,2024,310,1570452,134431.29,25655.53,160086.82
Q4,2024,325,1571635,144584.56,29865.29,174449.85
Q1,2025,322,1597079,163650.18,29349.93,193000.11
Q2,2025,328,1606592,178039.13,28200.1,206239.23
Q3,2025,346,1593663,186868.56,31079.91,217948.47
Q4,2025,356,1577818,192892.4,27924.65,220817.05
,,,,,,
"Note:  As of 2006, the source of data is the Capital Market Authority (CMA).",,,,,,"ملاحظة : إعتباراً من عام 2006 مصدر البيانات هيئة السوق المالية. 
"
