,,,,,,,
القائمة الرئيسية   Main List,,,,,,, صناديق الإستثمار       Investment Funds
,,,,,,,
Table 2: Investment Funds (Open/Close),,,,,,,جدول 2:  صناديق الإستثمار(مفتوح/مغلق)
(Assets in Million ﷼),,,,,,,(الأصول بملايين ﷼)  
نهاية,,مفتوحة,,مغلقة,,إجمالي,
الفترة,,Open - ended,,Close - ended,,Total,
End of,,عدد,أصول ,عدد,أصول ,عدد,أصول 
Period,,Number,Assets,Number,Assets,Number,Assets
1996,,81,16217.201000000001,2,440,83,16657.201
1997,,98,19561.783,6,1871.478,104,21433.261
1998,,113,23594.96,8,1414,121,25008.96
1999,,125,31897.102,9,2785.2110000000002,134,34682.313
2000,,136,38552,2,4,138,38556
2001,,137,49862,1,198,138,50060
2002,,139,48149,4,677.5,143,48826.5
2003,,166,53190,4,676,170,53866
2004,,176,58741,12,1576,188,60317
2005,,188,135838,11,1136,199,136974
2006,, ---, ---, ---, ---,214,84108
2007,, ---, ---, ---, ---,252,105100
2008,,243,71652,19,3162,262,74814
2009,,235,87929,9,1619,244,89548
2010,,233,93592,10,1148,243,94740
2011,,239,80746,10,1447,249,82193
2012,,229,86324,11,1744,240,88068
2013,,226,100644,10,2535,236,103179
2014,,242,107711,10,3000,252,110711
2015-12-31T00:00:00,,261,100572,9,2326,270,102898
2016-12-31T00:00:00,,263,84976,12,2859,275,87836
2017-12-31T00:00:00,,255,98250.59,18,11982.18,273,110232.77
2018-12-31T00:00:00,,223,87365.9,26,24495.8,249,111861.7
2019-12-31T00:00:00,,228,133223.24,25,26734.61,253,159958.02
2020-12-31T00:00:00,,228,180803,26,28921,254,209724
2021-12-31T00:00:00,,230,197906.8,26,29267.32,256,227173.4
2022-12-31T00:00:00,,230,98799.98,25,27305.03,255,126105.01
2023-12-31T00:00:00,,267,93298.1,24,29279.4,291,122577.5
2024-12-31T00:00:00,,298,143038.15,27,31411.7,325,174449.85
2025-12-31T00:00:00,,330,188008.02,26,32809.03,356,220817.05
,,,,,,,
Q4,2003,166,53190,4,676,170,53866
Q1,2004,168,53863,7,1352,175,55215
Q2,2004,166,53694,7,1280,173,54974
Q3,2004,175,55549,11,1589,186,57138
Q4,2004,176,58741,12,1576,188,60317
Q1,2005,176,67561,13,1578,189,69139
Q2,2005,183,96484,13,1370,196,97854
Q3,2005,184,112369,13,1477,197,113846
Q4,2005,188,135838,11,1136,199,136974
Q1,2006, ---, ---, ---, ---,201,141719
Q2,2006, ---, ---, ---, ---,209,111954
Q3,2006, ---, ---, ---, ---,209,100104
Q4,2006, ---, ---, ---, ---,214,84108
Q1,2007, ---, ---, ---, ---,221,79013
Q2,2007, ---, ---, ---, ---,224,77767
Q3,2007, ---, ---, ---, ---,234,81296
Q4,2007, ---, ---, ---, ---,252,105100
Q1,2008,234,98530,26,5441,260,103971
Q2,2008,244,105433,23,4414,267,109847
Q3,2008,248,91335,26,5904.5,274,97239.5
Q4,2008,243,71652,19,3162,262,74814
Q1,2009,238,74646,15,2548,253,77194
Q2,2009,234,87038,13,1518,247,88556
Q3,2009,239,92505,11,1365,250,93870
Q4,2009,235,87929,9,1619,244,89548
Q1,2010,232,91529,9,1603,241,93132
Q2,2010,232,97555,9,1392,241,98947
Q3,2010,233,96876,11,1414,244,98290
Q4,2010,233,93592,10,1148,243,94740
Q1,2011,233,87551,10,1340,243,88891
Q2,2011,231,87499,12,1392,243,88891
Q3,2011,230,84552,9,925,239,85477
Q4,2011,239,80746,10,1447,249,82193
Q1,2012,239,88440,14,1817,253,90257
Q2,2012,230,85793,11,1674,241,87467
Q3,2012,228,88411,11,1672,239,90083
Q4,2012,229,86324,11,1744,240,88068
Q1,2013,229,90654,11,1871,240,92525
Q2,2013,230,98272,11,1949,241,100221
Q3,2013,233,101143,10,2214,243,103357
Q4,2013,226,100644,10,2535,236,103179
Q1,2014,229,105712,11,2695,240,108407
Q2,2014,237,112798,12,3119,249,115917
Q3,2014,238,118423,12,3112,250,121535
Q4,2014,242,107711,10,3000,252,110711
Q1,2015,247,110285,8,2067,255,112352
Q2,2015,254,117569,9,2410,263,119979
Q3,2015,257,111151,9,2372,266,113523
Q4,2015,261,100572,9,2326,270,102898
Q1,2016,268,88923,9,2272,277,91195
Q2,2016,269,86997,9,2213,278,89210
Q3,2016,266,79806,11,2010,277,81816
Q4,2016,263,84976,12,2859,275,87836
Q1,2017,263,101891,12,2640,275,104531
Q2,2017,262,107244,13,3183,275,110427
Q3,2017,261,106901,17,5752,278,112653
Q4,2017,255,98250.59,18,11982.18,273,110232.77
Q1,2018,239,102135.45,23,17949.45,262,120084.9
Q2,2018,241,100121,23,18941,264,119062
Q3,2018,240,95644.2,24,22210.9,264,117855.1
Q4,2018,223,87365.9,26,24495.8,249,111861.7
Q1,2019,225,94441.8,27,25317.8,252,119759.59
Q2,2019,224,100745.6,27,25361.2,251,126106.8
Q3,2019,226,110928.7,26,26311.96,252,137240.7
Q4,2019,228,133223.24,25,26734.61,253,159958.02
Q1,2020,228,147676.47,25,27066.33,253,174742.8
Q2,2020,228,154775.73,25,26808.28,253,181584.01
Q3,2020,230,167973,25,28098,255,196071
Q4,2020,228,180803,26,28921,254,209724
Q1,2021,225,203056.05,26,29774.89,251,232830.94
Q2,2021,226,212605.9,26,29033.88,252,241639.78
Q3,2021,226,210286.35,28,29520.13,254,239806.48
Q4,2021,230,197906.8,26,29267.32,256,227173.4
Q1,2022,227,184864.48,26,30818.64,253,215683.11
Q2,2022,229,159748.71,25,32764.73,254,192513.43
Q3,2022,229,148088.64,24,26256.03,253,174344.67
Q4,2022,230,98799.98,25,27305.03,255,126105.01
Q1,2023,235,87959.5,25,28049.3,260,116008.8
Q2,2023,251,92859.38,25,28148.22,276,121007.6
Q3,2023,259,88117.415,24,28999.72,283,117117.135
Q4,2023,267,93298.1,24,29279.4,291,122577.5
Q1,2024,272,107774.74,26,28885.04,298,136659.79
Q2,2024,278,116169.6,27,28797.67,305,144967.27
Q3,2024,284,128705,26,31382,310,160087
Q4,2024,298,143038.15,27,31411.7,325,174449.85
Q1,2025,295,161772.53,27,31227.58,322,193000.11
Q2,2025,301,175719,27,30520.05,328,206239.23
Q3,2025,320,185054.91,26,32893.56,346,217948.47
Q4,2025,330,188008.02,26,32809.03,356,220817.05
,,,,,,,
,,,,,,,
