,,,,,,,,,,,
القائمة الرئيسية   Main List,,,,,,,,,,, صناديق الإستثمار       Investment Funds
,,,,,,,,,,,
Table 3: Assets of Investment Funds by Type ,,,,,,,,,,,جدول 3:   أصول صناديق الإستثمار موزعة حسب النوع 
(Million ﷼),,,,,,,,,,,(مليون ﷼)
,,أسهم محلية,أسهم أجنبية,صكوك وسندات ,سندات أجنبية,أدوات ,أدوات ,أصول محلية,أصول أجنبية,استثمارات عقارية,
نهاية الفترة,,,,محلية,,نقدية محلية ,نقدية  أجنبية,أخرى,أخرى,,إجمالي الأصول
End of,,Domestic ,Foreign,Domestic ,Foreign,Domestic,Foreign,Other ,Other,Real Estate,Total
Period,,Shares ,Shares ,Sukuk and,Bonds,Money Market,Money Market,Domestic ,Foreign, Investments,Assets
,,,, Bonds,,Instruments,Instruments,Assets,Assets,,
1996,,462.707,2925.859,1280,863.278,3857.988,2970.393,1535.56,2761.7, ---,16657.485
1997,,1708,3945.45,1922.71,528.236,4191.684,3423.648,2200.43,3512.4, ---,21432.558
1998,,1206.603,4451.868,2494.5,532.603,4119.194,4357.649,2659,5187.87, ---,25009.287
1999,,1569,6686.084,2107.6,575.878,6230.794,4717.449,4251.08,8544.13, ---,34682.015
2000,,1360,7697,7,193,7849,2064,7367,12019, ---,38556
2001,,2355,6844,7,180,13723,3999,14332,8619, ---,50059
2002,,2437,5339,10.4,122.3,15516.3,3397.5,14863.9,7139.9, ---,48826.3
2003,,4841,7638,7,134,15360,3105,17008,5773, ---,53866
2004,,14572,8461,27,128,10379,2276,19512,4962, ---,60317
2005,,89444,14667,20,79,6501,1607,19696,4960, ---,136974
2006,,31960,15583,1683,168.3,23951,3512,3749,3502, ---,84108.3
2007,,45206,16809,531,264,29362,3518,4611,4798.5, ---,105099.5
2008,,17058,9749,1618,559,38289,2252,2145,995,2149,74814
2009,,19281,10009,1960,324,49402,4099,1167,974,2332,89548
2010,,20948,10933,2995,363,48330,8028,694,976,1473,94740
2011,,18472,9289,3031,2560,40132,5454,1156,359,1740,82193
2012,,19192,10354,2086,1807,44874,6034,1844,60,1817,88068
2013,,23639,12170,2878,1731,50809,7005,1411,409,3127,103179
2014,,24477,11215,3973,2019,45674,15194,4189,410,3560,110711
2015,,20025,10573,5830,2017,43691,12976,4014,407,3365,102898
2016,,16386.41,4940.25,5576.97,1282.39,40793.35,10569.88,4698.49,388.41,3199.51,87835.66
2017,,17988.13,5420.2,4996.24,1527.84,55168.83,11597.79,8743.02,541.53,4249.17,110232.74999999999
2018,,21512.3,4320.9,4493.6,1032.4,45446.7,12736,2588,123.2,19608.6,111861.69999999998
2019-12-31T00:00:00,,23000.35,4149.53,6915.17,1010.77,76728.74,21276.46,3043.41,79.6,23754,159958.03000000003
2020-12-31T00:00:00,,19351.57,4964.7,9595.23,3881.08,81505.8,50874.45,13888.77,442.23,25220.49,209724.32
2021-12-31T00:00:00,,19938.94,6424.98,16830.29,3485.48,69518.38,68651.99,14667.46,921.74,26734.14,227173.40000000002
2022-12-31T00:00:00,,19442.42,3367.8,16894.84,2904.75,30812.44,18089.12,10562.81,557.34,23473.48,126104.99999999999
2023-12-31T00:00:00,,27903.9,3497.3,13786.9,2711.2,23766.8,14524.9,10994.2,662.7,24729.6,122577.5
2024-12-31T00:00:00,,42934.79,15069.57,12736.63,1848.38,46519.85,12189.36,14048.87,1483.82,27618.58,174449.84999999998
2025-12-31T00:00:00,,48421,13445,14711,1922,82876,10333,18040,2224,28845,220817
,,,,,,,,,,,
Q1,1998,1424.845,3612.703,2072.02,494.722,4312.009,3560,2467.69,3387.3, ---,21331.288999999997
Q2,1998,1490.643,4042.155,1923.5,500.838,4721.262,3773.499,2648.92,3531, ---,22631.817000000003
Q3,1998,1375.639,4042.272,2344.6,535.28,4121.417,4016.82,2568.53,4687.34, ---,23691.898
Q4,1998,1206.603,4451.868,2494.5,532.603,4119.194,4357.649,2659,5187.87, ---,25009.287
Q1,1999,1207.865,4387.732,1378.1,464.442,5483.998,5303.744,2974,4932, ---,26131.880999999998
Q2,1999,1188.969,5445.574,1661.6,648.096,5995,4817.036,3278.91,6888.77, ---,29923.955
Q3,1999,1353.3,5799.854,1887.3,587.423,6443.331,4715.506,3978.14,7150.61, ---,31915.464
Q4,1999,1569,6686.084,2107.6,575.878,6230.794,4717.449,4251.08,8544.13, ---,34682.015
Q1,2000,1586.783,7602.252,2147.2,383.811,6253.744,5175.143,4758,9546.51, ---,37453.443
Q2,2000,1385.894,7875.709,2301.3,296.88,6686.279,5045.776,5278,9789.13, ---,38658.96799999999
Q3,2000,1485.465,7427.93,2046,254.49,7233.69,5050.772,6053.98,9671.11, ---,39223.437000000005
Q4,2000,1360,7697,7,193,7849,2064,7367,12019, ---,38556
Q1,2001,1371,6396,8,181,9239,2210,9011,11616, ---,40032
Q2,2001,2435,6669,8,180,11763,2967,11536,9863, ---,45421
Q3,2001,2334,5440,8,181,12465,3147,12932,9273, ---,45780
Q4,2001,2355,6844,7,180,13723,3999,14332,8619, ---,50059
Q1,2002,2479,6793,7.4,184,14902,3614,15283,8913, ---,52175.4
Q2,2002,2598,6012,7,196,16319,3483,15771,8045, ---,52431
Q3,2002,2639,4882,14,144,16172,3337,15179,7586, ---,49953
Q4,2002,2437,5339,10.4,122.3,15516.3,3397.5,14863.9,7139.9, ---,48826.3
Q1,2003,3739.6,5587.7,9.1,125.3,15914.8,3387,14385.7,7079.4, ---,50228.6
Q2,2003,4366.1,6463.1,7.7,147.4,16417.9,2976.5,15663.8,6506.1, ---,52548.6
Q3,2003,4456.4,6914.4,9.1,136.5,16482,3268.7,15746.9,6345.5, ---,53359.5
Q4,2003,4841,7638,7,134,15360,3105,17008,5773, ---,53866
Q1,2004,5764,8128,9,133,14440,2858,18401,5482, ---,55215
Q2,2004,6791,8258,19,146,12564,2674,19349,5173, ---,54974
Q3,2004,8924,8085,28,136,12102,2519,5270,20074, ---,57138
Q4,2004,14572,8461,27,128,10379,2276,19512,4962, ---,60317
Q1,2005,24025,8574,38,127,8986,2041,19886,5462, ---,69139
Q2,2005,55461,8988,30,101,7445,1810,18755,5264, ---,97854
Q3,2005,71588,9516,27,90,6711,1762,18782,5370, ---,113846
Q4,2005,89444,14667,20,79,6501,1607,19696,4960, ---,136974
Q1,2006,91368,13667,1820,168,21527,2820,6400,3949, ---,141719
Q2,2006,62576,12976.5,1753,158,22300,3195,4704,4291, ---,111953.5
Q3,2006,50007,13772,1809.5,147,22411,3358,4284,4315.4, ---,100103.9
Q4,2006,31960,15583,1683,168.3,23951,3512,3749,3502, ---,84108.3
Q1,2007,29354,14725,133,104,23847,3592,3722,3536.4, ---,79013.4
Q2,2007,26100,15843,121,140,24120,4505,3627,3311, ---,77767
Q3,2007,28526,16187,324,213,24316,4682,3324,3724, ---,81296
Q4,2007,45206,16809,531,264,29362,3518,4611,4798.5, ---,105099.5
Q1,2008,39919,15168,964,208,37128,2819,4663,2639,463,103971
Q2,2008,38935,16158,1156,323,40965,3173,4890,1325,2922,109847
Q3,2008,30627,12464,1267,405,38924,3381,1448,4785,3938.5,97239.5
Q4,2008,17058,9749,1618,559,38289,2252,2145,995,2149,74814
Q1,2009,15114,7821,1513,240,44324,3722,1623,912,1925,77194
Q2,2009,18136,9615,1312,380,51855,2489,1793,873,2103,88556
Q3,2009,20528,9924,1913,340,51828,4723,1252,1062,2300,93870
Q4,2009,19281,10009,1960,324,49402,4099,1167,974,2332,89548
Q1,2010,22104,10191,6080,410,46141,4139,1119,913,2035,93132
Q2,2010,19712,8957,2653,335,53429,9374,1930,772,1785,98947
Q3,2010,20718,10076,2904,613,52120,8313,986,868,1692,98290
Q4,2010,20948,10933,2995,363,48330,8028,694,976,1473,94740
Q1,2011,20327,11143,2858,1107,45074,4740,1470,1146,1026,88891
Q2,2011,19645,11046,2754,2277,43897,5013,1424,1468,1367,88891
Q3,2011,18059,8912,3062,2350,43354,5802,1388,1061,1489,85477
Q4,2011,18472,9289,3031,2560,40132,5454,1156,359,1740,82193
Q1,2012,21508,10366,3031,2681,44082,5090,1254,424,1821,90257
Q2,2012,19059,9363,2729,2145,44469,6633,705,365,1999,87467
Q3,2012,19409,10092,2026,2200,46491,6783,995,204,1883,90083
Q4,2012,19192,10354,2086,1807,44874,6034,1844,60,1817,88068
Q1,2013,20357,10339,2204,1932,44104,9665,1277,373,2274,92525
Q2,2013,21170,10203,2305,1737,50256,9961,1770,356,2463,100221
Q3,2013,22938,11251,2455,2399,47056,9622,5034,835,1767,103357
Q4,2013,23639,12170,2878,1731,50809,7005,1411,409,3127,103179
Q1,2014,28548,10999,4010,1829,50962,6194,1782,457,3626,108407
Q2,2014,27036,11342,4361,1871,55825,8392,2293,469,4328,115917
Q3,2014,31816,11327,3904,2123,57424,7526,2608,628,4179,121535
Q4,2014,24477,11215,3973,2019,45674,15194,4189,410,3560,110711
Q1,2015,25874,11409,4518,1937,52086,10227,2292,436,3573,112352
Q2,2015,28781,11269,5240,2218,52720,9947,5754,469,3581,119979
Q3,2015,23320,10122,5909,2283,53936,9467,4471,436,3579,113523
Q4,2015,20025,10573,5830,2017,43691,12976,4014,407,3365,102898
Q1,2016,16777,6756,6568,2230,34881,14041,5490,2348,2104,91195
Q2,2016,17787,6471,5656,1621,38595,10600,4568,443,3469,89210
Q3,2016,13836,4635,5843,1389,39957,8703,3605,397,3451,81816
Q4,2016,16386.41,4940.25,5576.97,1282.39,40793.35,10569.88,4698.49,388.41,3199.51,87835.66
Q1,2017,17119,4725,5716,1331,53412,14869,3883,565,2911,104531
Q2,2017,18985,4849,5061,1323,56704,16588,3268,461,3188,110427
Q3,2017,19156,4983,5042,1470,56929,17716,2802,561,3994,112653
Q4,2017,17988.13,5420.2,4996.24,1527.84,55168.83,11597.79,8743.02,541.53,4249.17,110232.74999999999
Q1,2018,21053,5187,4874,1377,56427,13155,8834,380,8798,120085
Q2,2018,21754,4867,4556,1469,59258,8565,8976,319,9298,119062
Q3,2018,22178.8,4632.1,4313.7,1315.5,55360.1,8782.6,9419.1,175.3,11677.9,117855.1
Q4,2018,21512.3,4320.9,4493.6,1032.4,45446.7,12736,2588,123.2,19608.6,111861.69999999998
Q1,2019,22982.1,4549.4,4191.3,1013,33263.5,31088.6,1684.9,81.6,20905.2,119759.59999999999
Q2,2019,21612.1,4644.41,5418.7,1075.8,55031.4,15298.4,2539.4,102.5,20384.6,126107.31
Q3,2019,18271.47,3718.46,6046.97,1053.7,62053.29,19047.26,3567.03,141.92,23340.61,137240.71
Q4,2019,23000.35,4149.53,6915.17,1010.77,76728.74,21276.46,3043.41,79.6,23754,159958.03000000003
Q1,2020,15263.42,3266.34,9856.03,1507.76,70592.33,40247.45,9514.89,92.58,24402.02,174742.81999999995
Q2,2020,16356.23,3642.44,10927.92,2407.88,82948.2,33449.92,7300.19,232.55,24318.7,181584.03
Q3,2020,19012,4125,9665,3529,83384,38983,12073,644,24656,196071
Q4,2020,19351.57,4964.7,9595.23,3881.08,81505.8,50874.45,13888.77,442.23,25220.49,209724.32
Q1,2021,21624.85,5274.45,11706.74,5938.81,80397.28,66399.24,14714.33,910.25,25864.99,232830.93999999997
Q2,2021,23220.08,5919.07,12350.81,5081.88,80818.93,74556.44,14240.93,856.2,24595.42,241639.76
Q3,2021,21526.3,5961.18,15859.75,4078.39,75714.81,73553.45,15243.15,848.85,27020.58,239806.46000000002
Q4,2021,19938.94,6424.98,16830.29,3485.48,69518.38,68651.99,14667.46,921.74,26734.14,227173.40000000002
Q1,2022,24103.08,2438.64,18627.93,3364.62,69044.88,51071.77,18312.15,723.37,27996.67,215683.11
Q2,2022,17710.17,2657.99,17373.83,4127.63,64909.7,42342.49,13818.51,724.62,28848.48,192513.42
Q3,2022,21023.79,3088.92,17399.32,2722.43,60754.13,33312.13,12301.32,558.87,23183.76,174344.67
Q4,2022,19442.42,3367.8,16894.84,2904.75,30812.44,18089.12,10562.81,557.34,23473.48,126104.99999999999
Q1,2023,20316.11,3539.14,16437.6,2488.78,24381.95,13741.12,9992.1,652.96,24459.04,116008.80000000002
Q2,2023,22173.63,3897.12,15186.47,2767.93,21220.34,19340.42,11646.59,647.16,24127.93,121007.59
Q3,2023,22814.45,3524.31,13837.57,3043.31,22683.35,14935.92,10914.46,780.32,24583.45,117117.14
Q4,2023,27903.9,3497.3,13786.9,2711.2,23766.8,14524.9,10994.2,662.7,24729.6,122577.5
Q1,2024,33593.19,4188.85,11941.19,1979.09,30408.28,14057.51,14107.12,761.6,25622.97,136659.8
