,,,,,,,,,
القائمة الرئيسية   Main List,,,,,,,,,قائمة الإحصاءات النقدية والمالية       Money & Banking Stat. List
,,,,,,,,,
Table 6b:  Coins in Circulation by Denomination (Sixth-Issue) Outside SAMA,,,,,,,,,جدول 6b: العملة المعدنية المتداولة خارج البنك المركزي حسب الفئات (الإصدار السادس)
(﷼),,,,,,,,,(﷼)
نهاية الفترة,,Coins العملة المعدنية,,,,,,,
,,,,,,,,,
,,هـــــــللة   Halalas ,,,,,,,المجموع
End of Period,,,,,,,,,
,,1,5,10,25,50,100,200,Total
,,,,,,,,,
2017-12-31T00:00:00,,8371.99,152583.95,294668.5,4809716.5,11846999,10746575,9763508,37622422.94
2018-12-31T00:00:00,,250657.79,2192161.3,4660194.8,24877750,53973145,71459417,40586638,197999963.89
2019-12-31T00:00:00,,337219.74,3179322.95,6644487.5,38415532.25,81334701.5,218017034,111962842,459891139.94
2020-12-31T00:00:00,,376593.27,3678253.85,7388832.2,44909590,95292963,333563106,170528954,655738292.3199999
2021-12-31T00:00:00,,385851.5,3921126.35,7982035.9,49612954.75,103752557,444413775,210052080,820120380.5
2022-12-31T00:00:00,,387156.9,4210906.05,8510880.5,53675543.25,110925555,551917482,261128064,990755587.7
2023-12-31T00:00:00,,387405.37,4426067.75,8824824.6,58004842.5,116989044.5,646439828,301836432,1136908444.72
2024-12-31T00:00:00,,390749.85,4607131.55,9075620.4,62397511.25,122563016.5,710052282,329793322,1238879633.55
2025-12-31T00:00:00,,391630.1,4745961.25,9284380.9,67102654.75,129352025.5,767740950,356454902,1335072504.5
,,,,,,,,,
Q1,2017,3921.36,47320.35,102866.1,777861.5,2252123,2944459,3883156,10011707.31
Q2,2017,6311.59,74880,138517.6,1926835.5,5105840,4861771,5952724,18066879.689999998
Q3,2017,7550.93,101383.1,153323.4,3035581,7545549.5,5728818,6813312,23385517.93
Q4,2017,8371.99,152583.95,294668.5,4809716.5,11846999,10746575,9763508,37622422.94
Q1,2018,18792.12,545590.85,917071.4,7157480,25387523.5,25973594,22377646,82377697.87
Q2,2018,131469.51,1174876.65,2424332.4,12909971.5,32483237.5,37990473,28067064,115181424.56
Q3,2018,205488.83,1810253.5,3832878.6,18959663.75,43504005,50223993,33728454,152264736.68
Q4,2018,250657.79,2192161.3,4660194.8,24877750,53973145,71459417,40586638,197999963.89
Q1,2019,261716.29,2354066.75,5012406.5,28579978.75,61554079.5,99467958,51603636,248833841.79
Q2,2019,266801.09,2531554.6,5392169.9,31924815.25,67999497,124610375,70442752,303167964.84000003
Q3,2019,287620.65,2787710.45,5929836.7,35038734.75,73949161,160108312,86550514,364651889.55
Q4,2019,337219.74,3179322.95,6644487.5,38415532.25,81334701.5,218017034,111962842,459891139.94
Q1,2020,348313.9,3324908.9,6804179.3,40286797.75,86662585.5,253530065,139993854,530950704.35
