,,,,,,,,
القائمة الرئيسية   Main List,,,,,,,قائمة الإحصاءات النقدية والمالية       Money & Banking Stat. List,
,,,,,,,,
Table 6c:  Bank notes in Circulation by Denomination (Sixth-Issue) Outside SAMA,,,,,,,جدول 6c: العملة الورقية المتداولة خارج البنك المركزي حسب الفئات (الإصدار السادس),
(Thousands ﷼),,,,,,,(ألف ﷼),
نهاية الفترة,,Bank Notes العملة الورقية,,,,,,
,,,,,,,,
,,فــئـة,فــئـة,فــئـة,فــئـة,فــئـة,المجموع ,
End of Period,,خمس مئة,مئة,خمسين,عشرة,خمسة,,
,,500,100,50,10,5,Total ,
2017-12-31T00:00:00,,16898524,5877348.1,2383322.6,280566.49,187562.21,25627323.4,
2018-12-31T00:00:00,,45714668.5,11846323.9,4393458.7,643839.63,521599.585,63119890.315,
2019-12-31T00:00:00,,91655516,22653041.7,5675991.65,1217603.14,931002.75,122133155.24,
2020-12-31T00:00:00,,126301408.5,24426883.9,5477448.1,1282570.51,874731.235,158363042.245,
2021-12-31T00:00:00,,137240023.5,23687857.1,5396466.05,1323728.93,1127208.695,168775284.275,
2022-12-31T00:00:00,,143110777.5,21586214.3,5637236.8,1449313.92,1283823.16,173067365.68,
2023-12-31T00:00:00,,160956898,21777063.8,5159687.55,1566230.47,1440155.485,190900035.305,
2024-12-31T00:00:00,,176033571,23045319.4,6143015.35,1650160.17,1460334.395,208332400.315,
2025-12-31T00:00:00,,190844701,24123007.6,6823815.7,1871687.21,1709930.54,225373142.05,
,,,,,,,,
Q1,2017,5198672.5,1019353.8,646787.25,70984.24,51162.84,6986960.63,
Q2,2017,13880453,3440096.9,1533743.4,214687.98,134307.425,19203288.705,
Q3,2017,14973286.5,4909986.5,1932407.9,249365.51,163484.535,22228530.945,
Q4,2017,16898524,5877348.1,2383322.6,280566.49,187562.21,25627323.4,
Q1,2018,20933099.5,7720509.3,2965917.55,319710.15,215294.01,32154530.51,
Q2,2018,40443610,10548907.3,4536971.55,517953.27,400452.93,56447895.05,
Q3,2018,43963310.5,11116732.7,4277909.5,551500.81,442934.325,60352387.835,
Q4,2018,45714668.5,11846323.9,4393458.7,643839.63,521599.585,63119890.315,
Q1,2019,51528801,14449667.9,4882271.8,829126.06,639904.445,72329771.205,
Q2,2019,70705931.5,19116001.2,5711456.3,1174014.03,912879.16,97620282.19,
Q3,2019,80614592,21030425.4,5459847.7,1173951.81,900100.73,109178917.64,
Q4,2019,91655516,22653041.7,5675991.65,1217603.14,931002.75,122133155.24,
Q1,2020,108179231.5,25345853.6,6184675.7,1310451.45,985015.14,142005227.39,
Q2,2020,118995238,26142255.2,6036680.75,1347268.39,1009604,153531046.34,
Q3,2020,121016431,24576255.2,5617112.6,1294279.85,957389.385,153461468.035,
Q4,2020,126301408.5,24426883.9,5477448.1,1282570.51,874731.235,158363042.245,
Q1,2021,131217137,24542183.2,5469695.6,1313293.17,831656.705,163373965.67499998,
Q2,2021,136567705,25033951.1,5678242.95,1474587.22,919105.845,169673592.115,
Q3,2021,135789212,23806651.7,5263592.95,1337047.22,1152389.645,167348893.51500002,
Q4,2021,137240023.5,23687857.1,5396466.05,1323728.93,1127208.695,168775284.275,
Q1,2022,140985857,23034433.5,5617082.9,1440819.17,1232187.24,172310379.81,
Q2,2022,146842209,23336274.2,6030396.25,1555780.72,1364666.845,179129327.01500002,
Q3,2022,140890570,21632704.6,5553580.95,1429704.87,1262311.18,170768871.6,
Q4,2022,143110777.5,21586214.3,5637236.8,1449313.92,1283823.16,173067365.68,
Q1,2023,152098939.5,22483684.3,6095980.15,1661051.78,1497245.76,183836901.49,
Q2,2023,165599190,24468642.7,6009017.3,1753371.57,1603565.595,199433787.165,
Q3,2023,156760209,21694526.7,5258668.45,1581177.26,1448391.42,186742972.83,
Q4,2023,160956898,21777063.8,5159687.55,1566230.47,1440155.485,190900035.305,
Q1,2024,173878381,24424580,6228083.1,1896894.01,1632403.32,208060341.43,
Q2,2024,177951225.5,23777801.8,6240929.15,1863822.52,1646393.465,211480172.435,
Q3,2024,173232180,22229932.8,5834843,1673030.61,1485669.195,204455655.60500002,
Q4,2024,176033571,23045319.4,6143015.35,1650160.17,1460334.395,208332400.315,
Q1,2025,194365182,26638263.6,7442937.9,2087035.78,1762736.515,232296155.79500002,
Q2,2025,190657441,25101675.4,6979302.85,2004040.98,1745728.38,226488188.60999998,
Q3,2025,185250761,23905431.1,6616637.1,1861876.4,1652771.1,219287476.7,
Q4,2025,190844701,24123007.6,6823815.7,1871687.21,1709930.54,225373142.05,
,,,,,,,,
2017-01-31T00:00:00,,1067857.5,302044,172436.9,32189.88,24236.2,1598764.48,
2017-02-28T00:00:00,,3260790.5,703749,351103.7,48884.99,35950.045,4400478.235,
2017-03-31T00:00:00,,5198672.5,1019353.8,646787.25,70984.24,51162.84,6986960.63,
2017-04-30T00:00:00,,7389537.5,1510835,894565.3,95276.69,62170.2,9952384.69,
2017-05-31T00:00:00,,9142581,2027459.5,1100861.5,154722.03,94073.605,12519697.635,
2017-06-30T00:00:00,,13880453,3440096.9,1533743.4,214687.98,134307.425,19203288.705,
2017-07-31T00:00:00,,14108164.5,3821159.2,1623749.05,222816.21,140825.68,19916714.64,
2017-08-31T00:00:00,,15362708,4758636.1,1926597.85,239998.33,153592.23,22441532.51,
2017-09-30T00:00:00,,14973286.5,4909986.5,1932407.9,249365.51,163484.535,22228530.945,
2017-10-31T00:00:00,,15174952,4988903.5,1988428.5,259664.81,171697.62,22583646.43,
2017-11-30T00:00:00,,16330106.5,5432196.6,2157061.35,270458.85,179142.175,24368965.475,
2017-12-31T00:00:00,,16898524,5877348.1,2383322.6,280566.49,187562.21,25627323.4,
2018-01-31T00:00:00,,17382221,6314984.7,2565659.6,291150.38,195855.04,26749870.72,
2018-02-28T00:00:00,,18671103.5,6898967.7,2725821.6,305954.12,205942.43,28807789.35,
2018-03-31T00:00:00,,20933099.5,7720509.3,2965917.55,319710.15,215294.01,32154530.51,
2018-04-30T00:00:00,,24404682.5,8539733.2,3286705.7,344454.13,235437.58,36811013.11,
2018-05-31T00:00:00,,33767914.5,9694914.8,3929837.15,448463.93,344774.045,48185904.425,
2018-06-30T00:00:00,,40443610,10548907.3,4536971.55,517953.27,400452.93,56447895.05,
2018-07-31T00:00:00,,40090493,10490840.2,4069222.75,523817.35,408146.49,55582519.79,
2018-08-31T00:00:00,,45115343.5,11428837.5,4470504.65,543786.06,427555.31,61986027.02,
2018-09-30T00:00:00,,43963310.5,11116732.7,4277909.5,551500.81,442934.325,60352387.835,
2018-10-31T00:00:00,,43799341.5,11026899.2,4218776.3,554982.15,459208.55,60059207.7,
2018-11-30T00:00:00,,45658904.5,11630918.5,4393890.45,598605.09,491577.485,62773896.025,
2018-12-31T00:00:00,,45714668.5,11846323.9,4393458.7,643839.63,521599.585,63119890.315,
2019-01-31T00:00:00,,46105465,12400914.6,4512126.55,706941.15,560757.005,64286204.305,
2019-02-28T00:00:00,,49259741,13107500.6,4707488.1,762782.08,593682.53,68431194.31,
2019-03-31T00:00:00,,51528801,14449667.9,4882271.8,829126.06,639904.445,72329771.205,
2019-04-30T00:00:00,,55544988.5,16162401.8,5141856,942161.32,718172.905,78509580.525,
2019-05-31T00:00:00,,75403261,20867614,6334735.2,1159361.53,912194.525,104677166.255,
2019-06-30T00:00:00,,70705931.5,19116001.2,5711456.3,1174014.03,912879.16,97620282.19,
2019-07-31T00:00:00,,76596398,20299581.9,5608134.5,1147181.58,876749.815,104528045.795,
2019-08-31T00:00:00,,79541708.5,21107878.1,5668006.45,1165308.9,884211.665,108367113.615,
2019-09-30T00:00:00,,80614592,21030425.4,5459847.7,1173951.81,900100.73,109178917.64,
2019-10-31T00:00:00,,84304930,21713471.2,5456950.5,1171281.26,905347.64,113551980.6,
2019-11-30T00:00:00,,87145843.5,21966548.7,5508920.75,1193580.44,918899.275,116733792.665,
2019-12-31T00:00:00,,91655516,22653041.7,5675991.65,1217603.14,931002.75,122133155.24,
2020-01-31T00:00:00,,94890282,22978026.3,5685270.45,1253987.49,947489.26,125755055.5,
2020-02-29T00:00:00,,96744807.5,23196840.7,5686547,1295447.31,974305.895,127897948.405,
2020-03-31T00:00:00,,108179231.5,25345853.6,6184675.7,1310451.45,985015.14,142005227.39,
2020-04-30T00:00:00,,113829583,25982585.2,6139060,1309014.75,979277.245,148239520.195,
2020-05-31T00:00:00,,121135360.5,27552729.8,6448795.9,1357478.55,1018847.535,157513212.285,
2020-06-30T00:00:00,,118995238,26142255.2,6036680.75,1347268.39,1009604,153531046.34,
2020-07-31T00:00:00,,119829113.5,25174967.9,5851946.45,1324336.28,1000219.51,153180583.64,
2020-08-31T00:00:00,,121083668.5,24785149.2,5682162.95,1308346.46,972395.755,153831722.865,
2020-09-30T00:00:00,,121016431,24576255.2,5617112.6,1294279.85,957389.385,153461468.035,
2020-10-31T00:00:00,,122119995,24458226.8,5522042.9,1309362.02,924901.05,154334527.77,
2020-11-30T00:00:00,,123064474,24271399.6,5519499.9,1296697.49,889377.57,155041448.56,
2020-12-31T00:00:00,,126301408.5,24426883.9,5477448.1,1282570.51,874731.235,158363042.245,
2021-01-31T00:00:00,,126905798.5,24645224.3,5571954.5,1296226.2,852220.225,159271423.725,
2021-02-28T00:00:00,,128096156.5,24229135.1,5410204.45,1288030.18,833582.64,159857108.87,
2021-03-31T00:00:00,,131217137,24542183.2,5469695.6,1313293.17,831656.705,163373965.67499998,
2021-04-30T00:00:00,,136818574,25384023.8,5698667.95,1474298.17,910475.45,170286039.37,
2021-05-31T00:00:00,,138203823,25369207.6,5821047.9,1533354.11,951223.17,171878655.78,
2021-06-30T00:00:00,,136567705,25033951.1,5678242.95,1474587.22,919105.845,169673592.115,
2021-07-31T00:00:00,,142546212,26535251.7,6080342.95,1487617.22,1252579.645,177902003.51500002,
2021-08-31T00:00:00,,140430013.5,24743861,5751968.25,1409517.76,1201074.99,173536435.5,
2021-09-30T00:00:00,,135789212,23806651.7,5263592.95,1337047.22,1152389.645,167348893.51500002,
2021-10-31T00:00:00,,134984504,23506864,5260180.6,1289543.65,1116515.11,166157607.36,
2021-11-30T00:00:00,,135004854,23525973.6,5267605.85,1311405.97,830528.36,165940367.78,
2021-12-31T00:00:00,,137240023.5,23687857.1,5396466.05,1323728.93,1127208.695,168775284.275,
2022-01-31T00:00:00,,138044750.5,23237649.9,5367724.4,1322038.89,1130979.87,169103143.56,
2022-02-28T00:00:00,,138900762,22826751.5,5398811.7,1333484.34,1142814.315,169602623.855,
2022-03-31T00:00:00,,140985857,23034433.5,5617082.9,1440819.17,1232187.24,172310379.81,
2022-04-30T00:00:00,,152290616.5,25382413,6547064.65,1614772.38,1408195.715,187243062.245,
2022-05-31T00:00:00,,145237865,23391823.4,5985039.5,1584136.85,1395830.39,177594695.14000002,
2022-06-30T00:00:00,,146842209,23336274.2,6030396.25,1555780.72,1364666.845,179129327.01500002,
2022-07-31T00:00:00,,144887809,22992791.8,5898267.15,1518173.11,1327896,176624937.06,
2022-08-31T00:00:00,,140818653.5,21899555.3,5571800.8,1466229.85,1292015.935,171048255.385,
2022-09-30T00:00:00,,140890570,21632704.6,5553580.95,1429704.87,1262311.18,170768871.6,
2022-10-31T00:00:00,,140973114,21440376.6,5562410.8,1426651.89,1266148.12,170668701.41,
2022-11-30T00:00:00,,141070201,21330014,5564965.8,1443064.83,1273845.76,170682091.39,
2022-12-31T00:00:00,,143110777.5,21586214.3,5637236.8,1449313.92,1283823.16,173067365.68,
2023-01-31T00:00:00,,144947746,21529054.4,5678414.7,1461641.04,1294921.64,174911777.77999997,
2023-02-28T00:00:00,,146447357,21664437.2,5777941.85,1492039.54,1336344.74,176718120.32999998,
2023-03-31T00:00:00,,152098939.5,22483684.3,6095980.15,1661051.78,1497245.76,183836901.49,
2023-04-30T00:00:00,,159739360,24296761.5,6520109.8,1808385.41,1635000.385,193999617.095,
2023-05-31T00:00:00,,156250328,22621116.8,5950888.15,1755563.74,1599106.355,188177003.045,
2023-06-30T00:00:00,,165599190,24468642.7,6009017.3,1753371.57,1603565.595,199433787.165,
2023-07-31T00:00:00,,158693230,22494820.9,5610942,1657332.2,1513098.1,189969423.2,
2023-08-31T00:00:00,,157144471.5,21968628.2,5396786.1,1593574.04,1460082.98,187563542.82000002,
2023-09-30T00:00:00,,156760209,21694526.7,5258668.45,1581177.26,1448391.42,186742972.83,
2023-10-31T00:00:00,,156798038,21516671,5173539.65,1565076.91,1440943.445,186494269.005,
