,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
القائمة الرئيسية   Main List,,,,,,,,,,,,,,,,,,,,,,,القطاع الخارجي       External Sector,,القائمة الرئيسية   Main List,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,القطاع الخارجي       External Sector,,القائمة الرئيسية   Main List,,,,,,,,,,القطاع الخارجي       External Sector,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 1: Balance of Payments,,,,,,,,,,,,,,,,,,,,,,,جدول 1: ميـزان المدفـوعــات,,Contd. 4 table 1: Balance of Payments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,تابع 4 جدول 1: ميـزان المدفـوعــات,,Contd.4 Table 1: Balance of Payments,,,,,,,,,,تابع 4 جدول 1: ميـزان المدفـوعــات,,,,,,,,,,,,,,,,,,,,,
(Million ﷼),,,,,,,,,,,,,,,,,,,,,,,(مليون ﷼),,(Million ﷼),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(مليون ﷼),,(Million ﷼),,,,,,,,,,(مليون ﷼),,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2005-12-01T00:00:00,2006-12-31T00:00:00,2007-12-31T00:00:00,2008-12-31T00:00:00,2009-12-31T00:00:00,2010-12-31T00:00:00,2011-12-31T00:00:00,2012-12-31T00:00:00,2013-12-31T00:00:00,2014-12-31T00:00:00,2015-12-31T00:00:00,2016-12-31T00:00:00,2017-12-31T00:00:00,2018-12-31T00:00:00,2019-12-31T00:00:00,2020-12-31T00:00:00,2021-12-31T00:00:00,2022-12-31T00:00:00,2023-12-31T00:00:00,2024-12-31T00:00:00,2025-12-31T00:00:00,,,,,Q1 2006,Q2 2006,Q3 2006,Q4 2006,Q1 2007,Q2 2007,Q3 2007,Q4 2007,Q1 2008,Q2 2008,Q3 2008,Q4 2008,Q1 2009,Q2 2009,Q3 2009,Q4 2009,Q1 2010,Q2 2010,Q3 2010,Q4 2010,Q1 2011,Q2 2011,Q3 2011,Q4 2011,Q1 2012,Q2 2012,Q3 2012,Q4 2012,Q1 2013,Q2 2013,Q3 2013,Q4 2013,Q1 2014,Q2 2014,Q3 2014,Q4 2014,Q1 2015,Q2 2015,Q3 2015,Q4 2015,Q1 2016,Q2 2016,Q3 2016,Q4 2016,Q1 2017,Q2 2017,Q3 2017,Q4 2017,Q1 2018,Q2 2018,Q3 2018,Q4 2018,Q1 2019,Q2 2019,Q3 2019,Q4 2019,Q1 2020,Q2 2020,Q3 2020,Q4 2020,Q1 2021,Q2 2021,Q3 2021,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Q4 2022,Q1 2023,Q2 2023,Q3 2023,Q4 2023,,,,Q1 2024,Q2 2024,Q3 2024,Q4 2024,Q1 2025,Q2 2025,Q3 2025,Q4 2025,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,p,p,p,e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p,p,p,p,p,p,p,p,,,,p,p,p,p,p,p,p,e,,,,,,,,,,,,,,,,,,,,,,,
1. Current account,333431.05644609546,387899.3150497075,382920.8641087648,542500.8210116576,94684.9081112145,268244.29940339975,609573.4434576528,644259.5160414649,528975.3733946824,291190.97864833026,-206416.88526432315,-101135.02541915671,34064.611190037176,262608.50087341387,121494.83825432324,-130079.06365181683,168394.79656904924,545012.6976696475,97305.34822197782,-60952.75366278412,-122761.75151518399,, 1 :  ميزان الحساب الجاري    ,,1. Current account,121122.28368317857,110659.39544233112,98630.07348686835,57487.562437329434,75114.06978666718,77895.34025097534,84639.12294157877,145272.3311295435,147637.4333402877,209353.58073686744,172630.50371182288,12879.303222679519,-16953.292663755397,2527.3522370793107,37405.86246295347,71704.98607493713,68194.83689107087,49171.39592088705,61230.24736129287,89647.81923014898,140591.79924814575,148438.02068610562,146503.72284241236,174039.90068098909,183863.70527490135,155024.0228557945,148581.6807528744,156790.10715789458,123398.15895399872,109864.75589360709,147197.83893477824,148514.61961229838,105483.66604342501,124733.67250899997,62817.03783985776,-1843.397743952446,-43688.521866042596,-28747.96168030898,-51448.035451919175,-82532.36626605238,-74560.16233512164,-28182.169749133904,15428.099305751151,-13820.792640652326,15506.072129447784,-22814.217585502414,19324.979614132164,22047.777031959646,34171.47052084614,74176.01711972724,95372.99718170354,58888.01605113694,45720.26896961068,38071.64828923238,22435.8555840471,15267.065411433097,-19082.46971317945,-87857.77314093725,-12132.36287274323,-11006.4579249569,-1460.8198289622815,23011.95437574517,61556.66391153054,85286.99811073582,150467.63388337358,151252.33634687908,173779.12265072385,69513.60478867097,47190.81349611906,36514.14575723157,13742.306271033114,-141.91730240586185, 1 :  ميزان الحساب الجاري    ,,1. Current account,21764.375749320978,1267.3181030155101,-36408.02594121198,-47576.42157390832,-10643.638519478816,-50403.23088824429,-30830.317921275877,-30884.564186185024,, 1 :  ميزان الحساب الجاري    ,,,,,,,,,,,,,,,,,,,,,
1.A Goods and services,378232.4564460955,420782.08642237354,400044.2351172343,566596.8381872465,138389.14568097453,317793.5779026559,659287.5964698364,683819.4966886388,584032.8600529617,350090.01834484417,-118878.9097408024,-9.902725565829314,132948.0660316964,385952.5836092266,228122.52088778454,-31785.878089242055,290091.38445261004,684351.7433575222,261132.7252525563,111513.65253728745,83111.06604470871,, 1. أ السلع والخدمات,,1.A Goods and services,130052.29068284194,119237.71501133686,105056.8709416607,66435.20978653405,79427.62754143495,82369.60309320656,88908.7962410266,149338.2082415662,154181.80133729317,212481.80709194238,180322.13474397035,19611.095014040642,-7436.183097585643,12963.189828854971,46264.964846830844,86597.17410287434,80342.2037697292,59580.13331002068,71054.73477353004,106816.50604937595,153822.04542768834,159497.11940294443,157414.45443079027,188553.97720841342,197273.58231654984,164575.57915549306,155203.31658663397,166767.01862996197,137920.159353889,122183.78080321774,160181.07000293658,163747.84989291843,123782.87639944318,135043.79573248271,75788.65608432326,15474.690128595044,-12711.437597271412,-10600.820616228244,-40130.1433480946,-55436.50817920813,-43650.793673506545,-4627.650528105762,31671.010286189237,16597.53118985724,41641.37626100496,2515.614390185525,40832.223805692716,47958.851574813176,66972.7914088961,102396.57165720421,125011.04976254018,91572.17078058611,71778.47320004442,59981.56117472134,53967.94175294793,42394.54476007087,20406.702602880723,-55393.71298558028,4030.533791141861,-829.401497684361,27072.127238019908,54184.6388836578,90746.14173024011,118088.4766006922,182249.64789452218,187849.4235342607,198766.77580458642,115485.8961241529,83030.56820493736,79063.77404204893,51025.22352031988,48013.15948525014, 1. أ السلع والخدمات,,1.A Goods and services,57908.504530586106,51085.22017499292,6667.694012945532,-4147.766181236802,39139.7471838576,-5572.764424967558,25565.695277475264,23978.388008343376,, 1. أ السلع والخدمات,,,,,,,,,,,,,,,,,,,,,
1.A.a Goods,474800.45,554592.6883944954,568249.926705588,799418.49,398194.002,580425.6000310001,922701.8359999999,930473.9,840895.7320000001,696499.6275279999,172545.59599999996,214371.59962803998,374272.75583810004,637950.5,460753.6541753999,184965.80000000002,517470.2420000001,889465.98659924,488586.66662807006,345092.0154300198,305378.649674,, 1.أ.أ السلع,,1.A.a Goods,146053.02,147903.55596330276,146389.68062385323,114246.43180733945,106115.4990909091,126697.85770642203,144022.96862385323,191413.60128440367,216359.41999999998,275031.65,242302.96000000002,65724.46,57823,90505.10199999998,113625.7,136240.2,135464.50001000002,136976.10001000005,136177.60001,171807.40000099997,206641.9,229295.2,236708.5,250056.23599999998,263735,232263.69,213013.61000000002,221461.6,197472.1,185163.99999999997,225735.90000000002,232523.73200000002,215543.89999999997,197803.99999999997,176003.927528,107147.80000000005,45061.50999999998,67684.77600000001,43074.70999999999,16724.599999999977,11124.000689389999,50005.603650699995,69617.39597572,83624.59931223,93283.34163229998,74870.11114750004,84003.3951254,122115.9079329,129980.5,160564.2,172318.19999999998,175087.6,129329.61878909999,115173.25881740003,103967.38828229997,112283.38828659998,71963.3,7037.600000000006,49666.7,56298.20000000001,82201.80000000002,105152.262,142798.265,187317.91500000004,223564.213804,267344.77876200003,230932.19999999998,167624.79403323997,136043.03582902005,120766.91006848999,120557.06489958998,111219.65583097, 1.أ.أ السلع,,1.A.a Goods,105363.25557392003,102284.98293213002,75367.33574297992,62076.44118099002,80357.8872043,59330.69285319996,88208.18402739998,77481.88558909998,, 1.أ.أ السلع,,,,,,,,,,,,,,,,,,,,,
Credit,677144,791338,874403,1175552,721152,941785.000031,1367619.936,1456386,1409628.5320000001,1284213.3,763262,688528,831981.1544900001,1103952,981064.363319,651990,1035744,1542051.052566,1200825.053577,1146663.631229,1166095.337851,,دائــن,,Credit,195451,208647,207399,179841,174949,202070,222935,274449,299943,367106,341527,166976,135613,172321,194192,219026,218109.00001000002,229396.00001000002,226448.00001000002,267832.000001,304907,342634,352534,367544.936,386790,367846,346435,355315,338895,336840,366379,367514.532,352725.39999999997,351175.6,328242.5,252069.80000000002,192865,220714,184980,164703,140211,175966,175479,196872,207398.769486,189753.38500400004,196313,238516,244247,281109,288445,290151,249100.276572,252631.009882,235886.725613,243446.351252,191685,119665,160586,180054,208045,232190,273617,321892,367115.673804,427826.378762,399094,348015,309497.52311300003,295294.257016,299849.34126,296183.932188,دائــن,,Credit,295408.787143,295667.463245,277227.125853,278360.25498800003,287358.14456399996,274327.79270499997,304012.326112,300397.07447,,دائــن,,,,,,,,,,,,,,,,,,,,,
Debit,202343.55,236745.31160550457,306153.073294412,376133.50999999995,322957.998,361359.4,444918.10000000003,525912.1,568732.8,587713.672472,590716.4040000001,474156.40037195996,457708.3986519,466001.5,520310.7091436,467024.19999999995,518273.7579999999,652585.0659667602,712238.38694893,801571.6157989801,860716.688177,,مديـن,,Debit,49397.98,60743.44403669724,61009.31937614678,65594.56819266055,68833.5009090909,75372.14229357797,78912.03137614678,83035.39871559633,83583.58000000002,92074.34999999999,99224.04,101251.54,77790,81815.89800000002,80566.3,82785.79999999999,82644.5,92419.89999999998,90270.40000000002,96024.60000000002,98265.1,113338.8,115825.5,117488.7,123055,135582.31,133421.38999999998,133853.4,141422.9,151676.00000000003,140643.09999999998,134990.8,137181.5,153371.6,152238.572472,144921.99999999997,147803.49000000002,153029.224,141905.29,147978.40000000002,129086.99931061,125960.3963493,105861.60402428,113247.40068777,114115.42785370002,114883.2738565,112309.6048746,116400.0920671,114266.5,120544.8,116126.80000000002,115063.4,119770.65778290002,137457.7510646,131919.33733070001,131162.96296540002,119721.7,112627.4,110919.3,123755.79999999999,125843.19999999998,127037.738,130818.735,134574.08499999996,143551.46000000002,160481.6,168161.80000000002,180390.20596676003,173454.48728397998,174527.34694751,179292.27636041003,184964.27635703,مديـن,,Debit,190045.53156907996,193382.48031286997,201859.79011002005,216283.81380701,207000.25735969996,214997.0998518,215804.1420846,222915.1888809,,مديـن,,,,,,,,,,,,,,,,,,,,,
1.A.a.1 General merchandise,477102.45,556991.6883944954,571814.926705588,801971.5471200001,400363.87320000003,582809.1682760001,925593.782401,933957.77544,844676.59696,700381.63328,181646.20999999996,219088.44962804002,379701.59206349,647030.6464121899,465543.28251418995,181558.23,525800.8400000001,904990.16844045,508248.22417692,366314.65889702993,327338.1324344501,,1.أ.أ .1 البضائع العامة,,1.A.a.1 General merchandise,146803.02,149003.55596330276,146881.68062385323,114303.43180733945,106780.4990909091,127804.85770642203,145017.96862385323,192211.60128440367,216914.21535999997,275649.66520000005,242976.89168,66430.77488,58350.0944,91061.39008,114167.92376,136784.46496,136006.08097500002,137587.58249000003,136778.60369,172436.901121,207282.42720099998,230037.19215999998,237462.0388,250812.12424,264537.22352,233165.00335999997,213914.15608,222341.39248000004,198428.90407999998,186188.3264,226669.77272000004,233389.59376000002,216430.72199999998,198817.22255999997,177016.04392,108117.64480000004,47399.81999999998,69249.66,45538.03,19458.699999999983,12588.270689390003,50955.7936507,70207.87597572,85336.50931223,95649.02541722999,76172.87358796003,84593.8751254,123285.8179329,131273.38531244,163049.37,175752.92109974998,176954.97,130540.82878909999,117811.67603681001,103900.42828229998,113290.34940597999,72694.97,6311.020000000004,46980.7,55571.54000000001,84186.16000000002,107098.78,144965.25,189550.65000000002,224952.093804,271643.21502117,236495.93,171898.92961527998,138826.57582902006,126144.33194382,127020.21057310997,116257.10583097002,1.أ.أ .1 البضائع العامة,,1.A.a.1 General merchandise,111940.58396866004,108538.37463500001,78128.50733153993,67707.19296183,83758.97429775001,67079.7914585,92711.84168829999,83787.52498989998,,1.أ.أ .1 البضائع العامة,,,,,,,,,,,,,,,,,,,,,
Credit,676481,790738,874010,1175065.516,720713.52,941259.544431,1366929.4844,1455622.1919999998,1408818.76,1283345.176,762117,685660,829583.946827,1101993.583778,977886.161725,644603,1031582,1538378.397265,1195541.735411,1140007.675574,1154423.7982980001,,دائــن,,Credit,195361,208548,207261,179568,174864,201977,222830,274339,299822.42,366979.852,341399.132,166864.112,135511.976,172216.184,194083.632,218901.728,217992.17641000001,229261.34801000002,226320.23201,267685.788001,304764.5804,342460.736,352352.168,367352,386598.62,367652.132,346257.844,355113.596,338710.22,336639.612,366177.928,367291,352505.116,350950.844,328020.268,251868.948,192618,220408,184757,164334,139585,175179,174770,196126,206841.769486,189182.17734100003,195604,237956,243671.527563,280694,287800.056215,289828,248554.276572,252034.780731,234869.725613,242427.378809,190836,118609,157081,178077,206939,230972,272789,320882,366166.673804,426772.378762,398376,347063.344699,308373.52311300003,294155.694814,298338.585296,294673.932188,دائــن,,Credit,293954.25578,294039.337343,275597.489096,276416.593355,285081.564485,272033.673602,301107.318331,296201.24188,,دائــن,,,,,,,,,,,,,,,,,,,,,
Oil Exports,605881,705811,769933,1053860,611490,807176,1191051,1265434,1207080,1067091,573412,510729,638402.640214,868442,751828.128682,447598,758124,1226276.052566,927697.0814980001,837670.764475,801478.0234370001,,الصادرات النفطية,,Oil Exports,175575,186908,185988,157340,150483,175983,196381,247086,269788,335540,309548,138984,110347,146107,167090,187946,185658,195733,194506,231279,265346,299318,307076,319311,338945,319379,302146,304964,292670,286695,316097,311618,297634,294965,272662,201830,145109,172581,138791,116931,97157,130310,133384,149878,161871.773834,144370.86638000002,149407,182753,187647,220337,230941,229517,189847.69591,195821.618431,180004.745333,186154.069008,143014,76493,106561,121530,147890,166405,204204,239625,288514.673804,341618.378762,320115,276028,241876.081498,228313,231545,225963,الصادرات النفطية,,Oil Exports,223977.366633,220808.677857,197008.138997,195876.580988,205060.334312,185968.28193300002,207814.43780699998,202634.969385,,الصادرات النفطية,,,,,,,,,,,,,,,,,,,,,
Non Oil Exports,70600,84927,104077,121205.516,109223.52,134083.54443100002,175878.4844,190188.192,201738.76,216254.176,188705,174931,191181.306613,233551.583778,226058.03304299997,197005,273458,312102.344699,267844.653913,302336.911099,352945.774861,,الصادرات الأخرى,,Non Oil Exports,19786,21640,21273,22228,24381,25994,26449,27253,30034.42,31439.852,31851.132,27880.112,25164.976,26109.184,26993.632,30955.728,32334.17641,33528.34801,31814.23201,36406.788001,39418.5804,43142.736,45276.168,48041,47653.62,48273.132,44111.844,50149.596,46040.22,49944.612,50080.928,55673,54871.116,55985.844,55358.268,50038.948,47509,47827,45966,47403,42428,44869,41386,46248,44969.995652,44811.310961,46197,55203,56024.527563,60357,56859.056215,60311,58706.580662,56213.1623,54864.98027999999,56273.309801,47822,42116,50520,56547,59049,64567,68585,81257,77652,85154,78261,71035.344699,66497.441615,65842.694814,66793.585296,68710.93218799999,الصادرات الأخرى,,Non Oil Exports,69976.889147,73230.659486,78589.350099,80540.012367,80021.230173,86065.39166899999,93292.88052400001,93566.272495,,الصادرات الأخرى,,,,,,,,,,,,,,,,,,,,,
